"","RG","Study","Qiagen DSP Virus","Zymo MagBead DNone Kit","MagAttract PowerMag Soil","MagAttract PowerMag Microbiome","Qiagen QIAamp  Modified","Qiagen DSP Virus - RG","Qiagen DSP Virus - Study","Zymo MagBead DNone Kit - RG","Zymo MagBead DNone Kit - Study","MagAttract PowerMag Soil - RG","MagAttract PowerMag Soil - Study","MagAttract PowerMag Microbiome - RG","MagAttract PowerMag Microbiome - Study","Qiagen QIAamp  Modified - RG","Qiagen QIAamp  Modified - Study"
"Coprococcus",0.00129910213184755,0.035445220813181,0.000593128481236046,0.0121370444772663,0.0147471575417547,0.0454774470397486,0.0183210770120462,0.000593135294369496,0,0.00182857481926877,0.0194110258199581,0.000299077069653617,0.0231265384974917,0.00316286900138349,0.06221894678877,0.000568027870500648,0.0254131218805699
"Corynebacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deinococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio",8.59083667834671e-06,0,8.35392227093023e-06,1.22741053200064e-06,8.54602808553522e-06,1.18132444189803e-06,0,8.35401823055628e-06,0,2.9668601718801e-06,0,2.32814485359103e-05,0,4.16715283449736e-06,0,0,0
"Devosia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister",0.000100785181519141,0.00750567702379702,2.6106007096657e-05,0.00169832703944488,0.0038677350954805,0.00348992773247727,0.0116994834560274,2.61063069704884e-05,0,0.000100873245843923,0.00282554082344731,1.16407242679551e-05,0.00610413485806874,0.0003552497791409,0.00473014357774607,0,0.0163732305372837
"Dolosigranulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea",0.00644668956299252,0.00865469164973542,0.00610567293976613,0.00811522930074422,0.00768452271583569,0.00803832216489517,0.00797174535485358,0.00610574307425782,0,0.00454424082992969,0.0106350314026518,0.00473419301574453,0.00939561067314783,0.012668144616872,0.00620656169342108,0.00395831528160016,0.00957504324071286
"Eggerthella",1.48768147356736e-05,1.18346665523526e-05,0,8.18273688000426e-07,1.28190421283028e-05,2.42171510589097e-05,1.49188044070148e-05,0,0,0,1.39567341242149e-06,0,2.0253637864955e-05,7.39669628123281e-05,4.53394731223482e-06,0,2.08786161213685e-05
"Eggerthia",0,3.94488885078418e-07,0,0,0,8.85993331423525e-07,0,0,0,0,0,0,0,0,1.23653108515495e-06,0,0
"Enterococcus",7.62698670955659e-05,2.077641461413e-05,1.04424028386628e-05,0.000128878105860067,7.23125453391442e-06,1.97871844017921e-05,4.24008125252e-05,1.04425227881954e-05,0,0.000192845911172206,8.37404047452896e-05,1.43270452528679e-05,3.11594428691615e-06,3.64625873018519e-05,1.31896649083195e-05,0.000148539975820993,0
"Enterorhabdus",0,2.10394072041823e-06,0,0,5.25909420648321e-06,0,0,0,0,0,0,0,8.30918476510973e-06,0,0,0,0
"Escherichia-Shigella",0.00087060796093977,0.00984039374198612,0.000415607632978779,0.0051907191398307,0.00608082767624622,0.00556699143244449,0.0112103037115237,0.000415612406970175,0,0.00150222020036196,0.00779344033496162,0.000650985118677184,0.00922994630189346,0.00109283583084693,0.00733716328228109,0.000635421007678692,0.0154347916863548
"Faecalibacterium",0.00321611590673033,0.123397569711775,0.000427094276101308,0.0781148610775846,0.0516959099695663,0.128435365309817,0.0668448809459778,0.00042709918203719,0,0.00665862317908957,0.128536636427076,0.000625017349156361,0.0813152400835073,0.00761755538146117,0.176236180734681,0.000270947918858663,0.0934400487021193
"Finegoldia",0,4.60237032591488e-06,0,0,9.86080163715603e-07,7.0879466513882e-06,3.14080092779259e-06,0,0,0,0,0,1.55797214345808e-06,0,9.8922486812396e-06,0,4.39549813081442e-06
"Flavonifractor",0.00150423454911832,0.000508759165456134,0.00213755986107427,0.00142706931187274,0.000731671481476977,0.00038127246362259,0.000783629831484252,0.00213758441474359,0,0.00238931139175411,0.00074808094905792,0.00143270452528679,0.000325096853934918,0.000721959228576667,0.00024648186297422,0.000581781571965555,0.000864264819971385
"Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",4.19065203821791e-07,1.34126220926662e-05,0,8.59187372400447e-06,5.25909420648321e-06,5.31595998854115e-06,1.92374056827296e-05,0,0,0,1.46545708304257e-05,0,8.30918476510973e-06,0,7.4191865109297e-06,2.75074029298135e-06,2.58235515185347e-05
"Gordonibacter",3.72968031401394e-05,0.000113218310017506,0,4.09136844000213e-06,9.69645494320343e-05,0.000118427775300278,0.000130735838619367,0,0,0,6.97836706210747e-06,0,0.000153200594106711,0.000164602536962646,0.000100159017897551,2.75074029298135e-05,0.000171973864368114
"Granulicatella",0,3.26110811664826e-05,0,1.71837474480089e-05,5.58778759438842e-06,3.24864221521959e-06,6.98828206433852e-05,0,0,0,2.93091416608514e-05,0,8.82850881292909e-06,0,4.53394731223482e-06,0,9.77998334106208e-05
"Haemophilus",3.77158683439612e-06,8.57355843570429e-05,0,7.97816845800415e-05,9.72932428199395e-05,5.31595998854115e-06,6.32086186718259e-05,0,0,0,0.000136078157711096,8.05896295473818e-06,0.000149046001724156,0,7.4191865109297e-06,1.23783313184161e-05,8.3514464485474e-05
"Helicobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holdemania",0.000328337587194373,0.000612904231116836,0.000441713640075436,0.000374360212260195,0.000368136594453825,0.000382749119174963,0.00097129268691986,0.000441718713940663,0,0.000341188919766211,0.000397766922540126,0.000278481942102619,0.000420133154685861,0.000216691947393863,0.000448448606882862,0.000385103641017389,0.00120546536237585
"Incertae Sedis",0.00740425355372531,0.0356318140558231,0.00272129017975552,0.0196647532700262,0.0263930929686239,0.0301908134304776,0.0287049574794444,0.00272132143860371,0,0.00396570309641307,0.0307424982554082,0.000666207604258356,0.0413137859761734,0.0204659293584251,0.0340384033580887,0.0114595840605603,0.0355941944260688
"Intestinimonas",0.00278322155118242,0.00160767370298958,0.00365588523381584,0.00235376426353322,0.00134534203669599,0.00209419290437474,0.00199087518810453,0.00365592722814719,0,0.00346529268075596,0.00156943475226797,0.00177655361135562,0.00109525441685103,0.00292013234877402,0.00176741509771481,0.0020506768884176,0.00196698541353945
"Lachnoanaerobaculum",0,3.94488885078418e-07,0,0,0,0,1.17780034792222e-06,0,0,0,0,0,0,0,0,0,1.64831179905541e-06
"Lachnospira",0.0002807736865606,0.0128448210907434,0,0.00835580176501634,0.0110625046633374,0.00719869581781614,0.00807499918535476,0,0,0.000989942344017327,0.0135533845080251,4.56674567435163e-05,0.0174518846269695,0.00030003500408381,0.00992810808270909,0,0.0113008256943239
"Lactobacillus",0.000183131494070123,0.000329266722745453,3.34156890837209e-05,0.000540469770924281,0.000260653856608824,0.000133489661934478,0.000306228090459778,3.34160729222251e-05,0,0.000582493547079126,0.000510816468946267,2.86540905057357e-05,0.000395205600390532,5.8340139682963e-05,0.000163222103240453,0.000226936074170961,0.000337903918806359
"Lactococcus",0,3.47150218869008e-05,0,2.45482106400128e-05,9.53210824925083e-06,3.5439733256941e-06,6.39938189037741e-05,0,0,0,4.18702023726448e-05,0,1.50603973867614e-05,0,4.9461243406198e-06,0,8.95582744153438e-05
"Lautropia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leuconostoc",0,2.62992590052279e-07,0,0,0,0,7.85200231948148e-07,0,0,0,0,0,0,0,0,0,1.0988745327036e-06
"Listeria",8.33939755605364e-05,1.26236443225094e-05,1.14866431225291e-05,0.000110057811036057,1.05181884129664e-05,1.50618866341999e-05,5.14306151926037e-05,1.14867750670149e-05,0,0.000204713351859727,4.32658757850663e-05,1.34316049245636e-05,8.82850881292909e-06,3.54207990932275e-05,7.00700948254472e-06,0.000180173489190278,0
"Lysobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marvinbryantia",0.00198909298994013,0.0012490833064533,0.000825994064538226,0.000947151793860493,0.00152776686698337,0.00261870095657747,0.00093085487497453,0.000826003552546253,0,0.000727869695501251,0.00110188415910677,0.000265050337178056,0.00226009825610985,0.00646950477555715,0.0010951543644189,0.00200804041387638,0.000500537349646492
"Massilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacterium",6.28597805732686e-07,0,0,0,9.86080163715603e-07,0,0,0,0,0,0,2.68632098491273e-06,0,0,0,0,0
"Mogibacterium",1.88579341719806e-06,0,0,0,0,2.65797999427058e-06,0,0,0,0,0,0,0,9.37609387761906e-06,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",2.51439122293074e-06,0,0,2.86395790800149e-06,9.86080163715603e-07,5.90662220949017e-07,0,0,0,6.9226737343869e-06,0,2.68632098491273e-06,0,2.08357641724868e-06,0,0,0
"Nevskia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nosocomiicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odoribacter",3.35252163057433e-06,0.000373843966759315,0,0.000548243370960285,0.000292537115235629,4.45949976816508e-05,0.000187662855435608,0,0,1.58232542500272e-05,0.000923935799023029,0,0.000462198402559229,0,6.22387312861325e-05,0,0.000262631013316162
"Oribacterium",0,3.94488885078418e-07,0,0,0,0,1.17780034792222e-06,0,0,0,0,0,0,0,0,0,1.64831179905541e-06
"Oscillibacter",0.00428347498086444,0.0056166012494515,0.00678129640342761,0.0120928576981143,0.00324420373862433,0.00180092911167355,0.00437238749160327,0.00678137429865406,0,0.00821029104898286,0.0148325191905094,0.00329611584848791,0.00321409653195401,0.00116576100545064,0.00205222942432883,0.0011649385140776,0.00565370947076005
"Oscillospira",0.000387216248331335,1.2229155437431e-05,0.000487660212565552,0.000213160295724111,0.000189984778209206,6.76308242986625e-05,5.73196169322148e-05,0.000487665814208723,0,0.000479642394453949,2.51221214235869e-05,0.000508610106476809,5.19324047819358e-06,0.000233360558731852,2.06088514192492e-06,0.00014303849523503,2.30763651867757e-05
"other",0.0462034054495658,0.101351558369167,0.0469062293109894,0.0748274465360429,0.0786073524109167,0.0907649961754621,0.0851820545627789,0.0469067681122947,0,0.0336224373745265,0.103903000697837,0.0289818216658951,0.107388423228326,0.0757567549547447,0.0967029135145428,0.0502092625677886,0.0991530973976453
"Paenibacillus",0,1.31496295026139e-06,0,4.09136844000213e-06,0,0,0,0,0,0,6.97836706210747e-06,0,0,0,0,0,0
"Papillibacter",0,4.86536291596716e-05,0,0,1.4791202455734e-05,6.88121487405605e-05,3.61192106696148e-05,0,0,0,0,0,2.33695821518711e-05,0,9.60372476137011e-05,0,5.05482285043658e-05
"Parabacteroides",0.00532087089292528,0.0113903405714592,0.00669775718071831,0.0117909147072421,0.0130833116121786,0.0039482816159337,0.00926889613803192,0.0066978341163485,0,0.00589020639457262,0.0159546406140963,0.0054039823813161,0.0175370537708119,0.00188563665761005,0.00476435427110202,0.0071230419886752,0.0101261288188637
"Paracoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella",0.00214938543040197,5.25985180104558e-07,0.00262522007363982,0.00110385120511257,0.00103834241239253,0.000305372368230642,0.000336458299389782,0.00262525022895231,0,0.00266424043434833,2.79134682484299e-06,0.0028286959971131,0,0.00107720900771757,0,0.00117869221554251,0
"Pediococcus",2.51439122293074e-06,1.3149629502614e-07,1.04424028386628e-06,8.18273688000426e-07,0,0,3.92600115974074e-06,0,0.0909090909090909,1.9779067812534e-06,0,0,0,0,0,1.37537014649067e-05,0
"Pedobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus",0,2.62992590052279e-07,0,0,0,0,7.85200231948148e-07,0,0,0,0,0,0,0,0,0,1.0988745327036e-06
"Phascolarctobacterium",0.000213723253949113,0.00506050341778595,0.000191095971947529,0.00377019601746196,0.0017571948517412,0.00244740891250225,0.00646730171044093,0.000191098167023975,0,0.000336244152813078,0.00619330076762038,0.000168342781721197,0.00267867343865225,0.000254196322904339,0.00331513983930042,8.93990595218938e-05,0.00901516666630038
"Phenylobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas",0,1.84094813036595e-06,0,0,3.94432065486241e-06,0,7.85200231948148e-07,0,0,0,0,0,6.2318885738323e-06,0,0,0,1.0988745327036e-06
"Prevotella",9.42896708599029e-06,9.73072583193432e-06,1.67078445418605e-05,8.18273688000425e-06,1.4791202455734e-05,3.83930443616861e-06,9.81500289935186e-06,1.67080364611126e-05,0,0,1.39567341242149e-05,1.52224855811721e-05,1.4541073338942e-05,4.16715283449736e-06,3.70959325546485e-06,1.10029611719254e-05,9.34043352798064e-06
"Propionibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudobutyrivibrio",0.0101841225832772,0.0616369158490775,0.00950571930403474,0.0492833968177336,0.0327901236840349,0.0454668151197715,0.0526351123484122,0.00950582849409423,0,0.00829435208718613,0.0782065596650384,0.00380472595496472,0.0496006398072269,0.0215358458486823,0.0549349543431506,0.00851766731721675,0.0702592904347367
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter",0.000332109174028769,0,0.000347732014527471,0.000185748127176097,0.000148898104721056,4.48903287921253e-05,7.57718223829963e-05,0.000347736008846905,0,0.000448984839344522,0,0.000405634468721822,0,0.0001583518077109,0,0.0002654464382727,0
"Ralstonia",4.6097172420397e-06,9.20474065182976e-07,0,9.00101056800468e-06,0,2.06731777332156e-06,0,0,0,2.17569745937874e-05,0,0,0,0,2.88523919869488e-06,0,0
"Rhizobium",1.04766300955448e-06,0,0,2.04568422000106e-06,0,0,0,0,0,4.9447669531335e-06,0,0,0,0,0,0,0
"Roseburia",0.000463695648028812,0.0142904913582607,1.56636042579942e-05,0.00839466976519637,0.00916495773496072,0.00943819162854434,0.0119801925389489,1.5663784182293e-05,0,0.000665565631891769,0.0138485694347523,2.2386008207606e-05,0.0144673293241517,0.00156268231293651,0.0125540879305498,0,0.0167660781827253
"Rothia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubellimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus",0.0387798748964647,0.131506420240857,0.0196588675840666,0.0435955764124427,0.0489243673227496,0.221199162440971,0.0635784479810735,0.0196590934010566,0,0.0203022241561755,0.0600321004884857,0.00943167297802858,0.0718287477019911,0.0974967912923174,0.270141236580546,0.057220899574598,0.0661181817582432
"Salinarimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scardovia",0,2.62992590052279e-07,0,0,0,0,7.85200231948148e-07,0,0,0,0,0,0,0,0,0,1.0988745327036e-06
"Sediminibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solobacterium",0,1.57795554031367e-06,0,0,0,0,4.71120139168889e-06,0,0,0,0,0,0,0,0,0,6.59324719622163e-06
"Sphingomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",9.32420078503485e-05,2.95866663808814e-05,2.6106007096657e-05,0.000122331916356064,3.12258718509941e-05,3.10097665998234e-05,5.73196169322148e-05,2.61063069704884e-05,0,0.00021262497898474,5.86182833217027e-05,3.13404114906485e-05,3.11594428691615e-05,5.10476222225926e-05,2.30819135895591e-05,0.000166419787725372,1.37359316587951e-05
"Stomatobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0.00021288512354147,0.00605974376368959,1.46193639741279e-05,0.00358567530081786,0.00412806025870142,0.00236678351934271,0.00696786685830787,1.46195319034735e-05,0,0.000266028462078582,0.00592812281926029,2.86540905057357e-05,0.0065055723470331,0.000730293534245662,0.00301425060857938,0,0.00975141260321179
"Subdoligranulum",0.00544805718228519,0.0567585347999027,0.00272024593947166,0.0180024302728534,0.0255992984368329,0.0333127585993036,0.0865098281550032,0.00272027718632489,0,0.00277302530731727,0.0287487787857641,0.00190728789928804,0.039339835270412,0.0165717250345874,0.0399362444572494,0.00351407072428367,0.119665238862357
"Succiniclasticum",0.0104322091839397,0,0.010971832662583,0.00472757623242246,0.00512432991744208,0.00155048832999117,0.00270344439859748,0.0109719586935569,0,0.0114273564286915,0,0.0139599147182631,0,0.00546938809527778,0,0.00947079882873478,0
"Sutterella",6.28597805732686e-07,0,0,0,0,8.85993331423525e-07,0,0,0,0,0,0,0,3.12536462587302e-06,0,0,0
"Synergistes",3.35252163057433e-06,0,3.13272085159884e-06,0,1.643466939526e-06,1.18132444189803e-06,1.5704004638963e-06,3.13275683645861e-06,0,0,0,4.47720164152121e-06,0,4.16715283449736e-06,0,5.5014805859627e-06,0
"Thalassospira",1.15242931050992e-05,0,1.14866431225291e-05,1.39106526960072e-05,2.30085371533641e-06,0,1.17780034792222e-06,1.14867750670149e-05,0,3.36244152813078e-05,0,6.26808229812969e-06,0,0,0,4.12611043947202e-06,0
"Treponema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter",0,1.98559405489471e-05,0,4.09136844000213e-06,3.45128057300461e-05,8.56460220376075e-06,2.74820081181852e-06,0,0,0,6.97836706210747e-06,0,5.45290250210326e-05,0,1.19531338231645e-05,0,3.84606086446262e-06
"uncultured",0.114686412460317,0.0744083620071963,0.123700704026799,0.0848758474246881,0.0826371333466345,0.0786339754816112,0.105854413669394,0.123697947939847,0.363636363636364,0.106616098183293,0.0695352407536636,0.0782453667678813,0.0851842042397615,0.138797443035021,0.0548306735549692,0.138182063247772,0.0929400607897392
"Veillonella",0,3.52410070670054e-05,0,2.33208001080121e-05,2.30085371533641e-05,5.90662220949017e-06,4.7504614032863e-05,0,0,0,3.97766922540126e-05,0,3.63526833473551e-05,0,8.24354056769966e-06,0,6.64819092285681e-05
"Weissella",1.04766300955448e-06,5.07575698800898e-05,0,4.9914694968026e-05,2.33372305412693e-05,9.45059553518427e-06,6.51716192516963e-05,0,0,0,8.51360781577111e-05,0,3.68720073951744e-05,5.2089410431217e-06,1.11287797663945e-05,0,9.12065862143992e-05
"uncultured bacterium",4.4001846401288e-06,0,5.22120141933139e-06,5.72791581600298e-06,6.57386775810402e-07,0,0,5.22126139409768e-06,0,1.38453474687738e-05,0,1.79088065660848e-06,0,0,0,0,0
