,Qiagen DSP Virus,Zymo MagBead DNone Kit,MagAttract PowerMag Soil,MagAttract PowerMag Microbiome,Qiagen QIAamp  Modified,Qiagen DSP Virus - Art.Col,Qiagen DSP Virus - Zymo.Ext,Zymo MagBead DNone Kit - Art.Col,Zymo MagBead DNone Kit - Zymo.Ext,MagAttract PowerMag Soil - Art.Col,MagAttract PowerMag Soil - Zymo.Ext,MagAttract PowerMag Microbiome - Art.Col,MagAttract PowerMag Microbiome - Zymo.Ext,Qiagen QIAamp  Modified - Art.Col,Qiagen QIAamp  Modified - Zymo.Ext
Papillibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracoccus,0,1.66E-06,0,0,0,0,0,0,2.67E-06,0,0,0,0,0,0
Parasutterella,0,3.87E-06,0,0,2.44E-05,0,0,1.02E-05,0,0,0,0,0,5.48E-05,0
Pedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptoniphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phascolarctobacterium,1.12E-05,0.000149692,0,0.000109627,3.67E-05,2.87E-05,0,0.000329028,4.01E-05,0,0,0.000224411,0,7.17E-05,8.48E-06
Phenylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella,1.37E-05,1.10E-06,1.21E-05,3.25E-05,0,0,2.24E-05,0,1.78E-06,1.68E-05,9.04E-06,6.65E-05,0,0,0
Pseudobutyrivibrio,0.00038156,0.002896079,0.000203345,0.010257859,0.001027679,0.000905684,4.68E-05,0.005254262,0.001454373,0.000106499,0.000265835,0.020795377,0.000193691,0.001876936,0.000344427
Rhizobium,0,2.21E-06,0,0,0,0,0,5.82E-06,0,0,0,0,0,0,0
Roseburia,9.94E-06,0.000333079,3.30E-06,0.001231073,0.000141036,2.55E-05,0,0.000628939,0.000152202,0,5.43E-06,0.002508411,1.11E-05,0.000303684,1.02E-05
Rothia,0,0,0,0,1.60E-05,0,0,0,0,0,0,0,0,3.59E-05,0
Rubellimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus,0.000668662,0.002822061,0.000224229,0.021268492,0.002592233,0.001476521,0.000152744,0.004565632,0.001756107,8.69E-05,0.000312854,0.042872389,0.000635052,0.004977044,0.000673583
Salinarimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scardovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sediminibacterium,0,0,0,0,2.82E-06,0,0,0,0,0,0,0,0,6.33E-06,0
Solobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomatobaculum,0,1.10E-06,0,0,0,0,0,0,1.78E-06,0,0,0,0,0,0
Streptococcus,1.74E-05,0.000108265,1.65E-05,0.000591175,9.40E-05,4.46E-05,0,0.000181985,6.32E-05,0,2.71E-05,0.001198519,1.11E-05,0.000187694,1.87E-05
Succiniclasticum,0,1.66E-06,0,0,6.49E-05,0,0,0,2.67E-06,0,0,0,0,0.000145515,0
Sutterella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synergistes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treponema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turicibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured,0.000109372,0.002315537,0.000185758,0.005895508,0.002417348,0.000264689,1.02E-05,0.00448847,0.000987087,0,0.00030562,0.011996822,6.83E-05,0.005048748,0.000300313
Veillonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weissella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
