Genus,Obs_Per,Sample,Kit,Type
Listeria,0.052603629,SC249408.PC04924.C05,MagAttract PowerMag Soil,Zymo.Ext
Listeria,0.199316345,SC249432.PC04924.A08,MagAttract PowerMag Microbiome,Zymo.Ext
Listeria,0.111494458,SC253181.PC04925.G05,Qiagen QIAamp  Modified,Zymo.Ext
Pseudomo0s,0,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext
Pseudomo0s,0,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext
Pseudomo0s,0,SC249408.PC04924.C05,MagAttract PowerMag Soil,Zymo.Ext
Pseudomo0s,0,SC249432.PC04924.A08,MagAttract PowerMag Microbiome,Zymo.Ext
Pseudomo0s,0,SC253181.PC04925.G05,Qiagen QIAamp  Modified,Zymo.Ext
Salmonella,0,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext
Salmonella,0,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext
Salmonella,0,SC249408.PC04924.C05,MagAttract PowerMag Soil,Zymo.Ext
Salmonella,0,SC249432.PC04924.A08,MagAttract PowerMag Microbiome,Zymo.Ext
Salmonella,0,SC253181.PC04925.G05,Qiagen QIAamp  Modified,Zymo.Ext
Staphylococcus,0.058657871,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext
Staphylococcus,0.088003925,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext
Staphylococcus,0.039069612,SC249408.PC04924.C05,MagAttract PowerMag Soil,Zymo.Ext
Staphylococcus,0.204113669,SC249432.PC04924.A08,MagAttract PowerMag Microbiome,Zymo.Ext
Staphylococcus,0.061237344,SC253181.PC04925.G05,Qiagen QIAamp  Modified,Zymo.Ext
Lactobacillus,0.157797643,SC249362.PC07578.H08,Qiagen DSP Virus,Zymo.Ext
Lactobacillus,0.220496894,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext
Lactobacillus,0.152418015,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext
Lactobacillus,0.06092747,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext
Lactobacillus,0.201002763,SC253181.PC07578.G05,Qiagen QIAamp  Modified,Zymo.Ext
Enterococcus,0.105460343,SC249362.PC07578.H08,Qiagen DSP Virus,Zymo.Ext
Enterococcus,0.050578835,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext
Enterococcus,0.032963145,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext
Enterococcus,0.082102635,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext
Enterococcus,0.076987619,SC253181.PC07578.G05,Qiagen QIAamp  Modified,Zymo.Ext
Escherichia-Shigella,0.182360645,SC249362.PC07578.H08,Qiagen DSP Virus,Zymo.Ext
Escherichia-Shigella,0.227889074,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext
Escherichia-Shigella,0.233187719,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext
Escherichia-Shigella,0.107313566,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext
Escherichia-Shigella,0.1546608,SC253181.PC07578.G05,Qiagen QIAamp  Modified,Zymo.Ext
Bacillus,0.179502363,SC249362.PC07578.H08,Qiagen DSP Virus,Zymo.Ext
Bacillus,0.05705246,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext
Bacillus,0.058635329,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext
Bacillus,0.183539115,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext
Bacillus,0.103305024,SC253181.PC07578.G05,Qiagen QIAamp  Modified,Zymo.Ext
Listeria,0.084381939,SC249362.PC07578.H08,Qiagen DSP Virus,Zymo.Ext
Listeria,0.059472779,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext
Listeria,0.043145881,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext
Listeria,0.189794554,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext
Listeria,0.121293359,SC253181.PC07578.G05,Qiagen QIAamp  Modified,Zymo.Ext
Pseudomo0s,0,SC249362.PC07578.H08,Qiagen DSP Virus,Zymo.Ext
Pseudomo0s,0,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext
Pseudomo0s,0,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext
Pseudomo0s,0,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext
Pseudomo0s,0,SC253181.PC07578.G05,Qiagen QIAamp  Modified,Zymo.Ext
Salmonella,0,SC249362.PC07578.H08,Qiagen DSP Virus,Zymo.Ext
Salmonella,0,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext
Salmonella,0,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext
Salmonella,0,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext
Salmonella,0,SC253181.PC07578.G05,Qiagen QIAamp  Modified,Zymo.Ext
Staphylococcus,0.073643455,SC249362.PC07578.H08,Qiagen DSP Virus,Zymo.Ext
Staphylococcus,0.072740793,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext
Staphylococcus,0.04236141,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext
Staphylococcus,0.1779521,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext
Staphylococcus,0.067205566,SC253181.PC07578.G05,Qiagen QIAamp  Modified,Zymo.Ext
Lactobacillus,0.184932161,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext
Lactobacillus,0.197578761,SC249391.PC04925.H01,Zymo MagBead DNone Kit,Zymo.Ext
Lactobacillus,0.160509,SC249408.PC07578.E02,MagAttract PowerMag Soil,Zymo.Ext
Lactobacillus,0.050158468,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext
Lactobacillus,0.16605398,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext
Enterococcus,0.065879992,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext
Enterococcus,0.042647788,SC249391.PC04925.H01,Zymo MagBead DNone Kit,Zymo.Ext
Enterococcus,0.035460993,SC249408.PC07578.E02,MagAttract PowerMag Soil,Zymo.Ext
Enterococcus,0.107334033,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext
Enterococcus,0.067107011,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext
Escherichia-Shigella,0.245700363,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext
Escherichia-Shigella,0.235879646,SC249391.PC04925.H01,Zymo MagBead DNone Kit,Zymo.Ext
Escherichia-Shigella,0.222405715,SC249408.PC07578.E02,MagAttract PowerMag Soil,Zymo.Ext
Escherichia-Shigella,0.092769846,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext
Escherichia-Shigella,0.159164216,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext
Bacillus,0.085037264,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext
Bacillus,0.057061947,SC249391.PC04925.H01,Zymo MagBead DNone Kit,Zymo.Ext
Bacillus,0.057275264,SC249408.PC07578.E02,MagAttract PowerMag Soil,Zymo.Ext
Bacillus,0.17947658,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext
Bacillus,0.137024476,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext
Listeria,0.064542328,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext
Listeria,0.061522124,SC249391.PC04925.H01,Zymo MagBead DNone Kit,Zymo.Ext
Listeria,0.044537471,SC249408.PC07578.E02,MagAttract PowerMag Soil,Zymo.Ext
Listeria,0.188793844,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext
Listeria,0.118240679,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext
Pseudomo0s,0,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext
Pseudomo0s,0,SC249391.PC04925.H01,Zymo MagBead DNone Kit,Zymo.Ext
Pseudomo0s,0,SC249408.PC07578.E02,MagAttract PowerMag Soil,Zymo.Ext
Pseudomo0s,0,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext
Pseudomo0s,0,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext
Salmonella,0,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext
Salmonella,0,SC249391.PC04925.H01,Zymo MagBead DNone Kit,Zymo.Ext
Salmonella,0,SC249408.PC07578.E02,MagAttract PowerMag Soil,Zymo.Ext
Salmonella,0,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext
Salmonella,0,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext
Staphylococcus,0.042916746,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext
Staphylococcus,0.078230088,SC249391.PC04925.H01,Zymo MagBead DNone Kit,Zymo.Ext
Staphylococcus,0.046688174,SC249408.PC07578.E02,MagAttract PowerMag Soil,Zymo.Ext
Staphylococcus,0.204948008,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext
Staphylococcus,0.072051987,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext
Lactobacillus,0.193306182,SC249368.PC07578.C10,Qiagen DSP Virus,Zymo.Ext
Lactobacillus,0.142678853,SC249395.PC04924.H03,Zymo MagBead DNone Kit,Zymo.Ext
Lactobacillus,0.201089178,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext
Lactobacillus,0.052905321,SC249437.PC04925.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Lactobacillus,0.115459736,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext
Enterococcus,0.068703008,SC249368.PC07578.C10,Qiagen DSP Virus,Zymo.Ext
Enterococcus,0.046972311,SC249395.PC04924.H03,Zymo MagBead DNone Kit,Zymo.Ext
Enterococcus,0.036606477,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext
Enterococcus,0.088913962,SC249437.PC04925.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Enterococcus,0.102154072,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext
Escherichia-Shigella,0.223517126,SC249368.PC07578.C10,Qiagen DSP Virus,Zymo.Ext
Escherichia-Shigella,0.262942163,SC249395.PC04924.H03,Zymo MagBead DNone Kit,Zymo.Ext
Escherichia-Shigella,0.207749273,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext
Escherichia-Shigella,0.116446744,SC249437.PC04925.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Escherichia-Shigella,0.139911358,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext
Bacillus,0.107758981,SC249368.PC07578.C10,Qiagen DSP Virus,Zymo.Ext
Bacillus,0.047547382,SC249395.PC04924.H03,Zymo MagBead DNone Kit,Zymo.Ext
Bacillus,0.052174749,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext
Bacillus,0.158839798,SC249437.PC04925.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Bacillus,0.110586313,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext
Listeria,0.079333751,SC249368.PC07578.C10,Qiagen DSP Virus,Zymo.Ext
Listeria,0.076570128,SC249395.PC04924.H03,Zymo MagBead DNone Kit,Zymo.Ext
Listeria,0.054663268,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext
Listeria,0.143704336,SC249437.PC04925.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Listeria,0.157949594,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext
Pseudomo0s,0,SC249368.PC07578.C10,Qiagen DSP Virus,Zymo.Ext
Pseudomo0s,0,SC249395.PC04924.H03,Zymo MagBead DNone Kit,Zymo.Ext
Pseudomo0s,0,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext
Pseudomo0s,0,SC249437.PC04925.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Pseudomo0s,0,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext
Salmonella,0,SC249368.PC07578.C10,Qiagen DSP Virus,Zymo.Ext
Salmonella,0,SC249395.PC04924.H03,Zymo MagBead DNone Kit,Zymo.Ext
Salmonella,0,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext
Salmonella,0,SC249437.PC04925.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Salmonella,0,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext
Staphylococcus,0.069298246,SC249368.PC07578.C10,Qiagen DSP Virus,Zymo.Ext
Staphylococcus,0.067772761,SC249395.PC04924.H03,Zymo MagBead DNone Kit,Zymo.Ext
Staphylococcus,0.041355101,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext
Staphylococcus,0.232852209,SC249437.PC04925.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Staphylococcus,0.145207332,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext
Lactobacillus,0.165785284,SC253844.PC04924.G10,Qiagen DSP Virus,Zymo.Ext
Lactobacillus,0.139038754,SC249404.PC04924.H04,Zymo MagBead DNone Kit,Zymo.Ext
Lactobacillus,0.182352047,SC249420.PC04924.G06,MagAttract PowerMag Soil,Zymo.Ext
Lactobacillus,0.060489214,SC249437.PC07578.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Lactobacillus,0.105825935,SC253196.PC04925.F07,Qiagen QIAamp  Modified,Zymo.Ext
Enterococcus,0.039645517,SC253844.PC04924.G10,Qiagen DSP Virus,Zymo.Ext
Enterococcus,0.04554023,SC249404.PC04924.H04,Zymo MagBead DNone Kit,Zymo.Ext
Enterococcus,0.027572734,SC249420.PC04924.G06,MagAttract PowerMag Soil,Zymo.Ext
Enterococcus,0.088621207,SC249437.PC07578.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Enterococcus,0.085606895,SC253196.PC04925.F07,Qiagen QIAamp  Modified,Zymo.Ext
Escherichia-Shigella,0.248483094,SC253844.PC04924.G10,Qiagen DSP Virus,Zymo.Ext
Escherichia-Shigella,0.255963911,SC249404.PC04924.H04,Zymo MagBead DNone Kit,Zymo.Ext
Escherichia-Shigella,0.234760128,SC249420.PC04924.G06,MagAttract PowerMag Soil,Zymo.Ext
Escherichia-Shigella,0.111724198,SC249437.PC07578.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Escherichia-Shigella,0.1460696,SC253196.PC04925.F07,Qiagen QIAamp  Modified,Zymo.Ext
Bacillus,0.078400374,SC253844.PC04924.G10,Qiagen DSP Virus,Zymo.Ext
Bacillus,0.050103353,SC249404.PC04924.H04,Zymo MagBead DNone Kit,Zymo.Ext
Bacillus,0.062281389,SC249420.PC04924.G06,MagAttract PowerMag Soil,Zymo.Ext
Bacillus,0.135783025,SC249437.PC07578.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Bacillus,0.160661439,SC253196.PC04925.F07,Qiagen QIAamp  Modified,Zymo.Ext
Listeria,0.062925151,SC253844.PC04924.G10,Qiagen DSP Virus,Zymo.Ext
Listeria,0.09517557,SC249404.PC04924.H04,Zymo MagBead DNone Kit,Zymo.Ext
Listeria,0.056139817,SC249420.PC04924.G06,MagAttract PowerMag Soil,Zymo.Ext
Listeria,0.153151,SC249437.PC07578.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Listeria,0.149925475,SC253196.PC04925.F07,Qiagen QIAamp  Modified,Zymo.Ext
Pseudomo0s,0,SC253844.PC04924.G10,Qiagen DSP Virus,Zymo.Ext
Pseudomo0s,0,SC249404.PC04924.H04,Zymo MagBead DNone Kit,Zymo.Ext
Pseudomo0s,0,SC249420.PC04924.G06,MagAttract PowerMag Soil,Zymo.Ext
Pseudomo0s,0,SC249437.PC07578.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Pseudomo0s,0,SC253196.PC04925.F07,Qiagen QIAamp  Modified,Zymo.Ext
Salmonella,0,SC253844.PC04924.G10,Qiagen DSP Virus,Zymo.Ext
Salmonella,0,SC249404.PC04924.H04,Zymo MagBead DNone Kit,Zymo.Ext
Salmonella,0,SC249420.PC04924.G06,MagAttract PowerMag Soil,Zymo.Ext
Salmonella,0,SC249437.PC07578.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Salmonella,0,SC253196.PC04925.F07,Qiagen QIAamp  Modified,Zymo.Ext
Staphylococcus,0.060854366,SC253844.PC04924.G10,Qiagen DSP Virus,Zymo.Ext
Staphylococcus,0.065469768,SC249404.PC04924.H04,Zymo MagBead DNone Kit,Zymo.Ext
Staphylococcus,0.034509786,SC249420.PC04924.G06,MagAttract PowerMag Soil,Zymo.Ext
Staphylococcus,0.246258119,SC249437.PC07578.F04,MagAttract PowerMag Microbiome,Zymo.Ext
Staphylococcus,0.098146588,SC253196.PC04925.F07,Qiagen QIAamp  Modified,Zymo.Ext
Lactobacillus,0.146166928,SC253854.PC04924.H11,Qiagen DSP Virus,Zymo.Ext
Lactobacillus,0.168548016,SC304092.PC07578.A03,Zymo MagBead DNone Kit,Zymo.Ext
Lactobacillus,0.192399962,SC249420.PC07578.H07,MagAttract PowerMag Soil,Zymo.Ext
Lactobacillus,0.045425492,SC249442.PC04924.C09,MagAttract PowerMag Microbiome,Zymo.Ext
Lactobacillus,0.118658709,SC253196.PC07578.F07,Qiagen QIAamp  Modified,Zymo.Ext
Enterococcus,0.057070919,SC253854.PC04924.H11,Qiagen DSP Virus,Zymo.Ext
Enterococcus,0.054837516,SC304092.PC07578.A03,Zymo MagBead DNone Kit,Zymo.Ext
Enterococcus,0.043297188,SC249420.PC07578.H07,MagAttract PowerMag Soil,Zymo.Ext
Enterococcus,0.109082193,SC249442.PC04924.C09,MagAttract PowerMag Microbiome,Zymo.Ext
Enterococcus,0.087266373,SC253196.PC07578.F07,Qiagen QIAamp  Modified,Zymo.Ext
Escherichia-Shigella,0.206694348,SC253854.PC04924.H11,Qiagen DSP Virus,Zymo.Ext
Escherichia-Shigella,0.209295026,SC304092.PC07578.A03,Zymo MagBead DNone Kit,Zymo.Ext
Escherichia-Shigella,0.205565685,SC249420.PC07578.H07,MagAttract PowerMag Soil,Zymo.Ext
Escherichia-Shigella,0.120819896,SC249442.PC04924.C09,MagAttract PowerMag Microbiome,Zymo.Ext
Escherichia-Shigella,0.140980839,SC253196.PC07578.F07,Qiagen QIAamp  Modified,Zymo.Ext
Bacillus,0.115146763,SC253854.PC04924.H11,Qiagen DSP Virus,Zymo.Ext
Bacillus,0.101189342,SC304092.PC07578.A03,Zymo MagBead DNone Kit,Zymo.Ext
Bacillus,0.069216006,SC249420.PC07578.H07,MagAttract PowerMag Soil,Zymo.Ext
Bacillus,0.192204887,SC249442.PC04924.C09,MagAttract PowerMag Microbiome,Zymo.Ext
Bacillus,0.149216664,SC253196.PC07578.F07,Qiagen QIAamp  Modified,Zymo.Ext
Listeria,0.077058992,SC253854.PC04924.H11,Qiagen DSP Virus,Zymo.Ext
Listeria,0.078411371,SC304092.PC07578.A03,Zymo MagBead DNone Kit,Zymo.Ext
Listeria,0.063295269,SC249420.PC07578.H07,MagAttract PowerMag Soil,Zymo.Ext
Listeria,0.147142567,SC249442.PC04924.C09,MagAttract PowerMag Microbiome,Zymo.Ext
Listeria,0.161280823,SC253196.PC07578.F07,Qiagen QIAamp  Modified,Zymo.Ext
Pseudomo0s,0,SC253854.PC04924.H11,Qiagen DSP Virus,Zymo.Ext
Pseudomo0s,0,SC304092.PC07578.A03,Zymo MagBead DNone Kit,Zymo.Ext
Pseudomo0s,0,SC249420.PC07578.H07,MagAttract PowerMag Soil,Zymo.Ext
Pseudomo0s,0,SC249442.PC04924.C09,MagAttract PowerMag Microbiome,Zymo.Ext
Pseudomo0s,0,SC253196.PC07578.F07,Qiagen QIAamp  Modified,Zymo.Ext
Salmonella,0,SC253854.PC04924.H11,Qiagen DSP Virus,Zymo.Ext
Salmonella,0,SC304092.PC07578.A03,Zymo MagBead DNone Kit,Zymo.Ext
Salmonella,0,SC249420.PC07578.H07,MagAttract PowerMag Soil,Zymo.Ext
Salmonella,0,SC249442.PC04924.C09,MagAttract PowerMag Microbiome,Zymo.Ext
Salmonella,0,SC253196.PC07578.F07,Qiagen QIAamp  Modified,Zymo.Ext
Staphylococcus,0.10661042,SC253854.PC04924.H11,Qiagen DSP Virus,Zymo.Ext
Staphylococcus,0.106569965,SC304092.PC07578.A03,Zymo MagBead DNone Kit,Zymo.Ext
Staphylococcus,0.039334037,SC249420.PC07578.H07,MagAttract PowerMag Soil,Zymo.Ext
Staphylococcus,0.158110346,SC249442.PC04924.C09,MagAttract PowerMag Microbiome,Zymo.Ext
Staphylococcus,0.104788362,SC253196.PC07578.F07,Qiagen QIAamp  Modified,Zymo.Ext
