"","Genus","value","Type"
"55","Defluviitaleaceae UCG-011","NA","PC04924-MSA1000_Diff"
"56","Dialister","NA","PC04924-MSA1000_Diff"
"57","Dorea","NA","PC04924-MSA1000_Diff"
"58","Eisenbergiella","NA","PC04924-MSA1000_Diff"
"59","Enterobacter","NA","PC04924-MSA1000_Diff"
"60","Erwinia","NA","PC04924-MSA1000_Diff"
"61","Erysipelatoclostridium","NA","PC04924-MSA1000_Diff"
"62","Erysipelotrichaceae UCG-003","NA","PC04924-MSA1000_Diff"
"63","Faecalibacterium","NA","PC04924-MSA1000_Diff"
"64","Family XIII AD3011 group","NA","PC04924-MSA1000_Diff"
"65","Flavonifractor","NA","PC04924-MSA1000_Diff"
"66","Fusicatenibacter","NA","PC04924-MSA1000_Diff"
"67","Gordonibacter","NA","PC04924-MSA1000_Diff"
"68","Gossypium arboreum","NA","PC04924-MSA1000_Diff"
"69","Holdemania","NA","PC04924-MSA1000_Diff"
"70","Hungatella","NA","PC04924-MSA1000_Diff"
"71","Intestinibacter","NA","PC04924-MSA1000_Diff"
"72","Intestinimonas","NA","PC04924-MSA1000_Diff"
"73","Kluyvera","NA","PC04924-MSA1000_Diff"
"74","Lachnospira","NA","PC04924-MSA1000_Diff"
"75","Lachnospiraceae FCS020 group","NA","PC04924-MSA1000_Diff"
"76","Lachnospiraceae ND3007 group","NA","PC04924-MSA1000_Diff"
"77","Lachnospiraceae NK4A136 group","NA","PC04924-MSA1000_Diff"
"78","Lachnospiraceae UCG-001","NA","PC04924-MSA1000_Diff"
"79","Lachnospiraceae UCG-004","NA","PC04924-MSA1000_Diff"
"80","Lachnospiraceae UCG-008","NA","PC04924-MSA1000_Diff"
"81","Lactonifactor","NA","PC04924-MSA1000_Diff"
"82","Marvinbryantia","NA","PC04924-MSA1000_Diff"
"83","Odoribacter","NA","PC04924-MSA1000_Diff"
"84","Oryza sativa Indica Group (long-grained rice)","NA","PC04924-MSA1000_Diff"
"85","Other","NA","PC04924-MSA1000_Diff"
"86","Oxalobacter","NA","PC04924-MSA1000_Diff"
"87","Parasutterella","NA","PC04924-MSA1000_Diff"
"88","Phascolarctobacterium","NA","PC04924-MSA1000_Diff"
"89","Porphyromonas","NA","PC04924-MSA1000_Diff"
"90","Raoultella","NA","PC04924-MSA1000_Diff"
"91","Roseburia","NA","PC04924-MSA1000_Diff"
"92","Ruminiclostridium","NA","PC04924-MSA1000_Diff"
"93","Ruminiclostridium 5","NA","PC04924-MSA1000_Diff"
"94","Ruminiclostridium 9","NA","PC04924-MSA1000_Diff"
"95","Ruminococcaceae NK4A214 group","NA","PC04924-MSA1000_Diff"
"96","Ruminococcaceae UCG-002","NA","PC04924-MSA1000_Diff"
"97","Ruminococcaceae UCG-003","NA","PC04924-MSA1000_Diff"
"98","Ruminococcaceae UCG-004","NA","PC04924-MSA1000_Diff"
"99","Ruminococcaceae UCG-005","NA","PC04924-MSA1000_Diff"
"100","Ruminococcaceae UCG-013","NA","PC04924-MSA1000_Diff"
"101","Ruminococcaceae UCG-014","NA","PC04924-MSA1000_Diff"
"102","Ruminococcus 1","NA","PC04924-MSA1000_Diff"
"103","Ruminococcus 2","NA","PC04924-MSA1000_Diff"
"104","Sellimonas","NA","PC04924-MSA1000_Diff"
"105","Serratia","NA","PC04924-MSA1000_Diff"
"106","Succiniclasticum","NA","PC04924-MSA1000_Diff"
"107","Tyzzerella","NA","PC04924-MSA1000_Diff"
"108","Tyzzerella 3","NA","PC04924-MSA1000_Diff"
"109","Acinetobacter","NA","PC04924-MSA1001_Diff"
"110","Actinomyces","NA","PC04924-MSA1001_Diff"
"111","Alistipes","NA","PC04924-MSA1001_Diff"
"112","Anaerostipes","NA","PC04924-MSA1001_Diff"
"113","Bacteroides","NA","PC04924-MSA1001_Diff"
"114","Bifidobacterium","65.1800462504129","PC04924-MSA1001_Diff"
"115","Bilophila","NA","PC04924-MSA1001_Diff"
"116","Clostridium",NA,"PC04924-MSA1001_Diff"
"117","Lachnoclostridium","NA","PC04924-MSA1001_Diff"
"118","Collinsella","NA","PC04924-MSA1001_Diff"
"119","Coprobacillus","NA","PC04924-MSA1001_Diff"
"120","Cryptococcus","NA","PC04924-MSA1001_Diff"
"121","Deinococcus","-61.8815277883662","PC04924-MSA1001_Diff"
"122","Enterococcus","NA","PC04924-MSA1001_Diff"
"123","Fusobacterium","NA","PC04924-MSA1001_Diff"
"124","Helicobacter","NA","PC04924-MSA1001_Diff"
"125","Listeria","NA","PC04924-MSA1001_Diff"
"126","Neisseria","NA","PC04924-MSA1001_Diff"
"127","Paenibacillus","NA","PC04924-MSA1001_Diff"
"128","Parabacteroides","NA","PC04924-MSA1001_Diff"
"129","Pediococcus","NA","PC04924-MSA1001_Diff"
"130","Porphyromonadaceae","NA","PC04924-MSA1001_Diff"
"131","Propionibacterium","NA","PC04924-MSA1001_Diff"
"132","Pseudomonas","NA","PC04924-MSA1001_Diff"
"133","Pyramidobacter","NA","PC04924-MSA1001_Diff"
"134","Ralstonia","NA","PC04924-MSA1001_Diff"
"135","Rhodobacter","-85.3643680461808","PC04924-MSA1001_Diff"
"136","Saccharomyces","NA","PC04924-MSA1001_Diff"
"137","Salmonella","NA","PC04924-MSA1001_Diff"
"138","Streptococcus","NA","PC04924-MSA1001_Diff"
"139","Subdoligranulum","NA","PC04924-MSA1001_Diff"
"140","[Clostridium] innocuum group","NA","PC04924-MSA1001_Diff"
"141","[Eubacterium] coprostanoligenes group","NA","PC04924-MSA1001_Diff"
"142","[Eubacterium] eligens group","NA","PC04924-MSA1001_Diff"
"143","[Eubacterium] hallii group","NA","PC04924-MSA1001_Diff"
"144","[Eubacterium] rectale group","NA","PC04924-MSA1001_Diff"
"145","[Eubacterium] ventriosum group","NA","PC04924-MSA1001_Diff"
"146","[Eubacterium] xylanophilum group","NA","PC04924-MSA1001_Diff"
"147","[Ruminococcus] gauvreauii group","NA","PC04924-MSA1001_Diff"
"148","[Ruminococcus] torques group","NA","PC04924-MSA1001_Diff"
"149","Adlercreutzia","NA","PC04924-MSA1001_Diff"
"150","Akkermansia","NA","PC04924-MSA1001_Diff"
"151","Ambiguous_taxa","NA","PC04924-MSA1001_Diff"
"152","Anaerofilum","NA","PC04924-MSA1001_Diff"
"153","Anaerotruncus","NA","PC04924-MSA1001_Diff"
"154","Blautia","NA","PC04924-MSA1001_Diff"
"155","Butyricicoccus","NA","PC04924-MSA1001_Diff"
"156","Candidatus Stoquefichus","NA","PC04924-MSA1001_Diff"
"157","Carnobacterium","NA","PC04924-MSA1001_Diff"
"158","Christensenellaceae R-7 group","NA","PC04924-MSA1001_Diff"
"159","Clostridium sensu stricto 1","NA","PC04924-MSA1001_Diff"
"160","Coprococcus 1","NA","PC04924-MSA1001_Diff"
"161","Coprococcus 2","NA","PC04924-MSA1001_Diff"
"162","Coprococcus 3","NA","PC04924-MSA1001_Diff"
"163","Defluviitaleaceae UCG-011","NA","PC04924-MSA1001_Diff"
"164","Dialister","NA","PC04924-MSA1001_Diff"
"165","Dorea","NA","PC04924-MSA1001_Diff"
"166","Eisenbergiella","NA","PC04924-MSA1001_Diff"
"167","Enterobacter","NA","PC04924-MSA1001_Diff"
"168","Erwinia","NA","PC04924-MSA1001_Diff"
"169","Erysipelatoclostridium","NA","PC04924-MSA1001_Diff"
"170","Erysipelotrichaceae UCG-003","NA","PC04924-MSA1001_Diff"
"171","Faecalibacterium","NA","PC04924-MSA1001_Diff"
"172","Family XIII AD3011 group","NA","PC04924-MSA1001_Diff"
"173","Flavonifractor","NA","PC04924-MSA1001_Diff"
"174","Fusicatenibacter","NA","PC04924-MSA1001_Diff"
"175","Gordonibacter","NA","PC04924-MSA1001_Diff"
"176","Gossypium arboreum","NA","PC04924-MSA1001_Diff"
"177","Holdemania","NA","PC04924-MSA1001_Diff"
"178","Hungatella","NA","PC04924-MSA1001_Diff"
"179","Intestinibacter","NA","PC04924-MSA1001_Diff"
"180","Intestinimonas","NA","PC04924-MSA1001_Diff"
"181","Kluyvera","NA","PC04924-MSA1001_Diff"
"182","Lachnospira","NA","PC04924-MSA1001_Diff"
"183","Lachnospiraceae FCS020 group","NA","PC04924-MSA1001_Diff"
"184","Lachnospiraceae ND3007 group","NA","PC04924-MSA1001_Diff"
"185","Lachnospiraceae NK4A136 group","NA","PC04924-MSA1001_Diff"
"186","Lachnospiraceae UCG-001","NA","PC04924-MSA1001_Diff"
"187","Lachnospiraceae UCG-004","NA","PC04924-MSA1001_Diff"
"188","Lachnospiraceae UCG-008","NA","PC04924-MSA1001_Diff"
"189","Lactonifactor","NA","PC04924-MSA1001_Diff"
"190","Marvinbryantia","NA","PC04924-MSA1001_Diff"
"191","Odoribacter","NA","PC04924-MSA1001_Diff"
"192","Oryza sativa Indica Group (long-grained rice)","NA","PC04924-MSA1001_Diff"
"193","Other","NA","PC04924-MSA1001_Diff"
"194","Oxalobacter","NA","PC04924-MSA1001_Diff"
"195","Parasutterella","NA","PC04924-MSA1001_Diff"
"196","Phascolarctobacterium","NA","PC04924-MSA1001_Diff"
"197","Porphyromonas","NA","PC04924-MSA1001_Diff"
"198","Raoultella","NA","PC04924-MSA1001_Diff"
"199","Roseburia","NA","PC04924-MSA1001_Diff"
"200","Ruminiclostridium","NA","PC04924-MSA1001_Diff"
"201","Ruminiclostridium 5","NA","PC04924-MSA1001_Diff"
"202","Ruminiclostridium 9","NA","PC04924-MSA1001_Diff"
"203","Ruminococcaceae NK4A214 group","NA","PC04924-MSA1001_Diff"
"204","Ruminococcaceae UCG-002","NA","PC04924-MSA1001_Diff"
"205","Ruminococcaceae UCG-003","NA","PC04924-MSA1001_Diff"
"206","Ruminococcaceae UCG-004","NA","PC04924-MSA1001_Diff"
"207","Ruminococcaceae UCG-005","NA","PC04924-MSA1001_Diff"
"208","Ruminococcaceae UCG-013","NA","PC04924-MSA1001_Diff"
"209","Ruminococcaceae UCG-014","NA","PC04924-MSA1001_Diff"
"210","Ruminococcus 1","NA","PC04924-MSA1001_Diff"
"211","Ruminococcus 2","NA","PC04924-MSA1001_Diff"
"212","Sellimonas","NA","PC04924-MSA1001_Diff"
"213","Serratia","NA","PC04924-MSA1001_Diff"
"214","Succiniclasticum","NA","PC04924-MSA1001_Diff"
"215","Tyzzerella","NA","PC04924-MSA1001_Diff"
"216","Tyzzerella 3","NA","PC04924-MSA1001_Diff"
"217","Acinetobacter","53.544854696055","PC04924-MSA1002_Diff"
"218","Actinomyces","-74.2804997894146","PC04924-MSA1002_Diff"
"219","Alistipes","NA","PC04924-MSA1002_Diff"
"220","Anaerostipes","NA","PC04924-MSA1002_Diff"
"221","Bacteroides","28.5834620244279","PC04924-MSA1002_Diff"
"222","Bifidobacterium","-24.9052365576302","PC04924-MSA1002_Diff"
"223","Bilophila","NA","PC04924-MSA1002_Diff"
"224","Clostridium",NA,"PC04924-MSA1002_Diff"
"225","Lachnoclostridium","NA","PC04924-MSA1002_Diff"
"226","Collinsella","NA","PC04924-MSA1002_Diff"
"227","Coprobacillus","NA","PC04924-MSA1002_Diff"
"228","Cryptococcus","NA","PC04924-MSA1002_Diff"
"229","Deinococcus","-84.7114979643409","PC04924-MSA1002_Diff"
"230","Enterococcus","-52.435771444616","PC04924-MSA1002_Diff"
"231","Fusobacterium","NA","PC04924-MSA1002_Diff"
"232","Helicobacter","-37.5122841499368","PC04924-MSA1002_Diff"
"233","Listeria","NA","PC04924-MSA1002_Diff"
"234","Neisseria","-48.0555945528569","PC04924-MSA1002_Diff"
"235","Paenibacillus","NA","PC04924-MSA1002_Diff"
"236","Parabacteroides","NA","PC04924-MSA1002_Diff"
"237","Pediococcus","NA","PC04924-MSA1002_Diff"
"238","Porphyromonadaceae",NA,"PC04924-MSA1002_Diff"
"239","Propionibacterium",NA,"PC04924-MSA1002_Diff"
"240","Pseudomonas","-78.927418222659","PC04924-MSA1002_Diff"
"241","Pyramidobacter","NA","PC04924-MSA1002_Diff"
"242","Ralstonia","NA","PC04924-MSA1002_Diff"
"243","Rhodobacter","-93.162993120876","PC04924-MSA1002_Diff"
"244","Saccharomyces","NA","PC04924-MSA1002_Diff"
"245","Salmonella","NA","PC04924-MSA1002_Diff"
"246","Streptococcus","-5.70686508493613","PC04924-MSA1002_Diff"
"247","Subdoligranulum","NA","PC04924-MSA1002_Diff"
"248","[Clostridium] innocuum group","NA","PC04924-MSA1002_Diff"
"249","[Eubacterium] coprostanoligenes group","NA","PC04924-MSA1002_Diff"
"250","[Eubacterium] eligens group","NA","PC04924-MSA1002_Diff"
"251","[Eubacterium] hallii group","NA","PC04924-MSA1002_Diff"
"252","[Eubacterium] rectale group","NA","PC04924-MSA1002_Diff"
"253","[Eubacterium] ventriosum group","NA","PC04924-MSA1002_Diff"
"254","[Eubacterium] xylanophilum group","NA","PC04924-MSA1002_Diff"
"255","[Ruminococcus] gauvreauii group","NA","PC04924-MSA1002_Diff"
"256","[Ruminococcus] torques group","NA","PC04924-MSA1002_Diff"
"257","Adlercreutzia","NA","PC04924-MSA1002_Diff"
"258","Akkermansia","NA","PC04924-MSA1002_Diff"
"259","Ambiguous_taxa","NA","PC04924-MSA1002_Diff"
"260","Anaerofilum","NA","PC04924-MSA1002_Diff"
"261","Anaerotruncus","NA","PC04924-MSA1002_Diff"
"262","Blautia","NA","PC04924-MSA1002_Diff"
"263","Butyricicoccus","NA","PC04924-MSA1002_Diff"
"264","Candidatus Stoquefichus","NA","PC04924-MSA1002_Diff"
"265","Carnobacterium","NA","PC04924-MSA1002_Diff"
"266","Christensenellaceae R-7 group","NA","PC04924-MSA1002_Diff"
"267","Clostridium sensu stricto 1","NA","PC04924-MSA1002_Diff"
"268","Coprococcus 1","NA","PC04924-MSA1002_Diff"
"269","Coprococcus 2","NA","PC04924-MSA1002_Diff"
"270","Coprococcus 3","NA","PC04924-MSA1002_Diff"
"271","Defluviitaleaceae UCG-011","NA","PC04924-MSA1002_Diff"
"272","Dialister","NA","PC04924-MSA1002_Diff"
"273","Dorea","NA","PC04924-MSA1002_Diff"
"274","Eisenbergiella","NA","PC04924-MSA1002_Diff"
"275","Enterobacter","NA","PC04924-MSA1002_Diff"
"276","Erwinia","NA","PC04924-MSA1002_Diff"
"277","Erysipelatoclostridium","NA","PC04924-MSA1002_Diff"
"278","Erysipelotrichaceae UCG-003","NA","PC04924-MSA1002_Diff"
"279","Faecalibacterium","NA","PC04924-MSA1002_Diff"
"280","Family XIII AD3011 group","NA","PC04924-MSA1002_Diff"
"281","Flavonifractor","NA","PC04924-MSA1002_Diff"
"282","Fusicatenibacter","NA","PC04924-MSA1002_Diff"
"283","Gordonibacter","NA","PC04924-MSA1002_Diff"
"284","Gossypium arboreum","NA","PC04924-MSA1002_Diff"
"285","Holdemania","NA","PC04924-MSA1002_Diff"
"286","Hungatella","NA","PC04924-MSA1002_Diff"
"287","Intestinibacter","NA","PC04924-MSA1002_Diff"
"288","Intestinimonas","NA","PC04924-MSA1002_Diff"
"289","Kluyvera","NA","PC04924-MSA1002_Diff"
"290","Lachnospira","NA","PC04924-MSA1002_Diff"
"291","Lachnospiraceae FCS020 group","NA","PC04924-MSA1002_Diff"
"292","Lachnospiraceae ND3007 group","NA","PC04924-MSA1002_Diff"
"293","Lachnospiraceae NK4A136 group","NA","PC04924-MSA1002_Diff"
"294","Lachnospiraceae UCG-001","NA","PC04924-MSA1002_Diff"
"295","Lachnospiraceae UCG-004","NA","PC04924-MSA1002_Diff"
"296","Lachnospiraceae UCG-008","NA","PC04924-MSA1002_Diff"
"297","Lactonifactor","NA","PC04924-MSA1002_Diff"
"298","Marvinbryantia","NA","PC04924-MSA1002_Diff"
"299","Odoribacter","NA","PC04924-MSA1002_Diff"
"300","Oryza sativa Indica Group (long-grained rice)","NA","PC04924-MSA1002_Diff"
"301","Other","NA","PC04924-MSA1002_Diff"
"302","Oxalobacter","NA","PC04924-MSA1002_Diff"
"303","Parasutterella","NA","PC04924-MSA1002_Diff"
"304","Phascolarctobacterium","NA","PC04924-MSA1002_Diff"
"305","Porphyromonas","NA","PC04924-MSA1002_Diff"
"306","Raoultella","NA","PC04924-MSA1002_Diff"
"307","Roseburia","NA","PC04924-MSA1002_Diff"
"308","Ruminiclostridium","NA","PC04924-MSA1002_Diff"
"309","Ruminiclostridium 5","NA","PC04924-MSA1002_Diff"
"310","Ruminiclostridium 9","NA","PC04924-MSA1002_Diff"
"311","Ruminococcaceae NK4A214 group","NA","PC04924-MSA1002_Diff"
"312","Ruminococcaceae UCG-002","NA","PC04924-MSA1002_Diff"
"313","Ruminococcaceae UCG-003","NA","PC04924-MSA1002_Diff"
"314","Ruminococcaceae UCG-004","NA","PC04924-MSA1002_Diff"
"315","Ruminococcaceae UCG-005","NA","PC04924-MSA1002_Diff"
"316","Ruminococcaceae UCG-013","NA","PC04924-MSA1002_Diff"
"317","Ruminococcaceae UCG-014","NA","PC04924-MSA1002_Diff"
"318","Ruminococcus 1","NA","PC04924-MSA1002_Diff"
"319","Ruminococcus 2","NA","PC04924-MSA1002_Diff"
"320","Sellimonas","NA","PC04924-MSA1002_Diff"
"321","Serratia","NA","PC04924-MSA1002_Diff"
"322","Succiniclasticum","NA","PC04924-MSA1002_Diff"
"323","Tyzzerella","NA","PC04924-MSA1002_Diff"
"324","Tyzzerella 3","NA","PC04924-MSA1002_Diff"
"325","Acinetobacter","31.4771434785554","PC04924-MSA1003_Diff"
"326","Actinomyces","-79.9441645541187","PC04924-MSA1003_Diff"
"327","Alistipes","NA","PC04924-MSA1003_Diff"
"328","Anaerostipes","NA","PC04924-MSA1003_Diff"
"329","Bacteroides","208.859865866573","PC04924-MSA1003_Diff"
"330","Bifidobacterium","-59.8883291082373","PC04924-MSA1003_Diff"
"331","Bilophila","NA","PC04924-MSA1003_Diff"
"332","Clostridium",NA,"PC04924-MSA1003_Diff"
"333","Lachnoclostridium","NA","PC04924-MSA1003_Diff"
"334","Collinsella","NA","PC04924-MSA1003_Diff"
"335","Coprobacillus","NA","PC04924-MSA1003_Diff"
"336","Cryptococcus","NA","PC04924-MSA1003_Diff"
"337","Deinococcus","-87.9664987324712","PC04924-MSA1003_Diff"
"338","Enterococcus","20.335012675288","PC04924-MSA1003_Diff"
"339","Fusobacterium","NA","PC04924-MSA1003_Diff"
"340","Helicobacter","-48.3005130728392","PC04924-MSA1003_Diff"
"341","Listeria","NA","PC04924-MSA1003_Diff"
"342","Neisseria","-62.1167552688908","PC04924-MSA1003_Diff"
"343","Paenibacillus","NA","PC04924-MSA1003_Diff"
"344","Parabacteroides","NA","PC04924-MSA1003_Diff"
"345","Pediococcus","NA","PC04924-MSA1003_Diff"
"346","Porphyromonadaceae",NA,"PC04924-MSA1003_Diff"
"347","Propionibacterium",NA,"PC04924-MSA1003_Diff"
"348","Pseudomonas","-85.1141132468347","PC04924-MSA1003_Diff"
"349","Pyramidobacter","NA","PC04924-MSA1003_Diff"
"350","Ralstonia","NA","PC04924-MSA1003_Diff"
"351","Rhodobacter","-94.192721425337","PC04924-MSA1003_Diff"
"352","Saccharomyces","NA","PC04924-MSA1003_Diff"
"353","Salmonella","NA","PC04924-MSA1003_Diff"
"354","Streptococcus","-20.4735478521699","PC04924-MSA1003_Diff"
"355","Subdoligranulum","NA","PC04924-MSA1003_Diff"
"356","[Clostridium] innocuum group","NA","PC04924-MSA1003_Diff"
"357","[Eubacterium] coprostanoligenes group","NA","PC04924-MSA1003_Diff"
"358","[Eubacterium] eligens group","NA","PC04924-MSA1003_Diff"
"359","[Eubacterium] hallii group","NA","PC04924-MSA1003_Diff"
"360","[Eubacterium] rectale group","NA","PC04924-MSA1003_Diff"
"361","[Eubacterium] ventriosum group","NA","PC04924-MSA1003_Diff"
"362","[Eubacterium] xylanophilum group","NA","PC04924-MSA1003_Diff"
"363","[Ruminococcus] gauvreauii group","NA","PC04924-MSA1003_Diff"
"364","[Ruminococcus] torques group","NA","PC04924-MSA1003_Diff"
"365","Adlercreutzia","NA","PC04924-MSA1003_Diff"
"366","Akkermansia","NA","PC04924-MSA1003_Diff"
"367","Ambiguous_taxa","NA","PC04924-MSA1003_Diff"
"368","Anaerofilum","NA","PC04924-MSA1003_Diff"
"369","Anaerotruncus","NA","PC04924-MSA1003_Diff"
"370","Blautia","NA","PC04924-MSA1003_Diff"
"371","Butyricicoccus","NA","PC04924-MSA1003_Diff"
"372","Candidatus Stoquefichus","NA","PC04924-MSA1003_Diff"
"373","Carnobacterium","NA","PC04924-MSA1003_Diff"
"374","Christensenellaceae R-7 group","NA","PC04924-MSA1003_Diff"
"375","Clostridium sensu stricto 1","NA","PC04924-MSA1003_Diff"
"376","Coprococcus 1","NA","PC04924-MSA1003_Diff"
"377","Coprococcus 2","NA","PC04924-MSA1003_Diff"
"378","Coprococcus 3","NA","PC04924-MSA1003_Diff"
"379","Defluviitaleaceae UCG-011","NA","PC04924-MSA1003_Diff"
"380","Dialister","NA","PC04924-MSA1003_Diff"
"381","Dorea","NA","PC04924-MSA1003_Diff"
"382","Eisenbergiella","NA","PC04924-MSA1003_Diff"
"383","Enterobacter","NA","PC04924-MSA1003_Diff"
"384","Erwinia","NA","PC04924-MSA1003_Diff"
"385","Erysipelatoclostridium","NA","PC04924-MSA1003_Diff"
"386","Erysipelotrichaceae UCG-003","NA","PC04924-MSA1003_Diff"
"387","Faecalibacterium","NA","PC04924-MSA1003_Diff"
"388","Family XIII AD3011 group","NA","PC04924-MSA1003_Diff"
"389","Flavonifractor","NA","PC04924-MSA1003_Diff"
"390","Fusicatenibacter","NA","PC04924-MSA1003_Diff"
"391","Gordonibacter","NA","PC04924-MSA1003_Diff"
"392","Gossypium arboreum","NA","PC04924-MSA1003_Diff"
"393","Holdemania","NA","PC04924-MSA1003_Diff"
"394","Hungatella","NA","PC04924-MSA1003_Diff"
"395","Intestinibacter","NA","PC04924-MSA1003_Diff"
"396","Intestinimonas","NA","PC04924-MSA1003_Diff"
"397","Kluyvera","NA","PC04924-MSA1003_Diff"
"398","Lachnospira","NA","PC04924-MSA1003_Diff"
"399","Lachnospiraceae FCS020 group","NA","PC04924-MSA1003_Diff"
"400","Lachnospiraceae ND3007 group","NA","PC04924-MSA1003_Diff"
"401","Lachnospiraceae NK4A136 group","NA","PC04924-MSA1003_Diff"
"402","Lachnospiraceae UCG-001","NA","PC04924-MSA1003_Diff"
"403","Lachnospiraceae UCG-004","NA","PC04924-MSA1003_Diff"
"404","Lachnospiraceae UCG-008","NA","PC04924-MSA1003_Diff"
"405","Lactonifactor","NA","PC04924-MSA1003_Diff"
"406","Marvinbryantia","NA","PC04924-MSA1003_Diff"
"407","Odoribacter","NA","PC04924-MSA1003_Diff"
"408","Oryza sativa Indica Group (long-grained rice)","NA","PC04924-MSA1003_Diff"
"409","Other","NA","PC04924-MSA1003_Diff"
"410","Oxalobacter","NA","PC04924-MSA1003_Diff"
"411","Parasutterella","NA","PC04924-MSA1003_Diff"
"412","Phascolarctobacterium","NA","PC04924-MSA1003_Diff"
"413","Porphyromonas","NA","PC04924-MSA1003_Diff"
"414","Raoultella","NA","PC04924-MSA1003_Diff"
"415","Roseburia","NA","PC04924-MSA1003_Diff"
"416","Ruminiclostridium","NA","PC04924-MSA1003_Diff"
"417","Ruminiclostridium 5","NA","PC04924-MSA1003_Diff"
"418","Ruminiclostridium 9","NA","PC04924-MSA1003_Diff"
"419","Ruminococcaceae NK4A214 group","NA","PC04924-MSA1003_Diff"
"420","Ruminococcaceae UCG-002","NA","PC04924-MSA1003_Diff"
"421","Ruminococcaceae UCG-003","NA","PC04924-MSA1003_Diff"
"422","Ruminococcaceae UCG-004","NA","PC04924-MSA1003_Diff"
"423","Ruminococcaceae UCG-005","NA","PC04924-MSA1003_Diff"
"424","Ruminococcaceae UCG-013","NA","PC04924-MSA1003_Diff"
"425","Ruminococcaceae UCG-014","NA","PC04924-MSA1003_Diff"
"426","Ruminococcus 1","NA","PC04924-MSA1003_Diff"
"427","Ruminococcus 2","NA","PC04924-MSA1003_Diff"
"428","Sellimonas","NA","PC04924-MSA1003_Diff"
"429","Serratia","NA","PC04924-MSA1003_Diff"
"430","Succiniclasticum","NA","PC04924-MSA1003_Diff"
"431","Tyzzerella","NA","PC04924-MSA1003_Diff"
"432","Tyzzerella 3","NA","PC04924-MSA1003_Diff"
"433","Acinetobacter","NA","PC04924-Seq.200_Diff"
