"","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Seq","PC04924_MS1003","PC04924_Seq200","PC04924_Seq2000","PC04925_MS1000","PC04925_MS1001","PC04925_MS1002","PC04925_MS1003","PC04925_Seq200","PC049252000","PC07578_MS1000","PC07578_MS1001","PC07578_MS1002","PC07578_MS1003","PC07578_Seq200","PC07578_Seq2000","PC04924-MSA1000_Diff","PC04924-MSA1001_Diff","PC04924-MSA1002_Diff"
"Propionibacterium",NA,NA,0.05,0.0018,NA,0,0,0,0,0,7.74961009774196e-05,0,0,0,NA,0,0,0,0,0,"NA","NA","-100"
"Pseudomonas",NA,NA,0.05,0.018,0.121,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","-100"
"Pyramidobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Ralstonia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Rhodobacter",0.1,0.4478,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saccharomyces",NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA"
"Salmonella",NA,NA,NA,NA,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA"
"Streptococcus",0.1,NA,0.1,0.198,NA,0.107970532924225,0,0,0.100905435077591,0.00741209533821037,0.0731756933479284,0.140189597941399,0,0,NA,0.00749925194494315,0.0402936687827917,0.0999086499771625,0,0,"-49.6892760397302","NA","-60.4340993076498"
"Subdoligranulum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0.000267847747687422,0,0.000481137233460908,NA,0,0,0,0,0,"NA","NA","NA"
"Abiotrophia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Acetanaerobacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Acidaminococcus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Actinobacillus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Adlercreutzia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Akkermansia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.000251503553854565,NA,0,0,0,0,0,"NA","NA","NA"
"Alcaligenes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Alkanindiges",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Alloprevotella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Anaerococcus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Anaerofilum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Anaerofustis",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Anaeromyxobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Anaerosporobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Anaerotruncus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Arthrobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Atopobium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Azospirillum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Basidiomycota",NA,NA,NA,NA,NA,0,0.000773298742765915,0.000635504414727477,0,0,0,0,0.00120831049104396,0.00139967195188628,NA,0,0,0,0.00088523984162962,0.00081942789034565,"NA","NA","NA"
"Bergeyella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Blautia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Bradyrhizobium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Brevundimonas",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Bryobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Butyricimonas",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Campylobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Candidatus Planktophila",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Capnocytophaga",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Christensenella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Clostridium sensu stricto 1",NA,NA,NA,NA,NA,0.0828867553695403,0,0,0.214804398062484,0.0237809194859803,0.193769313481415,0.107655662588366,0,0,NA,0.0254525733093956,0.196619016227638,0.0976792744198186,0,0,"NA","NA","NA"
"Coprococcus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.000174958993985785,NA,0,0,0,0,0,"NA","NA","NA"
"Corynebacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Desulfovibrio",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Devosia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Dialister",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3.28048113723346e-05,NA,0,0,0,0,0,"NA","NA","NA"
"Dolosigranulum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Dorea",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.000109349371241115,NA,0,0,0,0,0,"NA","NA","NA"
"Eggerthella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Eggerthia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Enterorhabdus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Faecalibacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.000721705850191361,NA,0,0,0,0,0,"NA","NA","NA"
"Finegoldia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Flavonifractor",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Gemella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Gordonibacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Granulicatella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Haemophilus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Holdemania",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Incertae Sedis",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,9.84144341170038e-05,NA,0,0,0,0,0,"NA","NA","NA"
"Intestinimonas",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Lachnoanaerobaculum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Lachnospira",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Lactococcus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Lautropia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Leptotrichia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Leuconostoc",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Lysobacter",NA,NA,NA,NA,NA,0,0,0,0,0,5.81220757330647e-05,4.78299549441824e-05,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Marvinbryantia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Massilia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Megasphaera",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Methylobacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Mogibacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Moraxella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Mycobacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Nevskia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Nocardioides",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Nosocomiicoccus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Odoribacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Oribacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Oscillibacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Oscillospira",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"other",NA,NA,NA,NA,NA,0.0181270590896879,0.167406705248453,0.1628784293576,0.00547701872548294,0.065689829017656,0.0148889384002867,0.0154299434649933,0.166232196999362,0.161651175505741,NA,0.0628366247755835,0.0151981722459521,0.0175196293799073,0.189149488798311,0.166588625915205,"NA","NA","NA"
"Papillibacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Paracoccus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Parasutterella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Pedobacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Peptoniphilus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Phascolarctobacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Phenylobacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Porphyromonas",NA,NA,NA,NA,NA,0.114262686820412,0,0,0,0,0.0333523844581569,0.122425552675129,0,0,NA,0,0.029628760035038,0.120538530134633,0,0,"NA","NA","NA"
"Prevotella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Pseudobutyrivibrio",NA,NA,NA,NA,NA,0,0,0,0,0,0,0.000612223423285535,0,0.000623291416074358,NA,0,0,0,0,0,"NA","NA","NA"
"Rhizobium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Roseburia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Rothia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Rubellimicrobium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Ruminococcus",NA,NA,NA,NA,NA,0,0,0,0,0.000128719455945766,0,0.00051656351339717,0,0.000699835975943138,NA,0,0,0,0,0,"NA","NA","NA"
"Salinarimonas",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Scardovia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Sediminibacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Solobacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Sphingomonas",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Stomatobaculum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Succiniclasticum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Sutterella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Synergistes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Thalassospira",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Treponema",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Turicibacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"uncultured",NA,NA,NA,NA,NA,0,0,0,0,0.000150172698603394,0,0,0,0.000535811919081465,NA,0,0,0,0,0,"NA","NA","NA"
"Veillonella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Weissella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
