"","Genus","ValueQ200","ValueN200","ValueQ2000","ValueN2000"
"Marvinbryantia","Marvinbryantia",NA,NA,NA,NA
"Odoribacter","Odoribacter",NA,NA,NA,NA
"Oryza sativa Indica Group (long-grained rice)","Oryza sativa Indica Group (long-grained rice)",NA,NA,NA,NA
"Other","Other",0.163706077,0.001056509,0.174262797,0.001321034
"Oxalobacter","Oxalobacter",NA,7.12e-06,NA,8.37e-06
"Parasutterella","Parasutterella",NA,NA,NA,NA
"Phascolarctobacterium","Phascolarctobacterium",NA,8.45e-06,NA,2.088e-05
"Porphyromonas","Porphyromonas",NA,NA,NA,NA
"Raoultella","Raoultella",NA,0.107643956666667,NA,0.0919482126666667
"Roseburia","Roseburia",NA,2.48666666666667e-05,NA,0.0001169915
"Ruminiclostridium","Ruminiclostridium",NA,8.03e-06,NA,8.37e-06
"Ruminiclostridium 5","Ruminiclostridium 5",NA,7.995e-06,NA,3.335e-05
"Ruminiclostridium 9","Ruminiclostridium 9",NA,NA,NA,6.97e-06
"Ruminococcaceae NK4A214 group","Ruminococcaceae NK4A214 group",NA,4.35e-05,NA,6.9757e-05
"Ruminococcaceae UCG-002","Ruminococcaceae UCG-002",NA,4.08666666666667e-05,NA,8.72696666666667e-05
"Ruminococcaceae UCG-003","Ruminococcaceae UCG-003",NA,8.87e-06,NA,2.08e-05
"Ruminococcaceae UCG-004","Ruminococcaceae UCG-004",NA,8.87e-06,NA,8.37e-06
"Ruminococcaceae UCG-005","Ruminococcaceae UCG-005",NA,1.95733333333333e-05,NA,2.95333333333333e-05
"Ruminococcaceae UCG-013","Ruminococcaceae UCG-013",NA,NA,NA,3.35e-05
"Ruminococcaceae UCG-014","Ruminococcaceae UCG-014",NA,2.535e-05,NA,2.461e-05
"Ruminococcus 1","Ruminococcus 1",NA,8.5968e-05,NA,7.52373333333333e-05
"Ruminococcus 2","Ruminococcus 2",NA,9.0347e-05,NA,0.000134509666666667
"Sellimonas","Sellimonas",NA,8.03e-06,NA,6.97e-06
"Serratia","Serratia",NA,0.0102051386666667,NA,0.00891765566666666
"Succiniclasticum","Succiniclasticum",NA,NA,NA,1.1735e-05
"Tyzzerella","Tyzzerella",NA,NA,NA,1.67e-05
"Tyzzerella 3","Tyzzerella 3",NA,7.12e-06,NA,NA
"Abiotrophia","Abiotrophia",NA,NA,NA,NA
"Acetanaerobacterium","Acetanaerobacterium",NA,NA,NA,NA
"Acidaminococcus","Acidaminococcus",NA,NA,NA,NA
"Actinobacillus","Actinobacillus",NA,NA,NA,NA
"Alcaligenes","Alcaligenes",NA,NA,NA,NA
"Alkanindiges","Alkanindiges",NA,NA,NA,NA
"Alloprevotella","Alloprevotella",NA,NA,NA,NA
"Anaerococcus","Anaerococcus",NA,NA,NA,NA
"Anaerofustis","Anaerofustis",NA,NA,NA,NA
"Anaeromyxobacter","Anaeromyxobacter",NA,NA,NA,NA
"Anaerosporobacter","Anaerosporobacter",NA,NA,NA,NA
"Arthrobacter","Arthrobacter",NA,NA,NA,NA
"Atopobium","Atopobium",NA,NA,NA,NA
"Azospirillum","Azospirillum",NA,NA,NA,NA
"Bergeyella","Bergeyella",NA,NA,NA,NA
"Bradyrhizobium","Bradyrhizobium",NA,NA,NA,NA
"Brevundimonas","Brevundimonas",NA,NA,NA,NA
"Bryobacter","Bryobacter",NA,NA,NA,NA
"Butyricimonas","Butyricimonas",NA,NA,NA,NA
"Campylobacter","Campylobacter",NA,NA,NA,NA
"Candidatus Planktophila","Candidatus Planktophila",NA,NA,NA,NA
"Capnocytophaga","Capnocytophaga",NA,NA,NA,NA
"Christensenella","Christensenella",NA,NA,NA,NA
"Coprococcus","Coprococcus",0.000174959,NA,NA,NA
"Corynebacterium","Corynebacterium",NA,NA,NA,NA
"Desulfovibrio","Desulfovibrio",NA,NA,NA,NA
"Devosia","Devosia",NA,NA,NA,NA
"Dolosigranulum","Dolosigranulum",NA,NA,NA,NA
"Eggerthella","Eggerthella",NA,NA,NA,NA
"Eggerthia","Eggerthia",NA,NA,NA,NA
"Enterorhabdus","Enterorhabdus",NA,NA,NA,NA
"Finegoldia","Finegoldia",NA,NA,NA,NA
"Gemella","Gemella",NA,NA,NA,NA
"Granulicatella","Granulicatella",NA,NA,NA,NA
"Haemophilus","Haemophilus",NA,NA,NA,NA
"Incertae Sedis","Incertae Sedis",9.84e-05,NA,NA,NA
"Lachnoanaerobaculum","Lachnoanaerobaculum",NA,NA,NA,NA
"Lactococcus","Lactococcus",NA,NA,NA,NA
"Lautropia","Lautropia",NA,NA,NA,NA
"Leptotrichia","Leptotrichia",NA,NA,NA,NA
"Leuconostoc","Leuconostoc",NA,NA,NA,NA
"Lysobacter","Lysobacter",NA,NA,NA,NA
"Massilia","Massilia",NA,NA,NA,NA
"Megasphaera","Megasphaera",NA,NA,NA,NA
"Methylobacterium","Methylobacterium",NA,NA,NA,NA
"Mogibacterium","Mogibacterium",NA,NA,NA,NA
"Moraxella","Moraxella",NA,NA,NA,NA
"Mycobacterium","Mycobacterium",NA,NA,NA,NA
"Nevskia","Nevskia",NA,NA,NA,NA
"Nocardioides","Nocardioides",NA,NA,NA,NA
"Nosocomiicoccus","Nosocomiicoccus",NA,NA,NA,NA
"Oribacterium","Oribacterium",NA,NA,NA,NA
"Oscillibacter","Oscillibacter",NA,NA,NA,NA
"Oscillospira","Oscillospira",NA,NA,NA,NA
"Papillibacter","Papillibacter",NA,NA,NA,NA
"Paracoccus","Paracoccus",NA,NA,NA,NA
"Pedobacter","Pedobacter",NA,NA,NA,NA
"Peptoniphilus","Peptoniphilus",NA,NA,NA,NA
"Phenylobacterium","Phenylobacterium",NA,NA,NA,NA
"Prevotella","Prevotella",NA,NA,NA,NA
"Pseudobutyrivibrio","Pseudobutyrivibrio",0.000623291,NA,NA,NA
"Rhizobium","Rhizobium",NA,NA,NA,NA
"Rothia","Rothia",NA,NA,NA,NA
"Rubellimicrobium","Rubellimicrobium",NA,NA,NA,NA
"Ruminococcus","Ruminococcus",0.000699836,NA,NA,NA
"Salinarimonas","Salinarimonas",NA,NA,NA,NA
"Scardovia","Scardovia",NA,NA,NA,NA
"Sediminibacterium","Sediminibacterium",NA,NA,NA,NA
"Solobacterium","Solobacterium",NA,NA,NA,NA
"Sphingomonas","Sphingomonas",NA,NA,NA,NA
"Stomatobaculum","Stomatobaculum",NA,NA,NA,NA
"Sutterella","Sutterella",NA,NA,NA,NA
"Synergistes","Synergistes",NA,NA,NA,NA
"Thalassospira","Thalassospira",NA,NA,NA,NA
"Treponema","Treponema",NA,NA,NA,NA
"Turicibacter","Turicibacter",NA,NA,NA,NA
"uncultured","uncultured",0.000535812,NA,NA,NA
"Veillonella","Veillonella",NA,NA,NA,NA
"Weissella","Weissella",NA,NA,NA,NA
"Basidiomycota","Basidiomycota",0.000951534666666667,NA,0.000955616333333333,NA
