"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","AC_OB","MSA-1000_OB","MSA-1001_OB","MSA-1002_OB","MSA-1003_OB","Zymo-Ext_OB","Zymo.Seq.200_OB","Zymo.Seq.2000_OB","Qiagen DSP_OB","Zymo MagBead_OB","MagAttract PS_OB","MagAttract MB_OB","Qiagen QIAmp_OB"
"Collinsella","Bacteria","Eubacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Collinsella","P",0.06,NA,NA,NA,NA,NA,NA,0.0052848475065075,3.48675034867503e-06,2.71210711738271e-06,0,0,1.02032667328178e-05,2.64998237761719e-06,7.82456286775446e-06,0.000154698618963238,0.000338178061025259,0.00039812755860876,0.00773129011472001,0.00132173788717751
"Coprobacillus","Bacteria","Eubacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichidae","Coprobacillus","Coprobacillus cateniformis","D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichi;D_3__Erysipelotrichales;D_4__Erysipelotrichidae;D_5__Coprobacillus","P",0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptococcus","Bacteria","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus neoformans","D_0__Bacteria;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Tremellaceae;D_5__Cryptococcus","Y",NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcus","Bacteria","Eubacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans","D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales;D_4__Deinococcaceae;D_5__Deinococcus","P",NA,0.1,4e-04,0.05,2e-04,NA,NA,6.20870242775787e-07,0.0165899581589958,0.000135605355869135,0.00724791752304545,2.69557631421598e-05,3.92433335877609e-07,0,0,8.27265342049401e-07,7.47354830995047e-07,0,5.62766786629787e-07,0
"Enterococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae; Streptococcaceae","Enterococcus","Enterococcus faecalis; Enterococcus gallinarum","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae; Streptococcaceae;D_5__Enterococcus","P; N",0.06,0.1,NA,0.05,2e-04,0.104,0.114,0.0308156527596906,0.0385599721059972,0.00042037660319432,0.0232415295279404,0.000264656583577569,0.0628621301242228,0.0898423525483556,0.101980136043066,0.0460927430629665,0.041644105892706,0.0235399310983645,0.0826659388216226,0.057003345916133
"Escherichia-Shigella","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia","N",0.06,0.1,0.0448,0.05,0.18,0.1,0.116,0.088544788803226,0.0733716875871688,0.0745422641212637,0.035304067622031,0.126493594330468,0.134880318624474,0.0673016024443437,0.0505284188123357,0.130470498890637,0.129598427565436,0.141113938993709,0.0747404941655153,0.110432327175584
"Fusobacterium","Bacteria","Eubacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium gonidiaformans; Fusobacterium varium","D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae;D_5__Fusobacterium","N",0.12,NA,NA,NA,NA,NA,NA,0.230865632814234,7.67085076708508e-05,3.79694996433579e-05,6.37854540815603e-05,7.10651937384213e-05,9.18294005953606e-05,5.03496651747266e-05,5.7380127696866e-05,0.113953319071279,0.0879083593506234,0.0975996926016942,0.0737798512607383,0.0827123522272177
"Helicobacter","Bacteria","Eubacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori","D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter","N",NA,NA,NA,0.05,0.0018,NA,NA,0,3.48675034867503e-06,0,0.0312643221968655,0.000928748566443506,7.84866671755219e-07,0,0,8.27265342049401e-07,0,1.46101856370187e-06,5.62766786629787e-07,0
"Lactobacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae ","Lactobacillus","Lactobacillus fermentum; Lactobacillus gasseri; Lactobacillus iners","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Lactobacillus","P",0.04,0.1,0.0045,0.05,0.0018,0.188,0.12,0.0321471089953233,0.0564435146443515,0.00761017257137588,0.0382641851762605,0.147026534273028,0.16136505581285,0.0780234311441829,0.112199015148354,0.14016770323014,0.123658825046102,0.137072761646509,0.0520272266571371,0.113050160768706
"Listeria","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Listeriaceae;D_5__Listeria","P",NA,NA,NA,NA,NA,0.159,0.125,0.00119827956855727,0.000104602510460251,9.22116419910121e-05,8.26848478835041e-05,0.00010292200472461,0.0920929195804024,0.160088085414232,0.155948754329591,0.0418769988798827,0.0520196330114102,0.0308114204899087,0.0827255921010054,0.0731936637393138
"Neisseria","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Neisseriales;D_4__Neisseriaceae;D_5__Neisseria","N",NA,NA,NA,0.05,0.0018,NA,NA,3.10435121387893e-07,0,0,0.0283727149451681,0.000767013987590547,7.84866671755219e-07,2.64998237761719e-06,0,8.27265342049401e-07,7.47354830995047e-07,1.46101856370187e-06,0,0
"Paenibacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae ","Paenibacillus","Paenibacillus barengoltzii","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Paenibacillaceae ;D_5__Paenibacillus","P",0.04,NA,NA,NA,NA,NA,NA,0.0479122461998861,1.74337517433752e-05,8.13632135214812e-06,1.18121211262149e-05,1.47031435320872e-05,2.17800501412073e-05,1.58998942657031e-05,1.30409381129241e-05,0.0178697586536091,0.020817568817367,0.0215354136289656,0.0111861154178403,0.0215876084547711
"Parabacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Parabacteroides merdae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Parabacteroides","N",0.06,NA,NA,NA,NA,NA,NA,0.112712163003274,2.09205020920502e-05,2.16968569390617e-05,4.01612118291306e-05,8.08672894264794e-05,0.00011164728405718,2.64998237761719e-05,3.39064390936026e-05,0.0483528319774454,0.0394177358511718,0.0527676074652205,0.0359315337927386,0.049442787631455
"Pediococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae ","Pediococcus","Pediococcus acidilactici","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Pediococcus","P",0.04,NA,NA,NA,NA,NA,NA,0.0302515921441288,1.74337517433752e-05,5.42421423476542e-06,1.18121211262149e-05,1.96041913761162e-05,1.07919167366343e-05,7.94994713285157e-06,1.04327504903393e-05,0.00684810250148494,0.00763236121153692,0.0024625467891195,0.0288389839808434,0.0110222527510952
"Porphyromonadaceae","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonadaceae","Porphyromonas gingivalis","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonadaceae","N",NA,NA,NA,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Propionibacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","Propionibacterium acnes","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Propionibacteriaceae;D_5__Propionibacterium","P",0.06,NA,NA,0.05,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas","N",NA,NA,NA,0.05,0.018,0.046,0.121,0.000602244135492513,2.44072524407252e-05,2.44089640564444e-05,0.0102222096226264,0.00254119330712906,0.0696229716347223,0.0491174233691346,0.0517255769311021,0.0224850719969027,0.0307921400692424,0.0898847840760665,0.035946165729191,0.0468288392173074
"Pyramidobacter","Bacteria","Eubacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Pyramidobacter piscolens","D_0__Bacteria;D_1__Synergistetes;D_2__Synergistia;D_3__Synergistales;D_4__Synergistaceae;D_5__Pyramidobacter","N",0.02,NA,NA,NA,NA,NA,NA,0.00868349121546215,0,8.13632135214812e-06,4.72484845048595e-06,4.90104784402905e-06,2.74703335114327e-06,0,0,0.00480310257593882,0.00273494500402637,0.00262837239609966,0.00484091989858943,0.0020676922503112
"Ralstonia","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Bukerholderiaceae","Ralstonia","Ralstonia pickettii","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Bukerholderiaceae;D_5__Ralstonia","N",0.06,NA,NA,NA,NA,NA,NA,0.061129331928097,3.48675034867503e-06,2.71210711738271e-06,7.08727267572893e-06,1.22526196100726e-05,1.05957000686955e-05,1.05999295104688e-05,5.21637524516964e-06,0.0145846879803309,0.0115757789772823,0.0345874229677962,0.0284731855695341,0.0391773677446225
"Rhodobacter","Bacteria","Eubacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodbacteraceae","Rhodobacter","Rhodobacter sphaeroides","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodbacteraceae;D_5__Rhodobacter","N",NA,0.1,0.4478,0.05,0.18,NA,NA,9.3130536416368e-07,0.00441771269177127,0.0640762427552839,0.00320108482520423,0.0107823052568639,2.55081668320446e-06,0,2.60818762258482e-06,8.27265342049401e-07,2.61574190848266e-06,2.92203712740374e-06,1.12553357325957e-06,1.55407158986186e-06
"Saccharomyces","Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","D_0__Eukaryota;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Saccharomycetaceae;D_5__Saccharomyces","Y",NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmonella","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Salmonella","N",NA,NA,NA,NA,NA,0.103,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staphylococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus; Staphylococcus epidermidis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus","P",NA,0.1,0.4478,0.1,0.198,0.133,0.13,0.00152765123234982,0.0868305439330544,0.547042854004562,0.109056589509891,0.198333153628246,0.0971129268129488,0.227079639920395,0.220425760547511,0.0413541671837075,0.0581408427546752,0.0249132885482443,0.108335420260167,0.0525734648492317
"Streptococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae; Streptococcus mutans","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus","P",NA,0.1,NA,0.1,0.198,NA,NA,0.00050538837761949,0.102740585774059,0.00875739388202876,0.095498636881222,0.157764730099295,5.23898503396609e-05,1.32499118880859e-05,1.30409381129241e-05,3.7226940392223e-05,0.000151339353276497,3.87169919380996e-05,0.000714151052233199,9.55754027765043e-05
"Subdoligranulum","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Subdoligranulum variabile","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Subdoligranulum","N",0.02,NA,NA,NA,NA,NA,NA,0.0120538853283705,1.04602510460251e-05,2.44089640564444e-05,4.01612118291306e-05,6.12630980503632e-05,0.00031021855201125,2.64998237761719e-05,0.000117368443016317,0.00170333933927972,0.00309031222616452,0.00365546844638208,0.0112649027679684,0.0039318011223505
"Candidatus Stoquefichus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0289996072995714,1.39470013947001e-05,5.42421423476542e-06,2.36242422524298e-06,7.35157176604358e-06,1.21654334122059e-05,5.29996475523438e-06,7.82456286775446e-06,0.015305236093256,0.0116620984602622,0.0114076329453842,0.00642004350187261,0.0130106873503235
"Carnobacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03565657804261e-06,0,0,2.36242422524298e-06,0,0.000448551302908108,0.000922193867410782,0.00093633935650795,0.000169589395120127,0.000202906836615155,0.000108115373713938,0.000626359433518953,0.000225340380529969
"Faecalibacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00755847433555243,3.83542538354254e-05,4.6105820995506e-05,3.54363633786446e-05,5.63620502063341e-05,0.000667529104327814,2.91498061537891e-05,0.000198222259316446,0.000282924746980895,0.0027308345524559,0.00012491708719651,0.0101540011311612,0.00146548950923973
"Tyzzerella 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00010027054420829,0,0,0,2.45052392201453e-06,1.0007050064879e-05,2.64998237761719e-06,0,2.4817960261482e-06,3.51256770567672e-05,7.30509281850935e-07,0.000139003396297557,2.25340380529969e-05
"Serratia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0105681428374081,0.00781729428172943,0.00951678387489592,0.00415077936375191,0.0150927768356875,0.0230534963161302,0.0101732823476724,0.00894347535784334,0.0223973818706455,0.0206983657218233,0.0230380712217329,0.0114371094046772,0.0133712319591714
"Ruminococcaceae UCG-003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000246175051260599,3.48675034867503e-06,5.42421423476542e-06,1.88993938019438e-05,9.80209568805811e-06,3.53190002289849e-05,2.64998237761719e-06,1.30409381129241e-05,1.07544494466422e-05,0.000304547093630482,1.1688148509615e-05,2.70128057582298e-05,6.29398993894053e-05
"Lachnospira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000428710902636681,1.04602510460251e-05,5.42421423476542e-06,1.18121211262149e-05,2.45052392201453e-05,9.08483172556666e-05,1.32499118880859e-05,7.82456286775446e-06,4.96359205229641e-05,0.000373303738082026,5.99017611117767e-05,0.000292638729047489,0.00014219755047236
"Akkermansia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0041641767182972,8.36820083682008e-05,6.23784636998023e-05,0.00011103393858642,0.000132328291788784,0.000360057585667707,7.68494889508985e-05,0.000143450319242165,0.00015138955759504,0.00153282475837084,0.000308274916941095,0.00346045297098656,0.00341351824713157
"Adlercreutzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.34409715377559e-05,0,0,0,0,3.72811669083729e-06,0,0,8.27265342049401e-07,8.59458055644304e-06,1.46101856370187e-06,0.000156449166683081,1.24325727188949e-05
"Ruminococcaceae UCG-014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000424054375815862,2.09205020920502e-05,5.42421423476542e-06,2.36242422524298e-05,1.71536674541017e-05,4.08130669312714e-05,1.58998942657031e-05,2.34736886032634e-05,3.88814710763218e-05,0.000183101933593787,4.74831033203108e-05,0.000428828291411897,0.000163177516935495
"Erysipelotrichaceae UCG-003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000527739706359419,6.97350069735007e-06,1.08484284695308e-05,4.72484845048595e-06,2.45052392201453e-06,3.53190002289849e-05,2.64998237761719e-06,1.30409381129241e-05,7.44538807844461e-06,0.000116587353635227,6.57458353665842e-06,0.000816011840613191,7.77035794930929e-05
"Lachnospiraceae FCS020 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000107100116878823,0,0,4.72484845048595e-06,0,7.45623338167458e-06,0,0,4.96359205229641e-06,1.71891611128861e-05,7.30509281850935e-06,0.000175020470641864,7.77035794930929e-06
"Ruminococcaceae UCG-013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000350791687168319,3.48675034867503e-06,0,2.36242422524298e-06,1.22526196100726e-05,2.17800501412073e-05,0,1.04327504903393e-05,1.15817147886916e-05,8.89352248884106e-05,1.1688148509615e-05,0.000504239040820289,5.98317562096816e-05
"Lachnospiraceae UCG-001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000319127304786754,3.48675034867503e-06,0,7.08727267572893e-06,1.71536674541017e-05,6.41628504159891e-05,0,2.60818762258482e-05,2.23361642353338e-05,0.000310525932278442,2.04542598918262e-05,0.000222855647505396,5.67236130299578e-05
"Ruminococcus 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00765470922318267,7.32217573221757e-05,5.69542494650369e-05,0.000106309090135934,0.000134778815710799,0.000319636952072313,8.74494184613672e-05,0.000130409381129241,0.000202680008802103,0.000898694184271544,0.000117611994378001,0.0121872775312547,0.00141420514677429
"Fusicatenibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00085462788918087,1.74337517433752e-05,1.08484284695308e-05,1.41745453514579e-05,1.47031435320872e-05,7.10304337938473e-05,1.85498766433203e-05,2.08655009806785e-05,3.7226940392223e-05,0.000217106578404061,3.14118991195902e-05,0.00129717744318166,0.000109562047085261
"Ruminococcaceae UCG-004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000233136776162308,0,2.71210711738271e-06,0,4.90104784402905e-06,1.21654334122059e-05,2.64998237761719e-06,2.60818762258482e-06,2.4817960261482e-06,4.07308382892301e-05,3.65254640925468e-06,0.000373114379535549,2.56421812327207e-05
"Clostridium sensu stricto 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.61887569712087e-05,0.203336820083682,0.0241458896660583,0.167172225450869,0.0756109156137582,1.5108683431288e-05,1.05999295104688e-05,1.30409381129241e-05,1.2408980130741e-05,1.90575481903737e-05,8.76611138221122e-06,8.49777847810978e-05,2.25340380529969e-05
"Gossypium arboreum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29721989827041e-05,0,0,2.36242422524298e-06,0,9.22218339312382e-06,0,0,2.4817960261482e-06,4.25992253667177e-05,0,1.68830035988936e-06,7.77035794930929e-07
"Sellimonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58783218498208e-06,0,0,0,0,1.96216667938805e-07,2.64998237761719e-06,2.60818762258482e-06,0,1.49470966199009e-06,0,5.62766786629787e-06,3.88517897465465e-06
"Lachnospiraceae UCG-008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79391609249104e-06,0,0,0,0,1.17730000763283e-06,2.64998237761719e-06,0,0,2.24206449298514e-06,0,5.06490107966808e-06,0
