"","SC249358.PC04924.A01","SC249363.PC04924.F01","SC249383.PC04924.E02","SC249388.PC04924.A03","SC249397.PC04924.B04","SC249400.PC04924.E04","SC249409.PC04924.D05","SC249413.PC04924.H05","SC249427.PC04924.E07","SC249428.PC04924.F07","SC249434.PC04924.C08","SC249439.PC04924.H08","SC249443.PC04924.D09","SC249446.PC04924.F09","SC253848.PC04924.C11","SC253851.PC04924.E11","SC253185.PC04925.C06","SC253192.PC04925.B07","SC253195.PC04925.E07","SC253204.PC04925.A09","SC249439.PC07578.G07","SC249443.PC07578.E05","SC253195.PC07578.E07","SC304093.PC07578.A04","SC304926.PC07578.E06","SC304936.PC07578.B11","SC284724.PC04924.A12","SC284730.PC04925.A12","SC284725.PC04924.B12","SC284731.PC04925.B12","SC326764.PC07578.B12","SC284726.PC04924.C12","SC284732.PC04925.C12","SC326765.PC07578.C12","SC284727.PC04924.D12","SC284733.PC04925.D12","SC326766.PC07578.D12","SC249362.PC04924.E01","SC284728.PC04924.E12","SC284734.PC04925.E12","SC326767.PC07578.E12","SC284729.PC04924.F12","SC284735.PC04925.F12","SC326768.PC07578.F12","SC249368.PC04924.B02","SC249390.PC04924.C03","SC249391.PC04924.D03","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249408.PC04924.C05","SC249412.PC04924.G05","SC249420.PC04924.G06","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249437.PC04924.F08","SC249442.PC04924.C09","SC249451.PC04924.C10","SC253844.PC04924.G10","SC253854.PC04924.H11","SC249391.PC04925.H01","SC249408.PC04925.E02","SC249432.PC04925.B04","SC249437.PC04925.F04","SC253181.PC04925.G05","SC253189.PC04925.F06","SC253194.PC04925.D07","SC253196.PC04925.F07","SC261522.PC04925.F11","SC249362.PC07578.H08","SC249368.PC07578.C10","SC249408.PC07578.E02","SC249420.PC07578.H07","SC249437.PC07578.F04","SC249451.PC07578.F06","SC253181.PC07578.G05","SC253196.PC07578.F07","SC304092.PC07578.A03","SC304097.PC07578.A09","SC304924.PC07578.B.07.PC07578.B07","SC304927.PC07578.B02","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02","SC304937.PC07578.D04"
"Devosia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97677291821102e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99972003919451e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister",0.000156726164562473,0,0.000491120759897758,0,0.00042802432980401,0.000540013976832342,0,0,0,0,0,0.000763895254682678,0,0.00141729783663658,0,0,0,0,0.000250668449197861,0.000297876949740035,0.00103735383775422,0.000401929260450161,0.000250579465012842,5.93031875463306e-05,4.21634931610814e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28048113723346e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91150442477876e-05,0,0,0,0,0,0,6.48046140885231e-05,0.000399944007838903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolosigranulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000297876949740035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea",0.000731388767958206,0,0.000971079684343293,0.000394376948031296,0.000743410678080649,0.00093178882276953,0,0,0,0,0,0.00173149591061407,0.00576054955839058,0.012608281554719,0,0,0,5.5733593423436e-05,0.00021353238265003,0.000920710571923744,0.00171982346785568,0.00348338692390139,0.00115445539238059,0.000187793427230047,0.000168653972644326,0.000570480240638938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109349371241115,0,0,0,0.000189543055434054,0,0,0,0,0,0,0,0,0.000145268601644441,0.000299647913701401,0,0,0.000169911504424779,0,0,0,0,0,0,0.0001404099971918,0.000419941208230848,5.69378807720777e-05,0,0,0,0,0.00021505376344086,0,0,0.000212982994989295,0.0001383576941702,0.000175046454636038,0,0.000469821780937764,0.00012054970666238,0
"Eggerthella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus",0.0237701349586417,0.0157549175254958,0.0132602605172395,0.0147954964696902,0.00996846136517234,0.014252133584634,0.00975492199205775,0.00598691875555145,0.00620315581854043,0.00525353419573167,0.0559105431309904,0.0545319359142808,0.0956526005888126,0.0725316340877137,0.0101110762753617,0.0220718578408059,0.0147265777503382,0.0349635409409688,0.0380366161616162,0.0447627816291161,0.0474543882797216,0.108492191088654,0.0329959459822268,0.0264096861872992,0.0379724419408699,0.0352228330394496,0.0391990226801933,0.0357979917598007,0.000453170355310054,0.000600690794413576,0.000514287851585877,0.0257826105424118,0.0219410835892319,0.0230004424898634,0.000551447195396123,0.000334809684609277,0.000543750135937534,0.0962331378070981,0.1012771901816,0.0960271198576879,0.0895356868391101,0.113187392674121,0.107993439037726,0.10826025881151,0.065879992356201,0.0527651367765729,0.0505788353308255,0.0469723109300248,0.0455402295861988,0.035337136614675,0.036606477362891,0.0275727337599289,0.0352212762963484,0.0963572612707774,0.107334032923119,0.10908219297481,0.112742527530152,0.0396455171953107,0.0570709190096517,0.0426477876106195,0.0329631452654894,0.0821026345991348,0.0889139617760777,0.0705066135203482,0.0671070107200455,0.102154071514423,0.085606895210939,0.0694102825604415,0.105460342766042,0.068703007518797,0.0354609929078014,0.0432971883696382,0.0886212065257533,0.116747311827957,0.0769876189501688,0.087266373488299,0.0548375163940858,0.0604030161977329,0.0649758974497078,0.0717654986522911,0.0616510581430555,0.0505505103270915,0.0682860964906797
"Enterorhabdus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia-Shigella",0.105563778841968,0.112786911713263,0.12896384681497,0.174352776540933,0.119779229556206,0.119216026767752,0.14379865673362,0.137364602198664,0.134388560157791,0.123696850608591,0.0963622760545153,0.0795673297277477,0.0921884200196271,0.0756496893283142,0.0839790388319076,0.123157075532881,0.157543512406824,0.123737866332265,0.108103089720737,0.111487218370884,0.0692661176577642,0.0823476496708008,0.0858324160335061,0.122332592043489,0.110282832712125,0.100516889672579,0.088511180751049,0.0896964613195832,0.0810562543632957,0.0876043163924227,0.0846704817474566,0.0449071910971414,0.0440371593804187,0.0458293072776037,0.189400902111053,0.167022202665085,0.184820671205168,0.210623764995099,0.0926461784075035,0.0923798122643515,0.0808389349883751,0.0679043227821572,0.0675888463641334,0.0693427549804189,0.245700363080451,0.23636886535501,0.227889073571866,0.262942162512694,0.255963911025598,0.22335680038842,0.207749272679185,0.234760127744698,0.226778301554915,0.10678814019336,0.0927698455602548,0.120819895987681,0.118648088496017,0.248483094153928,0.206694348123771,0.235879646017699,0.233187719190303,0.107313566482955,0.11644674381166,0.171754110535568,0.159164215918793,0.139911358173077,0.146069600155531,0.180704701341812,0.18236064453681,0.223517126148705,0.222405714724633,0.205565684675175,0.111724197858058,0.103279569892473,0.154660800163716,0.140980838699545,0.209295026286585,0.213189441331396,0.141457733013761,0.173595272651876,0.160564203756486,0.181480886174288,0.169315013689725
"Faecalibacterium",0.00412712233347845,0,0.00933129443805739,0.00684434832389797,0.0108920928136968,0.0120920776773046,5.23894843826947e-05,0.000115354889316984,0,0.000245619780579663,0.00111214461924212,0.0514254285452379,0.00913640824337586,0.0401151979681618,0.000100774846598289,0,0.000199743964554526,0.000120756119084111,0.00544971776589424,0.00547010398613518,0.0464534328222394,0.00974199969376818,0.00621974029228305,0.00287620459599703,0.00172870321960434,0.0041575908446565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721705850191361,0,0,0.00123496472737731,0.00135596185810515,0.00100331583648399,0.000260007020189545,0,0.00100983385828665,0,0,0.000938925810190279,0,0,0.000237221265013609,0.000345130871399784,0,0.00164247787610619,0.000307635513443672,0.000781929853325094,0.00015135462388376,0,0,0.000300480769230769,0.00162011535221308,0.00719899214110025,0.00020497637077948,0.000156641604010025,0,0.000153536128970348,5.43088653791845e-05,0.00114247311827957,0.000542310447150312,0.000549709439296372,0.00365433980876369,0.00121557117020961,0.0021409527913177,0.00045355587808418,0.00240131132479302,0.00226365560288248,0.00042506907372448
"Finegoldia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor",0,0,0,0,0,0,0,0,0,0,0,0.000112037970686793,0,0,0,0,0,0,0,0,0,0,0.000152137532329226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76693001302634e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01832355541268e-05,0
"Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91920161212935e-05,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85778644744787e-05,0,0.000135398613518198,0,3.82789771857296e-05,5.3695599645609e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72987852040584e-05,0.000181825141632216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83840322425871e-05,0,0,0,0,0,0,0,0,0,0,2.50040631602635e-05
"Helicobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315805122541732,0.0315409130978098,0.034017537047238,0.00108875471911542,0.0011000889637162,0.00120712530178133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holdemania",0,0,0,0,0,6.35310560979225e-05,0,0,0,0,0,0,0,0.000226767653861853,0,0,0,0,4.64200831847891e-05,0,0.000145593521088312,7.65579543714592e-05,5.3695599645609e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incertae Sedis",0.00118415324336091,0,0.00248908930584545,0.000356211436931493,0.00214012164902005,0.00278477795895894,0,0,0,0,0.000192097706960003,0.011173241258492,0.012747791952895,0.0281191890788698,0,0,2.72378133483444e-05,0.000130045051321351,0.000937685680332739,0.00222053726169844,0.00957277401155649,0.0108999387536365,0.00264898291585005,0.000336051396095873,0.000581856205622923,0.00125332780140373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84144341170038e-05,0,0,0.000219925225423356,0,9.78844718520966e-05,0,0,9.6174653170157e-05,0,0,2.93414315684462e-05,0,0.000232429762631105,0,0,0.000176690151732668,0.000113274336283186,0,0.000138729490106065,0,0,0,0,0.000410429222560646,0.0016397704321395,0,0,0,0,0,0,0.000102322725877417,2.94487199623056e-05,0.000504433409185172,0.000296480773221857,0.000639592815016293,0,0.000386297908771051,0.000187521765919258,0
"Intestinimonas",0,0,0,0,0.000157693174138319,0.000105885093496538,0,0,0,0,0,0.000529634043246657,0.000353287536800785,0.00136060592317112,0,0,0,0,5.57040998217469e-05,0.000135398613518198,0.000382182992856818,0,0.000411666263949669,0,0,6.9149120077447e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69302237901597e-05,0,2.08809680416784e-05,0,0
"Lachnoanaerobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospira",0.000626904658249891,0,0.000870623165273297,0.000610648177596845,0.00154314034692498,0.00178945808009148,0,0,0,0,0,0.00207779509273688,0.000206084396467125,0.00072565649235793,0,0,0,0,0.000287804515745692,0.00054159445407279,0.00151053278129123,0.000641172867860971,0.000715941328608121,0.000691870521373857,0.000244548260334272,0.000345745600387235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000781419057007526,0,0,0,0,0,0,0,0,0.000184070796460177,0,0,0,0,0,0,0.000172812304236062,0.00104985302057712,0,0,0,0,0,0,7.16259081141922e-05,0,0.000717416404174467,0.000177888463933114,0.000249104570058977,0.00010366991499067,0.000271452584541819,0.000281282648878888,0.000225036568442372
"Lactobacillus",0.0183717892903788,0.0405241772730942,0.0178812603944593,0.0155206411805865,0.0173800405496734,0.0130238665000741,0.0133488406207106,0.0364636805130985,0.0356213017751479,0.0212461110201408,0.076171796012456,0.0272557826870779,0.0398233562315996,0.00766474670053064,0.148967617682626,0.0335725712309222,0.013836809180959,0.016339231805304,0.0230707813428402,0.016004116117851,0.0234132581100141,0.0390158474965549,0.0195451982710017,0.054173461823573,0.0473664682171589,0.030442900114096,0.0457109470441387,0.0549593335471509,0.00553602704324715,0.00741209533821037,0.00603119389587074,0.0313044216964703,0.0394358283848844,0.0329067971861257,0.141905744948602,0.15991467136038,0.143386910846728,0.131972429244916,0.0582343843544203,0.0684709278258243,0.0650699923149508,0.0899441567397271,0.0850738108255878,0.0952877575344798,0.184932161284158,0.169105581025528,0.220496894409938,0.142678853283412,0.139038754046359,0.179780906718456,0.201089177947152,0.182352046605758,0.181664673186519,0.0585508266948344,0.0501584676863718,0.0454254917342166,0.0449971283741604,0.165785284064974,0.146166928020849,0.197578761061947,0.152418015135667,0.0609274697002182,0.0529053208030051,0.170127757983699,0.166053979698321,0.115459735576923,0.105825934806558,0.141270222168896,0.157797642771736,0.193306182121972,0.160508999667153,0.192399961615968,0.0604892142593357,0.0554838709677419,0.201002762713599,0.118658708968117,0.168548016455739,0.139345963414273,0.149523335038914,0.127228903172299,0.112496215324542,0.126885263468081,0.105179591683649
"Lactococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lautropia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leuconostoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listeria",0,0,0.000279045886305544,0,0.000810993466997071,0,0,0,0,0,0,0.00222038887361098,0.00598626104023552,0.000351489863485872,0,0,0,0,0.000371360665478313,0,0.00246599026343328,0.0068232276833563,0,0.00103780578206079,0.00726898622097044,0.00303391764339799,0,9.04612702407092e-05,0,0,0,0,0,0,0,0,0,0.077297692582969,0.187936539612852,0.175328089862499,0.16822475364067,0.178184620793164,0.170858392564243,0.169642857142857,0.0645423275367858,0.0734042733163032,0.0594727787011927,0.0765701281063025,0.095175569740383,0.0526036293014505,0.054663268495588,0.05613981727361,0.0472947301765989,0.199316344644455,0.188793843609883,0.147142566605654,0.158413863710141,0.0629251511339219,0.0770589924244098,0.0615221238938053,0.043145880760475,0.189794554236925,0.143704335621999,0.111494458180177,0.118240679252443,0.157949594350962,0.149925474693798,0.0908972743815866,0.0843819393042191,0.0793337510442774,0.0445374708758993,0.0632952691680261,0.1531510003693,0.147379032258065,0.121293359255091,0.161280822993561,0.0784113710500062,0.0760670837162877,0.0874020413109633,0.111095272651876,0.0958749647633664,0.0935331779581559,0.102091589883356
"Lysobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24754704158349e-05,5.81220757330647e-05,0,0,4.78299549441824e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marvinbryantia",0.00020896821941663,0,0,0,0,0,0,0,0,0,0,0.000295372831810635,0.00113837095191364,0.00187083314436029,0,0,0,0,0,0,0.000336685017516721,0.000765579543714592,0.000304275064658451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Massilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72378133483444e-05,0,0,0,0,0,0,0,2.52980958966488e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methylobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mogibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12391681109185e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40447057806217e-05,0,0,5.57040998217469e-05,0,1.81991901360389e-05,0,9.84419326836166e-05,0,0,1.72872800193618e-05,0,0,0,0,0,0.0297753047615002,0.030843448189013,0.0348663951524784,0.00104633570408495,0.000975731080861322,0.00119625029906257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nevskia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nocardioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nosocomiicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odoribacter",0,0,0,0,0.000180220770443794,0.00016941614959446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84674192065823e-05,0,0,0,0,0,0
"Oribacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter",0,0,0.000770166646203302,0.000508873481330704,0.00234287001576932,0.00272124690286102,0,0,0,0,0,0.000112037970686793,0,0.000306136332713502,0,0,2.72378133483444e-05,0,0,0.000270797227036395,0.000300286637244643,0,0.00047431113020288,0.000425006177415369,0.000143355876747677,0.000164229160183937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208004502685705,0.000130003510094773,0,0,0,0,0,0,0,0,0,0,5.66371681415929e-05,0,0,0,0,0,0,0,0.00034995100685904,0,0,0,0,0,0,0,0,0.000470804515239494,3.95307697629142e-05,0.000100988339213099,0,6.26429041250352e-05,9.37608829596292e-05,0
"Oscillospira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94926660760151e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"other",0.403796255986069,0.341091946290665,0.359589690928776,0.338362699573818,0.343782383419689,0.386438237224963,0.320131183268894,0.300164957491723,0.315009861932939,0.319796954314721,0.26901767298904,0.214155488332773,0.216957801766438,0.195881899405869,0.362218390289784,0.352836266159367,0.290091791430984,0.276494356973666,0.330910204991087,0.316805675909879,0.227426179535011,0.228305389679988,0.277910525232457,0.34809982703237,0.309648693774982,0.347059433668707,0.00514155202634514,0.00547701872548294,0.0675468786360797,0.065689829017656,0.0628366247755835,0.01697956929873,0.0148889384002867,0.0151981722459521,0.0181270590896879,0.0154299434649933,0.0175196293799073,0.273918252399994,0.167406705248453,0.166232196999362,0.189149488798311,0.1628784293576,0.161651175505741,0.166588625915205,0.310959296770495,0.303412224459069,0.302860642113551,0.343415433934099,0.347343378271213,0.408918492444013,0.395073453391359,0.402290513903349,0.407078027158235,0.206578348957646,0.176519222819347,0.224149452337372,0.217544385347217,0.342971020140056,0.290820946617488,0.315738053097345,0.43462745339322,0.194662698162465,0.205718452880554,0.29985992686114,0.279954463523385,0.225548377403846,0.243924567429201,0.22509848621193,0.216147582986961,0.256787802840434,0.432150446782907,0.381652432588043,0.203745139356549,0.208131720430108,0.271963573109588,0.232821580021988,0.261487069690278,0.27725893642464,0.290099103223548,0.244712834335476,0.263893674110732,0.248412762195612,0.24381461987573
"Paenibacillus",0.0323378319547236,0.0346312192234211,0.038251610094764,0.0395776350104955,0.0435007884658707,0.0393045467059147,0.0340112532612454,0.0444462388538338,0.0415976331360947,0.0330085694012336,0.0208173251910867,0.0193418278485654,0.0135623159960746,0.0115197968161821,0.0251937116495723,0.0327402827619006,0.0458140020519153,0.0452278110631183,0.0439319667260844,0.0437879116117851,0.019646025751854,0.015426427805849,0.0323068524534414,0.0589177168272795,0.0357630748992293,0.0425007779276009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18491623670297e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
