"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","PC04924_OB","PC04925_OB","PC07578_OB","PC04924_MS1000","PC04924_MS1001","PC04924_MS1002","PC04924_MS1003","PC04924_Seq.200","PC04924_Seq2000","PC04925_MS1000","PC04925_MS1001","PC04925_MS1002","PC04925_MS1003","PC04925_Seq.200","PC04925_Seq2000","PC07578_MS1000","PC07578_MS1001","PC07578_MS1002","PC07578_MS1003","PC07578_Seq.200","PC07578_Seq2000"
"Collinsella","Bacteria","Eubacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Collinsella","P",0.06,NA,NA,NA,NA,NA,NA,0.00209648783927278,0.000530946070181162,0.00163061113895816,7.17735973644735e-06,0,0,0,8.04071819694935e-06,0,0,0,0,0,0,2.51536468595672e-05,NA,7.16378563087878e-06,0,0,0,0
"Coprobacillus","Bacteria","Eubacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichidae","Coprobacillus","Coprobacillus cateniformis","D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichi;D_3__Erysipelotrichales;D_4__Erysipelotrichidae;D_5__Coprobacillus","P",0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptococcus","Bacteria","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus neoformans","D_0__Bacteria;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Tremellaceae;D_5__Cryptococcus","Y",NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcus","Bacteria","Eubacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans","D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales;D_4__Deinococcaceae;D_5__Deinococcus","P",NA,0.1,4e-04,0.05,2e-04,NA,NA,0.000736546779903609,0.00156245837378136,0.000287085153143257,0.0170534067337989,0.000152524276780721,0.00766383290170026,2.41493395155642e-05,0,0,0.0161521091996501,0.00013499892000864,0.00741993862617043,1.47313372371377e-05,0,0,NA,0.000121784355724939,0.0067225582059335,4.05175440965938e-05,0,0
"Enterococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae; Streptococcaceae","Enterococcus","Enterococcus faecalis; Enterococcus gallinarum","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae; Streptococcaceae;D_5__Enterococcus","P; N",0.06,0.1,NA,0.05,2e-04,0.104,0.114,0.0422240377287591,0.0521294629732886,0.0548283846160311,0.0401716824448958,0.000381310691951802,0.0238430356941786,0.000241493395155642,0.0943337058866098,0.1027818665961,0.0370372881815654,0.000467996256029952,0.0229679754504682,0.000243067064412772,0.0925896329444356,0.101805193389622,NA,0.000415499566590969,0.0229125029200301,0.000303881580724454,0.0836586686424256,0.101448870579199
"Escherichia-Shigella","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia","N",0.06,0.1,0.0448,0.05,0.18,0.1,0.116,0.1089014707714,0.104475791242848,0.106564978701752,0.0703811895756027,0.0710424186960869,0.0339770296137822,0.124433496743864,0.0674535849542081,0.0490217157600516,0.0761969987726567,0.0778853769169847,0.0354709261153513,0.127801716200788,0.0726919183847424,0.0510032112822491,NA,0.0748400684857906,0.0363900641108833,0.127022500742822,0.0628419582810897,0.0514052298991027
"Fusobacterium","Bacteria","Eubacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium gonidiaformans; Fusobacterium varium","D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae;D_5__Fusobacterium","N",0.12,NA,NA,NA,NA,NA,NA,0.101896993225627,0.0362062220709981,0.0499175748434247,0.0001363698349925,6.77885674580982e-05,0.000147787411327553,0.000136846257254864,0.000104529336560342,0.000124042803036568,2.03427068005669e-05,3.5999712002304e-05,3.14737587536392e-05,5.89253489485508e-05,2.66368334132438e-05,5.03072937191344e-05,NA,1.43275712617576e-05,1.29779115944662e-05,2.70116960643959e-05,2.13723925681067e-05,6.98250881541738e-06
"Helicobacter","Bacteria","Eubacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori","D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter","N",NA,NA,NA,0.05,0.0018,NA,NA,0.000964540624069817,0.00191252756970186,0.00134379707661107,7.17735973644735e-06,0,0.0313238937056638,0.000933774461268484,0,0,0,0,0.0311983633645448,0.000920708577321106,0,0,NA,0,0.0312637890310691,0.000931903514221658,0,0
"Lactobacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae ","Lactobacillus","Lactobacillus fermentum; Lactobacillus gasseri; Lactobacillus iners","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Lactobacillus","P",0.04,0.1,0.0045,0.05,0.0018,0.188,0.12,0.0932110610791286,0.105201635650411,0.115745468514024,0.0577921005978741,0.0074567424203908,0.0383684269789438,0.148502338461043,0.0757918097244446,0.111406976167243,0.0551694208431374,0.00805493556051552,0.0387756707844834,0.14657680550952,0.0773533642320601,0.11257933879447,NA,0.00738586298543602,0.037746255872505,0.146200804948543,0.080538299327482,0.112551059595713
"Listeria","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Listeriaceae;D_5__Listeria","P",NA,NA,NA,NA,NA,0.159,0.125,0.0436614544740625,0.0694324158466837,0.0645651527420427,0.000129192475256052,0.000127103563983934,0.000112599932440041,8.04977983852142e-05,0.165486021211415,0.157807254023122,8.13708272022675e-05,8.999928000576e-05,8.65528365725077e-05,0.000154679040989946,0.16390531493616,0.157629520319954,NA,6.4474070677909e-05,5.19116463778649e-05,7.42821641770887e-05,0.15224267639348,0.152979785636979
"Neisseria","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Neisseriales;D_4__Neisseriaceae;D_5__Neisseria","N",NA,NA,NA,0.05,0.0018,NA,NA,0.000799667297871846,0.00170033609447101,0.00132915817361793,0,0,0.0260387343767594,0.00068423128627432,0,0,0,0,0.0277991974191518,0.00076602953633116,8.87894447108128e-06,0,NA,0,0.0309977418433826,0.000837362577996272,0,0
"Paenibacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae ","Paenibacillus","Paenibacillus barengoltzii","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Paenibacillaceae ;D_5__Paenibacillus","P",0.04,NA,NA,NA,NA,NA,NA,0.019908718020169,0.0102366028425245,0.0103749158601941,1.43547194728947e-05,0,2.11124873325076e-05,8.04977983852142e-06,4.02035909847468e-05,8.26952020243785e-06,2.03427068005669e-05,1.7999856001152e-05,7.86843968840979e-06,2.20970058557066e-05,8.87894447108128e-06,1.67690979063781e-05,NA,7.16378563087878e-06,6.48895579723311e-06,1.35058480321979e-05,0,1.39650176308348e-05
"Parabacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Parabacteroides merdae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Parabacteroides","N",0.06,NA,NA,NA,NA,NA,NA,0.0492354817531038,0.0231199905401862,0.0219691981215577,7.17735973644735e-06,3.38942837290491e-05,4.22249746650152e-05,0.0001126969177393,4.82443091816961e-05,3.30780808097514e-05,3.39045113342781e-05,1.7999856001152e-05,7.86843968840979e-05,0.000103119360659964,1.77578889421626e-05,5.86918426723234e-05,NA,1.43275712617576e-05,6.48895579723311e-06,3.37646200804949e-05,1.42482617120711e-05,1.39650176308348e-05
"Pediococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae ","Pediococcus","Pediococcus acidilactici","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Pediococcus","P",0.04,NA,NA,NA,NA,NA,NA,0.0111415102903333,0.00501314044785488,0.00922467761204793,1.43547194728947e-05,8.47357093226227e-06,2.11124873325076e-05,8.04977983852142e-06,1.60814363938987e-05,1.65390404048757e-05,2.03427068005669e-05,0,7.86843968840979e-06,2.20970058557066e-05,0,0,NA,7.16378563087878e-06,6.48895579723311e-06,2.70116960643959e-05,7.12413085603556e-06,1.39650176308348e-05
"Porphyromonadaceae","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonadaceae","Porphyromonas gingivalis","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonadaceae","N",NA,NA,NA,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Propionibacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","Propionibacterium acnes","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Propionibacteriaceae;D_5__Propionibacterium","P",0.06,NA,NA,0.05,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas","N",NA,NA,NA,0.05,0.018,0.046,0.121,0.0325518211008303,0.0381804440784323,0.0446288645009584,4.30641584186841e-05,1.69471418645245e-05,0.0105632811620313,0.00268862646606615,0.0436208962184502,0.0502621437904173,6.78090226685563e-06,5.3999568003456e-05,0.0100086552836573,0.00234228262070489,0.0449984905794399,0.0517158979432701,NA,7.16378563087878e-06,0.0100838373089003,0.0025998757461981,0.057292260344238,0.0529693118737562
"Pyramidobacter","Bacteria","Eubacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Pyramidobacter piscolens","D_0__Bacteria;D_1__Synergistetes;D_2__Synergistia;D_3__Synergistales;D_4__Synergistaceae;D_5__Pyramidobacter","N",0.02,NA,NA,NA,NA,NA,NA,0.00383198542528241,0.000970285247971912,0.00210502003225438,0,8.47357093226227e-06,1.40749915550051e-05,8.04977983852142e-06,0,0,0,0,0,0,0,0,NA,1.43275712617576e-05,0,6.75292401609897e-06,0,0
"Ralstonia","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Bukerholderiaceae","Ralstonia","Ralstonia pickettii","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Bukerholderiaceae;D_5__Ralstonia","N",0.06,NA,NA,NA,NA,NA,NA,0.023826412242425,0.0189401923838217,0.0118184743497955,7.17735973644735e-06,0,1.40749915550051e-05,1.60995596770428e-05,1.60814363938987e-05,8.26952020243785e-06,0,8.999928000576e-06,7.86843968840979e-06,1.47313372371377e-05,1.77578889421626e-05,8.38454895318906e-06,NA,0,0,6.75292401609897e-06,0,0
"Rhodobacter","Bacteria","Eubacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodbacteraceae","Rhodobacter","Rhodobacter sphaeroides","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodbacteraceae;D_5__Rhodobacter","N",NA,0.1,0.4478,0.05,0.18,NA,NA,0.00214229771351729,0.00448266175977775,0.00296193803894545,0.00440689887817867,0.0655600183029132,0.00342726044364373,0.0104888631295934,0,0,0.00442792918025673,0.0639444884440925,0.00300574396097254,0.0106507568224506,0,8.38454895318906e-06,NA,0.0629266929816392,0.00315363251745529,0.0111490775505794,0,0
"Saccharomyces","Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","D_0__Eukaryota;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Saccharomycetaceae;D_5__Saccharomyces","Y",NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmonella","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Salmonella","N",NA,NA,NA,NA,NA,0.103,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staphylococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus; Staphylococcus epidermidis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus","P",NA,0.1,0.4478,0.1,0.198,0.133,0.13,0.0747494706531813,0.129741533022649,0.106289008271251,0.0883604757154033,0.547113054383378,0.11178358292985,0.202661257214615,0.224078734712585,0.218836313117113,0.0853851213442461,0.54359565123479,0.1063813045873,0.191168563326336,0.222506348445297,0.218098887370354,NA,0.549727417956745,0.10874841020583,0.20127090029983,0.233407899236293,0.223705617428342
"Streptococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae; Streptococcus mutans","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus","P",NA,0.1,NA,0.1,0.198,NA,NA,0.00994538703010574,0.0243417273601277,0.0109011030955587,0.0856402563752898,0.00811768095310726,0.0945346807791915,0.158001078670498,0,1.65390404048757e-05,0.118896340347047,0.00933292533659731,0.0980092847588323,0.154052959157367,3.55157778843251e-05,1.67690979063781e-05,NA,0.00884011146850442,0.0943169725127832,0.160969449771751,7.12413085603556e-06,6.98250881541738e-06
"Subdoligranulum","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Subdoligranulum variabile","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Subdoligranulum","N",0.02,NA,NA,NA,NA,NA,NA,0.00537769924656479,0.00204152503041489,0.0028944364306993,1.43547194728947e-05,8.47357093226227e-06,3.51874788875127e-05,2.41493395155642e-05,8.04071819694935e-06,0,6.78090226685563e-06,4.499964000288e-05,7.08159571956881e-05,0.000147313372371377,7.10315557686502e-05,0.000377304702893508,NA,2.14913568926363e-05,1.94668673916993e-05,1.35058480321979e-05,7.12413085603556e-06,0
"Candidatus Stoquefichus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0120456747667813,0.00598903428107518,0.00640289351472199,1.43547194728947e-05,8.47357093226227e-06,0,8.04977983852142e-06,8.04071819694935e-06,1.65390404048757e-05,1.35618045337113e-05,8.999928000576e-06,0,1.47313372371377e-05,0,0,NA,0,6.48895579723311e-06,0,7.12413085603556e-06,6.98250881541738e-06
"Carnobacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000248259963647648,0.000347264903296306,0.000294946786232166,0,0,0,0,0.000948804747240023,0.000769065378826721,0,0,0,0,0.00111874700335624,0.000930684933803986,NA,0,6.48895579723311e-06,0,0.000740909609027699,0.00108228886638969
"Faecalibacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00334792071725175,0.000951589963810604,0.00271307668806206,1.43547194728947e-05,8.47357093226227e-06,1.40749915550051e-05,4.02488991926071e-05,2.41221545908481e-05,3.30780808097514e-05,6.10281204017007e-05,8.0999352005184e-05,6.29475175072783e-05,9.57536920413951e-05,4.43947223554064e-05,0.000544995681957289,NA,5.01464994161515e-05,3.24447789861655e-05,3.37646200804949e-05,2.13723925681067e-05,4.88775617079217e-05
"Tyzzerella 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58098742445065e-05,8.41287787258883e-06,3.82238022598671e-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.75292401609897e-06,7.12413085603556e-06,0
"Serratia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0176794448772105,0.0131170787496781,0.0164432833324433,0.00874920151872932,0.00996491941634043,0.00483475959914424,0.0170977323770195,0.0112007204483504,0.00942725303077915,0.00693686301899331,0.00879292965656275,0.00351719254071918,0.0134570765661253,0.0102285440306856,0.00824201162098485,NA,0.00971409331547163,0.00404261946167623,0.0149104562275465,0.00921862532771002,0.0091191565129351
"Ruminococcaceae UCG-003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014334057424894,2.89776904500282e-05,6.85859714308254e-05,0,8.47357093226227e-06,7.03749577750253e-06,0,0,1.65390404048757e-05,6.78090226685563e-06,0,4.72106381304587e-05,7.36566861856885e-06,8.87894447108128e-06,2.51536468595672e-05,NA,7.16378563087878e-06,6.48895579723311e-06,2.02587720482969e-05,0,0
"Lachnospira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000202450089403142,8.88025997662155e-05,0.000195998645630382,0,0,0,1.60995596770428e-05,0,0,2.03427068005669e-05,1.7999856001152e-05,2.36053190652294e-05,4.41940117114131e-05,2.66368334132438e-05,2.51536468595672e-05,NA,0,1.29779115944662e-05,1.35058480321979e-05,1.42482617120711e-05,0
"Akkermansia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00156999094357786,0.00054263062278198,0.00186591795003309,8.61283168373682e-05,3.38942837290491e-05,0.000119637428217543,0.000104647137900778,8.84479001664429e-05,8.26952020243785e-05,8.13708272022675e-05,0.000107999136006912,0.000173105673145015,0.000184141715464221,9.76683891818941e-05,0.000318612860221184,NA,5.01464994161515e-05,5.19116463778649e-05,0.000108046784257584,4.98689159922489e-05,4.88775617079217e-05
"Adlercreutzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89764554134816e-05,7.94549576855612e-06,1.92474465280182e-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
