"","Qiagen DSP Virus","Zymo MagBead DNone Kit","MagAttract PowerMag Soil","MagAttract PowerMag Microbiome","Qiagen QIAamp  Modified","None"
"Fusicatenibacter",3.7226940392223e-05,0.000217106578404061,3.14118991195902e-05,0.00129717744318166,0.000109562047085261,1.60166858273686e-05
"Ruminococcaceae UCG-004",2.4817960261482e-06,4.07308382892301e-05,3.65254640925468e-06,0.000373114379535549,2.56421812327207e-05,2.22453969824564e-06
"Clostridium sensu stricto 1",1.2408980130741e-05,1.90575481903737e-05,8.76611138221122e-06,8.49777847810978e-05,2.25340380529969e-05,0.0751213708859363
"Gossypium arboreum",2.4817960261482e-06,4.25992253667177e-05,0,1.68830035988936e-06,7.77035794930929e-07,4.44907939649128e-07
"Anaerostipes",0.00628059847683905,0.00419639737603719,0.00645989357940782,0.00422412750044318,0.00628621958099122,1.20125143705265e-05
"Enterococcus",0.0460927430629665,0.041644105892706,0.0235399310983645,0.0826659388216226,0.057003345916133,0.0418938663211808
"Sellimonas",0,1.49470966199009e-06,0,5.62766786629787e-06,3.88517897465465e-06,8.89815879298256e-07
"Lachnospiraceae UCG-008",0,2.24206449298514e-06,0,5.06490107966808e-06,0,4.44907939649128e-07
"Ambiguous_taxa",2.4817960261482e-05,2.61574190848266e-05,2.2645787737379e-05,4.55841097170127e-05,4.3514004516132e-05,0.137006285659371
"Intestinimonas",0,7.47354830995047e-06,0,5.62766786629787e-07,1.24325727188949e-05,0
"Paenibacillus",0.0178697586536091,0.020817568817367,0.0215354136289656,0.0111861154178403,0.0215876084547711,1.33472381894738e-05
"Butyricicoccus",2.72997562876302e-05,0.000183101933593787,1.02271299459131e-05,0.000698393582207565,0.000111893154470054,9.34306673263168e-06
"Hungatella",8.27265342049401e-07,1.27050321269158e-05,7.30509281850935e-07,1.5757470025634e-05,2.87503244124444e-05,1.33472381894738e-06
"Porphyromonas",2.4817960261482e-06,4.8578064014678e-06,2.19152784555281e-06,2.81383393314893e-06,7.77035794930929e-07,0.0418079990888285
"Marvinbryantia",1.07544494466422e-05,3.10152254862944e-05,7.30509281850935e-07,0.000280257859741634,5.05073266705104e-05,0
"Collinsella",0.000154698618963238,0.000338178061025259,0.00039812755860876,0.00773129011472001,0.00132173788717751,2.66944763789477e-06
"Pediococcus",0.00684810250148494,0.00763236121153692,0.0024625467891195,0.0288389839808434,0.0110222527510952,1.20125143705265e-05
"Eisenbergiella",8.27265342049401e-07,8.59458055644304e-06,7.30509281850935e-07,2.3636205038451e-05,0.000131319049343327,2.22453969824564e-06
"Erysipelatoclostridium",8.27265342049401e-07,7.47354830995047e-06,1.46101856370187e-06,0.000113116124112587,0,8.89815879298256e-07
"Ruminococcaceae NK4A214 group",3.63996750501736e-05,0.000386756125039937,6.28237982391804e-05,0.00110639950251416,0.000223009273145177,2.93639240168424e-05
"Family XIII AD3011 group",1.6545306840988e-06,1.27050321269158e-05,4.38305569110561e-06,0.0001587002338296,4.50680761059939e-05,2.22453969824564e-06
"Ralstonia",0.0145846879803309,0.0115757789772823,0.0345874229677962,0.0284731855695341,0.0391773677446225,7.11852703438604e-06
"Alistipes",0.00169837574722742,0.00371472718746088,0.00279858105877093,0.00336928475155253,0.00400639655866387,7.42996259214043e-05
"Helicobacter",8.27265342049401e-07,0,1.46101856370187e-06,5.62766786629787e-07,0,0.00605697669038323
"Neisseria",8.27265342049401e-07,7.47354830995047e-07,1.46101856370187e-06,0,0,0.00548304544823585
"Ruminococcaceae UCG-002",5.54267779173099e-05,0.00084040050745393,8.18170395673047e-05,0.00129323807567525,0.000597540526301885,5.42787686371936e-05
"Lachnospiraceae NK4A136 group",3.47451443660748e-05,0.000189828127072742,4.01780105018014e-05,0.000351729241643617,0.000818218692062269,2.53597525600003e-05
"[Eubacterium] coprostanoligenes group",1.81998375250868e-05,0.000215238191326574,1.97237506099753e-05,0.00188808256914293,0.000126656834573741,1.20125143705265e-05
"Actinomyces",8.27265342049401e-07,1.12103224649257e-06,2.19152784555281e-06,6.75320143955744e-06,7.77035794930929e-07,0.00256978825941336
"Ruminococcus 1",0.000378060261316576,0.00142333727563007,0.000122725559350957,0.00539468241663313,0.00098683545956228,8.23079688350886e-05
"Roseburia",0.000142289638832497,0.00142707404978504,6.7206853930286e-05,0.00224375117829296,0.000508958445679759,4.27111622063163e-05
"Anaerofilum",0,0,7.30509281850935e-07,5.62766786629787e-07,2.33110738479279e-06,0
"Lachnoclostridium",0.0340924320111979,0.0380257874784435,0.0302102113509454,0.0226941334376328,0.0405791403186779,3.73722669305267e-05
"[Clostridium] innocuum group",1.6545306840988e-06,1.86838707748762e-06,7.30509281850935e-07,9.00426858607659e-06,3.88517897465465e-06,4.44907939649128e-07
"[Eubacterium] xylanophilum group",7.44538807844461e-06,0.000116587353635227,8.03560210036029e-06,0.000164327901695898,6.13858277995434e-05,1.33472381894738e-06
"[Eubacterium] hallii group",5.54267779173099e-05,0.000343409544842224,2.19152784555281e-05,0.00270240610939624,0.000141420514677429,1.20125143705265e-05
"Holdemania",8.27265342049401e-07,1.53207740353985e-05,7.30509281850935e-07,5.12117775833106e-05,1.63177516935495e-05,4.44907939649128e-07
"Tyzzerella",0,1.98049030213687e-05,1.46101856370187e-06,5.29000779431999e-05,1.16555369239639e-05,1.33472381894738e-06
"Ruminiclostridium 5",1.81998375250868e-05,8.96825797194056e-05,8.76611138221122e-06,0.000798566070227667,0.000166285660115219,1.06777905515791e-05
"Dialister",1.48907761568892e-05,0.000127423998684655,1.1688148509615e-05,0.000311772799792902,8.54739374424022e-05,7.11852703438604e-06
"Streptococcus",3.7226940392223e-05,0.000151339353276497,3.87169919380996e-05,0.000714151052233199,9.55754027765043e-05,0.0611788458732119
"Rhodobacter",8.27265342049401e-07,2.61574190848266e-06,2.92203712740374e-06,1.12553357325957e-06,1.55407158986186e-06,0.0136359834423061
"Intestinibacter",4.13632671024701e-06,6.83829670360468e-05,1.68017134825715e-05,0.000496360305807472,4.3514004516132e-05,4.44907939649128e-06
"[Ruminococcus] gauvreauii group",3.47451443660748e-05,0.000204401546277145,1.0957639227764e-05,0.00142942763803966,5.36154698502341e-05,4.89398733614041e-06
"Lactobacillus",0.14016770323014,0.123658825046102,0.137072761646509,0.0520272266571371,0.113050160768706,0.0745888160821763
"Lachnospiraceae ND3007 group",2.72997562876302e-05,0.00012518193419167,9.49662066406216e-06,0.00044852512894394,2.56421812327207e-05,5.33889527578953e-06
"Succiniclasticum",3.3090613681976e-06,4.59623221061954e-05,1.68017134825715e-05,1.51947032390042e-05,8.7805044827195e-05,4.00417145684215e-06
"[Ruminococcus] torques group",2.72997562876302e-05,9.19246442123908e-05,1.31491670733168e-05,0.000480040068995208,6.13858277995434e-05,4.00417145684215e-06
"Ruminiclostridium",0,1.75628385283836e-05,7.30509281850935e-07,1.91340707454127e-05,6.99332215437836e-06,1.33472381894738e-06
"Gordonibacter",0,2.24206449298514e-06,0,3.03894064780085e-05,1.55407158986186e-06,4.44907939649128e-07
"Ruminococcaceae UCG-005",3.7226940392223e-05,0.000215611868742071,3.21424084014411e-05,0.00039449951742748,0.00111582340152081,2.80292001978951e-05
"Flavonifractor",0,1.53207740353985e-05,0,7.31596822618723e-06,1.47636801036877e-05,4.44907939649128e-07
"[Eubacterium] rectale group",0.000311051768610575,0.00130824463165683,9.13136602313669e-05,0.00720341486886127,0.000634061208663638,5.07195051200006e-05
"Lachnospiraceae UCG-004",5.79085739434581e-06,8.81878700574155e-05,2.92203712740374e-06,5.17745443699404e-05,2.56421812327207e-05,1.33472381894738e-06
"Staphylococcus",0.0413541671837075,0.0581408427546752,0.0249132885482443,0.108335420260167,0.0525734648492317,0.233091273753635
"Bilophila",0.00821639937723465,0.0091894750019151,0.0136108489394466,0.0157180763505699,0.01333160313363,1.20125143705265e-05
"Phascolarctobacterium",1.32362454727904e-05,0.000166286449896398,8.03560210036029e-06,0.000132250194858,4.73991834907867e-05,6.67361909473692e-06
"Lactonifactor",0,4.11045157047276e-06,0,1.12553357325957e-06,7.77035794930929e-06,0
"Bifidobacterium",0.00630955276381078,0.00424534911746736,0.00201036154365377,0.0100932223182052,0.00602591258968936,0.015956623255516
"[Eubacterium] ventriosum group",2.4817960261482e-06,2.98941932398019e-05,5.84407425480748e-06,0.000118181025192255,9.32442953917115e-06,8.89815879298256e-07
"Acinetobacter",1.6545306840988e-06,3.73677415497523e-06,0,0,3.10814317972372e-06,0.0149595845627623
"Oxalobacter",4.96359205229641e-06,2.69047739158217e-05,3.65254640925468e-06,2.98266396913787e-05,6.21628635944743e-06,1.77963175859651e-06
"Dorea",4.05360017604206e-05,0.000231679997608465,1.38796763551678e-05,0.00141423293480065,0.000105676868110606,1.11226984912282e-05
"Defluviitaleaceae UCG-011",0,1.49470966199009e-06,0,1.68830035988936e-06,1.24325727188949e-05,0
"Coprococcus 2",0.000116644413228966,0.00047830709183683,4.74831033203108e-05,0.00287911488039799,0.000453788904239663,3.60375431115794e-05
"Deinococcus",8.27265342049401e-07,7.47354830995047e-07,0,5.62766786629787e-07,0,0.00350898892001267
"Coprococcus 1",1.90271028671362e-05,4.93254188456731e-05,2.19152784555281e-06,0.000298266396913787,3.03043960023062e-05,8.89815879298256e-07
"Parasutterella",8.27265342049401e-07,8.59458055644304e-06,1.46101856370187e-06,5.06490107966808e-06,2.25340380529969e-05,0
"Bacillus",0.0871242767632747,0.0977693326681875,0.0466349820440819,0.115493813786098,0.0825779250346946,0.0674017732250843
"Blautia",0.000190271028671362,0.00100593960251933,8.32780581310066e-05,0.0074893003964692,0.000421153400852564,4.1821346327018e-05
"Fusobacterium",0.113953319071279,0.0879083593506234,0.0975996926016942,0.0737798512607383,0.0827123522272177,5.9172755973334e-05
"[Eubacterium] eligens group",1.32362454727904e-05,7.66038701769923e-05,1.46101856370187e-05,5.62766786629787e-05,2.79732886175135e-05,8.89815879298256e-07
"Bacteroides",0.0312201667436023,0.0329437746276772,0.0323454899817957,0.0238568096188099,0.0391789218162124,0.0122714507914022
"Christensenellaceae R-7 group",7.44538807844461e-06,5.97883864796037e-05,1.1688148509615e-05,0.000217227979639098,0.000137535335702774,3.55926351719302e-06
"Pseudomonas",0.0224850719969027,0.0307921400692424,0.0898847840760665,0.035946165729191,0.0468288392173074,0.0194633876358304
"Erwinia",0.00135754242630307,0.00118754682645113,0.0015647508817247,0.000544195482671004,0.000531492483732756,0.000226903049221055
"Anaerotruncus",0,1.60681288663935e-05,4.38305569110561e-06,9.56703537270637e-06,0.000148413836831808,3.55926351719302e-06
"Ruminiclostridium 9",1.6545306840988e-06,1.30787095424133e-05,2.19152784555281e-06,7.87873501281701e-06,1.39866443087567e-05,4.44907939649128e-07
"Odoribacter",8.27265342049401e-07,2.57837416693291e-05,1.46101856370187e-06,7.87873501281701e-06,3.10814317972372e-06,0
"Coprococcus 3",6.61812273639521e-06,4.11045157047276e-05,3.65254640925468e-06,0.000221167347145506,2.09799664631351e-05,8.89815879298256e-07
"Raoultella",0.1402239572734,0.138597327085447,0.151446262276208,0.066667604611311,0.0953454001812047,0.0339415818078923
"Enterobacter",0.0113054081644471,0.0097772695764927,0.0128628074348313,0.00552749537827776,0.00526519454645198,0.00365491872421758
"Pyramidobacter",0.00480310257593882,0.00273494500402637,0.00262837239609966,0.00484091989858943,0.0020676922503112,3.11435557754389e-06
"Kluyvera",0.000957973266093206,0.00104667044080856,0.000795524607935668,0.00146825854631711,0.000703217394412491,0.000677594792085622
"Oryza sativa Indica Group (long-grained rice)",0,5.97883864796038e-06,0,0,0,0
"uncultured",3.88814710763218e-05,0.000375172125159514,3.72559733743977e-05,0.00114466764400499,0.000340341678179747,1.86861334652634e-05
