"","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Seq","PC04924_MS1003","PC04924_Seq.200","PC04924_Seq2000","PC04925_MS1000","PC04925_MS1001","PC04925_MS1002","PC04925_MS1003","PC04925_Seq.200","PC04925_Seq2000","PC07578_MS1000","PC07578_MS1001","PC07578_MS1002","PC07578_MS1003","PC07578_Seq.200","PC07578_Seq2000","PC04924-MSA1000_Diff","PC04924-MSA1001_Diff","PC04924-MSA1002_Diff"
"Hungatella",NA,NA,NA,NA,NA,0,0,0,0,0,7.86843968840979e-06,0,0,0,NA,0,6.48895579723311e-06,0,0,6.98250881541738e-06,"NA","NA","NA"
"Porphyromonas",NA,NA,NA,NA,NA,0.178970755149847,0,0,0,8.999928000576e-06,0.0529860728617515,0.174441129893566,0,0,NA,7.16378563087878e-06,0.0496664676720222,0.174475297803949,0,0,"NA","NA","NA"
"Marvinbryantia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Eisenbergiella",NA,NA,NA,NA,NA,8.04977983852142e-06,0,0,1.35618045337113e-05,0,0,7.36566861856885e-06,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Erysipelatoclostridium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,6.75292401609897e-06,7.12413085603556e-06,0,"NA","NA","NA"
"Ruminococcaceae NK4A214 group",NA,NA,NA,NA,NA,3.21991193540857e-05,1.60814363938987e-05,0,2.71236090674225e-05,4.499964000288e-05,3.14737587536392e-05,8.83880234228262e-05,7.10315557686502e-05,0.000125768234297836,NA,1.43275712617576e-05,6.48895579723311e-06,1.35058480321979e-05,0,1.39650176308348e-05,"NA","NA","NA"
"Family XIII AD3011 group",NA,NA,NA,NA,NA,0,0,0,6.78090226685563e-06,0,7.86843968840979e-06,7.36566861856885e-06,8.87894447108128e-06,0,NA,0,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"Ruminococcaceae UCG-002",NA,NA,NA,NA,NA,4.82986790311285e-05,1.60814363938987e-05,4.13476010121893e-05,6.78090226685563e-05,1.7999856001152e-05,0.000133763474702966,0.000117850697897102,7.10315557686502e-05,0.000192844625923348,NA,1.43275712617576e-05,1.29779115944662e-05,2.70116960643959e-05,3.56206542801778e-05,2.79300352616695e-05,"NA","NA","NA"
"Lachnospiraceae NK4A136 group",NA,NA,NA,NA,NA,3.21991193540857e-05,2.41221545908481e-05,8.26952020243785e-06,6.78090226685563e-06,8.999928000576e-06,5.50790778188685e-05,5.89253489485508e-05,2.66368334132438e-05,5.86918426723234e-05,NA,1.43275712617576e-05,1.29779115944662e-05,4.05175440965938e-05,7.12413085603556e-06,2.09475264462521e-05,"NA","NA","NA"
"[Eubacterium] coprostanoligenes group",NA,NA,NA,NA,NA,0,0,0,1.35618045337113e-05,0,2.36053190652294e-05,5.89253489485508e-05,3.55157778843251e-05,3.35381958127563e-05,NA,0,6.48895579723311e-06,1.35058480321979e-05,0,6.98250881541738e-06,"NA","NA","NA"
"Ruminococcus 1",NA,NA,NA,NA,NA,5.63484588696499e-05,4.82443091816961e-05,2.48085606073136e-05,9.49326317359788e-05,9.89992080063359e-05,0.000165237233456606,0.000265164070268479,8.87894447108128e-05,0.000159306430110592,NA,2.14913568926363e-05,3.24447789861655e-05,4.72704681126928e-05,0.000121110224552605,4.18950528925043e-05,"NA","NA","NA"
"Roseburia",NA,NA,NA,NA,NA,4.82986790311285e-05,1.60814363938987e-05,3.30780808097514e-05,4.74663158679894e-05,5.3999568003456e-05,8.65528365725077e-05,0.000110485029278533,4.43947223554064e-05,0.000201229174876538,NA,7.16378563087878e-06,1.29779115944662e-05,4.05175440965938e-05,1.42482617120711e-05,0,"NA","NA","NA"
"Anaerofilum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"[Clostridium] innocuum group",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"[Eubacterium] xylanophilum group",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,8.38454895318906e-06,NA,0,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"[Eubacterium] hallii group",NA,NA,NA,NA,NA,8.04977983852142e-06,1.60814363938987e-05,8.26952020243785e-06,2.71236090674225e-05,8.999928000576e-06,1.57368793768196e-05,2.20970058557066e-05,0,4.19227447659453e-05,NA,7.16378563087878e-06,0,6.75292401609897e-06,1.42482617120711e-05,0,"NA","NA","NA"
"Holdemania",NA,NA,NA,NA,NA,0,0,8.26952020243785e-06,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Tyzzerella",NA,NA,NA,NA,NA,8.04977983852142e-06,0,0,0,0,0,0,0,1.67690979063781e-05,NA,0,0,0,0,0,"NA","NA","NA"
"Ruminiclostridium 5",NA,NA,NA,NA,NA,0,0,1.65390404048757e-05,6.78090226685563e-06,8.999928000576e-06,1.57368793768196e-05,3.68283430928443e-05,8.87894447108128e-06,5.03072937191344e-05,NA,0,0,1.35058480321979e-05,7.12413085603556e-06,0,"NA","NA","NA"
"Dialister",NA,NA,NA,NA,NA,0,8.04071819694935e-06,0,1.35618045337113e-05,8.999928000576e-06,0,2.20970058557066e-05,8.87894447108128e-06,3.35381958127563e-05,NA,7.16378563087878e-06,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"Intestinibacter",NA,NA,NA,NA,NA,2.41493395155642e-05,0,0,0,0,1.57368793768196e-05,7.36566861856885e-06,0,0,NA,0,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"[Ruminococcus] gauvreauii group",NA,NA,NA,NA,NA,0,0,1.65390404048757e-05,0,8.999928000576e-06,7.86843968840979e-06,1.47313372371377e-05,8.87894447108128e-06,8.38454895318906e-06,NA,7.16378563087878e-06,0,0,0,6.98250881541738e-06,"NA","NA","NA"
"Lachnospiraceae ND3007 group",NA,NA,NA,NA,NA,0,0,0,6.78090226685563e-06,2.6999784001728e-05,0,2.20970058557066e-05,2.66368334132438e-05,1.67690979063781e-05,NA,0,0,0,0,0,"NA","NA","NA"
"Succiniclasticum",NA,NA,NA,NA,NA,0,0,1.65390404048757e-05,0,0,0,0,0,0,NA,7.16378563087878e-06,6.48895579723311e-06,2.02587720482969e-05,0,6.98250881541738e-06,"NA","NA","NA"
"[Ruminococcus] torques group",NA,NA,NA,NA,NA,0,8.04071819694935e-06,0,6.78090226685563e-06,8.999928000576e-06,0,1.47313372371377e-05,0,8.38454895318906e-06,NA,0,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"Ruminiclostridium",NA,NA,NA,NA,NA,0,8.04071819694935e-06,0,0,0,0,0,0,8.38454895318906e-06,NA,0,6.48895579723311e-06,0,0,0,"NA","NA","NA"
"Gordonibacter",NA,NA,NA,NA,NA,0,0,0,0,0,7.86843968840979e-06,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Ruminococcaceae UCG-005",NA,NA,NA,NA,NA,3.21991193540857e-05,1.60814363938987e-05,4.96171212146271e-05,2.71236090674225e-05,3.5999712002304e-05,6.29475175072783e-05,3.68283430928443e-05,3.55157778843251e-05,2.51536468595672e-05,NA,1.43275712617576e-05,1.94668673916993e-05,2.02587720482969e-05,7.12413085603556e-06,1.39650176308348e-05,"NA","NA","NA"
"Flavonifractor",NA,NA,NA,NA,NA,8.04977983852142e-06,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"[Eubacterium] rectale group",NA,NA,NA,NA,NA,3.21991193540857e-05,4.02035909847468e-05,1.65390404048757e-05,7.45899249354119e-05,2.6999784001728e-05,0.000125895035014557,8.83880234228262e-05,8.87894447108128e-05,0.000209613723829727,NA,7.16378563087878e-06,5.19116463778649e-05,5.40233921287918e-05,7.12413085603556e-06,2.09475264462521e-05,"NA","NA","NA"
"Lachnospiraceae UCG-004",NA,NA,NA,NA,NA,0,0,0,6.78090226685563e-06,0,0,7.36566861856885e-06,0,0,NA,0,0,0,7.12413085603556e-06,0,"NA","NA","NA"
"Phascolarctobacterium",NA,NA,NA,NA,NA,8.04977983852142e-06,8.04071819694935e-06,8.26952020243785e-06,6.78090226685563e-06,0,1.57368793768196e-05,1.47313372371377e-05,8.87894447108128e-06,3.35381958127563e-05,NA,7.16378563087878e-06,0,0,0,0,"NA","NA","NA"
"Lactonifactor",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"[Eubacterium] ventriosum group",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.87894447108128e-06,0,NA,0,0,0,0,6.98250881541738e-06,"NA","NA","NA"
"Oxalobacter",NA,NA,NA,NA,NA,8.04977983852142e-06,0,0,0,0,0,7.36566861856885e-06,0,8.38454895318906e-06,NA,0,0,0,7.12413085603556e-06,0,"NA","NA","NA"
"Dorea",NA,NA,NA,NA,NA,1.60995596770428e-05,0,0,1.35618045337113e-05,3.5999712002304e-05,1.57368793768196e-05,7.36566861856885e-06,8.87894447108128e-06,8.38454895318906e-05,NA,1.43275712617576e-05,0,0,0,0,"NA","NA","NA"
"Defluviitaleaceae UCG-011",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Coprococcus 2",NA,NA,NA,NA,NA,3.21991193540857e-05,1.60814363938987e-05,1.65390404048757e-05,2.71236090674225e-05,8.999928000576e-06,6.29475175072783e-05,0.00012521636651567,5.32736668264877e-05,0.000142537332204214,NA,1.43275712617576e-05,2.59558231889324e-05,2.02587720482969e-05,0,2.79300352616695e-05,"NA","NA","NA"
"Coprococcus 1",NA,NA,NA,NA,NA,0,0,0,0,8.999928000576e-06,0,0,0,8.38454895318906e-06,NA,0,0,0,0,0,"NA","NA","NA"
"Parasutterella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Blautia",NA,NA,NA,NA,NA,2.41493395155642e-05,1.60814363938987e-05,1.65390404048757e-05,2.71236090674225e-05,5.3999568003456e-05,7.86843968840979e-05,9.57536920413951e-05,0.000115426278124057,0.000117383685344647,NA,7.16378563087878e-06,3.24447789861655e-05,4.72704681126928e-05,1.42482617120711e-05,6.98250881541738e-06,"NA","NA","NA"
"[Eubacterium] eligens group",NA,NA,NA,NA,NA,0,0,0,0,0,0,7.36566861856885e-06,0,8.38454895318906e-06,NA,0,0,0,0,0,"NA","NA","NA"
"Christensenellaceae R-7 group",NA,NA,NA,NA,NA,0,8.04071819694935e-06,0,0,0,0,7.36566861856885e-06,0,1.67690979063781e-05,NA,7.16378563087878e-06,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"Erwinia",NA,NA,NA,NA,NA,0.000104647137900778,0.000844275410679682,0.000777334899029158,6.78090226685563e-06,8.999928000576e-06,0,6.62910175671197e-05,0.000479463001438389,0.000511457486144533,NA,2.86551425235151e-05,6.48895579723311e-06,4.72704681126928e-05,0.00044882024393024,0.00058653074049506,"NA","NA","NA"
"Anaerotruncus",NA,NA,NA,NA,NA,8.04977983852142e-06,0,0,0,0,7.86843968840979e-06,0,8.87894447108128e-06,0,NA,0,6.48895579723311e-06,6.75292401609897e-06,7.12413085603556e-06,0,"NA","NA","NA"
"Ruminiclostridium 9",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,6.98250881541738e-06,"NA","NA","NA"
"Odoribacter",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Coprococcus 3",NA,NA,NA,NA,NA,0,0,0,0,8.999928000576e-06,0,7.36566861856885e-06,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Raoultella",NA,NA,NA,NA,NA,0.000491036570149806,0.104778598824447,0.0929080594743893,8.81517294691232e-05,4.499964000288e-05,6.29475175072783e-05,0.00025779840164991,0.106067870651537,0.0919281947227649,NA,0.000107456784463182,9.73343369584966e-05,0.000222846492531266,0.112425909039097,0.0913731103585518,"NA","NA","NA"
"Enterobacter",NA,NA,NA,NA,NA,0.00764729084659535,0.00599033505672727,0.00512710252551147,0.00214954601859323,0.00229498164014688,0.000912739003855535,0.00340293890177881,0.00349830412160602,0.00286751574199066,NA,0.0030374451074926,0.00148597087756638,0.00502417546797763,0.00376154109198678,0.00404287260412666,"NA","NA","NA"
"Kluyvera",NA,NA,NA,NA,NA,8.04977983852142e-06,0.00226748253153972,0.00198468484858509,0,0,0,0,0.00192673095022464,0.00181106257388884,NA,0,0,0,0.00165992248945629,0.0023321579443494,"NA","NA","NA"
