"","X1.1","Genus","value","Type"
"32",NA,"Staphylococcus","-12.0693103251243","PC04924-MSA1000_Diff"
"33",NA,"Streptococcus","-14.7762984972287","PC04924-MSA1000_Diff"
"34",NA,"Subdoligranulum","NA","PC04924-MSA1000_Diff"
"35",NA,"[Clostridium] innocuum group","NA","PC04924-MSA1000_Diff"
"36",NA,"[Eubacterium] coprostanoligenes group","NA","PC04924-MSA1000_Diff"
"37",NA,"[Eubacterium] eligens group","NA","PC04924-MSA1000_Diff"
"38",NA,"[Eubacterium] hallii group","NA","PC04924-MSA1000_Diff"
"39",NA,"[Eubacterium] rectale group","NA","PC04924-MSA1000_Diff"
"40",NA,"[Eubacterium] ventriosum group","NA","PC04924-MSA1000_Diff"
"41",NA,"[Eubacterium] xylanophilum group","NA","PC04924-MSA1000_Diff"
"42",NA,"[Ruminococcus] gauvreauii group","NA","PC04924-MSA1000_Diff"
"43",NA,"[Ruminococcus] torques group","NA","PC04924-MSA1000_Diff"
"44",NA,"Adlercreutzia","NA","PC04924-MSA1000_Diff"
"45",NA,"Akkermansia","NA","PC04924-MSA1000_Diff"
"46",NA,"Ambiguous_taxa","NA","PC04924-MSA1000_Diff"
"47",NA,"Anaerofilum","NA","PC04924-MSA1000_Diff"
"48",NA,"Anaerotruncus","NA","PC04924-MSA1000_Diff"
"49",NA,"Blautia","NA","PC04924-MSA1000_Diff"
"50",NA,"Butyricicoccus","NA","PC04924-MSA1000_Diff"
"51",NA,"Candidatus Stoquefichus","NA","PC04924-MSA1000_Diff"
"52",NA,"Carnobacterium","NA","PC04924-MSA1000_Diff"
"53",NA,"Christensenellaceae R-7 group","NA","PC04924-MSA1000_Diff"
"54",NA,"Clostridium sensu stricto 1","NA","PC04924-MSA1000_Diff"
"55",NA,"Coprococcus 1","NA","PC04924-MSA1000_Diff"
"56",NA,"Coprococcus 2","NA","PC04924-MSA1000_Diff"
"57",NA,"Coprococcus 3","NA","PC04924-MSA1000_Diff"
"58",NA,"Defluviitaleaceae UCG-011","NA","PC04924-MSA1000_Diff"
"59",NA,"Dialister","NA","PC04924-MSA1000_Diff"
"60",NA,"Dorea","NA","PC04924-MSA1000_Diff"
"61",NA,"Eisenbergiella","NA","PC04924-MSA1000_Diff"
"62",NA,"Enterobacter","NA","PC04924-MSA1000_Diff"
"63",NA,"Erwinia","NA","PC04924-MSA1000_Diff"
"64",NA,"Erysipelatoclostridium","NA","PC04924-MSA1000_Diff"
"65",NA,"Erysipelotrichaceae UCG-003","NA","PC04924-MSA1000_Diff"
"66",NA,"Faecalibacterium","NA","PC04924-MSA1000_Diff"
"67",NA,"Family XIII AD3011 group","NA","PC04924-MSA1000_Diff"
"68",NA,"Flavonifractor","NA","PC04924-MSA1000_Diff"
"69",NA,"Fusicatenibacter","NA","PC04924-MSA1000_Diff"
"70",NA,"Gordonibacter","NA","PC04924-MSA1000_Diff"
"71",NA,"Gossypium arboreum","NA","PC04924-MSA1000_Diff"
"72",NA,"Holdemania","NA","PC04924-MSA1000_Diff"
"73",NA,"Hungatella","NA","PC04924-MSA1000_Diff"
"74",NA,"Intestinibacter","NA","PC04924-MSA1000_Diff"
"75",NA,"Intestinimonas","NA","PC04924-MSA1000_Diff"
"76",NA,"Kluyvera","NA","PC04924-MSA1000_Diff"
"77",NA,"Lachnospira","NA","PC04924-MSA1000_Diff"
"78",NA,"Lachnospiraceae FCS020 group","NA","PC04924-MSA1000_Diff"
"79",NA,"Lachnospiraceae ND3007 group","NA","PC04924-MSA1000_Diff"
"80",NA,"Lachnospiraceae NK4A136 group","NA","PC04924-MSA1000_Diff"
"81",NA,"Lachnospiraceae UCG-001","NA","PC04924-MSA1000_Diff"
"82",NA,"Lachnospiraceae UCG-004","NA","PC04924-MSA1000_Diff"
"83",NA,"Lachnospiraceae UCG-008","NA","PC04924-MSA1000_Diff"
"84",NA,"Lactonifactor","NA","PC04924-MSA1000_Diff"
"85",NA,"Marvinbryantia","NA","PC04924-MSA1000_Diff"
"86",NA,"Odoribacter","NA","PC04924-MSA1000_Diff"
"87",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04924-MSA1000_Diff"
"88",NA,"Other","NA","PC04924-MSA1000_Diff"
"89",NA,"Oxalobacter","NA","PC04924-MSA1000_Diff"
"90",NA,"Parasutterella","NA","PC04924-MSA1000_Diff"
"91",NA,"Phascolarctobacterium","NA","PC04924-MSA1000_Diff"
"92",NA,"Porphyromonas","NA","PC04924-MSA1000_Diff"
"93",NA,"Raoultella","NA","PC04924-MSA1000_Diff"
"94",NA,"Roseburia","NA","PC04924-MSA1000_Diff"
"95",NA,"Ruminiclostridium","NA","PC04924-MSA1000_Diff"
"96",NA,"Ruminiclostridium 5","NA","PC04924-MSA1000_Diff"
"97",NA,"Ruminiclostridium 9","NA","PC04924-MSA1000_Diff"
"98",NA,"Ruminococcaceae NK4A214 group","NA","PC04924-MSA1000_Diff"
"99",NA,"Ruminococcaceae UCG-002","NA","PC04924-MSA1000_Diff"
"100",NA,"Ruminococcaceae UCG-003","NA","PC04924-MSA1000_Diff"
"101",NA,"Ruminococcaceae UCG-004","NA","PC04924-MSA1000_Diff"
"102",NA,"Ruminococcaceae UCG-005","NA","PC04924-MSA1000_Diff"
"103",NA,"Ruminococcaceae UCG-013","NA","PC04924-MSA1000_Diff"
"104",NA,"Ruminococcaceae UCG-014","NA","PC04924-MSA1000_Diff"
"105",NA,"Ruminococcus 1","NA","PC04924-MSA1000_Diff"
"106",NA,"Ruminococcus 2","NA","PC04924-MSA1000_Diff"
"107",NA,"Sellimonas","NA","PC04924-MSA1000_Diff"
"108",NA,"Serratia","NA","PC04924-MSA1000_Diff"
"109",NA,"Succiniclasticum","NA","PC04924-MSA1000_Diff"
"110",NA,"Tyzzerella","NA","PC04924-MSA1000_Diff"
"111",NA,"Tyzzerella 3","NA","PC04924-MSA1000_Diff"
"112",NA,"Acinetobacter","NA","PC04924-MSA1001_Diff"
"113",NA,"Actinomyces","NA","PC04924-MSA1001_Diff"
"114",NA,"Alistipes","NA","PC04924-MSA1001_Diff"
"115",NA,"Anaerostipes","NA","PC04924-MSA1001_Diff"
"116",NA,"Bacillus","-99.7352883874192","PC04924-MSA1001_Diff"
"117",NA,"Bacteroides","NA","PC04924-MSA1001_Diff"
"118",NA,"Bifidobacterium","65.1800462504129","PC04924-MSA1001_Diff"
"119",NA,"Bilophila","NA","PC04924-MSA1001_Diff"
"120",NA,"Clostridium",NA,"PC04924-MSA1001_Diff"
"121",NA,"Lachnoclostridium","NA","PC04924-MSA1001_Diff"
"122",NA,"Collinsella","NA","PC04924-MSA1001_Diff"
"123",NA,"Coprobacillus","NA","PC04924-MSA1001_Diff"
"124",NA,"Cryptococcus","NA","PC04924-MSA1001_Diff"
"125",NA,"Deinococcus","-61.8815277883662","PC04924-MSA1001_Diff"
"126",NA,"Enterococcus","NA","PC04924-MSA1001_Diff"
"127",NA,"Escherichia-Shigella","58.5244399912388","PC04924-MSA1001_Diff"
"128",NA,"Fusobacterium","NA","PC04924-MSA1001_Diff"
"129",NA,"Helicobacter","NA","PC04924-MSA1001_Diff"
"130",NA,"Lactobacillus","65.6506446727788","PC04924-MSA1001_Diff"
"131",NA,"Listeria","NA","PC04924-MSA1001_Diff"
"132",NA,"Neisseria","NA","PC04924-MSA1001_Diff"
"133",NA,"Paenibacillus","NA","PC04924-MSA1001_Diff"
"134",NA,"Parabacteroides","NA","PC04924-MSA1001_Diff"
"135",NA,"Pediococcus","NA","PC04924-MSA1001_Diff"
"136",NA,"Porphyromonadaceae","NA","PC04924-MSA1001_Diff"
"137",NA,"Propionibacterium","NA","PC04924-MSA1001_Diff"
"138",NA,"Pseudomonas","NA","PC04924-MSA1001_Diff"
"139",NA,"Pyramidobacter","NA","PC04924-MSA1001_Diff"
"140",NA,"Ralstonia","NA","PC04924-MSA1001_Diff"
"141",NA,"Rhodobacter","-85.3643680461808","PC04924-MSA1001_Diff"
"142",NA,"Saccharomyces","NA","PC04924-MSA1001_Diff"
"143",NA,"Salmonella","NA","PC04924-MSA1001_Diff"
"144",NA,"Staphylococcus","22.1376306529977","PC04924-MSA1001_Diff"
"145",NA,"Streptococcus","NA","PC04924-MSA1001_Diff"
"146",NA,"Subdoligranulum","NA","PC04924-MSA1001_Diff"
"147",NA,"[Clostridium] innocuum group","NA","PC04924-MSA1001_Diff"
"148",NA,"[Eubacterium] coprostanoligenes group","NA","PC04924-MSA1001_Diff"
"149",NA,"[Eubacterium] eligens group","NA","PC04924-MSA1001_Diff"
"150",NA,"[Eubacterium] hallii group","NA","PC04924-MSA1001_Diff"
"151",NA,"[Eubacterium] rectale group","NA","PC04924-MSA1001_Diff"
"152",NA,"[Eubacterium] ventriosum group","NA","PC04924-MSA1001_Diff"
"153",NA,"[Eubacterium] xylanophilum group","NA","PC04924-MSA1001_Diff"
"154",NA,"[Ruminococcus] gauvreauii group","NA","PC04924-MSA1001_Diff"
"155",NA,"[Ruminococcus] torques group","NA","PC04924-MSA1001_Diff"
"156",NA,"Adlercreutzia","NA","PC04924-MSA1001_Diff"
"157",NA,"Akkermansia","NA","PC04924-MSA1001_Diff"
"158",NA,"Ambiguous_taxa","NA","PC04924-MSA1001_Diff"
"159",NA,"Anaerofilum","NA","PC04924-MSA1001_Diff"
"160",NA,"Anaerotruncus","NA","PC04924-MSA1001_Diff"
"161",NA,"Blautia","NA","PC04924-MSA1001_Diff"
"162",NA,"Butyricicoccus","NA","PC04924-MSA1001_Diff"
"163",NA,"Candidatus Stoquefichus","NA","PC04924-MSA1001_Diff"
"164",NA,"Carnobacterium","NA","PC04924-MSA1001_Diff"
"165",NA,"Christensenellaceae R-7 group","NA","PC04924-MSA1001_Diff"
"166",NA,"Clostridium sensu stricto 1","NA","PC04924-MSA1001_Diff"
"167",NA,"Coprococcus 1","NA","PC04924-MSA1001_Diff"
"168",NA,"Coprococcus 2","NA","PC04924-MSA1001_Diff"
"169",NA,"Coprococcus 3","NA","PC04924-MSA1001_Diff"
"170",NA,"Defluviitaleaceae UCG-011","NA","PC04924-MSA1001_Diff"
"171",NA,"Dialister","NA","PC04924-MSA1001_Diff"
"172",NA,"Dorea","NA","PC04924-MSA1001_Diff"
"173",NA,"Eisenbergiella","NA","PC04924-MSA1001_Diff"
"174",NA,"Enterobacter","NA","PC04924-MSA1001_Diff"
"175",NA,"Erwinia","NA","PC04924-MSA1001_Diff"
"176",NA,"Erysipelatoclostridium","NA","PC04924-MSA1001_Diff"
"177",NA,"Erysipelotrichaceae UCG-003","NA","PC04924-MSA1001_Diff"
"178",NA,"Faecalibacterium","NA","PC04924-MSA1001_Diff"
"179",NA,"Family XIII AD3011 group","NA","PC04924-MSA1001_Diff"
"180",NA,"Flavonifractor","NA","PC04924-MSA1001_Diff"
"181",NA,"Fusicatenibacter","NA","PC04924-MSA1001_Diff"
"182",NA,"Gordonibacter","NA","PC04924-MSA1001_Diff"
"183",NA,"Gossypium arboreum","NA","PC04924-MSA1001_Diff"
"184",NA,"Holdemania","NA","PC04924-MSA1001_Diff"
"185",NA,"Hungatella","NA","PC04924-MSA1001_Diff"
"186",NA,"Intestinibacter","NA","PC04924-MSA1001_Diff"
"187",NA,"Intestinimonas","NA","PC04924-MSA1001_Diff"
"188",NA,"Kluyvera","NA","PC04924-MSA1001_Diff"
"189",NA,"Lachnospira","NA","PC04924-MSA1001_Diff"
"190",NA,"Lachnospiraceae FCS020 group","NA","PC04924-MSA1001_Diff"
"191",NA,"Lachnospiraceae ND3007 group","NA","PC04924-MSA1001_Diff"
"192",NA,"Lachnospiraceae NK4A136 group","NA","PC04924-MSA1001_Diff"
"193",NA,"Lachnospiraceae UCG-001","NA","PC04924-MSA1001_Diff"
"194",NA,"Lachnospiraceae UCG-004","NA","PC04924-MSA1001_Diff"
"195",NA,"Lachnospiraceae UCG-008","NA","PC04924-MSA1001_Diff"
"196",NA,"Lactonifactor","NA","PC04924-MSA1001_Diff"
"197",NA,"Marvinbryantia","NA","PC04924-MSA1001_Diff"
"198",NA,"Odoribacter","NA","PC04924-MSA1001_Diff"
"199",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04924-MSA1001_Diff"
"200",NA,"Other","NA","PC04924-MSA1001_Diff"
"201",NA,"Oxalobacter","NA","PC04924-MSA1001_Diff"
"202",NA,"Parasutterella","NA","PC04924-MSA1001_Diff"
"203",NA,"Phascolarctobacterium","NA","PC04924-MSA1001_Diff"
"204",NA,"Porphyromonas","NA","PC04924-MSA1001_Diff"
"205",NA,"Raoultella","NA","PC04924-MSA1001_Diff"
"206",NA,"Roseburia","NA","PC04924-MSA1001_Diff"
"207",NA,"Ruminiclostridium","NA","PC04924-MSA1001_Diff"
"208",NA,"Ruminiclostridium 5","NA","PC04924-MSA1001_Diff"
"209",NA,"Ruminiclostridium 9","NA","PC04924-MSA1001_Diff"
"210",NA,"Ruminococcaceae NK4A214 group","NA","PC04924-MSA1001_Diff"
"211",NA,"Ruminococcaceae UCG-002","NA","PC04924-MSA1001_Diff"
"212",NA,"Ruminococcaceae UCG-003","NA","PC04924-MSA1001_Diff"
"213",NA,"Ruminococcaceae UCG-004","NA","PC04924-MSA1001_Diff"
"214",NA,"Ruminococcaceae UCG-005","NA","PC04924-MSA1001_Diff"
"215",NA,"Ruminococcaceae UCG-013","NA","PC04924-MSA1001_Diff"
"216",NA,"Ruminococcaceae UCG-014","NA","PC04924-MSA1001_Diff"
"217",NA,"Ruminococcus 1","NA","PC04924-MSA1001_Diff"
"218",NA,"Ruminococcus 2","NA","PC04924-MSA1001_Diff"
"219",NA,"Sellimonas","NA","PC04924-MSA1001_Diff"
"220",NA,"Serratia","NA","PC04924-MSA1001_Diff"
"221",NA,"Succiniclasticum","NA","PC04924-MSA1001_Diff"
"222",NA,"Tyzzerella","NA","PC04924-MSA1001_Diff"
"223",NA,"Tyzzerella 3","NA","PC04924-MSA1001_Diff"
"224",NA,"Acinetobacter","53.544854696055","PC04924-MSA1002_Diff"
"225",NA,"Actinomyces","-74.2804997894146","PC04924-MSA1002_Diff"
"226",NA,"Alistipes","NA","PC04924-MSA1002_Diff"
"227",NA,"Anaerostipes","NA","PC04924-MSA1002_Diff"
"228",NA,"Bacillus","-99.8034536010108","PC04924-MSA1002_Diff"
"229",NA,"Bacteroides","28.5834620244279","PC04924-MSA1002_Diff"
"230",NA,"Bifidobacterium","-24.9052365576302","PC04924-MSA1002_Diff"
"231",NA,"Bilophila","NA","PC04924-MSA1002_Diff"
"232",NA,"Clostridium",NA,"PC04924-MSA1002_Diff"
"233",NA,"Lachnoclostridium","NA","PC04924-MSA1002_Diff"
"234",NA,"Collinsella","NA","PC04924-MSA1002_Diff"
"235",NA,"Coprobacillus","NA","PC04924-MSA1002_Diff"
"236",NA,"Cryptococcus","NA","PC04924-MSA1002_Diff"
"237",NA,"Deinococcus","-84.7114979643409","PC04924-MSA1002_Diff"
"238",NA,"Enterococcus","-52.435771444616","PC04924-MSA1002_Diff"
"239",NA,"Escherichia-Shigella","-32.2195704057279","PC04924-MSA1002_Diff"
"240",NA,"Fusobacterium","NA","PC04924-MSA1002_Diff"
"241",NA,"Helicobacter","-37.5122841499368","PC04924-MSA1002_Diff"
"242",NA,"Lactobacillus","-23.4592166222097","PC04924-MSA1002_Diff"
"243",NA,"Listeria","NA","PC04924-MSA1002_Diff"
"244",NA,"Neisseria","-48.0555945528569","PC04924-MSA1002_Diff"
"245",NA,"Paenibacillus","NA","PC04924-MSA1002_Diff"
"246",NA,"Parabacteroides","NA","PC04924-MSA1002_Diff"
"247",NA,"Pediococcus","NA","PC04924-MSA1002_Diff"
"248",NA,"Porphyromonadaceae",NA,"PC04924-MSA1002_Diff"
"249",NA,"Propionibacterium",NA,"PC04924-MSA1002_Diff"
"250",NA,"Pseudomonas","-78.927418222659","PC04924-MSA1002_Diff"
"251",NA,"Pyramidobacter","NA","PC04924-MSA1002_Diff"
"252",NA,"Ralstonia","NA","PC04924-MSA1002_Diff"
"253",NA,"Rhodobacter","-93.162993120876","PC04924-MSA1002_Diff"
"254",NA,"Saccharomyces","NA","PC04924-MSA1002_Diff"
"255",NA,"Salmonella","NA","PC04924-MSA1002_Diff"
"256",NA,"Staphylococcus","11.4979643408676","PC04924-MSA1002_Diff"
"257",NA,"Streptococcus","-5.70686508493613","PC04924-MSA1002_Diff"
"258",NA,"Subdoligranulum","NA","PC04924-MSA1002_Diff"
"259",NA,"[Clostridium] innocuum group","NA","PC04924-MSA1002_Diff"
"260",NA,"[Eubacterium] coprostanoligenes group","NA","PC04924-MSA1002_Diff"
"261",NA,"[Eubacterium] eligens group","NA","PC04924-MSA1002_Diff"
"262",NA,"[Eubacterium] hallii group","NA","PC04924-MSA1002_Diff"
"263",NA,"[Eubacterium] rectale group","NA","PC04924-MSA1002_Diff"
"264",NA,"[Eubacterium] ventriosum group","NA","PC04924-MSA1002_Diff"
"265",NA,"[Eubacterium] xylanophilum group","NA","PC04924-MSA1002_Diff"
"266",NA,"[Ruminococcus] gauvreauii group","NA","PC04924-MSA1002_Diff"
"267",NA,"[Ruminococcus] torques group","NA","PC04924-MSA1002_Diff"
"268",NA,"Adlercreutzia","NA","PC04924-MSA1002_Diff"
"269",NA,"Akkermansia","NA","PC04924-MSA1002_Diff"
"270",NA,"Ambiguous_taxa","NA","PC04924-MSA1002_Diff"
"271",NA,"Anaerofilum","NA","PC04924-MSA1002_Diff"
"272",NA,"Anaerotruncus","NA","PC04924-MSA1002_Diff"
"273",NA,"Blautia","NA","PC04924-MSA1002_Diff"
"274",NA,"Butyricicoccus","NA","PC04924-MSA1002_Diff"
"275",NA,"Candidatus Stoquefichus","NA","PC04924-MSA1002_Diff"
"276",NA,"Carnobacterium","NA","PC04924-MSA1002_Diff"
"277",NA,"Christensenellaceae R-7 group","NA","PC04924-MSA1002_Diff"
"278",NA,"Clostridium sensu stricto 1","NA","PC04924-MSA1002_Diff"
"279",NA,"Coprococcus 1","NA","PC04924-MSA1002_Diff"
"280",NA,"Coprococcus 2","NA","PC04924-MSA1002_Diff"
"281",NA,"Coprococcus 3","NA","PC04924-MSA1002_Diff"
"282",NA,"Defluviitaleaceae UCG-011","NA","PC04924-MSA1002_Diff"
"283",NA,"Dialister","NA","PC04924-MSA1002_Diff"
"284",NA,"Dorea","NA","PC04924-MSA1002_Diff"
"285",NA,"Eisenbergiella","NA","PC04924-MSA1002_Diff"
"286",NA,"Enterobacter","NA","PC04924-MSA1002_Diff"
"287",NA,"Erwinia","NA","PC04924-MSA1002_Diff"
"288",NA,"Erysipelatoclostridium","NA","PC04924-MSA1002_Diff"
"289",NA,"Erysipelotrichaceae UCG-003","NA","PC04924-MSA1002_Diff"
"290",NA,"Faecalibacterium","NA","PC04924-MSA1002_Diff"
"291",NA,"Family XIII AD3011 group","NA","PC04924-MSA1002_Diff"
"292",NA,"Flavonifractor","NA","PC04924-MSA1002_Diff"
"293",NA,"Fusicatenibacter","NA","PC04924-MSA1002_Diff"
"294",NA,"Gordonibacter","NA","PC04924-MSA1002_Diff"
"295",NA,"Gossypium arboreum","NA","PC04924-MSA1002_Diff"
"296",NA,"Holdemania","NA","PC04924-MSA1002_Diff"
"297",NA,"Hungatella","NA","PC04924-MSA1002_Diff"
"298",NA,"Intestinibacter","NA","PC04924-MSA1002_Diff"
"299",NA,"Intestinimonas","NA","PC04924-MSA1002_Diff"
"300",NA,"Kluyvera","NA","PC04924-MSA1002_Diff"
"301",NA,"Lachnospira","NA","PC04924-MSA1002_Diff"
"302",NA,"Lachnospiraceae FCS020 group","NA","PC04924-MSA1002_Diff"
"303",NA,"Lachnospiraceae ND3007 group","NA","PC04924-MSA1002_Diff"
"304",NA,"Lachnospiraceae NK4A136 group","NA","PC04924-MSA1002_Diff"
"305",NA,"Lachnospiraceae UCG-001","NA","PC04924-MSA1002_Diff"
"306",NA,"Lachnospiraceae UCG-004","NA","PC04924-MSA1002_Diff"
"307",NA,"Lachnospiraceae UCG-008","NA","PC04924-MSA1002_Diff"
"308",NA,"Lactonifactor","NA","PC04924-MSA1002_Diff"
"309",NA,"Marvinbryantia","NA","PC04924-MSA1002_Diff"
"310",NA,"Odoribacter","NA","PC04924-MSA1002_Diff"
"311",NA,"Oryza sativa Indica Group (long-grained rice)","NA","PC04924-MSA1002_Diff"
"312",NA,"Other","NA","PC04924-MSA1002_Diff"
"313",NA,"Oxalobacter","NA","PC04924-MSA1002_Diff"
"314",NA,"Parasutterella","NA","PC04924-MSA1002_Diff"
"315",NA,"Phascolarctobacterium","NA","PC04924-MSA1002_Diff"
"316",NA,"Porphyromonas","NA","PC04924-MSA1002_Diff"
"317",NA,"Raoultella","NA","PC04924-MSA1002_Diff"
"318",NA,"Roseburia","NA","PC04924-MSA1002_Diff"
"319",NA,"Ruminiclostridium","NA","PC04924-MSA1002_Diff"
"320",NA,"Ruminiclostridium 5","NA","PC04924-MSA1002_Diff"
"321",NA,"Ruminiclostridium 9","NA","PC04924-MSA1002_Diff"
"322",NA,"Ruminococcaceae NK4A214 group","NA","PC04924-MSA1002_Diff"
"323",NA,"Ruminococcaceae UCG-002","NA","PC04924-MSA1002_Diff"
"324",NA,"Ruminococcaceae UCG-003","NA","PC04924-MSA1002_Diff"
"325",NA,"Ruminococcaceae UCG-004","NA","PC04924-MSA1002_Diff"
"326",NA,"Ruminococcaceae UCG-005","NA","PC04924-MSA1002_Diff"
"327",NA,"Ruminococcaceae UCG-013","NA","PC04924-MSA1002_Diff"
"328",NA,"Ruminococcaceae UCG-014","NA","PC04924-MSA1002_Diff"
"329",NA,"Ruminococcus 1","NA","PC04924-MSA1002_Diff"
"330",NA,"Ruminococcus 2","NA","PC04924-MSA1002_Diff"
"331",NA,"Sellimonas","NA","PC04924-MSA1002_Diff"
"332",NA,"Serratia","NA","PC04924-MSA1002_Diff"
"333",NA,"Succiniclasticum","NA","PC04924-MSA1002_Diff"
"334",NA,"Tyzzerella","NA","PC04924-MSA1002_Diff"
"335",NA,"Tyzzerella 3","NA","PC04924-MSA1002_Diff"
"336",NA,"Acinetobacter","31.4771434785554","PC04924-MSA1003_Diff"
"337",NA,"Actinomyces","-79.9441645541187","PC04924-MSA1003_Diff"
"338",NA,"Alistipes","NA","PC04924-MSA1003_Diff"
"339",NA,"Anaerostipes","NA","PC04924-MSA1003_Diff"
"340",NA,"Bacillus","-98.9749239660994","PC04924-MSA1003_Diff"
"341",NA,"Bacteroides","208.859865866573","PC04924-MSA1003_Diff"
"342",NA,"Bifidobacterium","-59.8883291082373","PC04924-MSA1003_Diff"
"343",NA,"Bilophila","NA","PC04924-MSA1003_Diff"
"344",NA,"Clostridium",NA,"PC04924-MSA1003_Diff"
"345",NA,"Lachnoclostridium","NA","PC04924-MSA1003_Diff"
"346",NA,"Collinsella","NA","PC04924-MSA1003_Diff"
"347",NA,"Coprobacillus","NA","PC04924-MSA1003_Diff"
"348",NA,"Cryptococcus","NA","PC04924-MSA1003_Diff"
"349",NA,"Deinococcus","-87.9664987324712","PC04924-MSA1003_Diff"
"350",NA,"Enterococcus","20.335012675288","PC04924-MSA1003_Diff"
"351",NA,"Escherichia-Shigella","-31.105976817237","PC04924-MSA1003_Diff"
"352",NA,"Fusobacterium","NA","PC04924-MSA1003_Diff"
"353",NA,"Helicobacter","-48.3005130728392","PC04924-MSA1003_Diff"
"354",NA,"Lactobacillus","8122.00116234709","PC04924-MSA1003_Diff"
"355",NA,"Listeria","NA","PC04924-MSA1003_Diff"
"356",NA,"Neisseria","-62.1167552688908","PC04924-MSA1003_Diff"
"357",NA,"Paenibacillus","NA","PC04924-MSA1003_Diff"
"358",NA,"Parabacteroides","NA","PC04924-MSA1003_Diff"
"359",NA,"Pediococcus","NA","PC04924-MSA1003_Diff"
"360",NA,"Porphyromonadaceae",NA,"PC04924-MSA1003_Diff"
"361",NA,"Propionibacterium",NA,"PC04924-MSA1003_Diff"
"362",NA,"Pseudomonas","-85.1141132468347","PC04924-MSA1003_Diff"
"363",NA,"Pyramidobacter","NA","PC04924-MSA1003_Diff"
"364",NA,"Ralstonia","NA","PC04924-MSA1003_Diff"
"365",NA,"Rhodobacter","-94.192721425337","PC04924-MSA1003_Diff"
"366",NA,"Saccharomyces","NA","PC04924-MSA1003_Diff"
"367",NA,"Salmonella","NA","PC04924-MSA1003_Diff"
"368",NA,"Staphylococcus","2.005194582931","PC04924-MSA1003_Diff"
"369",NA,"Streptococcus","-20.4735478521699","PC04924-MSA1003_Diff"
"370",NA,"Subdoligranulum","NA","PC04924-MSA1003_Diff"
"371",NA,"[Clostridium] innocuum group","NA","PC04924-MSA1003_Diff"
"372",NA,"[Eubacterium] coprostanoligenes group","NA","PC04924-MSA1003_Diff"
"373",NA,"[Eubacterium] eligens group","NA","PC04924-MSA1003_Diff"
"374",NA,"[Eubacterium] hallii group","NA","PC04924-MSA1003_Diff"
"375",NA,"[Eubacterium] rectale group","NA","PC04924-MSA1003_Diff"
"376",NA,"[Eubacterium] ventriosum group","NA","PC04924-MSA1003_Diff"
"377",NA,"[Eubacterium] xylanophilum group","NA","PC04924-MSA1003_Diff"
"378",NA,"[Ruminococcus] gauvreauii group","NA","PC04924-MSA1003_Diff"
"379",NA,"[Ruminococcus] torques group","NA","PC04924-MSA1003_Diff"
"380",NA,"Adlercreutzia","NA","PC04924-MSA1003_Diff"
"381",NA,"Akkermansia","NA","PC04924-MSA1003_Diff"
"382",NA,"Ambiguous_taxa","NA","PC04924-MSA1003_Diff"
"383",NA,"Anaerofilum","NA","PC04924-MSA1003_Diff"
"384",NA,"Anaerotruncus","NA","PC04924-MSA1003_Diff"
