"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","Qiagen DSP Virus_OB","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE"
"Collinsella","Bacteria","Eubacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Collinsella","P",0.06,NA,NA,NA,NA,NA,NA,0.000154608575732572,0.000337960845088831,0.000397932503345919,0.00772209887299401,0.00132095164431688,0.000408988115286532,0,0.000936508995868596,2.00132316051241e-05,0.00106445773650244,4.64393229611106e-06,0.017216973739476,6.11331020464306e-06,0.0031936413733035,9.24362091118333e-06
"Coprobacillus","Bacteria","Eubacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichidae","Coprobacillus","Coprobacillus cateniformis","D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichi;D_3__Erysipelotrichales;D_4__Erysipelotrichidae;D_5__Coprobacillus","P",0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptococcus","Bacteria","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus neoformans","D_0__Bacteria;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Tremellaceae;D_5__Cryptococcus","Y",NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcus","Bacteria","Eubacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans","D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales;D_4__Deinococcaceae;D_5__Deinococcus","P",NA,0.1,4e-04,0.05,2e-04,NA,NA,8.26783827446908e-07,7.46874795776423e-07,0,5.62097748798516e-07,0,2.1871022207836e-06,0,1.07644712168804e-06,5.71806617289259e-07,0,0,0,1.01888503410718e-06,0,0
"Enterococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae; Streptococcaceae","Enterococcus","Enterococcus faecalis; Enterococcus gallinarum","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae; Streptococcaceae;D_5__Enterococcus","P; N",0.06,0.1,NA,0.05,2e-04,0.104,0.114,0.0460659145138594,0.0416173573702538,0.0235283981427869,0.0825676625165116,0.0569694371705387,0.0145814105059642,0.0652017865688308,0.0202232120751532,0.0529818857381709,0.00564693845427357,0.034079497155011,0.0693380642815499,0.0933186613888422,0.0294836820762062,0.0762215775163447
"Escherichia-Shigella","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia","N",0.06,0.1,0.0448,0.05,0.18,0.1,0.116,0.130394557778134,0.129515184898192,0.141044802818968,0.0746516399201821,0.110366635914353,0.0808331109779409,0.160517360557239,0.0960481473268589,0.147292810160775,0.104503777742799,0.162606128365255,0.0668681081013309,0.080976906970702,0.0991574744216474,0.118217988350397
"Fusobacterium","Bacteria","Eubacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium gonidiaformans; Fusobacterium varium","D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae;D_5__Fusobacterium","N",0.12,NA,NA,NA,NA,NA,NA,0.113886991879329,0.0878518947279975,0.097551875430333,0.0736921390629831,0.0826631503415371,0.301120233757485,8.90625830807678e-05,0.25297799096215,0.000137233588149422,0.262757752243035,7.08199675156936e-05,0.164288445745595,6.9284182319288e-05,0.200618744450247,4.22565527368381e-05
"Helicobacter","Bacteria","Eubacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori","D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter","N",NA,NA,NA,0.05,0.0018,NA,NA,8.26783827446908e-07,0,1.46030276457218e-06,5.62097748798516e-07,0,0,1.32929228478758e-06,0,0,0,2.32196614805553e-06,0,1.01888503410718e-06,0,0
"Lactobacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae ","Lactobacillus","Lactobacillus fermentum; Lactobacillus gasseri; Lactobacillus iners","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Lactobacillus","P",0.04,0.1,0.0045,0.05,0.0018,0.188,0.12,0.140086117803467,0.123579397458759,0.137005605372162,0.051965374778674,0.112982912275143,0.0598194328406521,0.188871164991758,0.0283923692816438,0.174142561682209,0.0245966472532662,0.203333414602149,0.0350721239742473,0.0656936314590943,0.0176347824119722,0.17976861896342
"Listeria","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Listeriaceae;D_5__Listeria","P",NA,NA,NA,NA,NA,0.159,0.125,0.0418526241291899,0.0519862201600179,0.0307963250020627,0.0826272448778843,0.0731501240964566,4.37420444156719e-05,0.0672635189025363,0.00176752617381176,0.0786622927272488,4.91893593577837e-05,0.0489389195194923,0.00264548606104679,0.147624214821721,0.000118771786610461,0.124304252461774
"Neisseria","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Neisseriales;D_4__Neisseriaceae;D_5__Neisseria","N",NA,NA,NA,0.05,0.0018,NA,NA,8.26783827446908e-07,7.46874795776423e-07,1.46030276457218e-06,0,0,0,1.32929228478758e-06,1.07644712168804e-06,5.71806617289259e-07,0,2.32196614805553e-06,0,0,0,0
"Paenibacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae ","Paenibacillus","Paenibacillus barengoltzii","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Paenibacillaceae ;D_5__Paenibacillus","P",0.04,NA,NA,NA,NA,NA,NA,0.0178593574566807,0.0208041974363523,0.0215248627497939,0.0111728169528681,0.0215747669502713,0.047217349844497,1.59515074174509e-05,0.0599053587690612,3.37365904200663e-05,0.0579804816622068,1.39317968883332e-05,0.0248989135954162,1.83399306139292e-05,0.0523576199642176,1.32051727302619e-05
"Parabacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Parabacteroides merdae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Parabacteroides","N",0.06,NA,NA,NA,NA,NA,NA,0.0483246879304443,0.0393924173536359,0.0527417549480534,0.0358888170652877,0.0494133763244462,0.127746453613749,5.31716913915032e-05,0.113148586301995,0.000213283868248894,0.141995907445301,7.66248828858324e-05,0.0799989969721096,4.27931714325014e-05,0.119869011686767,6.33848291052571e-05
"Pediococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae ","Pediococcus","Pediococcus acidilactici","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Pediococcus","P",0.04,NA,NA,NA,NA,NA,NA,0.00684411652360551,0.00762745885186672,0.00246134030968641,0.02880469913718,0.0110156961050176,0.0180960837747635,5.31716913915032e-06,0.0219605977295577,1.37233588149422e-05,0.00661892019518338,8.12688151819435e-06,0.0642288909645994,1.7321045579822e-05,0.0267368488525326,3.96155181907857e-06
"Porphyromonadaceae","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonadaceae","Porphyromonas gingivalis","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonadaceae","N",NA,NA,NA,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Propionibacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","Propionibacterium acnes","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Propionibacteriaceae;D_5__Propionibacterium","P",0.06,NA,NA,0.05,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas","N",NA,NA,NA,0.05,0.018,0.046,0.121,0.022471984430007,0.0307723618981823,0.0898407466820096,0.0359034316067564,0.0468009828315115,2.84323288701867e-05,0.0361128835008242,0.00117225091551828,0.0464958832782588,9.24759955926334e-05,0.142797435156193,0.000939084862428456,0.0643171177780155,7.91811910736404e-05,0.0795268322507293
"Pyramidobacter","Bacteria","Eubacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Pyramidobacter piscolens","D_0__Bacteria;D_1__Synergistetes;D_2__Synergistia;D_3__Synergistales;D_4__Synergistaceae;D_5__Pyramidobacter","N",0.02,NA,NA,NA,NA,NA,NA,0.00480030690215675,0.00273318831514382,0.00262708467346535,0.00483516483516484,0.00206646227250277,0.012693941289428,2.65858456957516e-06,0.0078763635893914,1.14361323457852e-06,0.00707539745002361,2.32196614805553e-06,0.0107800422525499,4.07554013642871e-06,0.00500915296863482,5.28206909210476e-06
"Ralstonia","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Bukerholderiaceae","Ralstonia","Ralstonia pickettii","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Bukerholderiaceae;D_5__Ralstonia","N",0.06,NA,NA,NA,NA,NA,NA,0.014576198877889,0.011568343711781,0.0345704774970995,0.0284393356004609,0.0391540628776089,0.0385411153346485,1.06343382783006e-05,0.033322497098975,1.25797455803637e-05,0.0931469384542736,6.96589844416658e-06,0.0634201997279287,1.22266204092861e-05,0.0950419377522722,7.92310363815714e-06
"Rhodobacter","Bacteria","Eubacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodbacteraceae","Rhodobacter","Rhodobacter sphaeroides","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodbacteraceae;D_5__Rhodobacter","N",NA,0.1,0.4478,0.05,0.18,NA,NA,8.26783827446908e-07,2.61406178521748e-06,2.92060552914436e-06,1.12419549759703e-06,1.55314714205394e-06,0,1.32929228478758e-06,0,4.00264632102481e-06,1.96757437431135e-06,3.48294922208329e-06,0,2.03777006821435e-06,3.77053290826859e-06,0
"Saccharomyces","Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","D_0__Eukaryota;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Saccharomycetaceae;D_5__Saccharomyces","Y",NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmonella","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Salmonella","N",NA,NA,NA,NA,NA,0.103,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staphylococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus; Staphylococcus epidermidis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus","P",NA,0.1,0.4478,0.1,0.198,0.133,0.13,0.0413300967502435,0.0581034981748247,0.0249010827414848,0.108206627132458,0.0525421912421139,6.12388621819407e-05,0.0664127718402722,0.00217011739732309,0.087815201250198,6.68975287265859e-05,0.0395546933321259,0.00342534024586721,0.193356869577621,0.000209264576408907,0.0891983007583731
"Streptococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae; Streptococcus mutans","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus","P",NA,0.1,NA,0.1,0.198,NA,NA,3.72052722351109e-05,0.000151242146144726,3.86980232611627e-05,0.000713302043225317,9.55185492363175e-05,7.43614755066422e-05,1.46222151326634e-05,0.00026372954481357,9.14890587662815e-05,2.75460412403589e-05,4.52783398870828e-05,0.00155469323018863,2.95476659891081e-05,0.000179100313142758,3.69744836447333e-05
"Subdoligranulum","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Subdoligranulum variabile","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Subdoligranulum","N",0.02,NA,NA,NA,NA,NA,NA,0.00170234790071318,0.00308832728053551,0.00365367751695959,0.0112515106376999,0.00392946226939648,0.0044398175081907,3.85494762588398e-05,0.00770951428552975,0.000633561731956499,0.00964308200849992,0.00011958125662486,0.0248688227587028,0.000185437076207506,0.00923969089171218,0.000209962246411164
"Clostridium innocuum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65356765489382e-06,1.86718698944106e-06,7.30151382286089e-07,8.99356398077626e-06,3.88286785513486e-06,4.37420444156719e-06,0,4.30578848675217e-06,5.71806617289259e-07,0,1.16098307402776e-06,1.75529880827749e-05,2.03777006821435e-06,9.42633227067147e-06,0
"Eubacterium coprostanoligenes group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8189244203832e-05,0.00021509994118361,1.97140873217244e-05,0.00188583794721902,0.000126581492077396,3.28065333117539e-05,9.30504599351305e-06,0.000376756492590814,0.000129228295507373,5.90272312293405e-06,2.78635937766663e-05,0.00414752032698709,4.78875966030373e-05,0.000265822570032936,2.90513800065762e-05
"Eubacterium eligens group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32285412391505e-05,7.65546665670834e-05,1.46030276457218e-05,5.62097748798516e-05,2.7956648556971e-05,3.06194310909703e-05,2.65858456957516e-06,0.000152855491279702,3.60238168892233e-05,3.9351487486227e-06,2.08976953324997e-05,0.000122870916579424,2.03777006821435e-06,6.4099059440566e-05,2.64103454605238e-06
"Eubacterium hallii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53945164389428e-05,0.000343188968659266,2.19045414685827e-05,0.00269919338973047,0.000141336389926909,0.000120290622143098,1.59515074174509e-05,0.000585587234198294,0.000214427481483472,1.37730206201794e-05,2.67026107026386e-05,0.00594043268115624,6.52086421828593e-05,0.000290331033936681,3.69744836447333e-05
"Eubacterium rectale group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000310870719120037,0.00130740433000663,9.12689227857612e-05,0.00719485118462101,0.000633684033958009,0.000728305039520937,5.71595682458659e-05,0.00222501620052918,0.000819970689192798,7.08326774752086e-05,0.000103327493588471,0.0158541095933349,0.000157927180286612,0.00119525893192114,0.000240334143690767
"Eubacterium ventriosum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48035148234072e-06,2.98749918310569e-05,5.84121105828871e-06,0.000118040527247688,9.31888285232366e-06,4.37420444156719e-06,1.32929228478758e-06,6.88926157880346e-05,9.14890587662815e-06,3.9351487486227e-06,6.96589844416658e-06,0.000262041036378568,1.01888503410718e-06,2.07379309954772e-05,1.32051727302619e-06
"Eubacterium xylanophilum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44105444702217e-06,0.000116512468141122,8.03166520514698e-06,0.000164132542649167,6.13493121111308e-05,1.31226133247016e-05,3.98787685436274e-06,0.000240047708136433,5.08907889387441e-05,1.96757437431135e-06,1.16098307402776e-05,0.000354821116244664,9.16996530696459e-06,0.000118771786610461,2.1128276368419e-05
"Ruminococcus gauvreauii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47249207527701e-05,0.000204270256644852,1.09522707342913e-05,0.00142772828194823,5.35835764008611e-05,8.0922782168993e-05,6.6464614239379e-06,0.00036276268000887,0.000120079389630744,5.90272312293405e-06,1.39317968883332e-05,0.00314700000626892,3.05665510232153e-05,9.42633227067148e-05,2.50898281874976e-05
"Ruminococcus torques group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7283866305748e-05,9.18655998805e-05,1.31427248811496e-05,0.000479469379725134,6.13493121111308e-05,5.90517599611571e-05,7.97575370872547e-06,0.000185148904930343,4.23136896794052e-05,7.8702974972454e-06,1.62537630363887e-05,0.0010556868546926,1.12077353751789e-05,0.000107460187885655,2.90513800065762e-05
"Adlercreutzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.26783827446908e-07,8.58906015142887e-06,1.46030276457218e-06,0.000156263174165987,1.24251771364316e-05,2.1871022207836e-06,0,1.39938125819445e-05,5.71806617289259e-06,1.96757437431135e-06,1.16098307402776e-06,0.000343537052477165,4.07554013642871e-06,2.26231974496115e-05,5.28206909210476e-06
"Akkermansia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000151301440422784,0.00153184020613744,0.00030812388332473,0.00345633905736208,0.00341148769752149,0.00022527152874071,0.000106343382783006,0.00339403777468239,0.000542644479807507,0.00014560050369904,0.000404022109761662,0.00749512591134487,0.000174229340832327,0.00774090406067542,0.000378988457358516
"Ambiguous_taxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48035148234072e-05,2.61406178521748e-05,2.26346928508688e-05,4.55299176526798e-05,4.34881199775104e-05,1.74968177662688e-05,2.92444302653267e-05,1.93760481903847e-05,2.97339440990415e-05,1.37730206201794e-05,2.78635937766663e-05,2.8837051850273e-05,5.90953319782162e-05,1.88526645413429e-05,6.07437945592047e-05
"Anaerofilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7.30151382286089e-07,5.62097748798516e-07,2.32972071308092e-06,0,0,0,0,0,1.16098307402776e-06,1.25378486305535e-06,0,1.8852664541343e-06,2.64103454605238e-06
"Anaerotruncus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.60578081091931e-05,4.38090829371654e-06,9.55566172957477e-06,0.000148325552066152,0,0,4.19814377458336e-05,2.28722646915704e-06,3.9351487486227e-06,4.64393229611106e-06,2.00605578088856e-05,1.01888503410718e-06,0.00034688902756071,9.24362091118333e-06
