"","AC","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Ext","Zymo.Seq.200","Zymo.Seq.2000"
"Staphylococcus",0.00168433270544194,0.0760983433302122,0.551173279113751,0.0957227234373986,0.221807240638589,0.0990101436360598,0.231459791301027,0.22493686746988
"Stomatobaculum",0,0,0,0,0,5.90535952714605e-07,0,0
"Streptococcus",0.000390051668488141,0.0788285573901193,0.00710035235631633,0.0510871681703122,0.117800714034444,3.07078695411595e-05,0,0
"Subdoligranulum",0.0147389387059902,0,0,0,0.000104784928933364,0.000384734173193565,0,0.000169638554216867
"Succiniclasticum",2.83599211018775e-05,0,0,0,0,8.85803929071908e-07,0,0
"Sutterella",0,0,0,0,0,0,0,0
"Synergistes",0,0,0,0,0,0,0,0
"Thalassospira",0,0,0,0,0,0,0,0
"Treponema",0,0,0,0,0,0,0,0
"Turicibacter",0,0,0,0,0,0,0,0
"uncultured",0.00525151756403896,0,4.96776276803741e-05,0,0,0.000443787768465026,0,0.000188915662650602
"Veillonella",0,0,0,0,0,0,0,0
"Weissella",0,0,0,0,0,0,0,0
"uncultured bacterium",0,0,0,0,0,0,0,0
