"","Genus","value","Type"
"131","Propionibacterium",NA,"PC04924_MSA1001"
"132","Pseudomonas",1.69415432051706e-05,"PC04924_MSA1001"
"133","Pyramidobacter",8.47077160258528e-06,"PC04924_MSA1001"
"134","Ralstonia",0,"PC04924_MSA1001"
"135","Rhodobacter",0.0655383598892023,"PC04924_MSA1001"
"136","Saccharomyces",NA,"PC04924_MSA1001"
"137","Salmonella",NA,"PC04924_MSA1001"
"138","Streptococcus",0.0081149991952767,"PC04924_MSA1001"
"139","Subdoligranulum",8.47077160258528e-06,"PC04924_MSA1001"
"140","Clostridium innocuum group",0,"PC04924_MSA1001"
"141","Eubacterium coprostanoligenes group",0,"PC04924_MSA1001"
"142","Eubacterium eligens group",0,"PC04924_MSA1001"
"143","Eubacterium hallii group",1.69415432051706e-05,"PC04924_MSA1001"
"144","Eubacterium rectale group",0,"PC04924_MSA1001"
"145","Eubacterium ventriosum group",0,"PC04924_MSA1001"
"146","Eubacterium xylanophilum group",0,"PC04924_MSA1001"
"147","Ruminococcus gauvreauii group",0,"PC04924_MSA1001"
"148","Ruminococcus torques group",0,"PC04924_MSA1001"
"149","Adlercreutzia",0,"PC04924_MSA1001"
"150","Akkermansia",3.38830864103411e-05,"PC04924_MSA1001"
"151","Ambiguous_taxa",0.260332223662253,"PC04924_MSA1001"
"152","Anaerofilum",0,"PC04924_MSA1001"
"153","Anaerotruncus",0,"PC04924_MSA1001"
"154","Blautia",8.47077160258528e-06,"PC04924_MSA1001"
"155","Butyricicoccus",0,"PC04924_MSA1001"
"156","Candidatus Stoquefichus",8.47077160258528e-06,"PC04924_MSA1001"
"157","Carnobacterium",0,"PC04924_MSA1001"
"158","Christensenellaceae R-7 group",0,"PC04924_MSA1001"
"159","Clostridium sensu stricto 1",0.0232692095923018,"PC04924_MSA1001"
"160","Coprococcus 1",0,"PC04924_MSA1001"
"161","Coprococcus 2",8.47077160258528e-06,"PC04924_MSA1001"
"162","Coprococcus 3",0,"PC04924_MSA1001"
"163","Defluviitaleaceae UCG-011",0,"PC04924_MSA1001"
"164","Dialister",0,"PC04924_MSA1001"
"165","Dorea",8.47077160258528e-06,"PC04924_MSA1001"
"166","Eisenbergiella",0,"PC04924_MSA1001"
"167","Enterobacter",0.00459115820860122,"PC04924_MSA1001"
"168","Erwinia",8.47077160258528e-06,"PC04924_MSA1001"
"169","Erysipelatoclostridium",0,"PC04924_MSA1001"
"170","Erysipelotrichaceae UCG-003",1.69415432051706e-05,"PC04924_MSA1001"
"171","Faecalibacterium",8.47077160258528e-06,"PC04924_MSA1001"
"172","Family XIII AD3011 group",0,"PC04924_MSA1001"
"173","Flavonifractor",0,"PC04924_MSA1001"
"174","Fusicatenibacter",0,"PC04924_MSA1001"
"175","Gordonibacter",0,"PC04924_MSA1001"
"176","Gossypium arboreum",0,"PC04924_MSA1001"
"177","Holdemania",0,"PC04924_MSA1001"
"178","Hungatella",0,"PC04924_MSA1001"
"179","Intestinibacter",8.47077160258528e-06,"PC04924_MSA1001"
"180","Intestinimonas",0,"PC04924_MSA1001"
"181","Kluyvera",0,"PC04924_MSA1001"
"182","Lachnospira",0,"PC04924_MSA1001"
"183","Lachnospiraceae FCS020 group",0,"PC04924_MSA1001"
"184","Lachnospiraceae ND3007 group",0,"PC04924_MSA1001"
"185","Lachnospiraceae NK4A136 group",2.54123148077558e-05,"PC04924_MSA1001"
"186","Lachnospiraceae UCG-001",0,"PC04924_MSA1001"
"187","Lachnospiraceae UCG-004",0,"PC04924_MSA1001"
"188","Lachnospiraceae UCG-008",0,"PC04924_MSA1001"
"189","Lactonifactor",0,"PC04924_MSA1001"
"190","Marvinbryantia",0,"PC04924_MSA1001"
"191","Odoribacter",0,"PC04924_MSA1001"
"192","Oryza sativa Indica Group (long-grained rice)",0,"PC04924_MSA1001"
"193","Other",0.000330360092500826,"PC04924_MSA1001"
"194","Oxalobacter",0,"PC04924_MSA1001"
"195","Parasutterella",0,"PC04924_MSA1001"
"196","Phascolarctobacterium",0,"PC04924_MSA1001"
"197","Porphyromonas",0,"PC04924_MSA1001"
"198","Raoultella",0.00016094466044912,"PC04924_MSA1001"
"199","Roseburia",0,"PC04924_MSA1001"
"200","Ruminiclostridium",0,"PC04924_MSA1001"
"201","Ruminiclostridium 5",8.47077160258528e-06,"PC04924_MSA1001"
"202","Ruminiclostridium 9",0,"PC04924_MSA1001"
"203","Ruminococcaceae NK4A214 group",8.47077160258528e-06,"PC04924_MSA1001"
"204","Ruminococcaceae UCG-002",1.69415432051706e-05,"PC04924_MSA1001"
"205","Ruminococcaceae UCG-003",8.47077160258528e-06,"PC04924_MSA1001"
"206","Ruminococcaceae UCG-004",0,"PC04924_MSA1001"
"207","Ruminococcaceae UCG-005",3.38830864103411e-05,"PC04924_MSA1001"
"208","Ruminococcaceae UCG-013",0,"PC04924_MSA1001"
"209","Ruminococcaceae UCG-014",8.47077160258528e-06,"PC04924_MSA1001"
"210","Ruminococcus 1",2.54123148077558e-05,"PC04924_MSA1001"
"211","Ruminococcus 2",6.77661728206822e-05,"PC04924_MSA1001"
"212","Sellimonas",0,"PC04924_MSA1001"
"213","Serratia",0.00996162740464029,"PC04924_MSA1001"
"214","Succiniclasticum",0,"PC04924_MSA1001"
"215","Tyzzerella",0,"PC04924_MSA1001"
"216","Tyzzerella 3",0,"PC04924_MSA1001"
"217","Acinetobacter",0.0767724273480275,"PC04924_MSA1002"
"218","Actinomyces",0.0128597501052927,"PC04924_MSA1002"
"219","Alistipes",7.72146567457532e-05,"PC04924_MSA1002"
"220","Anaerostipes",2.80780569984557e-05,"PC04924_MSA1002"
"221","Bacteroides",0.064291731012214,"PC04924_MSA1002"
"222","Bifidobacterium",0.0375473817211849,"PC04924_MSA1002"
"223","Bilophila",7.01951424961393e-06,"PC04924_MSA1002"
"224","Clostridium",NA,"PC04924_MSA1002"
"225","Lachnoclostridium",7.72146567457532e-05,"PC04924_MSA1002"
"226","Collinsella",0,"PC04924_MSA1002"
"227","Coprobacillus",NA,"PC04924_MSA1002"
"228","Cryptococcus",NA,"PC04924_MSA1002"
"229","Deinococcus",0.00764425101782957,"PC04924_MSA1002"
"230","Enterococcus",0.023782114277692,"PC04924_MSA1002"
"231","Fusobacterium",0.000147409799241892,"PC04924_MSA1002"
"232","Helicobacter",0.0312438579250316,"PC04924_MSA1002"
"233","Listeria",0.000112312227993823,"PC04924_MSA1002"
"234","Neisseria",0.0259722027235715,"PC04924_MSA1002"
"235","Paenibacillus",2.10585427488418e-05,"PC04924_MSA1002"
"236","Parabacteroides",4.21170854976836e-05,"PC04924_MSA1002"
"237","Pediococcus",2.10585427488418e-05,"PC04924_MSA1002"
"238","Porphyromonadaceae",NA,"PC04924_MSA1002"
"239","Propionibacterium",NA,"PC04924_MSA1002"
"240","Pseudomonas",0.0105362908886705,"PC04924_MSA1002"
"241","Pyramidobacter",1.40390284992279e-05,"PC04924_MSA1002"
"242","Ralstonia",1.40390284992279e-05,"PC04924_MSA1002"
"243","Rhodobacter",0.00341850343956198,"PC04924_MSA1002"
"244","Saccharomyces",NA,"PC04924_MSA1002"
"245","Salmonella",NA,"PC04924_MSA1002"
"246","Streptococcus",0.0942931349150639,"PC04924_MSA1002"
"247","Subdoligranulum",3.50975712480696e-05,"PC04924_MSA1002"
"248","Clostridium innocuum group",0,"PC04924_MSA1002"
"249","Eubacterium coprostanoligenes group",7.01951424961393e-06,"PC04924_MSA1002"
"250","Eubacterium eligens group",0,"PC04924_MSA1002"
"251","Eubacterium hallii group",7.01951424961393e-06,"PC04924_MSA1002"
"252","Eubacterium rectale group",2.80780569984557e-05,"PC04924_MSA1002"
"253","Eubacterium ventriosum group",0,"PC04924_MSA1002"
"254","Eubacterium xylanophilum group",7.01951424961393e-06,"PC04924_MSA1002"
"255","Ruminococcus gauvreauii group",0,"PC04924_MSA1002"
"256","Ruminococcus torques group",7.01951424961393e-06,"PC04924_MSA1002"
"257","Adlercreutzia",0,"PC04924_MSA1002"
"258","Akkermansia",0.000119331742243437,"PC04924_MSA1002"
"259","Ambiguous_taxa",0.198785624034817,"PC04924_MSA1002"
"260","Anaerofilum",0,"PC04924_MSA1002"
"261","Anaerotruncus",7.01951424961393e-06,"PC04924_MSA1002"
"262","Blautia",4.91365997472975e-05,"PC04924_MSA1002"
"263","Butyricicoccus",0,"PC04924_MSA1002"
"264","Candidatus Stoquefichus",0,"PC04924_MSA1002"
"265","Carnobacterium",0,"PC04924_MSA1002"
"266","Christensenellaceae R-7 group",0,"PC04924_MSA1002"
"267","Clostridium sensu stricto 1",0.162887828162291,"PC04924_MSA1002"
"268","Coprococcus 1",0,"PC04924_MSA1002"
"269","Coprococcus 2",2.80780569984557e-05,"PC04924_MSA1002"
"270","Coprococcus 3",0,"PC04924_MSA1002"
"271","Defluviitaleaceae UCG-011",0,"PC04924_MSA1002"
"272","Dialister",7.01951424961393e-06,"PC04924_MSA1002"
"273","Dorea",0,"PC04924_MSA1002"
"274","Eisenbergiella",7.01951424961393e-06,"PC04924_MSA1002"
"275","Enterobacter",0.00233749824512144,"PC04924_MSA1002"
"276","Erwinia",4.91365997472975e-05,"PC04924_MSA1002"
"277","Erysipelatoclostridium",0,"PC04924_MSA1002"
"278","Erysipelotrichaceae UCG-003",0,"PC04924_MSA1002"
"279","Faecalibacterium",1.40390284992279e-05,"PC04924_MSA1002"
"280","Family XIII AD3011 group",0,"PC04924_MSA1002"
"281","Flavonifractor",0,"PC04924_MSA1002"
"282","Fusicatenibacter",0,"PC04924_MSA1002"
"283","Gordonibacter",0,"PC04924_MSA1002"
"284","Gossypium arboreum",7.01951424961393e-06,"PC04924_MSA1002"
"285","Holdemania",0,"PC04924_MSA1002"
"286","Hungatella",0,"PC04924_MSA1002"
"287","Intestinibacter",0,"PC04924_MSA1002"
"288","Intestinimonas",0,"PC04924_MSA1002"
"289","Kluyvera",0,"PC04924_MSA1002"
"290","Lachnospira",0,"PC04924_MSA1002"
"291","Lachnospiraceae FCS020 group",7.01951424961393e-06,"PC04924_MSA1002"
"292","Lachnospiraceae ND3007 group",0,"PC04924_MSA1002"
"293","Lachnospiraceae NK4A136 group",2.80780569984557e-05,"PC04924_MSA1002"
"294","Lachnospiraceae UCG-001",1.40390284992279e-05,"PC04924_MSA1002"
"295","Lachnospiraceae UCG-004",0,"PC04924_MSA1002"
"296","Lachnospiraceae UCG-008",0,"PC04924_MSA1002"
"297","Lactonifactor",0,"PC04924_MSA1002"
"298","Marvinbryantia",0,"PC04924_MSA1002"
"299","Odoribacter",0,"PC04924_MSA1002"
"300","Oryza sativa Indica Group (long-grained rice)",0,"PC04924_MSA1002"
"301","Other",0.00255510318685947,"PC04924_MSA1002"
"302","Oxalobacter",0,"PC04924_MSA1002"
"303","Parasutterella",0,"PC04924_MSA1002"
"304","Phascolarctobacterium",7.01951424961393e-06,"PC04924_MSA1002"
"305","Porphyromonas",0.0549417380317282,"PC04924_MSA1002"
"306","Raoultella",0.000175487856240348,"PC04924_MSA1002"
"307","Roseburia",2.80780569984557e-05,"PC04924_MSA1002"
"308","Ruminiclostridium",0,"PC04924_MSA1002"
"309","Ruminiclostridium 5",1.40390284992279e-05,"PC04924_MSA1002"
"310","Ruminiclostridium 9",0,"PC04924_MSA1002"
"311","Ruminococcaceae NK4A214 group",2.10585427488418e-05,"PC04924_MSA1002"
"312","Ruminococcaceae UCG-002",7.01951424961393e-05,"PC04924_MSA1002"
"313","Ruminococcaceae UCG-003",7.01951424961393e-06,"PC04924_MSA1002"
"314","Ruminococcaceae UCG-004",0,"PC04924_MSA1002"
"315","Ruminococcaceae UCG-005",2.10585427488418e-05,"PC04924_MSA1002"
"316","Ruminococcaceae UCG-013",0,"PC04924_MSA1002"
"317","Ruminococcaceae UCG-014",3.50975712480696e-05,"PC04924_MSA1002"
"318","Ruminococcus 1",7.72146567457532e-05,"PC04924_MSA1002"
"319","Ruminococcus 2",9.12536852449811e-05,"PC04924_MSA1002"
"320","Sellimonas",0,"PC04924_MSA1002"
"321","Serratia",0.00482240628948477,"PC04924_MSA1002"
"322","Succiniclasticum",0,"PC04924_MSA1002"
"323","Tyzzerella",0,"PC04924_MSA1002"
"324","Tyzzerella 3",0,"PC04924_MSA1002"
"325","Acinetobacter",0.002366588582614,"PC04924_MSA1003"
"326","Actinomyces",4.01116708917627e-05,"PC04924_MSA1003"
"327","Alistipes",7.22010076051728e-05,"PC04924_MSA1003"
"328","Anaerostipes",4.01116708917627e-05,"PC04924_MSA1003"
"329","Bacteroides",0.000617719731733145,"PC04924_MSA1003"
"330","Bifidobacterium",8.02233417835253e-05,"PC04924_MSA1003"
"331","Bilophila",1.60446683567051e-05,"PC04924_MSA1003"
"332","Clostridium",NA,"PC04924_MSA1003"
"333","Lachnoclostridium",5.61563392484677e-05,"PC04924_MSA1003"
"334","Collinsella",0,"PC04924_MSA1003"
"335","Coprobacillus",NA,"PC04924_MSA1003"
"336","Cryptococcus",NA,"PC04924_MSA1003"
"337","Deinococcus",2.40670025350576e-05,"PC04924_MSA1003"
"338","Enterococcus",0.000240670025350576,"PC04924_MSA1003"
"339","Fusobacterium",0.000136379681031993,"PC04924_MSA1003"
"340","Helicobacter",0.000930590764688894,"PC04924_MSA1003"
"341","Listeria",8.02233417835253e-05,"PC04924_MSA1003"
"342","Neisseria",0.000681898405159965,"PC04924_MSA1003"
"343","Paenibacillus",8.02233417835253e-06,"PC04924_MSA1003"
"344","Parabacteroides",0.000112312678496935,"PC04924_MSA1003"
"345","Pediococcus",8.02233417835253e-06,"PC04924_MSA1003"
"346","Porphyromonadaceae",NA,"PC04924_MSA1003"
"347","Propionibacterium",NA,"PC04924_MSA1003"
"348","Pseudomonas",0.00267945961556975,"PC04924_MSA1003"
"349","Pyramidobacter",8.02233417835253e-06,"PC04924_MSA1003"
"350","Ralstonia",1.60446683567051e-05,"PC04924_MSA1003"
"351","Rhodobacter",0.0104531014343934,"PC04924_MSA1003"
"352","Saccharomyces",NA,"PC04924_MSA1003"
"353","Salmonella",NA,"PC04924_MSA1003"
"354","Streptococcus",0.157462375252704,"PC04924_MSA1003"
"355","Subdoligranulum",2.40670025350576e-05,"PC04924_MSA1003"
"356","Clostridium innocuum group",0,"PC04924_MSA1003"
"357","Eubacterium coprostanoligenes group",0,"PC04924_MSA1003"
"358","Eubacterium eligens group",0,"PC04924_MSA1003"
"359","Eubacterium hallii group",8.02233417835253e-06,"PC04924_MSA1003"
"360","Eubacterium rectale group",3.20893367134101e-05,"PC04924_MSA1003"
"361","Eubacterium ventriosum group",0,"PC04924_MSA1003"
"362","Eubacterium xylanophilum group",0,"PC04924_MSA1003"
"363","Ruminococcus gauvreauii group",0,"PC04924_MSA1003"
"364","Ruminococcus torques group",0,"PC04924_MSA1003"
"365","Adlercreutzia",0,"PC04924_MSA1003"
"366","Akkermansia",0.000104290344318583,"PC04924_MSA1003"
"367","Ambiguous_taxa",0.0810175528671822,"PC04924_MSA1003"
"368","Anaerofilum",0,"PC04924_MSA1003"
"369","Anaerotruncus",8.02233417835253e-06,"PC04924_MSA1003"
"370","Blautia",2.40670025350576e-05,"PC04924_MSA1003"
"371","Butyricicoccus",1.60446683567051e-05,"PC04924_MSA1003"
"372","Candidatus Stoquefichus",8.02233417835253e-06,"PC04924_MSA1003"
"373","Carnobacterium",0,"PC04924_MSA1003"
"374","Christensenellaceae R-7 group",0,"PC04924_MSA1003"
"375","Clostridium sensu stricto 1",0.0609135834162308,"PC04924_MSA1003"
"376","Coprococcus 1",0,"PC04924_MSA1003"
"377","Coprococcus 2",3.20893367134101e-05,"PC04924_MSA1003"
"378","Coprococcus 3",0,"PC04924_MSA1003"
"379","Defluviitaleaceae UCG-011",0,"PC04924_MSA1003"
"380","Dialister",0,"PC04924_MSA1003"
"381","Dorea",1.60446683567051e-05,"PC04924_MSA1003"
"382","Eisenbergiella",8.02233417835253e-06,"PC04924_MSA1003"
"383","Enterobacter",0.00762121746943491,"PC04924_MSA1003"
"384","Erwinia",0.000104290344318583,"PC04924_MSA1003"
"385","Erysipelatoclostridium",0,"PC04924_MSA1003"
"386","Erysipelotrichaceae UCG-003",0,"PC04924_MSA1003"
"387","Faecalibacterium",4.01116708917627e-05,"PC04924_MSA1003"
"388","Family XIII AD3011 group",0,"PC04924_MSA1003"
"389","Flavonifractor",8.02233417835253e-06,"PC04924_MSA1003"
"390","Fusicatenibacter",1.60446683567051e-05,"PC04924_MSA1003"
"391","Gordonibacter",0,"PC04924_MSA1003"
"392","Gossypium arboreum",0,"PC04924_MSA1003"
"393","Holdemania",0,"PC04924_MSA1003"
"394","Hungatella",0,"PC04924_MSA1003"
"395","Intestinibacter",2.40670025350576e-05,"PC04924_MSA1003"
"396","Intestinimonas",0,"PC04924_MSA1003"
"397","Kluyvera",8.02233417835253e-06,"PC04924_MSA1003"
"398","Lachnospira",1.60446683567051e-05,"PC04924_MSA1003"
"399","Lachnospiraceae FCS020 group",0,"PC04924_MSA1003"
"400","Lachnospiraceae ND3007 group",0,"PC04924_MSA1003"
"401","Lachnospiraceae NK4A136 group",3.20893367134101e-05,"PC04924_MSA1003"
"402","Lachnospiraceae UCG-001",8.02233417835253e-06,"PC04924_MSA1003"
"403","Lachnospiraceae UCG-004",0,"PC04924_MSA1003"
"404","Lachnospiraceae UCG-008",0,"PC04924_MSA1003"
"405","Lactonifactor",0,"PC04924_MSA1003"
"406","Marvinbryantia",0,"PC04924_MSA1003"
"407","Odoribacter",0,"PC04924_MSA1003"
"408","Oryza sativa Indica Group (long-grained rice)",0,"PC04924_MSA1003"
"409","Other",0.00340949202579983,"PC04924_MSA1003"
"410","Oxalobacter",8.02233417835253e-06,"PC04924_MSA1003"
"411","Parasutterella",0,"PC04924_MSA1003"
"412","Phascolarctobacterium",8.02233417835253e-06,"PC04924_MSA1003"
"413","Porphyromonas",0.178360555787312,"PC04924_MSA1003"
"414","Raoultella",0.000489362384879505,"PC04924_MSA1003"
"415","Roseburia",4.81340050701152e-05,"PC04924_MSA1003"
"416","Ruminiclostridium",0,"PC04924_MSA1003"
"417","Ruminiclostridium 5",0,"PC04924_MSA1003"
"418","Ruminiclostridium 9",0,"PC04924_MSA1003"
"419","Ruminococcaceae NK4A214 group",3.20893367134101e-05,"PC04924_MSA1003"
"420","Ruminococcaceae UCG-002",4.81340050701152e-05,"PC04924_MSA1003"
"421","Ruminococcaceae UCG-003",0,"PC04924_MSA1003"
"422","Ruminococcaceae UCG-004",0,"PC04924_MSA1003"
"423","Ruminococcaceae UCG-005",3.20893367134101e-05,"PC04924_MSA1003"
"424","Ruminococcaceae UCG-013",1.60446683567051e-05,"PC04924_MSA1003"
"425","Ruminococcaceae UCG-014",8.02233417835253e-06,"PC04924_MSA1003"
"426","Ruminococcus 1",5.61563392484677e-05,"PC04924_MSA1003"
"427","Ruminococcus 2",4.81340050701152e-05,"PC04924_MSA1003"
"428","Sellimonas",0,"PC04924_MSA1003"
"429","Serratia",0.0170394377948208,"PC04924_MSA1003"
"430","Succiniclasticum",0,"PC04924_MSA1003"
"431","Tyzzerella",8.02233417835253e-06,"PC04924_MSA1003"
"432","Tyzzerella 3",0,"PC04924_MSA1003"
"433","Acinetobacter",0,"PC04924_Seq200"
"434","Actinomyces",0,"PC04924_Seq200"
"435","Alistipes",4.81978037867408e-05,"PC04924_Seq200"
"436","Anaerostipes",0,"PC04924_Seq200"
"437","Bacteroides",0.000240989018933704,"PC04924_Seq200"
"438","Bifidobacterium",8.03296729779013e-06,"PC04924_Seq200"
"439","Bilophila",8.03296729779013e-06,"PC04924_Seq200"
"440","Clostridium",NA,"PC04924_Seq200"
