,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Naming,Gram,Art.Col,MSA1000,MSA1001,MSA1002,MSA1003,Zymo.Ext,Zymo.Seq,PC04924_OB,PC04925_OB,PC07578_OB,PC04924_MSA1000,PC04924_MSA1001,PC04924_MSA1002,PC04924_MSA1003,PC04924_Seq200,PC04924_Seq2000,PC04925_MSA1000,PC04925_MSA1001,PC04925_MSA1002,PC04925_MSA1003,PC04925_Seq200,PC04925_Seq2000,PC07578_MSA1000,PC07578_MSA1001,PC07578_MSA1002,PC07578_MSA1003,PC07578_Seq200,PC07578_Seq2000
Listeria,Bacteria,Eubacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Listeriaceae;D_5__Listeria,P,NA,NA,NA,NA,NA,0.159,0.125,0.043620937,0.069327011,0.064507619,0.000128564,0.000127062,0.000112312,8.02E-05,0.1653265,0.157609145,8.08E-05,9.00E-05,8.63E-05,0.000154144,0.163687309,0.157436795,NA,6.45E-05,5.18E-05,7.41E-05,0.152109388,0.152752601
Neisseria,Bacteria,Eubacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis,D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Neisseriales;D_4__Neisseriaceae;D_5__Neisseria,N,NA,NA,NA,0.05,0.0018,NA,NA,0.000798925,0.001697755,0.001327974,0,0,0.025972203,0.000681898,0,0,0,0,0.027725461,0.000763381,8.87E-06,0,NA,0,0.030935312,0.000835191,0,0
Paenibacillus,Bacteria,Eubacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae ,Paenibacillus,Paenibacillus barengoltzii,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Paenibacillaceae ;D_5__Paenibacillus,P,0.04,NA,NA,NA,NA,NA,NA,0.019890243,0.010221063,0.010365671,1.43E-05,0,2.11E-05,8.02E-06,4.02E-05,8.26E-06,2.02E-05,1.80E-05,7.85E-06,2.20E-05,8.87E-06,1.67E-05,NA,7.16E-06,6.48E-06,1.35E-05,0,1.39E-05
Parabacteroides,Bacteria,Eubacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides merdae,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Parabacteroides,N,0.06,NA,NA,NA,NA,NA,NA,0.049189791,0.023084892,0.021949622,7.14E-06,3.39E-05,4.21E-05,0.000112313,4.82E-05,3.30E-05,3.37E-05,1.80E-05,7.85E-05,0.000102763,1.77E-05,5.86E-05,NA,1.43E-05,6.48E-06,3.37E-05,1.42E-05,1.39E-05
Pediococcus,Bacteria,Eubacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae ,Pediococcus,Pediococcus acidilactici,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Pediococcus,P,0.04,NA,NA,NA,NA,NA,NA,0.011131171,0.00500553,0.009216458,1.43E-05,8.47E-06,2.11E-05,8.02E-06,1.61E-05,1.65E-05,2.02E-05,0,7.85E-06,2.20E-05,0,0,NA,7.16E-06,6.48E-06,2.69E-05,7.12E-06,1.39E-05
Porphyromonadaceae,Bacteria,Eubacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae,Porphyromonas gingivalis,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonadaceae,N,NA,NA,NA,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Propionibacterium,Bacteria,Eubacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium acnes,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Propionibacteriaceae;D_5__Propionibacterium,P,0.06,NA,NA,0.05,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudomonas,Bacteria,Eubacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas,N,NA,NA,NA,0.05,0.018,0.046,0.121,0.032521613,0.038122483,0.044589096,4.29E-05,1.69E-05,0.010536291,0.00267946,0.043578848,0.050199045,6.74E-06,5.40E-05,0.009982108,0.002334185,0.044938639,0.051652668,NA,7.16E-06,0.010063528,0.002593134,0.057242101,0.052890649
Pyramidobacter,Bacteria,Eubacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter,Pyramidobacter piscolens,D_0__Bacteria;D_1__Synergistetes;D_2__Synergistia;D_3__Synergistales;D_4__Synergistaceae;D_5__Pyramidobacter,N,0.02,NA,NA,NA,NA,NA,NA,0.003828429,0.000968812,0.002103144,0,8.47E-06,1.40E-05,8.02E-06,0,0,0,0,0,0,0,0,NA,1.43E-05,0,6.74E-06,0,0
Ralstonia,Bacteria,Eubacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Bukerholderiaceae,Ralstonia,Ralstonia pickettii,D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Bukerholderiaceae;D_5__Ralstonia,N,0.06,NA,NA,NA,NA,NA,NA,0.023804301,0.01891144,0.011807943,7.14E-06,0,1.40E-05,1.60E-05,1.61E-05,8.26E-06,0,9.00E-06,7.85E-06,1.47E-05,1.77E-05,8.37E-06,NA,0,0,6.74E-06,0,0
Rhodobacter,Bacteria,Eubacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodbacteraceae,Rhodobacter,Rhodobacter sphaeroides,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodbacteraceae;D_5__Rhodobacter,N,NA,0.1,0.4478,0.05,0.18,NA,NA,0.00214031,0.004475857,0.002959299,0.004385464,0.06553836,0.003418503,0.010453101,0,0,0.00439941,0.063916302,0.002997771,0.010613935,0,8.37E-06,NA,0.062906864,0.003147281,0.011120166,0,0
Saccharomyces,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,D_0__Eukaryota;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Saccharomycetaceae;D_5__Saccharomyces,Y,NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmonella,Bacteria,Eubacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Salmonella,N,NA,NA,NA,NA,NA,0.103,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Staphylococcus,Bacteria,Eubacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus; Staphylococcus epidermidis,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus,P,NA,0.1,0.4478,0.1,0.198,0.133,0.13,0.074680103,0.129544574,0.106194295,0.08793069,0.54693231,0.111497964,0.201970285,0.223862733,0.218561588,0.084835174,0.543356033,0.10609913,0.190507648,0.222210399,0.217832229,NA,0.549554195,0.108529391,0.200748978,0.23320355,0.2233734
Streptococcus,Bacteria,Eubacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae; Streptococcus mutans,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus,P,NA,0.1,NA,0.1,0.198,NA,NA,0.009936158,0.024304775,0.010891389,0.085223702,0.008114999,0.094293135,0.157462375,0,1.65E-05,0.118130554,0.009328811,0.097749317,0.153520362,3.55E-05,1.67E-05,NA,0.008837326,0.094127018,0.160552034,7.12E-06,6.97E-06
Subdoligranulum,Bacteria,Eubacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,Subdoligranulum variabile,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Subdoligranulum,N,0.02,NA,NA,NA,NA,NA,NA,0.005372709,0.002038426,0.002891857,1.43E-05,8.47E-06,3.51E-05,2.41E-05,8.03E-06,0,6.74E-06,4.50E-05,7.06E-05,0.000146804,7.09E-05,0.000376843,NA,2.15E-05,1.94E-05,1.35E-05,7.12E-06,0
Clostridium innocuum group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53E-06,0,4.88E-06,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.74E-06,0,0
Eubacterium coprostanoligenes group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000540139,8.49E-05,0.000386502,7.14E-06,0,7.02E-06,0,0,0,1.35E-05,0,2.35E-05,5.87E-05,3.55E-05,3.35E-05,NA,0,6.48E-06,1.35E-05,0,6.97E-06
Eubacterium eligens group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94E-05,1.82E-05,4.14E-05,0,0,0,0,0,0,0,0,0,7.34E-06,0,8.37E-06,NA,0,0,0,0,0
Eubacterium hallii group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000823602,7.84E-05,0.000529239,7.14E-06,1.69E-05,7.02E-06,8.02E-06,1.61E-05,8.26E-06,2.69E-05,9.00E-06,1.57E-05,2.20E-05,0,4.19E-05,NA,7.16E-06,0,6.74E-06,1.42E-05,0
Eubacterium rectale group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00240479,0.000359805,0.001505651,7.14E-06,0,2.81E-05,3.21E-05,4.02E-05,1.65E-05,7.41E-05,2.70E-05,0.000125561,8.81E-05,8.87E-05,0.000209357,NA,7.16E-06,5.18E-05,5.39E-05,7.12E-06,2.09E-05
Eubacterium ventriosum group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28E-05,5.60E-06,2.71E-05,0,0,0,0,0,0,0,0,0,0,8.87E-06,0,NA,0,0,0,0,6.97E-06
Eubacterium xylanophilum group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69E-05,2.66E-05,6.42E-05,0,0,7.02E-06,0,0,0,0,0,0,0,0,8.37E-06,NA,0,0,6.74E-06,0,0
Ruminococcus gauvreauii group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000461681,4.48E-05,0.000254327,7.14E-06,0,0,0,0,1.65E-05,0,9.00E-06,7.85E-06,1.47E-05,8.87E-06,8.37E-06,NA,7.16E-06,0,0,0,6.97E-06
Ruminococcus torques group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000156917,3.92E-05,0.000111048,7.14E-06,0,7.02E-06,0,8.03E-06,0,6.74E-06,9.00E-06,0,1.47E-05,0,8.37E-06,NA,0,0,6.74E-06,0,0
Adlercreutzia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89E-05,7.93E-06,1.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Akkermansia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001568534,0.000541807,0.001864255,8.57E-05,3.39E-05,0.000119332,0.00010429,8.84E-05,8.26E-05,8.08E-05,0.000107952,0.000172647,0.000183505,9.75E-05,0.000318223,NA,5.01E-05,5.18E-05,0.000107767,4.98E-05,4.88E-05
Ambiguous_taxa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024842187,0.052347596,0.021194765,0.346315925,0.260332224,0.198785624,0.081017553,6.43E-05,0.000115628,0.325482217,0.25888576,0.193952663,0.075405913,4.43E-05,8.37E-05,NA,0.256275289,0.200804305,0.076702881,2.85E-05,4.18E-05
Anaerofilum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11E-07,9.33E-07,5.42E-07,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
Anaerotruncus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18E-05,6.07E-06,5.31E-05,7.14E-06,0,7.02E-06,8.02E-06,0,0,0,0,7.85E-06,0,8.87E-06,0,NA,0,6.48E-06,6.74E-06,7.12E-06,0
Blautia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002365561,0.000267403,0.001405978,2.14E-05,8.47E-06,4.91E-05,2.41E-05,1.61E-05,1.65E-05,2.69E-05,5.40E-05,7.85E-05,9.54E-05,0.000115273,0.00011724,NA,7.16E-06,3.24E-05,4.71E-05,1.42E-05,6.97E-06
Butyricicoccus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00023896,7.70E-05,0.000174698,0,0,0,1.60E-05,8.03E-06,0,0,0,2.35E-05,1.47E-05,0,0.000100492,NA,0,0,0,0,6.97E-06
Candidatus Stoquefichus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012034496,0.005979942,0.006397188,1.43E-05,8.47E-06,0,8.02E-06,8.03E-06,1.65E-05,1.35E-05,9.00E-06,0,1.47E-05,0,0,NA,0,6.48E-06,0,7.12E-06,6.97E-06
Carnobacterium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024803,0.000346738,0.000294684,0,0,0,0,0.00094789,0.0007681,0,0,0,0,0.001117259,0.000929547,NA,0,6.48E-06,0,0.000740261,0.001080682
Christensenellaceae R-7 group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.50E-05,1.40E-05,8.75E-05,1.43E-05,0,0,0,8.03E-06,0,0,0,0,7.34E-06,0,1.67E-05,NA,7.16E-06,0,6.74E-06,0,0
Clostridium sensu stricto 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013186484,0.03104026,0.010852658,0.205995372,0.02326921,0.162887828,0.060913583,8.03E-06,8.26E-06,0.19858653,0.024127167,0.171587092,0.091326815,1.77E-05,3.35E-05,NA,0.024879149,0.166384966,0.072877166,7.12E-06,0
Coprococcus 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.93E-05,1.26E-05,6.26E-05,0,0,0,0,0,0,0,9.00E-06,0,0,0,8.37E-06,NA,0,0,0,0,0
Coprococcus 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000806096,0.00023147,0.000798734,1.43E-05,8.47E-06,2.81E-05,3.21E-05,1.61E-05,1.65E-05,2.69E-05,9.00E-06,6.28E-05,0.000124783,5.32E-05,0.000142363,NA,1.43E-05,2.59E-05,2.02E-05,0,2.79E-05
Coprococcus 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88E-05,1.17E-05,5.25E-05,0,0,0,0,0,0,0,9.00E-06,0,7.34E-06,0,0,NA,0,0,0,0,0
