"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB"
"Neisseria","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Neisseriales;D_4__Neisseriaceae;D_5__Neisseria","N",NA,NA,NA,0.05,0.0018,NA,NA,0,0,0,0
"Paenibacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae ","Paenibacillus","Paenibacillus barengoltzii","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Paenibacillaceae ;D_5__Paenibacillus","P",0.04,NA,NA,NA,NA,NA,NA,6.67790781148266e-06,0.00188301674130117,0.00180082730365299,0.000106324807096421
"Parabacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Parabacteroides merdae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Parabacteroides","N",0.06,NA,NA,NA,NA,NA,NA,0.0152924088882953,0.00577728433890252,0.0126763883421261,0.0104046418372927
"Pediococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae ","Pediococcus","Pediococcus acidilactici","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Pediococcus","P",0.04,NA,NA,NA,NA,NA,NA,3.0050585151672e-05,0.0041068662619418,0.00036734483868536,0.000129108694331369
"Porphyromonadaceae","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonadaceae","Porphyromonas gingivalis","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonadaceae","N",NA,NA,NA,0.05,0.18,NA,NA,NA,NA,NA,NA
"Propionibacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","Propionibacterium acnes","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Propionibacteriaceae;D_5__Propionibacterium","P",0.06,NA,NA,0.05,0.0018,NA,NA,NA,NA,NA,NA
"Pseudomonas","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas","N",NA,NA,NA,0.05,0.018,0.046,0.121,0.0111487670912703,0.00150506356025147,0.00136527837439738,0.00023543350142779
"Pyramidobacter","Bacteria","Eubacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Pyramidobacter piscolens","D_0__Bacteria;D_1__Synergistetes;D_2__Synergistia;D_3__Synergistales;D_4__Synergistaceae;D_5__Pyramidobacter","N",0.02,NA,NA,NA,NA,NA,NA,3.33895390574133e-06,0.000428571910654568,0.000247688539439315,3.03785163132633e-05
"Ralstonia","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Bukerholderiaceae","Ralstonia","Ralstonia pickettii","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Bukerholderiaceae;D_5__Ralstonia","N",0.06,NA,NA,NA,NA,NA,NA,2.67116312459307e-05,0.00374578599076039,0.00078733844903898,0.000136703323409685
"Rhodobacter","Bacteria","Eubacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodbacteraceae","Rhodobacter","Rhodobacter sphaeroides","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodbacteraceae;D_5__Rhodobacter","N",NA,0.1,0.4478,0.05,0.18,NA,NA,6.67790781148266e-06,0,1.19656299246046e-06,0
"Saccharomyces","Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","D_0__Eukaryota;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Saccharomycetaceae;D_5__Saccharomyces","Y",NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA
"Salmonella","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Salmonella","N",NA,NA,NA,NA,NA,0.103,0.102,NA,NA,NA,NA
"Staphylococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus; Staphylococcus epidermidis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus","P",NA,0.1,0.4478,0.1,0.198,0.133,0.13,0.0077630678308486,0.00314848498142293,0.00375960092231075,0.00050884014824716
"Streptococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae; Streptococcus mutans","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus","P",NA,0.1,NA,0.1,0.198,NA,NA,0.0040234394564183,0.00855793988519672,0.00746894619893817,0.00839206513153897
"Subdoligranulum","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Subdoligranulum variabile","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Subdoligranulum","N",0.02,NA,NA,NA,NA,NA,NA,0.0399004991736089,0.0842565627182933,0.0292643411066054,0.0252217631690868
"Clostridium innocuum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0101170303344e-05,7.08662214468183e-05,9.45284764043761e-05,0.000243028130506106
"Eubacterium coprostanoligenes group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00929898662748961,0.0223329835016687,0.00674741871448451,0.00712376207546023
"Eubacterium eligens group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0034491393846308,0.000850394657361819,0.00256184136685784,0.00304544626040464
"Eubacterium hallii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00935240988998147,0.0313127461335727,0.0123102400664332,0.0261786864329546
"Eubacterium rectale group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0380206681246765,0.0997087735756733,0.0530125268179681,0.0786575733641169
"Eubacterium ventriosum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00176964557004291,0.00180540135590704,0.00112835890189021,0.00133665471778358
"Eubacterium xylanophilum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00489156747191105,0.0021462341352465,0.00355738177658494,0.00579470198675497
"Ruminococcus gauvreauii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00358937544867193,0.0198155453493199,0.00784107728959337,0.010533750531624
"Ruminococcus torques group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00513865006093591,0.00610461879034735,0.00304166312683448,0.00362263807035664
"Adlercreutzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000217032003873187,0.00150843814222513,0.000308713252054798,0.000660732729813476
"Akkermansia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0912335765204761,0.0226906891908765,0.049384547824828,0.0312974664317395
"Ambiguous_taxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0033723434448e-05,1.34983278946321e-05,1.55553189019859e-05,0
"Anaerofilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5.98281496230228e-05,0
"Anaerotruncus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.34907093607573e-05,2.69966557892641e-05,0.00149809686656049,0.000129108694331369
"Blautia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0230421209035209,0.112488315509916,0.0372705440891583,0.0515447475545294
"Butyricicoccus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00440074124776707,0.00665805023402726,0.00613477846234476,0.0103742633209794
"Candidatus Stoquefichus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0016861717224e-05,0.00119460201867494,0.00129468115784221,7.59462907831582e-05
"Carnobacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"Christensenellaceae R-7 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00309187131671647,0.00293926089905613,0.0018881764021026,0.00154930433197643
"Clostridium sensu stricto 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00203676188250221,0.000884140477098399,0.000552812102516731,0.000736679020596634
"Coprococcus 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00113858328185779,0.00456918399233295,0.00194920111471808,0.00319733884197096
"Coprococcus 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00860782316900115,0.0225287092561409,0.0204672099860361,0.0302645968770885
"Coprococcus 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00136897110135395,0.00328346826036925,0.00119775955545292,0.00162525062275958
"Defluviitaleaceae UCG-011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67116312459307e-05,6.74916394731603e-06,0.000253671354401617,4.55677744698949e-05
"Dialister",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145878896141839,0.0034319498672102,0.00328695854028887,0.00324290661644085
"Dorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00360940917210638,0.0180101439934128,0.00766518252970168,0.0161082082751078
"Eisenbergiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0050585151672e-05,5.73678935521862e-05,0.000593495244260386,5.31624035482107e-05
"Enterobacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00191322058798978,0.000404949836838962,0.000465463004067118,0.000174676468801264
"Erwinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.68128015492746e-05,3.03712377629221e-05,2.15381338642882e-05,7.59462907831582e-06
"Erysipelatoclostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000347251206197098,0.000806525091704265,0.000234526346522249,0.000273406646819369
"Erysipelotrichaceae UCG-003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00465450174460342,0.00956019073137315,0.00504829926519067,0.0100325050124552
"Faecalibacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0442411392510726,0.0770889506062437,0.0920862913367643,0.140477854061608
"Family XIII AD3011 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000223709911684669,0.00173790971643388,0.000793321264001283,0.000501245519168844
"Flavonifractor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000397335514783218,8.77391313151083e-05,0.000776569382106836,0.000493650890090528
"Fusicatenibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00705187064892569,0.0187019332980127,0.00638246700178408,0.011976730056504
"Gordonibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67622163976026e-05,0.000296963213681905,4.30762677285764e-05,2.27838872349474e-05
"Gossypium arboreum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33726773401893e-05,1.68729098682901e-05,0.000823235338812794,0.000713895133361687
"Holdemania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00148249553414915,0.000371204017102381,0.000805286893925887,0.000721489762440002
"Hungatella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00037730179134877,9.78628772360824e-05,0.000484608011946485,0.000288595904976001
"Intestinibacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00439072438604985,0.00592914052771713,0.00269585642201341,0.00506561759523665
"Intestinimonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0101170303344e-05,1.0123745920974e-05,0.000250081665424235,2.27838872349474e-05
"Kluyvera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33895390574133e-06,0,0,0
"Lachnospira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199602664485217,0.00491676593561972,0.0142498686772116,0.0271280150677441
"Lachnospiraceae FCS020 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000504182039766941,0.00224409701248258,0.000618623067102056,0.000531624035482107
"Lachnospiraceae ND3007 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00504182039766941,0.00661755525034336,0.003661482756929,0.00479221094841728
"Lachnospiraceae NK4A136 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00981318552897377,0.00320247829300145,0.00726672705321235,0.00527826720942949
"Lachnospiraceae UCG-001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00850431559792317,0.00334758531786875,0.00966104960112573,0.0155386110942342
"Lachnospiraceae UCG-004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00272792534099067,0.000813274255651581,0.00347840861908255,0.00436691172003159
"Lachnospiraceae UCG-008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0016861717224e-05,4.04949836838962e-05,1.67518818944464e-05,2.27838872349474e-05
"Lactonifactor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34569859263093e-05,6.74916394731603e-06,0.000147177248072636,3.03785163132633e-05
"Marvinbryantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000774637306131989,0.00491339135364607,0.00117861454757355,0.000949328634789477
"Odoribacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000611028564750664,1.34983278946321e-05,0.000526487716682601,0.000425299228385686
"Oryza sativa Indica Group (long-grained rice)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.000108887232313902,7.59462907831582e-05
"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00295497420658108,0.002338585307745,0.00271260830390786,0.00310620329303117
"Oxalobacter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00165278218334196,0.000242969902103377,0.000643750889943726,0.000926544747554529
"Parasutterella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0050585151672e-05,0,0.000368541401677821,5.31624035482107e-05
"Phascolarctobacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0103741297851383,0.00130933780577931,0.00443087276108107,0.00616683881159244
"Porphyromonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67116312459307e-05,3.37458197365801e-06,0,0
"Raoultella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0280205011769813,0.00392463883536427,0.00533547438338118,0.00074427364967495
"Roseburia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0212123741631747,0.0310900237233113,0.0480324316433476,0.0663618688863236
"Ruminiclostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00111187165061186,0.000175478262630217,0.00052289802770522,0.000713895133361687
"Ruminiclostridium 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00324212424247483,0.00893926764822008,0.00329294135525118,0.00313658180934443
"Ruminiclostridium 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000270455266365048,4.72441476312122e-05,0.000577939925358401,0.000356947566680843
"Ruminococcaceae NK4A214 group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029262592029917,0.00950957200176828,0.0136994497006798,0.0153791238835895
"Ruminococcaceae UCG-002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251389839563265,0.00971204692018776,0.0311226034338965,0.0340771006744031
"Ruminococcaceae UCG-003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00711197181922904,0.000455568566443832,0.00839269282911764,0.00643265082933349
