,Genus,value,Plate,Type
119,Roseburia,NA,PC04924,MSA1000
120,Rothia,NA,PC04924,MSA1000
121,Rubellimicrobium,NA,PC04924,MSA1000
122,Ruminococcus,NA,PC04924,MSA1000
123,Salinarimonas,NA,PC04924,MSA1000
124,Scardovia,NA,PC04924,MSA1000
125,Sediminibacterium,NA,PC04924,MSA1000
126,Solobacterium,NA,PC04924,MSA1000
127,Sphingomonas,NA,PC04924,MSA1000
128,Stomatobaculum,NA,PC04924,MSA1000
129,Succiniclasticum,NA,PC04924,MSA1000
130,Sutterella,NA,PC04924,MSA1000
131,Synergistes,NA,PC04924,MSA1000
132,Thalassospira,NA,PC04924,MSA1000
133,Treponema,NA,PC04924,MSA1000
134,Turicibacter,NA,PC04924,MSA1000
135,uncultured,NA,PC04924,MSA1000
136,Veillonella,NA,PC04924,MSA1000
137,Weissella,NA,PC04924,MSA1000
138,Acinetobacter,NA,PC04924,MSA1001
139,Actinomyces,NA,PC04924,MSA1001
140,Alistipes,NA,PC04924,MSA1001
141,Anaerostipes,NA,PC04924,MSA1001
142,Bacillus,491.8881632,PC04924,MSA1001
143,Bacteroides,NA,PC04924,MSA1001
144,Bifidobacterium,40.85024557,PC04924,MSA1001
145,Bilophila,NA,PC04924,MSA1001
146,Clostridium,NA,PC04924,MSA1001
147,Lachnoclostridium,NA,PC04924,MSA1001
148,Collinsella,NA,PC04924,MSA1001
149,Coprobacillus,NA,PC04924,MSA1001
150,Cryptococcus,NA,PC04924,MSA1001
151,Deinococcus,-57.13253396,PC04924,MSA1001
152,Enterococcus,NA,PC04924,MSA1001
153,Escherichia-Shigella,80.9291392,PC04924,MSA1001
154,Fusobacterium,NA,PC04924,MSA1001
155,Helicobacter,NA,PC04924,MSA1001
156,Lactobacillus,23.02282318,PC04924,MSA1001
157,Listeria,NA,PC04924,MSA1001
158,Neisseria,NA,PC04924,MSA1001
159,Paenibacillus,NA,PC04924,MSA1001
160,Parabacteroides,NA,PC04924,MSA1001
161,Pediococcus,NA,PC04924,MSA1001
162,Porphyromonadaceae,NA,PC04924,MSA1001
163,Propionibacterium,NA,PC04924,MSA1001
164,Pseudomonas,NA,PC04924,MSA1001
165,Pyramidobacter,NA,PC04924,MSA1001
166,Ralstonia,NA,PC04924,MSA1001
167,Rhodobacter,NA,PC04924,MSA1001
168,Saccharomyces,NA,PC04924,MSA1001
169,Salmonella,NA,PC04924,MSA1001
170,Staphylococcus,22.23778424,PC04924,MSA1001
171,Streptococcus,NA,PC04924,MSA1001
172,Subdoligranulum,NA,PC04924,MSA1001
173,Abiotrophia,NA,PC04924,MSA1001
174,Acetanaerobacterium,NA,PC04924,MSA1001
175,Acidaminococcus,NA,PC04924,MSA1001
176,Actinobacillus,NA,PC04924,MSA1001
177,Adlercreutzia,NA,PC04924,MSA1001
178,Akkermansia,NA,PC04924,MSA1001
179,Alcaligenes,NA,PC04924,MSA1001
180,Alkanindiges,NA,PC04924,MSA1001
181,Alloprevotella,NA,PC04924,MSA1001
182,Anaerococcus,NA,PC04924,MSA1001
183,Anaerofilum,NA,PC04924,MSA1001
184,Anaerofustis,NA,PC04924,MSA1001
185,Anaeromyxobacter,NA,PC04924,MSA1001
186,Anaerosporobacter,NA,PC04924,MSA1001
187,Anaerotruncus,NA,PC04924,MSA1001
188,Arthrobacter,NA,PC04924,MSA1001
189,Atopobium,NA,PC04924,MSA1001
190,Azospirillum,NA,PC04924,MSA1001
191,Basidiomycota,NA,PC04924,MSA1001
192,Bergeyella,NA,PC04924,MSA1001
193,Blautia,NA,PC04924,MSA1001
194,Bradyrhizobium,NA,PC04924,MSA1001
195,Brevundimonas,NA,PC04924,MSA1001
196,Bryobacter,NA,PC04924,MSA1001
197,Butyricimonas,NA,PC04924,MSA1001
198,Campylobacter,NA,PC04924,MSA1001
199,Candidatus Planktophila,NA,PC04924,MSA1001
200,Capnocytophaga,NA,PC04924,MSA1001
201,Christensenella,NA,PC04924,MSA1001
202,Clostridium sensu stricto 1,NA,PC04924,MSA1001
203,Coprococcus,NA,PC04924,MSA1001
204,Corynebacterium,NA,PC04924,MSA1001
205,Desulfovibrio,NA,PC04924,MSA1001
206,Devosia,NA,PC04924,MSA1001
207,Dialister,NA,PC04924,MSA1001
208,Dolosigranulum,NA,PC04924,MSA1001
209,Dorea,NA,PC04924,MSA1001
210,Eggerthella,NA,PC04924,MSA1001
211,Eggerthia,NA,PC04924,MSA1001
212,Enterorhabdus,NA,PC04924,MSA1001
213,Faecalibacterium,NA,PC04924,MSA1001
214,Finegoldia,NA,PC04924,MSA1001
215,Flavonifractor,NA,PC04924,MSA1001
216,Gemella,NA,PC04924,MSA1001
217,Gordonibacter,NA,PC04924,MSA1001
218,Granulicatella,NA,PC04924,MSA1001
219,Haemophilus,NA,PC04924,MSA1001
220,Holdemania,NA,PC04924,MSA1001
221,Incertae Sedis,NA,PC04924,MSA1001
222,Intestinimonas,NA,PC04924,MSA1001
223,Lachnoanaerobaculum,NA,PC04924,MSA1001
224,Lachnospira,NA,PC04924,MSA1001
225,Lactococcus,NA,PC04924,MSA1001
226,Lautropia,NA,PC04924,MSA1001
227,Leptotrichia,NA,PC04924,MSA1001
228,Leuconostoc,NA,PC04924,MSA1001
229,Lysobacter,NA,PC04924,MSA1001
230,Marvinbryantia,NA,PC04924,MSA1001
231,Massilia,NA,PC04924,MSA1001
232,Megasphaera,NA,PC04924,MSA1001
233,Methylobacterium,NA,PC04924,MSA1001
234,Mogibacterium,NA,PC04924,MSA1001
235,Moraxella,NA,PC04924,MSA1001
236,Mycobacterium,NA,PC04924,MSA1001
237,Nevskia,NA,PC04924,MSA1001
238,Nocardioides,NA,PC04924,MSA1001
239,Nosocomiicoccus,NA,PC04924,MSA1001
240,Odoribacter,NA,PC04924,MSA1001
241,Oribacterium,NA,PC04924,MSA1001
242,Oscillibacter,NA,PC04924,MSA1001
243,Oscillospira,NA,PC04924,MSA1001
244,Other,NA,PC04924,MSA1001
245,Papillibacter,NA,PC04924,MSA1001
246,Paracoccus,NA,PC04924,MSA1001
247,Parasutterella,NA,PC04924,MSA1001
248,Pedobacter,NA,PC04924,MSA1001
249,Peptoniphilus,NA,PC04924,MSA1001
250,Phascolarctobacterium,NA,PC04924,MSA1001
251,Phenylobacterium,NA,PC04924,MSA1001
252,Porphyromonas,NA,PC04924,MSA1001
253,Prevotella,NA,PC04924,MSA1001
254,Pseudobutyrivibrio,NA,PC04924,MSA1001
255,Rhizobium,NA,PC04924,MSA1001
256,Roseburia,NA,PC04924,MSA1001
257,Rothia,NA,PC04924,MSA1001
258,Rubellimicrobium,NA,PC04924,MSA1001
259,Ruminococcus,NA,PC04924,MSA1001
260,Salinarimonas,NA,PC04924,MSA1001
261,Scardovia,NA,PC04924,MSA1001
262,Sediminibacterium,NA,PC04924,MSA1001
263,Solobacterium,NA,PC04924,MSA1001
264,Sphingomonas,NA,PC04924,MSA1001
265,Stomatobaculum,NA,PC04924,MSA1001
266,Succiniclasticum,NA,PC04924,MSA1001
267,Sutterella,NA,PC04924,MSA1001
268,Synergistes,NA,PC04924,MSA1001
269,Thalassospira,NA,PC04924,MSA1001
270,Treponema,NA,PC04924,MSA1001
271,Turicibacter,NA,PC04924,MSA1001
272,uncultured,NA,PC04924,MSA1001
273,Veillonella,NA,PC04924,MSA1001
274,Weissella,NA,PC04924,MSA1001
275,Acinetobacter,93.30586586,PC04924,MSA1002
276,Actinomyces,-76.48982712,PC04924,MSA1002
277,Alistipes,NA,PC04924,MSA1002
278,Anaerostipes,NA,PC04924,MSA1002
279,Bacillus,348.9444846,PC04924,MSA1002
280,Bacteroides,59.13434991,PC04924,MSA1002
281,Bifidobacterium,-36.05317929,PC04924,MSA1002
282,Bilophila,NA,PC04924,MSA1002
283,Clostridium,NA,PC04924,MSA1002
284,Lachnoclostridium,NA,PC04924,MSA1002
285,Collinsella,NA,PC04924,MSA1002
286,Coprobacillus,NA,PC04924,MSA1002
287,Cryptococcus,NA,PC04924,MSA1002
288,Deinococcus,-80.24890626,PC04924,MSA1002
289,Enterococcus,-48.43477892,PC04924,MSA1002
290,Escherichia-Shigella,-10.18561781,PC04924,MSA1002
291,Fusobacterium,NA,PC04924,MSA1002
292,Helicobacter,-36.83897549,PC04924,MSA1002
293,Lactobacillus,-37.39115661,PC04924,MSA1002
294,Listeria,NA,PC04924,MSA1002
295,Neisseria,-40.44939048,PC04924,MSA1002
296,Paenibacillus,NA,PC04924,MSA1002
297,Parabacteroides,NA,PC04924,MSA1002
298,Pediococcus,NA,PC04924,MSA1002
299,Porphyromonadaceae,NA,PC04924,MSA1002
300,Propionibacterium,-100,PC04924,MSA1002
301,Pseudomonas,-100,PC04924,MSA1002
302,Pyramidobacter,NA,PC04924,MSA1002
303,Ralstonia,NA,PC04924,MSA1002
304,Rhodobacter,NA,PC04924,MSA1002
305,Saccharomyces,NA,PC04924,MSA1002
306,Salmonella,NA,PC04924,MSA1002
307,Staphylococcus,-0.490591683,PC04924,MSA1002
308,Streptococcus,-60.43409931,PC04924,MSA1002
309,Subdoligranulum,NA,PC04924,MSA1002
310,Abiotrophia,NA,PC04924,MSA1002
311,Acetanaerobacterium,NA,PC04924,MSA1002
312,Acidaminococcus,NA,PC04924,MSA1002
313,Actinobacillus,NA,PC04924,MSA1002
314,Adlercreutzia,NA,PC04924,MSA1002
315,Akkermansia,NA,PC04924,MSA1002
316,Alcaligenes,NA,PC04924,MSA1002
317,Alkanindiges,NA,PC04924,MSA1002
318,Alloprevotella,NA,PC04924,MSA1002
319,Anaerococcus,NA,PC04924,MSA1002
320,Anaerofilum,NA,PC04924,MSA1002
321,Anaerofustis,NA,PC04924,MSA1002
322,Anaeromyxobacter,NA,PC04924,MSA1002
323,Anaerosporobacter,NA,PC04924,MSA1002
324,Anaerotruncus,NA,PC04924,MSA1002
325,Arthrobacter,NA,PC04924,MSA1002
326,Atopobium,NA,PC04924,MSA1002
327,Azospirillum,NA,PC04924,MSA1002
328,Basidiomycota,NA,PC04924,MSA1002
329,Bergeyella,NA,PC04924,MSA1002
330,Blautia,NA,PC04924,MSA1002
331,Bradyrhizobium,NA,PC04924,MSA1002
332,Brevundimonas,NA,PC04924,MSA1002
333,Bryobacter,NA,PC04924,MSA1002
334,Butyricimonas,NA,PC04924,MSA1002
335,Campylobacter,NA,PC04924,MSA1002
336,Candidatus Planktophila,NA,PC04924,MSA1002
337,Capnocytophaga,NA,PC04924,MSA1002
338,Christensenella,NA,PC04924,MSA1002
339,Clostridium sensu stricto 1,NA,PC04924,MSA1002
340,Coprococcus,NA,PC04924,MSA1002
341,Corynebacterium,NA,PC04924,MSA1002
342,Desulfovibrio,NA,PC04924,MSA1002
343,Devosia,NA,PC04924,MSA1002
344,Dialister,NA,PC04924,MSA1002
345,Dolosigranulum,NA,PC04924,MSA1002
346,Dorea,NA,PC04924,MSA1002
347,Eggerthella,NA,PC04924,MSA1002
348,Eggerthia,NA,PC04924,MSA1002
349,Enterorhabdus,NA,PC04924,MSA1002
350,Faecalibacterium,NA,PC04924,MSA1002
351,Finegoldia,NA,PC04924,MSA1002
352,Flavonifractor,NA,PC04924,MSA1002
353,Gemella,NA,PC04924,MSA1002
354,Gordonibacter,NA,PC04924,MSA1002
355,Granulicatella,NA,PC04924,MSA1002
356,Haemophilus,NA,PC04924,MSA1002
357,Holdemania,NA,PC04924,MSA1002
358,Incertae Sedis,NA,PC04924,MSA1002
359,Intestinimonas,NA,PC04924,MSA1002
360,Lachnoanaerobaculum,NA,PC04924,MSA1002
361,Lachnospira,NA,PC04924,MSA1002
362,Lactococcus,NA,PC04924,MSA1002
363,Lautropia,NA,PC04924,MSA1002
364,Leptotrichia,NA,PC04924,MSA1002
365,Leuconostoc,NA,PC04924,MSA1002
366,Lysobacter,NA,PC04924,MSA1002
367,Marvinbryantia,NA,PC04924,MSA1002
368,Massilia,NA,PC04924,MSA1002
369,Megasphaera,NA,PC04924,MSA1002
370,Methylobacterium,NA,PC04924,MSA1002
371,Mogibacterium,NA,PC04924,MSA1002
372,Moraxella,NA,PC04924,MSA1002
373,Mycobacterium,NA,PC04924,MSA1002
374,Nevskia,NA,PC04924,MSA1002
375,Nocardioides,NA,PC04924,MSA1002
376,Nosocomiicoccus,NA,PC04924,MSA1002
377,Odoribacter,NA,PC04924,MSA1002
378,Oribacterium,NA,PC04924,MSA1002
379,Oscillibacter,NA,PC04924,MSA1002
380,Oscillospira,NA,PC04924,MSA1002
381,Other,NA,PC04924,MSA1002
382,Papillibacter,NA,PC04924,MSA1002
383,Paracoccus,NA,PC04924,MSA1002
384,Parasutterella,NA,PC04924,MSA1002
385,Pedobacter,NA,PC04924,MSA1002
386,Peptoniphilus,NA,PC04924,MSA1002
387,Phascolarctobacterium,NA,PC04924,MSA1002
388,Phenylobacterium,NA,PC04924,MSA1002
389,Porphyromonas,NA,PC04924,MSA1002
390,Prevotella,NA,PC04924,MSA1002
391,Pseudobutyrivibrio,NA,PC04924,MSA1002
392,Rhizobium,NA,PC04924,MSA1002
393,Roseburia,NA,PC04924,MSA1002
394,Rothia,NA,PC04924,MSA1002
395,Rubellimicrobium,NA,PC04924,MSA1002
396,Ruminococcus,NA,PC04924,MSA1002
397,Salinarimonas,NA,PC04924,MSA1002
398,Scardovia,NA,PC04924,MSA1002
399,Sediminibacterium,NA,PC04924,MSA1002
400,Solobacterium,NA,PC04924,MSA1002
401,Sphingomonas,NA,PC04924,MSA1002
402,Stomatobaculum,NA,PC04924,MSA1002
403,Succiniclasticum,NA,PC04924,MSA1002
404,Sutterella,NA,PC04924,MSA1002
405,Synergistes,NA,PC04924,MSA1002
406,Thalassospira,NA,PC04924,MSA1002
407,Treponema,NA,PC04924,MSA1002
408,Turicibacter,NA,PC04924,MSA1002
409,uncultured,NA,PC04924,MSA1002
410,Veillonella,NA,PC04924,MSA1002
411,Weissella,NA,PC04924,MSA1002
412,Acinetobacter,112.0950752,PC04924,MSA1003
413,Actinomyces,-100,PC04924,MSA1003
414,Alistipes,NA,PC04924,MSA1003
415,Anaerostipes,NA,PC04924,MSA1003
416,Bacillus,457.6529402,PC04924,MSA1003
417,Bacteroides,126.2347468,PC04924,MSA1003
418,Bifidobacterium,-100,PC04924,MSA1003
419,Bilophila,NA,PC04924,MSA1003
420,Clostridium,NA,PC04924,MSA1003
421,Lachnoclostridium,NA,PC04924,MSA1003
422,Collinsella,NA,PC04924,MSA1003
423,Coprobacillus,NA,PC04924,MSA1003
424,Cryptococcus,NA,PC04924,MSA1003
425,Deinococcus,-85.86032832,PC04924,MSA1003
426,Enterococcus,175.7235977,PC04924,MSA1003
427,Escherichia-Shigella,5.222723395,PC04924,MSA1003
428,Fusobacterium,NA,PC04924,MSA1003
429,Helicobacter,-39.51362672,PC04924,MSA1003
430,Lactobacillus,7783.652497,PC04924,MSA1003
431,Listeria,NA,PC04924,MSA1003
432,Neisseria,-41.87023866,PC04924,MSA1003
433,Paenibacillus,NA,PC04924,MSA1003
434,Parabacteroides,NA,PC04924,MSA1003
435,Pediococcus,NA,PC04924,MSA1003
436,Porphyromonadaceae,NA,PC04924,MSA1003
437,Propionibacterium,-100,PC04924,MSA1003
438,Pseudomonas,-100,PC04924,MSA1003
439,Pyramidobacter,NA,PC04924,MSA1003
440,Ralstonia,NA,PC04924,MSA1003
441,Rhodobacter,NA,PC04924,MSA1003
442,Saccharomyces,NA,PC04924,MSA1003
443,Salmonella,NA,PC04924,MSA1003
444,Staphylococcus,20.24433924,PC04924,MSA1003
445,Streptococcus,-45.46942782,PC04924,MSA1003
446,Subdoligranulum,NA,PC04924,MSA1003
447,Abiotrophia,NA,PC04924,MSA1003
448,Acetanaerobacterium,NA,PC04924,MSA1003
449,Acidaminococcus,NA,PC04924,MSA1003
450,Actinobacillus,NA,PC04924,MSA1003
451,Adlercreutzia,NA,PC04924,MSA1003
452,Akkermansia,NA,PC04924,MSA1003
453,Alcaligenes,NA,PC04924,MSA1003
454,Alkanindiges,NA,PC04924,MSA1003
455,Alloprevotella,NA,PC04924,MSA1003
456,Anaerococcus,NA,PC04924,MSA1003
457,Anaerofilum,NA,PC04924,MSA1003
458,Anaerofustis,NA,PC04924,MSA1003
459,Anaeromyxobacter,NA,PC04924,MSA1003
460,Anaerosporobacter,NA,PC04924,MSA1003
461,Anaerotruncus,NA,PC04924,MSA1003
462,Arthrobacter,NA,PC04924,MSA1003
463,Atopobium,NA,PC04924,MSA1003
464,Azospirillum,NA,PC04924,MSA1003
465,Basidiomycota,NA,PC04924,MSA1003
466,Bergeyella,NA,PC04924,MSA1003
467,Blautia,NA,PC04924,MSA1003
468,Bradyrhizobium,NA,PC04924,MSA1003
469,Brevundimonas,NA,PC04924,MSA1003
470,Bryobacter,NA,PC04924,MSA1003
471,Butyricimonas,NA,PC04924,MSA1003
472,Campylobacter,NA,PC04924,MSA1003
473,Candidatus Planktophila,NA,PC04924,MSA1003
474,Capnocytophaga,NA,PC04924,MSA1003
475,Christensenella,NA,PC04924,MSA1003
476,Clostridium sensu stricto 1,NA,PC04924,MSA1003
477,Coprococcus,NA,PC04924,MSA1003
478,Corynebacterium,NA,PC04924,MSA1003
479,Desulfovibrio,NA,PC04924,MSA1003
480,Devosia,NA,PC04924,MSA1003
481,Dialister,NA,PC04924,MSA1003
482,Dolosigranulum,NA,PC04924,MSA1003
483,Dorea,NA,PC04924,MSA1003
484,Eggerthella,NA,PC04924,MSA1003
485,Eggerthia,NA,PC04924,MSA1003
486,Enterorhabdus,NA,PC04924,MSA1003
487,Faecalibacterium,NA,PC04924,MSA1003
488,Finegoldia,NA,PC04924,MSA1003
489,Flavonifractor,NA,PC04924,MSA1003
490,Gemella,NA,PC04924,MSA1003
491,Gordonibacter,NA,PC04924,MSA1003
492,Granulicatella,NA,PC04924,MSA1003
493,Haemophilus,NA,PC04924,MSA1003
494,Holdemania,NA,PC04924,MSA1003
495,Incertae Sedis,NA,PC04924,MSA1003
496,Intestinimonas,NA,PC04924,MSA1003
497,Lachnoanaerobaculum,NA,PC04924,MSA1003
498,Lachnospira,NA,PC04924,MSA1003
499,Lactococcus,NA,PC04924,MSA1003
500,Lautropia,NA,PC04924,MSA1003
501,Leptotrichia,NA,PC04924,MSA1003
502,Leuconostoc,NA,PC04924,MSA1003
503,Lysobacter,NA,PC04924,MSA1003
504,Marvinbryantia,NA,PC04924,MSA1003
505,Massilia,NA,PC04924,MSA1003
506,Megasphaera,NA,PC04924,MSA1003
507,Methylobacterium,NA,PC04924,MSA1003
508,Mogibacterium,NA,PC04924,MSA1003
509,Moraxella,NA,PC04924,MSA1003
510,Mycobacterium,NA,PC04924,MSA1003
511,Nevskia,NA,PC04924,MSA1003
512,Nocardioides,NA,PC04924,MSA1003
513,Nosocomiicoccus,NA,PC04924,MSA1003
514,Odoribacter,NA,PC04924,MSA1003
515,Oribacterium,NA,PC04924,MSA1003
516,Oscillibacter,NA,PC04924,MSA1003
517,Oscillospira,NA,PC04924,MSA1003
518,Other,NA,PC04924,MSA1003
519,Papillibacter,NA,PC04924,MSA1003
520,Paracoccus,NA,PC04924,MSA1003
521,Parasutterella,NA,PC04924,MSA1003
522,Pedobacter,NA,PC04924,MSA1003
523,Peptoniphilus,NA,PC04924,MSA1003
524,Phascolarctobacterium,NA,PC04924,MSA1003
525,Phenylobacterium,NA,PC04924,MSA1003
526,Porphyromonas,NA,PC04924,MSA1003
527,Prevotella,NA,PC04924,MSA1003
528,Pseudobutyrivibrio,NA,PC04924,MSA1003
529,Rhizobium,NA,PC04924,MSA1003
530,Roseburia,NA,PC04924,MSA1003
531,Rothia,NA,PC04924,MSA1003
532,Rubellimicrobium,NA,PC04924,MSA1003
533,Ruminococcus,NA,PC04924,MSA1003
534,Salinarimonas,NA,PC04924,MSA1003
535,Scardovia,NA,PC04924,MSA1003
536,Sediminibacterium,NA,PC04924,MSA1003
537,Solobacterium,NA,PC04924,MSA1003
538,Sphingomonas,NA,PC04924,MSA1003
539,Stomatobaculum,NA,PC04924,MSA1003
540,Succiniclasticum,NA,PC04924,MSA1003
541,Sutterella,NA,PC04924,MSA1003
542,Synergistes,NA,PC04924,MSA1003
543,Thalassospira,NA,PC04924,MSA1003
544,Treponema,NA,PC04924,MSA1003
545,Turicibacter,NA,PC04924,MSA1003
546,uncultured,NA,PC04924,MSA1003
547,Veillonella,NA,PC04924,MSA1003
548,Weissella,NA,PC04924,MSA1003
549,Acinetobacter,NA,PC04924,Seq.200
550,Actinomyces,NA,PC04924,Seq.200
551,Alistipes,NA,PC04924,Seq.200
552,Anaerostipes,NA,PC04924,Seq.200
553,Bacillus,19.77353526,PC04924,Seq.200
554,Bacteroides,NA,PC04924,Seq.200
555,Bifidobacterium,NA,PC04924,Seq.200
556,Bilophila,NA,PC04924,Seq.200
557,Clostridium,NA,PC04924,Seq.200
558,Lachnoclostridium,NA,PC04924,Seq.200
559,Collinsella,NA,PC04924,Seq.200
560,Coprobacillus,NA,PC04924,Seq.200
561,Cryptococcus,NA,PC04924,Seq.200
562,Deinococcus,NA,PC04924,Seq.200
563,Enterococcus,-11.16035949,PC04924,Seq.200
564,Escherichia-Shigella,-20.13260482,PC04924,Seq.200
565,Fusobacterium,NA,PC04924,Seq.200
566,Helicobacter,NA,PC04924,Seq.200
567,Lactobacillus,-51.47134637,PC04924,Seq.200
568,Listeria,50.34923169,PC04924,Seq.200
569,Neisseria,NA,PC04924,Seq.200
570,Paenibacillus,NA,PC04924,Seq.200
571,Parabacteroides,NA,PC04924,Seq.200
572,Pediococcus,NA,PC04924,Seq.200
573,Porphyromonadaceae,NA,PC04924,Seq.200
574,Propionibacterium,NA,PC04924,Seq.200
575,Pseudomonas,-100,PC04924,Seq.200
576,Pyramidobacter,NA,PC04924,Seq.200
577,Ralstonia,NA,PC04924,Seq.200
578,Rhodobacter,NA,PC04924,Seq.200
579,Saccharomyces,NA,PC04924,Seq.200
580,Salmonella,NA,PC04924,Seq.200
581,Staphylococcus,76.9472545,PC04924,Seq.200
582,Streptococcus,NA,PC04924,Seq.200
583,Subdoligranulum,NA,PC04924,Seq.200
584,Abiotrophia,NA,PC04924,Seq.200
