"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","Qiagen DSP Virus_OB","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_Study","Qiagen DSP Virus_OB_RG","Zymo MagBead DNone Kit_OB_Study","Zymo MagBead DNone Kit_OB_RG","MagAttract PowerMag Soil_OB_Study","MagAttract PowerMag Soil_OB_RG","MagAttract PowerMag Microbiome_OB_Study","MagAttract PowerMag Microbiome_OB_RG","Qiagen QIAamp  Modified_OB_Study","Qiagen QIAamp  Modified_OB_RG"
"Collinsella","Bacteria","Eubacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Collinsella","P",0.06,NA,NA,NA,NA,NA,NA,4.98483778507041e-06,0.000130697685584045,0.000959514164945833,0.00102660650185862,0.00129338833557445,NA,4.98483778507041e-06,0.000203555137906782,1.70681474232787e-05,0.00148334589372688,7.97450285620111e-06,0.0010706156935274,0.000930128481302247,0.00176850680431375,4.02326667308764e-05
"Coprobacillus","Bacteria","Eubacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichidae","Coprobacillus","Coprobacillus cateniformis","D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichi;D_3__Erysipelotrichales;D_4__Erysipelotrichidae;D_5__Coprobacillus","P",0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptococcus","Bacteria","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus neoformans","D_0__Bacteria;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Tremellaceae;D_5__Cryptococcus","Y",NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcus","Bacteria","Eubacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans","D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales;D_4__Deinococcaceae;D_5__Deinococcus","P",NA,0.1,4e-04,0.05,2e-04,NA,NA,0,0,6.29189616357923e-07,0,0,NA,0,0,0,4.87782273504399e-07,8.86055872911234e-07,0,0,0,0
"Enterococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae; Streptococcaceae","Enterococcus","Enterococcus faecalis; Enterococcus gallinarum","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae; Streptococcaceae;D_5__Enterococcus","P; N",0.06,0.1,NA,0.05,2e-04,0.104,0.114,3.90478959830516e-05,0.000131586785485978,2.98865067770014e-05,3.6094699937959e-05,5.46313290227092e-05,NA,3.90478959830516e-05,6.34741827881363e-05,0.000237816187431016,3.36569768718035e-05,2.30374526956921e-05,3.16119183787885e-05,4.59219627213856e-05,1.66404194864859e-05,0.000154834808327918
"Escherichia-Shigella","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia","N",0.06,0.1,0.0448,0.05,0.18,0.1,0.116,0.000345615419764882,0.00468111098367346,0.00528865332029652,0.00450032903719219,0.00940161601482218,NA,0.000345615419764882,0.0066866768419916,0.00155320141551836,0.00790109726622425,0.000543152250094587,0.00614299556062023,0.000899235524562405,0.0127544193025168,0.000558380647355799
"Fusobacterium","Bacteria","Eubacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium gonidiaformans; Fusobacterium varium","D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae;D_5__Fusobacterium","N",0.12,NA,NA,NA,NA,NA,NA,5.3171603040751e-05,0.000165372581759404,5.15935485413497e-05,4.78647107872934e-05,3.35161527746682e-05,NA,5.3171603040751e-05,0.000107979069570623,0.000254884334854295,4.43881868889003e-05,6.46820787225201e-05,4.83700437844113e-05,4.67569074981381e-05,2.21872259819812e-05,6.33969293941082e-05
"Helicobacter","Bacteria","Eubacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori","D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter","N",NA,NA,NA,0.05,0.0018,NA,NA,8.30806297511735e-07,0,0,5.23111593303753e-07,6.70323055493364e-07,NA,8.30806297511735e-07,0,0,0,0,7.61732972982855e-07,0,9.24467749249217e-07,0
"Lactobacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae ","Lactobacillus","Lactobacillus fermentum; Lactobacillus gasseri; Lactobacillus iners","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Lactobacillus","P",0.04,0.1,0.0045,0.05,0.0018,0.188,0.12,7.72649856685914e-05,0.000705056222232299,0.000259226121939464,0.00013234723310585,0.000271145675947066,NA,7.72649856685914e-05,0.000460370222290966,0.00108667205261541,0.000356568841931715,8.24031961807448e-05,0.000148157063245165,9.76885388800385e-05,0.000260699905288279,0.000298697071183779
"Listeria","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Listeriaceae;D_5__Listeria","P",NA,NA,NA,NA,NA,0.159,0.125,4.81867652556806e-05,0.000159148882445878,4.21557042959809e-05,4.8649378177249e-05,8.07739281869504e-05,NA,4.81867652556806e-05,7.7336360638419e-05,0.000286744876711082,4.24370577948827e-05,4.1644626026828e-05,4.37996459465142e-05,5.92810791494251e-05,3.55920083460948e-05,0.000199944161935264
"Neisseria","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Neisseriales;D_4__Neisseriaceae;D_5__Neisseria","N",NA,NA,NA,0.05,0.0018,NA,NA,8.30806297511735e-07,4.4454995096614e-07,0,5.23111593303753e-07,6.70323055493364e-07,NA,8.30806297511735e-07,0,1.13787649488525e-06,0,0,7.61732972982855e-07,0,9.24467749249217e-07,0
"Paenibacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae ","Paenibacillus","Paenibacillus barengoltzii","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Paenibacillaceae ;D_5__Paenibacillus","P",0.04,NA,NA,NA,NA,NA,NA,1.2462094462676e-05,3.51194461263251e-05,1.25837923271585e-05,1.41240130192013e-05,6.03290749944028e-06,NA,1.2462094462676e-05,2.18876492372884e-05,5.5755948249377e-05,1.219455683761e-05,1.32908380936685e-05,1.40920600001828e-05,1.41940612047919e-05,5.5468064954953e-06,7.3150303147048e-06
"Parabacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Parabacteroides merdae","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Parabacteroides","N",0.06,NA,NA,NA,NA,NA,NA,0.00701698998878411,0.0126932347499362,0.0134674891433332,0.00341356470210364,0.00888781339278652,NA,0.00701698998878411,0.0163281863310171,0.00702411160292662,0.0173591955494745,0.00639820945829202,0.00408174613572863,0.00194876110894025,0.00951046197040132,0.0072455375267151
"Pediococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae ","Pediococcus","Pediococcus acidilactici","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Pediococcus","P",0.04,NA,NA,NA,NA,NA,NA,5.81564408258215e-06,1.11137487741535e-05,6.6064909717582e-06,4.18489274643003e-06,6.36806902718696e-06,NA,5.81564408258215e-06,8.02547138700574e-06,1.59302709283934e-05,5.85338728205278e-06,7.97450285620111e-06,4.1895313514057e-06,4.17472388376233e-06,3.23563712237226e-06,1.46300606294096e-05
"Porphyromonadaceae","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonadaceae","Porphyromonas gingivalis","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae;D_5__Porphyromonadaceae","N",NA,NA,NA,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Propionibacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","Propionibacterium acnes","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Propionibacteriaceae;D_5__Propionibacterium","P",0.06,NA,NA,0.05,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas","N",NA,NA,NA,0.05,0.018,0.046,0.121,2.8247414115399e-05,8.5353590585499e-05,3.99535406387281e-05,2.7463358648447e-05,4.89335830510156e-05,NA,2.8247414115399e-05,3.79385920112999e-05,0.000159302709283934,4.43881868889003e-05,3.18980114248044e-05,2.32328556759771e-05,3.67375701771085e-05,1.52537178626121e-05,0.000137766404260274
"Pyramidobacter","Bacteria","Eubacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Pyramidobacter piscolens","D_0__Bacteria;D_1__Synergistetes;D_2__Synergistia;D_3__Synergistales;D_4__Synergistaceae;D_5__Pyramidobacter","N",0.02,NA,NA,NA,NA,NA,NA,0.00042620363062352,0.000199158378032831,0.000174914713347503,5.25727151270272e-05,8.21145742979371e-05,NA,0.00042620363062352,3.64794153954806e-06,0.000504079287234164,9.75564547008797e-07,0.000490874953592824,2.28519891894856e-06,0.000162814231466731,4.62233874624608e-07,0.000297477899464662
"Ralstonia","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Bukerholderiaceae","Ralstonia","Ralstonia pickettii","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Bukerholderiaceae;D_5__Ralstonia","N",0.06,NA,NA,NA,NA,NA,NA,6.64645038009388e-06,2.533934720507e-05,1.25837923271585e-05,8.36978549286005e-06,5.6977459716936e-06,NA,6.64645038009388e-06,2.11580609293788e-05,3.18605418567869e-05,7.80451637607038e-06,2.12653409498696e-05,8.75992918930283e-06,7.51450299077219e-06,4.62233874624608e-06,8.53420203382226e-06
"Rhodobacter","Bacteria","Eubacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodbacteraceae","Rhodobacter","Rhodobacter sphaeroides","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodbacteraceae;D_5__Rhodobacter","N",NA,0.1,0.4478,0.05,0.18,NA,NA,8.30806297511735e-07,8.89099901932281e-07,2.20216365725273e-06,3.13866955982252e-06,1.34064611098673e-06,NA,8.30806297511735e-07,0,2.27575298977049e-06,3.41447591453079e-06,0,2.66606540543999e-06,4.17472388376233e-06,1.84893549849843e-06,0
"Saccharomyces","Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","D_0__Eukaryota;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Saccharomycetaceae;D_5__Saccharomyces","Y",NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmonella","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Salmonella","N",NA,NA,NA,NA,NA,0.103,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staphylococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus; Staphylococcus epidermidis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae;D_5__Staphylococcus","P",NA,0.1,0.4478,0.1,0.198,0.133,0.13,4.98483778507041e-05,0.000175597230631625,6.85816681830136e-05,6.72198397395323e-05,9.14990970748443e-05,NA,4.98483778507041e-05,8.24434787937862e-05,0.000320881171557639,6.7313953743607e-05,7.08844698328987e-05,5.94151718926627e-05,8.4329422451999e-05,5.36191294564546e-05,0.000191409959901442
"Streptococcus","Bacteria","Eubacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae; Streptococcus mutans","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus","P",NA,0.1,NA,0.1,0.198,NA,NA,2.90782204129107e-05,0.00395427181384382,0.00472175347595804,0.00243848469218545,0.00755554631999346,NA,2.90782204129107e-05,0.00630802051018651,0.000283331247226426,0.00730649067482239,2.6581676187337e-05,0.00317604563085201,0.000821585660324426,0.0104095068565462,2.80409495397017e-05
"Subdoligranulum","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Subdoligranulum variabile","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Subdoligranulum","N",0.02,NA,NA,NA,NA,NA,NA,0.000236779794790845,0.0182336607888272,0.0272725385158424,0.0328540236174422,0.0900458366905346,NA,0.000236779794790845,0.0292725420899495,0.00101726158642741,0.0422438960145749,7.70868609432774e-05,0.0415788134637826,0.0137273270745873,0.124129671393316,0.000147519778013213
"Clostridium innocuum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000112158850164084,7.51289417132777e-05,4.68746264186653e-05,0.000162949261314119,9.71968430465378e-05,NA,0.000112158850164084,7.80659489463286e-05,7.05483426828852e-05,4.97537918974487e-05,4.1644626026828e-05,3.46588502707199e-05,0.000444190621232312,5.5468064954953e-05,0.000207259192249969
"Eubacterium coprostanoligenes group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32625763303286e-05,0.00340214077474387,0.00604619761839146,0.0118369691332773,0.0101701413979453,NA,2.32625763303286e-05,0.00542959618746334,0.000240091940420787,0.00936346852219043,2.03792850769584e-05,0.015948403255342,0.00282378323497684,0.0140140066108689,3.16984646970541e-05
"Eubacterium eligens group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00040211024799568,0.00133587260265325,0.00181772880165804,0.000969064226595203,0.00176496060511403,NA,0.00040211024799568,0.00189620001225708,0.00046197785692341,0.00255988137135108,0.000469609612642954,0.00132198757461174,0.000195377077760077,0.00232503638936178,0.000287724525711722
"Eubacterium hallii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15099904457276e-05,0.00901636210549526,0.013207004642161,0.00863264906849519,0.00454445515471726,NA,5.15099904457276e-05,0.0142678289494804,0.000826098335286688,0.0204527107280394,4.51888495184729e-05,0.0111898573731181,0.00302667481572769,0.0062267525250681,0.000107287111282337
"Eubacterium rectale group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0081983965438458,0.0332318870345229,0.0262482178204117,0.0320662175579268,0.0355646600322559,NA,0.0081983965438458,0.0513863637026898,0.00491790221089403,0.0391723310383177,0.00277158277046634,0.0373310095399438,0.0205246125021291,0.04602740029962,0.00796850635615176
"Eubacterium ventriosum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65554770905163e-05,0.000652599328018294,0.000867967075765755,0.000973510675138285,0.00116803792419719,NA,3.65554770905163e-05,0.00104914798677402,3.41362948465574e-05,0.00133310895348752,2.30374526956921e-05,0.00136007422326089,0.000126076661289622,0.00160533824657126,1.46300606294096e-05
"Eubacterium xylanophilum group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000710339384372534,0.0027913291421164,0.00234782105343959,0.00200587140452324,0.00341328499857221,NA,0.000710339384372534,0.00397187874825993,0.00095012687322918,0.00308522287991532,0.00100833158337298,0.00237127474489563,0.00120482531285381,0.00432604683261171,0.00100581666827191
"Ruminococcus gauvreauii group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08004818676526e-05,0.00439615446510416,0.00435871106731951,0.00323858387414354,0.00233607584839438,NA,1.08004818676526e-05,0.0069828896950029,0.000361844725373508,0.00675090666530088,1.32908380936685e-05,0.003643368809777,0.00235120449133494,0.00321899670288577,7.3150303147048e-06
"Ruminococcus torques group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.47119179163378e-05,0.0017475258572479,0.00420078447361368,0.00376012613266738,0.00166843408512298,NA,9.47119179163378e-05,0.00275565503897461,0.000175232980212328,0.00648945536670252,4.34167377726505e-05,0.00522396472871642,0.000551063552656627,0.00226448375178596,9.63145658102798e-05
"Adlercreutzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.13886927262909e-06,0.000125807636123418,0.000364300787871238,0.000343945872597218,0.00138220614042732,NA,9.13886927262909e-06,0.000194800078211867,1.82060239181639e-05,0.000564364090444589,8.86055872911234e-07,0.000374391756221073,0.000277201665881819,0.00190440356345339,4.87668687646986e-06
"Akkermansia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215590080172808,0.114155981908595,0.192165205059188,0.0976696424741504,0.163388228322758,NA,0.215590080172808,0.0583532024549187,0.201186805184165,0.0955594740731527,0.367649391235313,0.0535460193358298,0.194398522481723,0.111402061655528,0.30050510284323
"Ambiguous_taxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82777385452582e-05,9.78009892125509e-06,1.51005507925902e-05,1.56933477991126e-05,2.01096916648009e-05,NA,1.82777385452582e-05,1.3132589542373e-05,4.55150597954098e-06,1.4633468205132e-05,1.59490057124022e-05,1.75198583786057e-05,1.16892268745345e-05,2.26494598566058e-05,1.34108889102921e-05
"Anaerofilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000355585095335023,0.000112026587643467,8.80865462901093e-05,4.76031549906415e-05,4.35709986070687e-05,NA,0.000355585095335023,0,0.000286744876711082,0,0.000248095644415146,0,0.000151959949368949,4.62233874624608e-07,0.000157273151766153
"Anaerotruncus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145191708553151,0.00216229096149931,0.00147167451266118,0.00180630433167786,0.00140298615514761,NA,0.0145191708553151,4.37752984745768e-06,0.00552780401215252,2.43891136752199e-06,0.0041405390941142,1.90433243245714e-06,0.00576195390436876,9.24467749249217e-07,0.00510101447278748
"Blautia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00139741619241474,0.0223261876374215,0.0312993520605331,0.0270446078180074,0.0140479602739744,NA,0.00139741619241474,0.0351180036129213,0.00237588612132039,0.048297761811038,0.000421762595505747,0.032744615309614,0.0145489127349117,0.0184006060810564,0.00256757564046138
