,Genus,value,Plate,Type
155,Butyricicoccus,0,PC04924,MSA1001
156,Candidatus Stoquefichus,8.47E-06,PC04924,MSA1001
157,Carnobacterium,0,PC04924,MSA1001
158,Christensenellaceae R-7 group,0,PC04924,MSA1001
159,Clostridium sensu stricto 1,0.02326921,PC04924,MSA1001
160,Coprococcus 1,0,PC04924,MSA1001
161,Coprococcus 2,8.47E-06,PC04924,MSA1001
162,Coprococcus 3,0,PC04924,MSA1001
163,Defluviitaleaceae UCG-011,0,PC04924,MSA1001
164,Dialister,0,PC04924,MSA1001
165,Dorea,8.47E-06,PC04924,MSA1001
166,Eisenbergiella,0,PC04924,MSA1001
167,Enterobacter,0.004591158,PC04924,MSA1001
168,Erwinia,8.47E-06,PC04924,MSA1001
169,Erysipelatoclostridium,0,PC04924,MSA1001
170,Erysipelotrichaceae UCG-003,1.69E-05,PC04924,MSA1001
171,Faecalibacterium,8.47E-06,PC04924,MSA1001
172,Family XIII AD3011 group,0,PC04924,MSA1001
173,Flavonifractor,0,PC04924,MSA1001
174,Fusicatenibacter,0,PC04924,MSA1001
175,Gordonibacter,0,PC04924,MSA1001
176,Gossypium arboreum,0,PC04924,MSA1001
177,Holdemania,0,PC04924,MSA1001
178,Hungatella,0,PC04924,MSA1001
179,Intestinibacter,8.47E-06,PC04924,MSA1001
180,Intestinimonas,0,PC04924,MSA1001
181,Kluyvera,0,PC04924,MSA1001
182,Lachnospira,0,PC04924,MSA1001
183,Lachnospiraceae FCS020 group,0,PC04924,MSA1001
184,Lachnospiraceae ND3007 group,0,PC04924,MSA1001
185,Lachnospiraceae NK4A136 group,2.54E-05,PC04924,MSA1001
186,Lachnospiraceae UCG-001,0,PC04924,MSA1001
187,Lachnospiraceae UCG-004,0,PC04924,MSA1001
188,Lachnospiraceae UCG-008,0,PC04924,MSA1001
189,Lactonifactor,0,PC04924,MSA1001
190,Marvinbryantia,0,PC04924,MSA1001
191,Odoribacter,0,PC04924,MSA1001
192,Oryza sativa Indica Group (long-grained rice),0,PC04924,MSA1001
193,Other,0.00033036,PC04924,MSA1001
194,Oxalobacter,0,PC04924,MSA1001
195,Parasutterella,0,PC04924,MSA1001
196,Phascolarctobacterium,0,PC04924,MSA1001
197,Porphyromonas,0,PC04924,MSA1001
198,Raoultella,0.000160945,PC04924,MSA1001
199,Roseburia,0,PC04924,MSA1001
200,Ruminiclostridium,0,PC04924,MSA1001
201,Ruminiclostridium 5,8.47E-06,PC04924,MSA1001
202,Ruminiclostridium 9,0,PC04924,MSA1001
203,Ruminococcaceae NK4A214 group,8.47E-06,PC04924,MSA1001
204,Ruminococcaceae UCG-002,1.69E-05,PC04924,MSA1001
205,Ruminococcaceae UCG-003,8.47E-06,PC04924,MSA1001
206,Ruminococcaceae UCG-004,0,PC04924,MSA1001
207,Ruminococcaceae UCG-005,3.39E-05,PC04924,MSA1001
208,Ruminococcaceae UCG-013,0,PC04924,MSA1001
209,Ruminococcaceae UCG-014,8.47E-06,PC04924,MSA1001
210,Ruminococcus 1,2.54E-05,PC04924,MSA1001
211,Ruminococcus 2,6.78E-05,PC04924,MSA1001
212,Sellimonas,0,PC04924,MSA1001
213,Serratia,0.009961627,PC04924,MSA1001
214,Succiniclasticum,0,PC04924,MSA1001
215,Tyzzerella,0,PC04924,MSA1001
216,Tyzzerella 3,0,PC04924,MSA1001
217,Acinetobacter,0.076772427,PC04924,MSA1002
218,Actinomyces,0.01285975,PC04924,MSA1002
219,Alistipes,7.72E-05,PC04924,MSA1002
220,Anaerostipes,2.81E-05,PC04924,MSA1002
221,Bacteroides,0.064291731,PC04924,MSA1002
222,Bifidobacterium,0.037547382,PC04924,MSA1002
223,Bilophila,7.02E-06,PC04924,MSA1002
224,Clostridium,NA,PC04924,MSA1002
225,Lachnoclostridium,7.72E-05,PC04924,MSA1002
226,Collinsella,0,PC04924,MSA1002
227,Coprobacillus,NA,PC04924,MSA1002
228,Cryptococcus,NA,PC04924,MSA1002
229,Deinococcus,0.007644251,PC04924,MSA1002
230,Enterococcus,0.023782114,PC04924,MSA1002
231,Fusobacterium,0.00014741,PC04924,MSA1002
232,Helicobacter,0.031243858,PC04924,MSA1002
233,Listeria,0.000112312,PC04924,MSA1002
234,Neisseria,0.025972203,PC04924,MSA1002
235,Paenibacillus,2.11E-05,PC04924,MSA1002
236,Parabacteroides,4.21E-05,PC04924,MSA1002
237,Pediococcus,2.11E-05,PC04924,MSA1002
238,Porphyromonadaceae,NA,PC04924,MSA1002
239,Propionibacterium,NA,PC04924,MSA1002
240,Pseudomonas,0.010536291,PC04924,MSA1002
241,Pyramidobacter,1.40E-05,PC04924,MSA1002
242,Ralstonia,1.40E-05,PC04924,MSA1002
243,Rhodobacter,0.003418503,PC04924,MSA1002
244,Saccharomyces,NA,PC04924,MSA1002
245,Salmonella,NA,PC04924,MSA1002
246,Streptococcus,0.094293135,PC04924,MSA1002
247,Subdoligranulum,3.51E-05,PC04924,MSA1002
248,Clostridium innocuum group,0,PC04924,MSA1002
249,Eubacterium coprostanoligenes group,7.02E-06,PC04924,MSA1002
250,Eubacterium eligens group,0,PC04924,MSA1002
251,Eubacterium hallii group,7.02E-06,PC04924,MSA1002
252,Eubacterium rectale group,2.81E-05,PC04924,MSA1002
253,Eubacterium ventriosum group,0,PC04924,MSA1002
254,Eubacterium xylanophilum group,7.02E-06,PC04924,MSA1002
255,Ruminococcus gauvreauii group,0,PC04924,MSA1002
256,Ruminococcus torques group,7.02E-06,PC04924,MSA1002
257,Adlercreutzia,0,PC04924,MSA1002
258,Akkermansia,0.000119332,PC04924,MSA1002
259,Ambiguous_taxa,0.198785624,PC04924,MSA1002
260,Anaerofilum,0,PC04924,MSA1002
261,Anaerotruncus,7.02E-06,PC04924,MSA1002
262,Blautia,4.91E-05,PC04924,MSA1002
263,Butyricicoccus,0,PC04924,MSA1002
264,Candidatus Stoquefichus,0,PC04924,MSA1002
265,Carnobacterium,0,PC04924,MSA1002
266,Christensenellaceae R-7 group,0,PC04924,MSA1002
267,Clostridium sensu stricto 1,0.162887828,PC04924,MSA1002
268,Coprococcus 1,0,PC04924,MSA1002
269,Coprococcus 2,2.81E-05,PC04924,MSA1002
270,Coprococcus 3,0,PC04924,MSA1002
271,Defluviitaleaceae UCG-011,0,PC04924,MSA1002
272,Dialister,7.02E-06,PC04924,MSA1002
273,Dorea,0,PC04924,MSA1002
274,Eisenbergiella,7.02E-06,PC04924,MSA1002
275,Enterobacter,0.002337498,PC04924,MSA1002
276,Erwinia,4.91E-05,PC04924,MSA1002
277,Erysipelatoclostridium,0,PC04924,MSA1002
278,Erysipelotrichaceae UCG-003,0,PC04924,MSA1002
279,Faecalibacterium,1.40E-05,PC04924,MSA1002
280,Family XIII AD3011 group,0,PC04924,MSA1002
281,Flavonifractor,0,PC04924,MSA1002
282,Fusicatenibacter,0,PC04924,MSA1002
283,Gordonibacter,0,PC04924,MSA1002
284,Gossypium arboreum,7.02E-06,PC04924,MSA1002
285,Holdemania,0,PC04924,MSA1002
286,Hungatella,0,PC04924,MSA1002
287,Intestinibacter,0,PC04924,MSA1002
288,Intestinimonas,0,PC04924,MSA1002
289,Kluyvera,0,PC04924,MSA1002
290,Lachnospira,0,PC04924,MSA1002
291,Lachnospiraceae FCS020 group,7.02E-06,PC04924,MSA1002
292,Lachnospiraceae ND3007 group,0,PC04924,MSA1002
293,Lachnospiraceae NK4A136 group,2.81E-05,PC04924,MSA1002
294,Lachnospiraceae UCG-001,1.40E-05,PC04924,MSA1002
295,Lachnospiraceae UCG-004,0,PC04924,MSA1002
296,Lachnospiraceae UCG-008,0,PC04924,MSA1002
297,Lactonifactor,0,PC04924,MSA1002
298,Marvinbryantia,0,PC04924,MSA1002
299,Odoribacter,0,PC04924,MSA1002
300,Oryza sativa Indica Group (long-grained rice),0,PC04924,MSA1002
301,Other,0.002555103,PC04924,MSA1002
302,Oxalobacter,0,PC04924,MSA1002
303,Parasutterella,0,PC04924,MSA1002
304,Phascolarctobacterium,7.02E-06,PC04924,MSA1002
305,Porphyromonas,0.054941738,PC04924,MSA1002
306,Raoultella,0.000175488,PC04924,MSA1002
307,Roseburia,2.81E-05,PC04924,MSA1002
308,Ruminiclostridium,0,PC04924,MSA1002
309,Ruminiclostridium 5,1.40E-05,PC04924,MSA1002
310,Ruminiclostridium 9,0,PC04924,MSA1002
311,Ruminococcaceae NK4A214 group,2.11E-05,PC04924,MSA1002
312,Ruminococcaceae UCG-002,7.02E-05,PC04924,MSA1002
313,Ruminococcaceae UCG-003,7.02E-06,PC04924,MSA1002
314,Ruminococcaceae UCG-004,0,PC04924,MSA1002
315,Ruminococcaceae UCG-005,2.11E-05,PC04924,MSA1002
316,Ruminococcaceae UCG-013,0,PC04924,MSA1002
317,Ruminococcaceae UCG-014,3.51E-05,PC04924,MSA1002
318,Ruminococcus 1,7.72E-05,PC04924,MSA1002
319,Ruminococcus 2,9.13E-05,PC04924,MSA1002
320,Sellimonas,0,PC04924,MSA1002
321,Serratia,0.004822406,PC04924,MSA1002
322,Succiniclasticum,0,PC04924,MSA1002
323,Tyzzerella,0,PC04924,MSA1002
324,Tyzzerella 3,0,PC04924,MSA1002
325,Acinetobacter,0.002366589,PC04924,MSA1003
326,Actinomyces,4.01E-05,PC04924,MSA1003
327,Alistipes,7.22E-05,PC04924,MSA1003
328,Anaerostipes,4.01E-05,PC04924,MSA1003
329,Bacteroides,0.00061772,PC04924,MSA1003
330,Bifidobacterium,8.02E-05,PC04924,MSA1003
331,Bilophila,1.60E-05,PC04924,MSA1003
332,Clostridium,NA,PC04924,MSA1003
333,Lachnoclostridium,5.62E-05,PC04924,MSA1003
334,Collinsella,0,PC04924,MSA1003
335,Coprobacillus,NA,PC04924,MSA1003
336,Cryptococcus,NA,PC04924,MSA1003
337,Deinococcus,2.41E-05,PC04924,MSA1003
338,Enterococcus,0.00024067,PC04924,MSA1003
339,Fusobacterium,0.00013638,PC04924,MSA1003
340,Helicobacter,0.000930591,PC04924,MSA1003
341,Listeria,8.02E-05,PC04924,MSA1003
342,Neisseria,0.000681898,PC04924,MSA1003
343,Paenibacillus,8.02E-06,PC04924,MSA1003
344,Parabacteroides,0.000112313,PC04924,MSA1003
345,Pediococcus,8.02E-06,PC04924,MSA1003
346,Porphyromonadaceae,NA,PC04924,MSA1003
347,Propionibacterium,NA,PC04924,MSA1003
348,Pseudomonas,0.00267946,PC04924,MSA1003
349,Pyramidobacter,8.02E-06,PC04924,MSA1003
350,Ralstonia,1.60E-05,PC04924,MSA1003
351,Rhodobacter,0.010453101,PC04924,MSA1003
352,Saccharomyces,NA,PC04924,MSA1003
353,Salmonella,NA,PC04924,MSA1003
354,Streptococcus,0.157462375,PC04924,MSA1003
355,Subdoligranulum,2.41E-05,PC04924,MSA1003
356,Clostridium innocuum group,0,PC04924,MSA1003
357,Eubacterium coprostanoligenes group,0,PC04924,MSA1003
358,Eubacterium eligens group,0,PC04924,MSA1003
359,Eubacterium hallii group,8.02E-06,PC04924,MSA1003
360,Eubacterium rectale group,3.21E-05,PC04924,MSA1003
361,Eubacterium ventriosum group,0,PC04924,MSA1003
362,Eubacterium xylanophilum group,0,PC04924,MSA1003
363,Ruminococcus gauvreauii group,0,PC04924,MSA1003
364,Ruminococcus torques group,0,PC04924,MSA1003
365,Adlercreutzia,0,PC04924,MSA1003
366,Akkermansia,0.00010429,PC04924,MSA1003
367,Ambiguous_taxa,0.081017553,PC04924,MSA1003
368,Anaerofilum,0,PC04924,MSA1003
369,Anaerotruncus,8.02E-06,PC04924,MSA1003
370,Blautia,2.41E-05,PC04924,MSA1003
371,Butyricicoccus,1.60E-05,PC04924,MSA1003
372,Candidatus Stoquefichus,8.02E-06,PC04924,MSA1003
373,Carnobacterium,0,PC04924,MSA1003
374,Christensenellaceae R-7 group,0,PC04924,MSA1003
375,Clostridium sensu stricto 1,0.060913583,PC04924,MSA1003
376,Coprococcus 1,0,PC04924,MSA1003
377,Coprococcus 2,3.21E-05,PC04924,MSA1003
378,Coprococcus 3,0,PC04924,MSA1003
379,Defluviitaleaceae UCG-011,0,PC04924,MSA1003
380,Dialister,0,PC04924,MSA1003
381,Dorea,1.60E-05,PC04924,MSA1003
382,Eisenbergiella,8.02E-06,PC04924,MSA1003
383,Enterobacter,0.007621217,PC04924,MSA1003
384,Erwinia,0.00010429,PC04924,MSA1003
385,Erysipelatoclostridium,0,PC04924,MSA1003
386,Erysipelotrichaceae UCG-003,0,PC04924,MSA1003
387,Faecalibacterium,4.01E-05,PC04924,MSA1003
388,Family XIII AD3011 group,0,PC04924,MSA1003
389,Flavonifractor,8.02E-06,PC04924,MSA1003
390,Fusicatenibacter,1.60E-05,PC04924,MSA1003
391,Gordonibacter,0,PC04924,MSA1003
392,Gossypium arboreum,0,PC04924,MSA1003
393,Holdemania,0,PC04924,MSA1003
394,Hungatella,0,PC04924,MSA1003
395,Intestinibacter,2.41E-05,PC04924,MSA1003
396,Intestinimonas,0,PC04924,MSA1003
397,Kluyvera,8.02E-06,PC04924,MSA1003
398,Lachnospira,1.60E-05,PC04924,MSA1003
399,Lachnospiraceae FCS020 group,0,PC04924,MSA1003
400,Lachnospiraceae ND3007 group,0,PC04924,MSA1003
401,Lachnospiraceae NK4A136 group,3.21E-05,PC04924,MSA1003
402,Lachnospiraceae UCG-001,8.02E-06,PC04924,MSA1003
403,Lachnospiraceae UCG-004,0,PC04924,MSA1003
404,Lachnospiraceae UCG-008,0,PC04924,MSA1003
405,Lactonifactor,0,PC04924,MSA1003
406,Marvinbryantia,0,PC04924,MSA1003
407,Odoribacter,0,PC04924,MSA1003
408,Oryza sativa Indica Group (long-grained rice),0,PC04924,MSA1003
409,Other,0.003409492,PC04924,MSA1003
410,Oxalobacter,8.02E-06,PC04924,MSA1003
411,Parasutterella,0,PC04924,MSA1003
412,Phascolarctobacterium,8.02E-06,PC04924,MSA1003
413,Porphyromonas,0.178360556,PC04924,MSA1003
414,Raoultella,0.000489362,PC04924,MSA1003
415,Roseburia,4.81E-05,PC04924,MSA1003
416,Ruminiclostridium,0,PC04924,MSA1003
417,Ruminiclostridium 5,0,PC04924,MSA1003
418,Ruminiclostridium 9,0,PC04924,MSA1003
419,Ruminococcaceae NK4A214 group,3.21E-05,PC04924,MSA1003
420,Ruminococcaceae UCG-002,4.81E-05,PC04924,MSA1003
421,Ruminococcaceae UCG-003,0,PC04924,MSA1003
422,Ruminococcaceae UCG-004,0,PC04924,MSA1003
423,Ruminococcaceae UCG-005,3.21E-05,PC04924,MSA1003
424,Ruminococcaceae UCG-013,1.60E-05,PC04924,MSA1003
425,Ruminococcaceae UCG-014,8.02E-06,PC04924,MSA1003
426,Ruminococcus 1,5.62E-05,PC04924,MSA1003
427,Ruminococcus 2,4.81E-05,PC04924,MSA1003
428,Sellimonas,0,PC04924,MSA1003
429,Serratia,0.017039438,PC04924,MSA1003
430,Succiniclasticum,0,PC04924,MSA1003
431,Tyzzerella,8.02E-06,PC04924,MSA1003
432,Tyzzerella 3,0,PC04924,MSA1003
433,Acinetobacter,0,PC04924,Seq200
434,Actinomyces,0,PC04924,Seq200
435,Alistipes,4.82E-05,PC04924,Seq200
436,Anaerostipes,0,PC04924,Seq200
437,Bacteroides,0.000240989,PC04924,Seq200
438,Bifidobacterium,8.03E-06,PC04924,Seq200
439,Bilophila,8.03E-06,PC04924,Seq200
440,Clostridium,NA,PC04924,Seq200
441,Lachnoclostridium,5.62E-05,PC04924,Seq200
442,Collinsella,8.03E-06,PC04924,Seq200
443,Coprobacillus,NA,PC04924,Seq200
444,Cryptococcus,NA,PC04924,Seq200
445,Deinococcus,0,PC04924,Seq200
446,Enterococcus,0.094242772,PC04924,Seq200
447,Fusobacterium,0.000104429,PC04924,Seq200
448,Helicobacter,0,PC04924,Seq200
449,Listeria,0.1653265,PC04924,Seq200
450,Neisseria,0,PC04924,Seq200
451,Paenibacillus,4.02E-05,PC04924,Seq200
452,Parabacteroides,4.82E-05,PC04924,Seq200
453,Pediococcus,1.61E-05,PC04924,Seq200
454,Porphyromonadaceae,NA,PC04924,Seq200
455,Propionibacterium,NA,PC04924,Seq200
456,Pseudomonas,0.043578848,PC04924,Seq200
457,Pyramidobacter,0,PC04924,Seq200
458,Ralstonia,1.61E-05,PC04924,Seq200
459,Rhodobacter,0,PC04924,Seq200
460,Saccharomyces,NA,PC04924,Seq200
461,Salmonella,NA,PC04924,Seq200
462,Streptococcus,0,PC04924,Seq200
463,Subdoligranulum,8.03E-06,PC04924,Seq200
464,Clostridium innocuum group,0,PC04924,Seq200
465,Eubacterium coprostanoligenes group,0,PC04924,Seq200
466,Eubacterium eligens group,0,PC04924,Seq200
467,Eubacterium hallii group,1.61E-05,PC04924,Seq200
468,Eubacterium rectale group,4.02E-05,PC04924,Seq200
469,Eubacterium ventriosum group,0,PC04924,Seq200
470,Eubacterium xylanophilum group,0,PC04924,Seq200
471,Ruminococcus gauvreauii group,0,PC04924,Seq200
472,Ruminococcus torques group,8.03E-06,PC04924,Seq200
473,Adlercreutzia,0,PC04924,Seq200
474,Akkermansia,8.84E-05,PC04924,Seq200
475,Ambiguous_taxa,6.43E-05,PC04924,Seq200
476,Anaerofilum,0,PC04924,Seq200
477,Anaerotruncus,0,PC04924,Seq200
478,Blautia,1.61E-05,PC04924,Seq200
479,Butyricicoccus,8.03E-06,PC04924,Seq200
480,Candidatus Stoquefichus,8.03E-06,PC04924,Seq200
481,Carnobacterium,0.00094789,PC04924,Seq200
482,Christensenellaceae R-7 group,8.03E-06,PC04924,Seq200
483,Clostridium sensu stricto 1,8.03E-06,PC04924,Seq200
484,Coprococcus 1,0,PC04924,Seq200
485,Coprococcus 2,1.61E-05,PC04924,Seq200
486,Coprococcus 3,0,PC04924,Seq200
487,Defluviitaleaceae UCG-011,0,PC04924,Seq200
488,Dialister,8.03E-06,PC04924,Seq200
489,Dorea,0,PC04924,Seq200
490,Eisenbergiella,0,PC04924,Seq200
491,Enterobacter,0.005984561,PC04924,Seq200
492,Erwinia,0.000843462,PC04924,Seq200
493,Erysipelatoclostridium,0,PC04924,Seq200
494,Erysipelotrichaceae UCG-003,0,PC04924,Seq200
495,Faecalibacterium,2.41E-05,PC04924,Seq200
496,Family XIII AD3011 group,0,PC04924,Seq200
497,Flavonifractor,0,PC04924,Seq200
498,Fusicatenibacter,8.03E-06,PC04924,Seq200
499,Gordonibacter,0,PC04924,Seq200
500,Gossypium arboreum,0,PC04924,Seq200
501,Holdemania,0,PC04924,Seq200
502,Hungatella,0,PC04924,Seq200
503,Intestinibacter,0,PC04924,Seq200
504,Intestinimonas,0,PC04924,Seq200
505,Kluyvera,0.002265297,PC04924,Seq200
506,Lachnospira,0,PC04924,Seq200
507,Lachnospiraceae FCS020 group,0,PC04924,Seq200
508,Lachnospiraceae ND3007 group,0,PC04924,Seq200
509,Lachnospiraceae NK4A136 group,2.41E-05,PC04924,Seq200
510,Lachnospiraceae UCG-001,0,PC04924,Seq200
511,Lachnospiraceae UCG-004,0,PC04924,Seq200
512,Lachnospiraceae UCG-008,0,PC04924,Seq200
513,Lactonifactor,0,PC04924,Seq200
514,Marvinbryantia,0,PC04924,Seq200
515,Odoribacter,0,PC04924,Seq200
516,Oryza sativa Indica Group (long-grained rice),0,PC04924,Seq200
517,Other,0.000963956,PC04924,Seq200
518,Oxalobacter,0,PC04924,Seq200
519,Parasutterella,0,PC04924,Seq200
520,Phascolarctobacterium,8.03E-06,PC04924,Seq200
521,Porphyromonas,0,PC04924,Seq200
522,Raoultella,0.104677597,PC04924,Seq200
523,Roseburia,1.61E-05,PC04924,Seq200
