"","Genus","value","Control","BINF"
"77","Odoribacter",NA,"Zymo.200","QIIME2"
"78","Oryza sativa Indica Group (long-grained rice)",NA,"Zymo.200","QIIME2"
"79","Other",0.163706077,"Zymo.200","QIIME2"
"80","Oxalobacter",NA,"Zymo.200","QIIME2"
"81","Parasutterella",NA,"Zymo.200","QIIME2"
"82","Phascolarctobacterium",NA,"Zymo.200","QIIME2"
"83","Porphyromonas",NA,"Zymo.200","QIIME2"
"84","Raoultella",NA,"Zymo.200","QIIME2"
"85","Roseburia",NA,"Zymo.200","QIIME2"
"86","Ruminiclostridium",NA,"Zymo.200","QIIME2"
"87","Ruminiclostridium 5",NA,"Zymo.200","QIIME2"
"88","Ruminiclostridium 9",NA,"Zymo.200","QIIME2"
"89","Ruminococcaceae NK4A214 group",NA,"Zymo.200","QIIME2"
"90","Ruminococcaceae UCG-002",NA,"Zymo.200","QIIME2"
"91","Ruminococcaceae UCG-003",NA,"Zymo.200","QIIME2"
"92","Ruminococcaceae UCG-004",NA,"Zymo.200","QIIME2"
"93","Ruminococcaceae UCG-005",NA,"Zymo.200","QIIME2"
"94","Ruminococcaceae UCG-013",NA,"Zymo.200","QIIME2"
"95","Ruminococcaceae UCG-014",NA,"Zymo.200","QIIME2"
"96","Ruminococcus 1",NA,"Zymo.200","QIIME2"
"97","Ruminococcus 2",NA,"Zymo.200","QIIME2"
"98","Sellimonas",NA,"Zymo.200","QIIME2"
"99","Serratia",NA,"Zymo.200","QIIME2"
"100","Succiniclasticum",NA,"Zymo.200","QIIME2"
"101","Tyzzerella",NA,"Zymo.200","QIIME2"
"102","Tyzzerella 3",NA,"Zymo.200","QIIME2"
"103","Abiotrophia",NA,"Zymo.200","QIIME2"
"104","Acetanaerobacterium",NA,"Zymo.200","QIIME2"
"105","Acidaminococcus",NA,"Zymo.200","QIIME2"
"106","Actinobacillus",NA,"Zymo.200","QIIME2"
"107","Alcaligenes",NA,"Zymo.200","QIIME2"
"108","Alkanindiges",NA,"Zymo.200","QIIME2"
"109","Alloprevotella",NA,"Zymo.200","QIIME2"
"110","Anaerococcus",NA,"Zymo.200","QIIME2"
"111","Anaerofustis",NA,"Zymo.200","QIIME2"
"112","Anaeromyxobacter",NA,"Zymo.200","QIIME2"
"113","Anaerosporobacter",NA,"Zymo.200","QIIME2"
"114","Arthrobacter",NA,"Zymo.200","QIIME2"
"115","Atopobium",NA,"Zymo.200","QIIME2"
"116","Azospirillum",NA,"Zymo.200","QIIME2"
"117","Bergeyella",NA,"Zymo.200","QIIME2"
"118","Bradyrhizobium",NA,"Zymo.200","QIIME2"
"119","Brevundimonas",NA,"Zymo.200","QIIME2"
"120","Bryobacter",NA,"Zymo.200","QIIME2"
"121","Butyricimonas",NA,"Zymo.200","QIIME2"
"122","Campylobacter",NA,"Zymo.200","QIIME2"
"123","Candidatus Planktophila",NA,"Zymo.200","QIIME2"
"124","Capnocytophaga",NA,"Zymo.200","QIIME2"
"125","Christensenella",NA,"Zymo.200","QIIME2"
"126","Coprococcus",0.000174959,"Zymo.200","QIIME2"
"127","Corynebacterium",NA,"Zymo.200","QIIME2"
"128","Desulfovibrio",NA,"Zymo.200","QIIME2"
"129","Devosia",NA,"Zymo.200","QIIME2"
"130","Dolosigranulum",NA,"Zymo.200","QIIME2"
"131","Eggerthella",NA,"Zymo.200","QIIME2"
"132","Eggerthia",NA,"Zymo.200","QIIME2"
"133","Enterorhabdus",NA,"Zymo.200","QIIME2"
"134","Finegoldia",NA,"Zymo.200","QIIME2"
"135","Gemella",NA,"Zymo.200","QIIME2"
"136","Granulicatella",NA,"Zymo.200","QIIME2"
"137","Haemophilus",NA,"Zymo.200","QIIME2"
"138","Incertae Sedis",9.84e-05,"Zymo.200","QIIME2"
"139","Lachnoanaerobaculum",NA,"Zymo.200","QIIME2"
"140","Lactococcus",NA,"Zymo.200","QIIME2"
"141","Lautropia",NA,"Zymo.200","QIIME2"
"142","Leptotrichia",NA,"Zymo.200","QIIME2"
"143","Leuconostoc",NA,"Zymo.200","QIIME2"
"144","Lysobacter",NA,"Zymo.200","QIIME2"
"145","Massilia",NA,"Zymo.200","QIIME2"
"146","Megasphaera",NA,"Zymo.200","QIIME2"
"147","Methylobacterium",NA,"Zymo.200","QIIME2"
"148","Mogibacterium",NA,"Zymo.200","QIIME2"
"149","Moraxella",NA,"Zymo.200","QIIME2"
"150","Mycobacterium",NA,"Zymo.200","QIIME2"
"151","Nevskia",NA,"Zymo.200","QIIME2"
"152","Nocardioides",NA,"Zymo.200","QIIME2"
"153","Nosocomiicoccus",NA,"Zymo.200","QIIME2"
"154","Oribacterium",NA,"Zymo.200","QIIME2"
"155","Oscillibacter",NA,"Zymo.200","QIIME2"
"156","Oscillospira",NA,"Zymo.200","QIIME2"
"157","Papillibacter",NA,"Zymo.200","QIIME2"
"158","Paracoccus",NA,"Zymo.200","QIIME2"
"159","Pedobacter",NA,"Zymo.200","QIIME2"
"160","Peptoniphilus",NA,"Zymo.200","QIIME2"
"161","Phenylobacterium",NA,"Zymo.200","QIIME2"
"162","Prevotella",NA,"Zymo.200","QIIME2"
"163","Pseudobutyrivibrio",0.000623291,"Zymo.200","QIIME2"
"164","Rhizobium",NA,"Zymo.200","QIIME2"
"165","Rothia",NA,"Zymo.200","QIIME2"
"166","Rubellimicrobium",NA,"Zymo.200","QIIME2"
"167","Ruminococcus",0.000699836,"Zymo.200","QIIME2"
"168","Salinarimonas",NA,"Zymo.200","QIIME2"
"169","Scardovia",NA,"Zymo.200","QIIME2"
"170","Sediminibacterium",NA,"Zymo.200","QIIME2"
"171","Solobacterium",NA,"Zymo.200","QIIME2"
"172","Sphingomonas",NA,"Zymo.200","QIIME2"
"173","Stomatobaculum",NA,"Zymo.200","QIIME2"
"174","Sutterella",NA,"Zymo.200","QIIME2"
"175","Synergistes",NA,"Zymo.200","QIIME2"
"176","Thalassospira",NA,"Zymo.200","QIIME2"
"177","Treponema",NA,"Zymo.200","QIIME2"
"178","Turicibacter",NA,"Zymo.200","QIIME2"
"179","uncultured",0.000535812,"Zymo.200","QIIME2"
"180","Veillonella",NA,"Zymo.200","QIIME2"
"181","Weissella",NA,"Zymo.200","QIIME2"
"182","Basidiomycota",0.000951534666666667,"Zymo.200","QIIME2"
"183","Acinetobacter",7.12e-06,"Zymo.200","Nephele"
"184","Actinomyces",NA,"Zymo.200","Nephele"
"185","Alistipes",5.86666666666667e-05,"Zymo.200","Nephele"
"186","Anaerostipes",7.12e-06,"Zymo.200","Nephele"
"187","Bacteroides",0.000223069,"Zymo.200","Nephele"
"188","Bifidobacterium",8.03e-06,"Zymo.200","Nephele"
"189","Bilophila",1.2865e-05,"Zymo.200","Nephele"
"190","Clostridium",NA,"Zymo.200","Nephele"
"191","Lachnoclostridium",3.17666666666667e-05,"Zymo.200","Nephele"
"192","Collinsella",8.03e-06,"Zymo.200","Nephele"
"193","Coprobacillus",NA,"Zymo.200","Nephele"
"194","Deinococcus",NA,"Zymo.200","Nephele"
"195","Fusobacterium",5.08096666666667e-05,"Zymo.200","Nephele"
"196","Helicobacter",NA,"Zymo.200","Nephele"
"197","Neisseria",8.87e-06,"Zymo.200","Nephele"
"198","Paenibacillus",2.4535e-05,"Zymo.200","Nephele"
"199","Parabacteroides",2.67e-05,"Zymo.200","Nephele"
"200","Pediococcus",1.161e-05,"Zymo.200","Nephele"
"201","Porphyromonadaceae",NA,"Zymo.200","Nephele"
"202","Propionibacterium",NA,"Zymo.200","Nephele"
"203","Pyramidobacter",NA,"Zymo.200","Nephele"
"204","Ralstonia",1.69e-05,"Zymo.200","Nephele"
"205","Rhodobacter",NA,"Zymo.200","Nephele"
"206","Streptococcus",2.131e-05,"Zymo.200","Nephele"
"207","Subdoligranulum",2.86833333333333e-05,"Zymo.200","Nephele"
"208","Clostridium innocuum group",NA,"Zymo.200","Nephele"
"209","Eubacterium coprostanoligenes group",3.55e-05,"Zymo.200","Nephele"
"210","Eubacterium eligens group",NA,"Zymo.200","Nephele"
"211","Eubacterium hallii group",1.515e-05,"Zymo.200","Nephele"
"212","Eubacterium rectale group",4.534e-05,"Zymo.200","Nephele"
"213","Eubacterium ventriosum group",8.87e-06,"Zymo.200","Nephele"
"214","Eubacterium xylanophilum group",NA,"Zymo.200","Nephele"
"215","Ruminococcus gauvreauii group",8.87e-06,"Zymo.200","Nephele"
"216","Ruminococcus torques group",8.03e-06,"Zymo.200","Nephele"
"217","Adlercreutzia",NA,"Zymo.200","Nephele"
"218","Akkermansia",7.85666666666667e-05,"Zymo.200","Nephele"
"219","Ambiguous_taxa",4.57e-05,"Zymo.200","Nephele"
"220","Anaerofilum",NA,"Zymo.200","Nephele"
"221","Anaerotruncus",7.995e-06,"Zymo.200","Nephele"
"222","Blautia",4.85243333333333e-05,"Zymo.200","Nephele"
"223","Butyricicoccus",8.03e-06,"Zymo.200","Nephele"
"224","Candidatus Stoquefichus",7.575e-06,"Zymo.200","Nephele"
"225","Carnobacterium",0.000935136666666667,"Zymo.200","Nephele"
"226","Christensenellaceae R-7 group",8.03e-06,"Zymo.200","Nephele"
"227","Clostridium sensu stricto 1",1.095e-05,"Zymo.200","Nephele"
"228","Coprococcus 1",NA,"Zymo.200","Nephele"
"229","Coprococcus 2",3.465e-05,"Zymo.200","Nephele"
"230","Coprococcus 3",NA,"Zymo.200","Nephele"
"231","Defluviitaleaceae UCG-011",NA,"Zymo.200","Nephele"
"232","Dialister",8.45e-06,"Zymo.200","Nephele"
"233","Dorea",8.87e-06,"Zymo.200","Nephele"
"234","Eisenbergiella",NA,"Zymo.200","Nephele"
"235","Enterobacter",0.00441215333333333,"Zymo.200","Nephele"
"236","Erwinia",0.000590238,"Zymo.200","Nephele"
"237","Erysipelatoclostridium",7.12e-06,"Zymo.200","Nephele"
"238","Erysipelotrichaceae UCG-003",8.87e-06,"Zymo.200","Nephele"
"239","Faecalibacterium",2.99333333333333e-05,"Zymo.200","Nephele"
"240","Family XIII AD3011 group",8.87e-06,"Zymo.200","Nephele"
"241","Flavonifractor",NA,"Zymo.200","Nephele"
"242","Fusicatenibacter",3.0615e-05,"Zymo.200","Nephele"
"243","Gordonibacter",NA,"Zymo.200","Nephele"
"244","Gossypium arboreum",NA,"Zymo.200","Nephele"
"245","Holdemania",NA,"Zymo.200","Nephele"
"246","Hungatella",NA,"Zymo.200","Nephele"
"247","Intestinibacter",NA,"Zymo.200","Nephele"
"248","Intestinimonas",NA,"Zymo.200","Nephele"
"249","Kluyvera",0.00194931133333333,"Zymo.200","Nephele"
"250","Lachnospira",2.04e-05,"Zymo.200","Nephele"
"251","Lachnospiraceae FCS020 group",NA,"Zymo.200","Nephele"
"252","Lachnospiraceae ND3007 group",2.66e-05,"Zymo.200","Nephele"
"253","Lachnospiraceae NK4A136 group",1.92733333333333e-05,"Zymo.200","Nephele"
"254","Lachnospiraceae UCG-001",NA,"Zymo.200","Nephele"
"255","Lachnospiraceae UCG-004",7.12e-06,"Zymo.200","Nephele"
"256","Lachnospiraceae UCG-008",8.87e-06,"Zymo.200","Nephele"
"257","Lactonifactor",NA,"Zymo.200","Nephele"
"258","Marvinbryantia",NA,"Zymo.200","Nephele"
"259","Odoribacter",NA,"Zymo.200","Nephele"
"260","Oryza sativa Indica Group (long-grained rice)",NA,"Zymo.200","Nephele"
"261","Other",0.001056509,"Zymo.200","Nephele"
"262","Oxalobacter",7.12e-06,"Zymo.200","Nephele"
"263","Parasutterella",NA,"Zymo.200","Nephele"
"264","Phascolarctobacterium",8.45e-06,"Zymo.200","Nephele"
"265","Porphyromonas",NA,"Zymo.200","Nephele"
"266","Raoultella",0.107643956666667,"Zymo.200","Nephele"
"267","Roseburia",2.48666666666667e-05,"Zymo.200","Nephele"
"268","Ruminiclostridium",8.03e-06,"Zymo.200","Nephele"
"269","Ruminiclostridium 5",7.995e-06,"Zymo.200","Nephele"
"270","Ruminiclostridium 9",NA,"Zymo.200","Nephele"
"271","Ruminococcaceae NK4A214 group",4.35e-05,"Zymo.200","Nephele"
"272","Ruminococcaceae UCG-002",4.08666666666667e-05,"Zymo.200","Nephele"
"273","Ruminococcaceae UCG-003",8.87e-06,"Zymo.200","Nephele"
"274","Ruminococcaceae UCG-004",8.87e-06,"Zymo.200","Nephele"
"275","Ruminococcaceae UCG-005",1.95733333333333e-05,"Zymo.200","Nephele"
"276","Ruminococcaceae UCG-013",NA,"Zymo.200","Nephele"
"277","Ruminococcaceae UCG-014",2.535e-05,"Zymo.200","Nephele"
"278","Ruminococcus 1",8.5968e-05,"Zymo.200","Nephele"
"279","Ruminococcus 2",9.0347e-05,"Zymo.200","Nephele"
"280","Sellimonas",8.03e-06,"Zymo.200","Nephele"
"281","Serratia",0.0102051386666667,"Zymo.200","Nephele"
"282","Succiniclasticum",NA,"Zymo.200","Nephele"
"283","Tyzzerella",NA,"Zymo.200","Nephele"
"284","Tyzzerella 3",7.12e-06,"Zymo.200","Nephele"
"285","Abiotrophia",NA,"Zymo.200","Nephele"
"286","Acetanaerobacterium",NA,"Zymo.200","Nephele"
"287","Acidaminococcus",NA,"Zymo.200","Nephele"
"288","Actinobacillus",NA,"Zymo.200","Nephele"
"289","Alcaligenes",NA,"Zymo.200","Nephele"
"290","Alkanindiges",NA,"Zymo.200","Nephele"
"291","Alloprevotella",NA,"Zymo.200","Nephele"
"292","Anaerococcus",NA,"Zymo.200","Nephele"
"293","Anaerofustis",NA,"Zymo.200","Nephele"
"294","Anaeromyxobacter",NA,"Zymo.200","Nephele"
"295","Anaerosporobacter",NA,"Zymo.200","Nephele"
"296","Arthrobacter",NA,"Zymo.200","Nephele"
"297","Atopobium",NA,"Zymo.200","Nephele"
"298","Azospirillum",NA,"Zymo.200","Nephele"
"299","Bergeyella",NA,"Zymo.200","Nephele"
"300","Bradyrhizobium",NA,"Zymo.200","Nephele"
"301","Brevundimonas",NA,"Zymo.200","Nephele"
"302","Bryobacter",NA,"Zymo.200","Nephele"
"303","Butyricimonas",NA,"Zymo.200","Nephele"
"304","Campylobacter",NA,"Zymo.200","Nephele"
"305","Candidatus Planktophila",NA,"Zymo.200","Nephele"
"306","Capnocytophaga",NA,"Zymo.200","Nephele"
"307","Christensenella",NA,"Zymo.200","Nephele"
"308","Coprococcus",NA,"Zymo.200","Nephele"
"309","Corynebacterium",NA,"Zymo.200","Nephele"
"310","Desulfovibrio",NA,"Zymo.200","Nephele"
"311","Devosia",NA,"Zymo.200","Nephele"
"312","Dolosigranulum",NA,"Zymo.200","Nephele"
"313","Eggerthella",NA,"Zymo.200","Nephele"
"314","Eggerthia",NA,"Zymo.200","Nephele"
"315","Enterorhabdus",NA,"Zymo.200","Nephele"
"316","Finegoldia",NA,"Zymo.200","Nephele"
"317","Gemella",NA,"Zymo.200","Nephele"
"318","Granulicatella",NA,"Zymo.200","Nephele"
"319","Haemophilus",NA,"Zymo.200","Nephele"
"320","Incertae Sedis",NA,"Zymo.200","Nephele"
"321","Lachnoanaerobaculum",NA,"Zymo.200","Nephele"
"322","Lactococcus",NA,"Zymo.200","Nephele"
"323","Lautropia",NA,"Zymo.200","Nephele"
"324","Leptotrichia",NA,"Zymo.200","Nephele"
"325","Leuconostoc",NA,"Zymo.200","Nephele"
"326","Lysobacter",NA,"Zymo.200","Nephele"
"327","Massilia",NA,"Zymo.200","Nephele"
"328","Megasphaera",NA,"Zymo.200","Nephele"
"329","Methylobacterium",NA,"Zymo.200","Nephele"
"330","Mogibacterium",NA,"Zymo.200","Nephele"
"331","Moraxella",NA,"Zymo.200","Nephele"
"332","Mycobacterium",NA,"Zymo.200","Nephele"
"333","Nevskia",NA,"Zymo.200","Nephele"
"334","Nocardioides",NA,"Zymo.200","Nephele"
"335","Nosocomiicoccus",NA,"Zymo.200","Nephele"
"336","Oribacterium",NA,"Zymo.200","Nephele"
"337","Oscillibacter",NA,"Zymo.200","Nephele"
"338","Oscillospira",NA,"Zymo.200","Nephele"
"339","Papillibacter",NA,"Zymo.200","Nephele"
"340","Paracoccus",NA,"Zymo.200","Nephele"
"341","Pedobacter",NA,"Zymo.200","Nephele"
"342","Peptoniphilus",NA,"Zymo.200","Nephele"
"343","Phenylobacterium",NA,"Zymo.200","Nephele"
"344","Prevotella",NA,"Zymo.200","Nephele"
"345","Pseudobutyrivibrio",NA,"Zymo.200","Nephele"
"346","Rhizobium",NA,"Zymo.200","Nephele"
"347","Rothia",NA,"Zymo.200","Nephele"
"348","Rubellimicrobium",NA,"Zymo.200","Nephele"
"349","Ruminococcus",NA,"Zymo.200","Nephele"
"350","Salinarimonas",NA,"Zymo.200","Nephele"
"351","Scardovia",NA,"Zymo.200","Nephele"
"352","Sediminibacterium",NA,"Zymo.200","Nephele"
"353","Solobacterium",NA,"Zymo.200","Nephele"
"354","Sphingomonas",NA,"Zymo.200","Nephele"
"355","Stomatobaculum",NA,"Zymo.200","Nephele"
"356","Sutterella",NA,"Zymo.200","Nephele"
"357","Synergistes",NA,"Zymo.200","Nephele"
"358","Thalassospira",NA,"Zymo.200","Nephele"
"359","Treponema",NA,"Zymo.200","Nephele"
"360","Turicibacter",NA,"Zymo.200","Nephele"
"361","uncultured",NA,"Zymo.200","Nephele"
"362","Veillonella",NA,"Zymo.200","Nephele"
"363","Weissella",NA,"Zymo.200","Nephele"
"364","Basidiomycota",NA,"Zymo.200","Nephele"
"365","Acinetobacter",NA,"Zymo.2000","QIIME2"
"366","Actinomyces",NA,"Zymo.2000","QIIME2"
"367","Alistipes",NA,"Zymo.2000","QIIME2"
"368","Anaerostipes",NA,"Zymo.2000","QIIME2"
"369","Bacteroides",NA,"Zymo.2000","QIIME2"
"370","Bifidobacterium",NA,"Zymo.2000","QIIME2"
"371","Bilophila",NA,"Zymo.2000","QIIME2"
"372","Clostridium",NA,"Zymo.2000","QIIME2"
"373","Lachnoclostridium",NA,"Zymo.2000","QIIME2"
"374","Collinsella",NA,"Zymo.2000","QIIME2"
"375","Coprobacillus",NA,"Zymo.2000","QIIME2"
"376","Deinococcus",NA,"Zymo.2000","QIIME2"
"377","Fusobacterium",NA,"Zymo.2000","QIIME2"
"378","Helicobacter",NA,"Zymo.2000","QIIME2"
"379","Neisseria",NA,"Zymo.2000","QIIME2"
"380","Paenibacillus",NA,"Zymo.2000","QIIME2"
"381","Parabacteroides",NA,"Zymo.2000","QIIME2"
"382","Pediococcus",NA,"Zymo.2000","QIIME2"
"383","Porphyromonadaceae",NA,"Zymo.2000","QIIME2"
"384","Propionibacterium",NA,"Zymo.2000","QIIME2"
"385","Pyramidobacter",NA,"Zymo.2000","QIIME2"
"386","Ralstonia",NA,"Zymo.2000","QIIME2"
"387","Rhodobacter",NA,"Zymo.2000","QIIME2"
"388","Streptococcus",NA,"Zymo.2000","QIIME2"
"389","Subdoligranulum",NA,"Zymo.2000","QIIME2"
"390","Clostridium innocuum group",NA,"Zymo.2000","QIIME2"
"391","Eubacterium coprostanoligenes group",NA,"Zymo.2000","QIIME2"
"392","Eubacterium eligens group",NA,"Zymo.2000","QIIME2"
"393","Eubacterium hallii group",NA,"Zymo.2000","QIIME2"
"394","Eubacterium rectale group",NA,"Zymo.2000","QIIME2"
"395","Eubacterium ventriosum group",NA,"Zymo.2000","QIIME2"
"396","Eubacterium xylanophilum group",NA,"Zymo.2000","QIIME2"
"397","Ruminococcus gauvreauii group",NA,"Zymo.2000","QIIME2"
"398","Ruminococcus torques group",NA,"Zymo.2000","QIIME2"
"399","Adlercreutzia",NA,"Zymo.2000","QIIME2"
"400","Akkermansia",NA,"Zymo.2000","QIIME2"
"401","Ambiguous_taxa",NA,"Zymo.2000","QIIME2"
"402","Anaerofilum",NA,"Zymo.2000","QIIME2"
"403","Anaerotruncus",NA,"Zymo.2000","QIIME2"
"404","Blautia",NA,"Zymo.2000","QIIME2"
"405","Butyricicoccus",NA,"Zymo.2000","QIIME2"
"406","Candidatus Stoquefichus",NA,"Zymo.2000","QIIME2"
"407","Carnobacterium",NA,"Zymo.2000","QIIME2"
"408","Christensenellaceae R-7 group",NA,"Zymo.2000","QIIME2"
"409","Clostridium sensu stricto 1",NA,"Zymo.2000","QIIME2"
"410","Coprococcus 1",NA,"Zymo.2000","QIIME2"
"411","Coprococcus 2",NA,"Zymo.2000","QIIME2"
"412","Coprococcus 3",NA,"Zymo.2000","QIIME2"
"413","Defluviitaleaceae UCG-011",NA,"Zymo.2000","QIIME2"
"414","Dialister",NA,"Zymo.2000","QIIME2"
"415","Dorea",NA,"Zymo.2000","QIIME2"
"416","Eisenbergiella",NA,"Zymo.2000","QIIME2"
"417","Enterobacter",NA,"Zymo.2000","QIIME2"
"418","Erwinia",NA,"Zymo.2000","QIIME2"
"419","Erysipelatoclostridium",NA,"Zymo.2000","QIIME2"
"420","Erysipelotrichaceae UCG-003",NA,"Zymo.2000","QIIME2"
"421","Faecalibacterium",NA,"Zymo.2000","QIIME2"
"422","Family XIII AD3011 group",NA,"Zymo.2000","QIIME2"
"423","Flavonifractor",NA,"Zymo.2000","QIIME2"
"424","Fusicatenibacter",NA,"Zymo.2000","QIIME2"
"425","Gordonibacter",NA,"Zymo.2000","QIIME2"
"426","Gossypium arboreum",NA,"Zymo.2000","QIIME2"
"427","Holdemania",NA,"Zymo.2000","QIIME2"
"428","Hungatella",NA,"Zymo.2000","QIIME2"
"429","Intestinibacter",NA,"Zymo.2000","QIIME2"
"430","Intestinimonas",NA,"Zymo.2000","QIIME2"
"431","Kluyvera",NA,"Zymo.2000","QIIME2"
"432","Lachnospira",NA,"Zymo.2000","QIIME2"
"433","Lachnospiraceae FCS020 group",NA,"Zymo.2000","QIIME2"
"434","Lachnospiraceae ND3007 group",NA,"Zymo.2000","QIIME2"
"435","Lachnospiraceae NK4A136 group",NA,"Zymo.2000","QIIME2"
"436","Lachnospiraceae UCG-001",NA,"Zymo.2000","QIIME2"
"437","Lachnospiraceae UCG-004",NA,"Zymo.2000","QIIME2"
"438","Lachnospiraceae UCG-008",NA,"Zymo.2000","QIIME2"
"439","Lactonifactor",NA,"Zymo.2000","QIIME2"
"440","Marvinbryantia",NA,"Zymo.2000","QIIME2"
"441","Odoribacter",NA,"Zymo.2000","QIIME2"
"442","Oryza sativa Indica Group (long-grained rice)",NA,"Zymo.2000","QIIME2"
"443","Other",0.174262797,"Zymo.2000","QIIME2"
"444","Oxalobacter",NA,"Zymo.2000","QIIME2"
"445","Parasutterella",NA,"Zymo.2000","QIIME2"
"446","Phascolarctobacterium",NA,"Zymo.2000","QIIME2"
"447","Porphyromonas",NA,"Zymo.2000","QIIME2"
"448","Raoultella",NA,"Zymo.2000","QIIME2"
"449","Roseburia",NA,"Zymo.2000","QIIME2"
"450","Ruminiclostridium",NA,"Zymo.2000","QIIME2"
"451","Ruminiclostridium 5",NA,"Zymo.2000","QIIME2"
"452","Ruminiclostridium 9",NA,"Zymo.2000","QIIME2"
"453","Ruminococcaceae NK4A214 group",NA,"Zymo.2000","QIIME2"
"454","Ruminococcaceae UCG-002",NA,"Zymo.2000","QIIME2"
"455","Ruminococcaceae UCG-003",NA,"Zymo.2000","QIIME2"
