"","Genus","value","Plate","Type","BINF","Expected"
"487","Defluviitaleaceae UCG-011",0,"PC04924","Seq200","Nephele",NA
"488","Dialister",8.03e-06,"PC04924","Seq200","Nephele",NA
"489","Dorea",0,"PC04924","Seq200","Nephele",NA
"490","Eisenbergiella",0,"PC04924","Seq200","Nephele",NA
"491","Enterobacter",0.005984561,"PC04924","Seq200","Nephele",NA
"492","Erwinia",0.000843462,"PC04924","Seq200","Nephele",NA
"493","Erysipelatoclostridium",0,"PC04924","Seq200","Nephele",NA
"494","Erysipelotrichaceae UCG-003",0,"PC04924","Seq200","Nephele",NA
"495","Faecalibacterium",2.41e-05,"PC04924","Seq200","Nephele",NA
"496","Family XIII AD3011 group",0,"PC04924","Seq200","Nephele",NA
"497","Flavonifractor",0,"PC04924","Seq200","Nephele",NA
"498","Fusicatenibacter",8.03e-06,"PC04924","Seq200","Nephele",NA
"499","Gordonibacter",0,"PC04924","Seq200","Nephele",NA
"500","Gossypium arboreum",0,"PC04924","Seq200","Nephele",NA
"501","Holdemania",0,"PC04924","Seq200","Nephele",NA
"502","Hungatella",0,"PC04924","Seq200","Nephele",NA
"503","Intestinibacter",0,"PC04924","Seq200","Nephele",NA
"504","Intestinimonas",0,"PC04924","Seq200","Nephele",NA
"505","Kluyvera",0.002265297,"PC04924","Seq200","Nephele",NA
"506","Lachnospira",0,"PC04924","Seq200","Nephele",NA
"507","Lachnospiraceae FCS020 group",0,"PC04924","Seq200","Nephele",NA
"508","Lachnospiraceae ND3007 group",0,"PC04924","Seq200","Nephele",NA
"509","Lachnospiraceae NK4A136 group",2.41e-05,"PC04924","Seq200","Nephele",NA
"510","Lachnospiraceae UCG-001",0,"PC04924","Seq200","Nephele",NA
"511","Lachnospiraceae UCG-004",0,"PC04924","Seq200","Nephele",NA
"512","Lachnospiraceae UCG-008",0,"PC04924","Seq200","Nephele",NA
"513","Lactonifactor",0,"PC04924","Seq200","Nephele",NA
"514","Marvinbryantia",0,"PC04924","Seq200","Nephele",NA
"515","Odoribacter",0,"PC04924","Seq200","Nephele",NA
"516","Oryza sativa Indica Group (long-grained rice)",0,"PC04924","Seq200","Nephele",NA
"517","Other",0.000963956,"PC04924","Seq200","Nephele",NA
"518","Oxalobacter",0,"PC04924","Seq200","Nephele",NA
"519","Parasutterella",0,"PC04924","Seq200","Nephele",NA
"520","Phascolarctobacterium",8.03e-06,"PC04924","Seq200","Nephele",NA
"521","Porphyromonas",0,"PC04924","Seq200","Nephele",NA
"522","Raoultella",0.104677597,"PC04924","Seq200","Nephele",NA
"523","Roseburia",1.61e-05,"PC04924","Seq200","Nephele",NA
"524","Ruminiclostridium",8.03e-06,"PC04924","Seq200","Nephele",NA
"525","Ruminiclostridium 5",0,"PC04924","Seq200","Nephele",NA
"526","Ruminiclostridium 9",0,"PC04924","Seq200","Nephele",NA
"527","Ruminococcaceae NK4A214 group",1.61e-05,"PC04924","Seq200","Nephele",NA
"528","Ruminococcaceae UCG-002",1.61e-05,"PC04924","Seq200","Nephele",NA
"529","Ruminococcaceae UCG-003",0,"PC04924","Seq200","Nephele",NA
"530","Ruminococcaceae UCG-004",0,"PC04924","Seq200","Nephele",NA
"531","Ruminococcaceae UCG-005",1.61e-05,"PC04924","Seq200","Nephele",NA
"532","Ruminococcaceae UCG-013",0,"PC04924","Seq200","Nephele",NA
"533","Ruminococcaceae UCG-014",2.41e-05,"PC04924","Seq200","Nephele",NA
"534","Ruminococcus 1",4.82e-05,"PC04924","Seq200","Nephele",NA
"535","Ruminococcus 2",5.62e-05,"PC04924","Seq200","Nephele",NA
"536","Sellimonas",8.03e-06,"PC04924","Seq200","Nephele",NA
"537","Serratia",0.011189923,"PC04924","Seq200","Nephele",NA
"538","Succiniclasticum",0,"PC04924","Seq200","Nephele",NA
"539","Tyzzerella",0,"PC04924","Seq200","Nephele",NA
"540","Tyzzerella 3",0,"PC04924","Seq200","Nephele",NA
"541","Acinetobacter",0,"PC04924","Seq2000","Nephele",NA
"542","Actinomyces",0,"PC04924","Seq2000","Nephele",NA
"543","Alistipes",2.48e-05,"PC04924","Seq2000","Nephele",NA
"544","Anaerostipes",1.65e-05,"PC04924","Seq2000","Nephele",NA
"545","Bacteroides",0.000181701,"PC04924","Seq2000","Nephele",NA
"546","Bifidobacterium",0,"PC04924","Seq2000","Nephele",NA
"547","Bilophila",1.65e-05,"PC04924","Seq2000","Nephele",NA
"548","Clostridium",NA,"PC04924","Seq2000","Nephele",NA
"549","Lachnoclostridium",6.61e-05,"PC04924","Seq2000","Nephele",NA
"550","Collinsella",0,"PC04924","Seq2000","Nephele",NA
"551","Coprobacillus",NA,"PC04924","Seq2000","Nephele",NA
"553","Deinococcus",0,"PC04924","Seq2000","Nephele",NA
"555","Fusobacterium",0.000123887,"PC04924","Seq2000","Nephele",NA
"556","Helicobacter",0,"PC04924","Seq2000","Nephele",NA
"558","Neisseria",0,"PC04924","Seq2000","Nephele",NA
"559","Paenibacillus",8.26e-06,"PC04924","Seq2000","Nephele",NA
"560","Parabacteroides",3.3e-05,"PC04924","Seq2000","Nephele",NA
"561","Pediococcus",1.65e-05,"PC04924","Seq2000","Nephele",NA
"562","Porphyromonadaceae",NA,"PC04924","Seq2000","Nephele",NA
"563","Propionibacterium",NA,"PC04924","Seq2000","Nephele",NA
"565","Pyramidobacter",0,"PC04924","Seq2000","Nephele",NA
"566","Ralstonia",8.26e-06,"PC04924","Seq2000","Nephele",NA
"567","Rhodobacter",0,"PC04924","Seq2000","Nephele",NA
"570","Streptococcus",1.65e-05,"PC04924","Seq2000","Nephele",NA
"571","Subdoligranulum",0,"PC04924","Seq2000","Nephele",NA
"572","[Clostridium] innocuum group",0,"PC04924","Seq2000","Nephele",NA
"573","[Eubacterium] coprostanoligenes group",0,"PC04924","Seq2000","Nephele",NA
"574","[Eubacterium] eligens group",0,"PC04924","Seq2000","Nephele",NA
"575","[Eubacterium] hallii group",8.26e-06,"PC04924","Seq2000","Nephele",NA
"576","[Eubacterium] rectale group",1.65e-05,"PC04924","Seq2000","Nephele",NA
"577","[Eubacterium] ventriosum group",0,"PC04924","Seq2000","Nephele",NA
"578","[Eubacterium] xylanophilum group",0,"PC04924","Seq2000","Nephele",NA
"579","[Ruminococcus] gauvreauii group",1.65e-05,"PC04924","Seq2000","Nephele",NA
"580","[Ruminococcus] torques group",0,"PC04924","Seq2000","Nephele",NA
"581","Adlercreutzia",0,"PC04924","Seq2000","Nephele",NA
"582","Akkermansia",8.26e-05,"PC04924","Seq2000","Nephele",NA
"583","Ambiguous_taxa",0.000115628,"PC04924","Seq2000","Nephele",NA
"584","Anaerofilum",0,"PC04924","Seq2000","Nephele",NA
"585","Anaerotruncus",0,"PC04924","Seq2000","Nephele",NA
"586","Blautia",1.65e-05,"PC04924","Seq2000","Nephele",NA
"587","Butyricicoccus",0,"PC04924","Seq2000","Nephele",NA
"588","Candidatus Stoquefichus",1.65e-05,"PC04924","Seq2000","Nephele",NA
"589","Carnobacterium",0.0007681,"PC04924","Seq2000","Nephele",NA
"590","Christensenellaceae R-7 group",0,"PC04924","Seq2000","Nephele",NA
"591","Clostridium sensu stricto 1",8.26e-06,"PC04924","Seq2000","Nephele",NA
"592","Coprococcus 1",0,"PC04924","Seq2000","Nephele",NA
"593","Coprococcus 2",1.65e-05,"PC04924","Seq2000","Nephele",NA
"594","Coprococcus 3",0,"PC04924","Seq2000","Nephele",NA
"595","Defluviitaleaceae UCG-011",0,"PC04924","Seq2000","Nephele",NA
"596","Dialister",0,"PC04924","Seq2000","Nephele",NA
"597","Dorea",0,"PC04924","Seq2000","Nephele",NA
"598","Eisenbergiella",0,"PC04924","Seq2000","Nephele",NA
"599","Enterobacter",0.005120666,"PC04924","Seq2000","Nephele",NA
"600","Erwinia",0.000776359,"PC04924","Seq2000","Nephele",NA
"601","Erysipelatoclostridium",0,"PC04924","Seq2000","Nephele",NA
"602","Erysipelotrichaceae UCG-003",0,"PC04924","Seq2000","Nephele",NA
"603","Faecalibacterium",3.3e-05,"PC04924","Seq2000","Nephele",NA
"604","Family XIII AD3011 group",0,"PC04924","Seq2000","Nephele",NA
"605","Flavonifractor",0,"PC04924","Seq2000","Nephele",NA
"606","Fusicatenibacter",2.48e-05,"PC04924","Seq2000","Nephele",NA
"607","Gordonibacter",0,"PC04924","Seq2000","Nephele",NA
"608","Gossypium arboreum",0,"PC04924","Seq2000","Nephele",NA
"609","Holdemania",8.26e-06,"PC04924","Seq2000","Nephele",NA
"610","Hungatella",0,"PC04924","Seq2000","Nephele",NA
"611","Intestinibacter",0,"PC04924","Seq2000","Nephele",NA
"612","Intestinimonas",0,"PC04924","Seq2000","Nephele",NA
"613","Kluyvera",0.001982193,"PC04924","Seq2000","Nephele",NA
"614","Lachnospira",0,"PC04924","Seq2000","Nephele",NA
"615","Lachnospiraceae FCS020 group",0,"PC04924","Seq2000","Nephele",NA
"616","Lachnospiraceae ND3007 group",0,"PC04924","Seq2000","Nephele",NA
"617","Lachnospiraceae NK4A136 group",8.26e-06,"PC04924","Seq2000","Nephele",NA
"618","Lachnospiraceae UCG-001",0,"PC04924","Seq2000","Nephele",NA
"619","Lachnospiraceae UCG-004",0,"PC04924","Seq2000","Nephele",NA
"620","Lachnospiraceae UCG-008",0,"PC04924","Seq2000","Nephele",NA
"621","Lactonifactor",0,"PC04924","Seq2000","Nephele",NA
"622","Marvinbryantia",0,"PC04924","Seq2000","Nephele",NA
"623","Odoribacter",0,"PC04924","Seq2000","Nephele",NA
"624","Oryza sativa Indica Group (long-grained rice)",0,"PC04924","Seq2000","Nephele",NA
"625","Other",0.001255389,"PC04924","Seq2000","Nephele",NA
"626","Oxalobacter",0,"PC04924","Seq2000","Nephele",NA
"627","Parasutterella",0,"PC04924","Seq2000","Nephele",NA
"628","Phascolarctobacterium",8.26e-06,"PC04924","Seq2000","Nephele",NA
"629","Porphyromonas",0,"PC04924","Seq2000","Nephele",NA
"630","Raoultella",0.092791424,"PC04924","Seq2000","Nephele",NA
"631","Roseburia",3.3e-05,"PC04924","Seq2000","Nephele",NA
"632","Ruminiclostridium",0,"PC04924","Seq2000","Nephele",NA
"633","Ruminiclostridium 5",1.65e-05,"PC04924","Seq2000","Nephele",NA
"634","Ruminiclostridium 9",0,"PC04924","Seq2000","Nephele",NA
"635","Ruminococcaceae NK4A214 group",0,"PC04924","Seq2000","Nephele",NA
"636","Ruminococcaceae UCG-002",4.13e-05,"PC04924","Seq2000","Nephele",NA
"637","Ruminococcaceae UCG-003",1.65e-05,"PC04924","Seq2000","Nephele",NA
"638","Ruminococcaceae UCG-004",0,"PC04924","Seq2000","Nephele",NA
"639","Ruminococcaceae UCG-005",4.96e-05,"PC04924","Seq2000","Nephele",NA
"640","Ruminococcaceae UCG-013",0,"PC04924","Seq2000","Nephele",NA
"641","Ruminococcaceae UCG-014",8.26e-06,"PC04924","Seq2000","Nephele",NA
"642","Ruminococcus 1",2.48e-05,"PC04924","Seq2000","Nephele",NA
"643","Ruminococcus 2",8.26e-05,"PC04924","Seq2000","Nephele",NA
"644","Sellimonas",0,"PC04924","Seq2000","Nephele",NA
"645","Serratia",0.009415418,"PC04924","Seq2000","Nephele",NA
"646","Succiniclasticum",1.65e-05,"PC04924","Seq2000","Nephele",NA
"647","Tyzzerella",0,"PC04924","Seq2000","Nephele",NA
"648","Tyzzerella 3",0,"PC04924","Seq2000","Nephele",NA
"1081","Acinetobacter",0,"PC04925","Seq200","Nephele",NA
"1082","Actinomyces",0,"PC04925","Seq200","Nephele",NA
"1083","Alistipes",7.09e-05,"PC04925","Seq200","Nephele",NA
"1084","Anaerostipes",0,"PC04925","Seq200","Nephele",NA
"1085","Bacteroides",0.00018621,"PC04925","Seq200","Nephele",NA
"1086","Bifidobacterium",0,"PC04925","Seq200","Nephele",NA
"1087","Bilophila",1.77e-05,"PC04925","Seq200","Nephele",NA
"1088","Clostridium",NA,"PC04925","Seq200","Nephele",NA
"1089","Lachnoclostridium",1.77e-05,"PC04925","Seq200","Nephele",NA
"1090","Collinsella",0,"PC04925","Seq200","Nephele",NA
"1091","Coprobacillus",NA,"PC04925","Seq200","Nephele",NA
"1093","Deinococcus",0,"PC04925","Seq200","Nephele",NA
"1095","Fusobacterium",2.66e-05,"PC04925","Seq200","Nephele",NA
"1096","Helicobacter",0,"PC04925","Seq200","Nephele",NA
"1098","Neisseria",8.87e-06,"PC04925","Seq200","Nephele",NA
"1099","Paenibacillus",8.87e-06,"PC04925","Seq200","Nephele",NA
"1100","Parabacteroides",1.77e-05,"PC04925","Seq200","Nephele",NA
"1101","Pediococcus",0,"PC04925","Seq200","Nephele",NA
"1102","Porphyromonadaceae",NA,"PC04925","Seq200","Nephele",NA
"1103","Propionibacterium",NA,"PC04925","Seq200","Nephele",NA
"1105","Pyramidobacter",0,"PC04925","Seq200","Nephele",NA
"1106","Ralstonia",1.77e-05,"PC04925","Seq200","Nephele",NA
"1107","Rhodobacter",0,"PC04925","Seq200","Nephele",NA
"1110","Streptococcus",3.55e-05,"PC04925","Seq200","Nephele",NA
"1111","Subdoligranulum",7.09e-05,"PC04925","Seq200","Nephele",NA
"1112","[Clostridium] innocuum group",0,"PC04925","Seq200","Nephele",NA
"1113","[Eubacterium] coprostanoligenes group",3.55e-05,"PC04925","Seq200","Nephele",NA
"1114","[Eubacterium] eligens group",0,"PC04925","Seq200","Nephele",NA
"1115","[Eubacterium] hallii group",0,"PC04925","Seq200","Nephele",NA
"1116","[Eubacterium] rectale group",8.87e-05,"PC04925","Seq200","Nephele",NA
"1117","[Eubacterium] ventriosum group",8.87e-06,"PC04925","Seq200","Nephele",NA
"1118","[Eubacterium] xylanophilum group",0,"PC04925","Seq200","Nephele",NA
"1119","[Ruminococcus] gauvreauii group",8.87e-06,"PC04925","Seq200","Nephele",NA
"1120","[Ruminococcus] torques group",0,"PC04925","Seq200","Nephele",NA
"1121","Adlercreutzia",0,"PC04925","Seq200","Nephele",NA
"1122","Akkermansia",9.75e-05,"PC04925","Seq200","Nephele",NA
"1123","Ambiguous_taxa",4.43e-05,"PC04925","Seq200","Nephele",NA
"1124","Anaerofilum",0,"PC04925","Seq200","Nephele",NA
"1125","Anaerotruncus",8.87e-06,"PC04925","Seq200","Nephele",NA
"1126","Blautia",0.000115273,"PC04925","Seq200","Nephele",NA
"1127","Butyricicoccus",0,"PC04925","Seq200","Nephele",NA
"1128","Candidatus Stoquefichus",0,"PC04925","Seq200","Nephele",NA
"1129","Carnobacterium",0.001117259,"PC04925","Seq200","Nephele",NA
"1130","Christensenellaceae R-7 group",0,"PC04925","Seq200","Nephele",NA
"1131","Clostridium sensu stricto 1",1.77e-05,"PC04925","Seq200","Nephele",NA
"1132","Coprococcus 1",0,"PC04925","Seq200","Nephele",NA
"1133","Coprococcus 2",5.32e-05,"PC04925","Seq200","Nephele",NA
"1134","Coprococcus 3",0,"PC04925","Seq200","Nephele",NA
"1135","Defluviitaleaceae UCG-011",0,"PC04925","Seq200","Nephele",NA
"1136","Dialister",8.87e-06,"PC04925","Seq200","Nephele",NA
"1137","Dorea",8.87e-06,"PC04925","Seq200","Nephele",NA
"1138","Eisenbergiella",0,"PC04925","Seq200","Nephele",NA
"1139","Enterobacter",0.003493651,"PC04925","Seq200","Nephele",NA
"1140","Erwinia",0.000478825,"PC04925","Seq200","Nephele",NA
"1141","Erysipelatoclostridium",0,"PC04925","Seq200","Nephele",NA
"1142","Erysipelotrichaceae UCG-003",8.87e-06,"PC04925","Seq200","Nephele",NA
"1143","Faecalibacterium",4.43e-05,"PC04925","Seq200","Nephele",NA
"1144","Family XIII AD3011 group",8.87e-06,"PC04925","Seq200","Nephele",NA
"1145","Flavonifractor",0,"PC04925","Seq200","Nephele",NA
"1146","Fusicatenibacter",5.32e-05,"PC04925","Seq200","Nephele",NA
"1147","Gordonibacter",0,"PC04925","Seq200","Nephele",NA
"1148","Gossypium arboreum",0,"PC04925","Seq200","Nephele",NA
"1149","Holdemania",0,"PC04925","Seq200","Nephele",NA
"1150","Hungatella",0,"PC04925","Seq200","Nephele",NA
"1151","Intestinibacter",0,"PC04925","Seq200","Nephele",NA
"1152","Intestinimonas",0,"PC04925","Seq200","Nephele",NA
"1153","Kluyvera",0.001924168,"PC04925","Seq200","Nephele",NA
"1154","Lachnospira",2.66e-05,"PC04925","Seq200","Nephele",NA
"1155","Lachnospiraceae FCS020 group",0,"PC04925","Seq200","Nephele",NA
"1156","Lachnospiraceae ND3007 group",2.66e-05,"PC04925","Seq200","Nephele",NA
"1157","Lachnospiraceae NK4A136 group",2.66e-05,"PC04925","Seq200","Nephele",NA
"1158","Lachnospiraceae UCG-001",0,"PC04925","Seq200","Nephele",NA
"1159","Lachnospiraceae UCG-004",0,"PC04925","Seq200","Nephele",NA
"1160","Lachnospiraceae UCG-008",8.87e-06,"PC04925","Seq200","Nephele",NA
"1161","Lactonifactor",0,"PC04925","Seq200","Nephele",NA
"1162","Marvinbryantia",0,"PC04925","Seq200","Nephele",NA
"1163","Odoribacter",0,"PC04925","Seq200","Nephele",NA
"1164","Oryza sativa Indica Group (long-grained rice)",0,"PC04925","Seq200","Nephele",NA
"1165","Other",0.00133007,"PC04925","Seq200","Nephele",NA
"1166","Oxalobacter",0,"PC04925","Seq200","Nephele",NA
"1167","Parasutterella",0,"PC04925","Seq200","Nephele",NA
"1168","Phascolarctobacterium",8.87e-06,"PC04925","Seq200","Nephele",NA
"1169","Porphyromonas",0,"PC04925","Seq200","Nephele",NA
"1170","Raoultella",0.105926793,"PC04925","Seq200","Nephele",NA
"1171","Roseburia",4.43e-05,"PC04925","Seq200","Nephele",NA
"1172","Ruminiclostridium",0,"PC04925","Seq200","Nephele",NA
"1173","Ruminiclostridium 5",8.87e-06,"PC04925","Seq200","Nephele",NA
"1174","Ruminiclostridium 9",0,"PC04925","Seq200","Nephele",NA
"1175","Ruminococcaceae NK4A214 group",7.09e-05,"PC04925","Seq200","Nephele",NA
"1176","Ruminococcaceae UCG-002",7.09e-05,"PC04925","Seq200","Nephele",NA
"1177","Ruminococcaceae UCG-003",8.87e-06,"PC04925","Seq200","Nephele",NA
"1178","Ruminococcaceae UCG-004",8.87e-06,"PC04925","Seq200","Nephele",NA
"1179","Ruminococcaceae UCG-005",3.55e-05,"PC04925","Seq200","Nephele",NA
"1180","Ruminococcaceae UCG-013",0,"PC04925","Seq200","Nephele",NA
"1181","Ruminococcaceae UCG-014",2.66e-05,"PC04925","Seq200","Nephele",NA
"1182","Ruminococcus 1",8.87e-05,"PC04925","Seq200","Nephele",NA
"1183","Ruminococcus 2",0.000150741,"PC04925","Seq200","Nephele",NA
"1184","Sellimonas",0,"PC04925","Seq200","Nephele",NA
"1185","Serratia",0.010214939,"PC04925","Seq200","Nephele",NA
"1186","Succiniclasticum",0,"PC04925","Seq200","Nephele",NA
"1187","Tyzzerella",0,"PC04925","Seq200","Nephele",NA
"1188","Tyzzerella 3",0,"PC04925","Seq200","Nephele",NA
"1189","Acinetobacter",0,"PC04925","Seq2000","Nephele",NA
"1190","Actinomyces",0,"PC04925","Seq2000","Nephele",NA
"1191","Alistipes",0.000251229,"PC04925","Seq2000","Nephele",NA
"1192","Anaerostipes",2.51e-05,"PC04925","Seq2000","Nephele",NA
"1193","Bacteroides",0.000418715,"PC04925","Seq2000","Nephele",NA
"1194","Bifidobacterium",0,"PC04925","Seq2000","Nephele",NA
"1195","Bilophila",3.35e-05,"PC04925","Seq2000","Nephele",NA
"1196","Clostridium",NA,"PC04925","Seq2000","Nephele",NA
"1197","Lachnoclostridium",2.51e-05,"PC04925","Seq2000","Nephele",NA
"1198","Collinsella",2.51e-05,"PC04925","Seq2000","Nephele",NA
"1199","Coprobacillus",NA,"PC04925","Seq2000","Nephele",NA
"1201","Deinococcus",0,"PC04925","Seq2000","Nephele",NA
"1203","Fusobacterium",5.02e-05,"PC04925","Seq2000","Nephele",NA
"1204","Helicobacter",0,"PC04925","Seq2000","Nephele",NA
"1206","Neisseria",0,"PC04925","Seq2000","Nephele",NA
"1207","Paenibacillus",1.67e-05,"PC04925","Seq2000","Nephele",NA
"1208","Parabacteroides",5.86e-05,"PC04925","Seq2000","Nephele",NA
"1209","Pediococcus",0,"PC04925","Seq2000","Nephele",NA
"1210","Porphyromonadaceae",NA,"PC04925","Seq2000","Nephele",NA
"1211","Propionibacterium",NA,"PC04925","Seq2000","Nephele",NA
"1213","Pyramidobacter",0,"PC04925","Seq2000","Nephele",NA
"1214","Ralstonia",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1215","Rhodobacter",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1218","Streptococcus",1.67e-05,"PC04925","Seq2000","Nephele",NA
"1219","Subdoligranulum",0.000376843,"PC04925","Seq2000","Nephele",NA
"1220","[Clostridium] innocuum group",0,"PC04925","Seq2000","Nephele",NA
"1221","[Eubacterium] coprostanoligenes group",3.35e-05,"PC04925","Seq2000","Nephele",NA
"1222","[Eubacterium] eligens group",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1223","[Eubacterium] hallii group",4.19e-05,"PC04925","Seq2000","Nephele",NA
"1224","[Eubacterium] rectale group",0.000209357,"PC04925","Seq2000","Nephele",NA
"1225","[Eubacterium] ventriosum group",0,"PC04925","Seq2000","Nephele",NA
"1226","[Eubacterium] xylanophilum group",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1227","[Ruminococcus] gauvreauii group",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1228","[Ruminococcus] torques group",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1229","Adlercreutzia",0,"PC04925","Seq2000","Nephele",NA
"1230","Akkermansia",0.000318223,"PC04925","Seq2000","Nephele",NA
"1231","Ambiguous_taxa",8.37e-05,"PC04925","Seq2000","Nephele",NA
"1232","Anaerofilum",0,"PC04925","Seq2000","Nephele",NA
"1233","Anaerotruncus",0,"PC04925","Seq2000","Nephele",NA
"1234","Blautia",0.00011724,"PC04925","Seq2000","Nephele",NA
"1235","Butyricicoccus",0.000100492,"PC04925","Seq2000","Nephele",NA
"1236","Candidatus Stoquefichus",0,"PC04925","Seq2000","Nephele",NA
"1237","Carnobacterium",0.000929547,"PC04925","Seq2000","Nephele",NA
"1238","Christensenellaceae R-7 group",1.67e-05,"PC04925","Seq2000","Nephele",NA
"1239","Clostridium sensu stricto 1",3.35e-05,"PC04925","Seq2000","Nephele",NA
"1240","Coprococcus 1",8.37e-06,"PC04925","Seq2000","Nephele",NA
"1241","Coprococcus 2",0.000142363,"PC04925","Seq2000","Nephele",NA
"1242","Coprococcus 3",0,"PC04925","Seq2000","Nephele",NA
"1243","Defluviitaleaceae UCG-011",0,"PC04925","Seq2000","Nephele",NA
"1244","Dialister",3.35e-05,"PC04925","Seq2000","Nephele",NA
"1245","Dorea",8.37e-05,"PC04925","Seq2000","Nephele",NA
"1246","Eisenbergiella",0,"PC04925","Seq2000","Nephele",NA
"1247","Enterobacter",0.00286401,"PC04925","Seq2000","Nephele",NA
"1248","Erwinia",0.000510832,"PC04925","Seq2000","Nephele",NA
"1249","Erysipelatoclostridium",0,"PC04925","Seq2000","Nephele",NA
"1250","Erysipelotrichaceae UCG-003",4.19e-05,"PC04925","Seq2000","Nephele",NA
"1251","Faecalibacterium",0.000544329,"PC04925","Seq2000","Nephele",NA
"1252","Family XIII AD3011 group",0,"PC04925","Seq2000","Nephele",NA
"1253","Flavonifractor",0,"PC04925","Seq2000","Nephele",NA
"1254","Fusicatenibacter",4.19e-05,"PC04925","Seq2000","Nephele",NA
"1255","Gordonibacter",0,"PC04925","Seq2000","Nephele",NA
"1256","Gossypium arboreum",0,"PC04925","Seq2000","Nephele",NA
"1257","Holdemania",0,"PC04925","Seq2000","Nephele",NA
"1258","Hungatella",0,"PC04925","Seq2000","Nephele",NA
"1259","Intestinibacter",0,"PC04925","Seq2000","Nephele",NA
"1260","Intestinimonas",0,"PC04925","Seq2000","Nephele",NA
"1261","Kluyvera",0.001808848,"PC04925","Seq2000","Nephele",NA
"1262","Lachnospira",2.51e-05,"PC04925","Seq2000","Nephele",NA
"1263","Lachnospiraceae FCS020 group",0,"PC04925","Seq2000","Nephele",NA
"1264","Lachnospiraceae ND3007 group",1.67e-05,"PC04925","Seq2000","Nephele",NA
