,Genus,value,Plate,Type
110,Succiniclasticum,NA,PC04924,MSA1000
111,Tyzzerella,NA,PC04924,MSA1000
112,Tyzzerella 3,NA,PC04924,MSA1000
113,Acinetobacter,NA,PC04924,MSA1001
114,Actinomyces,NA,PC04924,MSA1001
115,Alistipes,NA,PC04924,MSA1001
116,Anaerostipes,NA,PC04924,MSA1001
117,Bacillus,-99.73528839,PC04924,MSA1001
118,Bacteroides,NA,PC04924,MSA1001
119,Bifidobacterium,65.18004625,PC04924,MSA1001
120,Bilophila,NA,PC04924,MSA1001
121,Clostridium,NA,PC04924,MSA1001
122,Lachnoclostridium,NA,PC04924,MSA1001
123,Collinsella,NA,PC04924,MSA1001
124,Coprobacillus,NA,PC04924,MSA1001
125,Cryptococcus,NA,PC04924,MSA1001
126,Deinococcus,-61.88152779,PC04924,MSA1001
127,Enterococcus,NA,PC04924,MSA1001
128,Escherichia-Shigella,58.52443999,PC04924,MSA1001
129,Fusobacterium,NA,PC04924,MSA1001
130,Helicobacter,NA,PC04924,MSA1001
131,Lactobacillus,65.65064467,PC04924,MSA1001
132,Listeria,NA,PC04924,MSA1001
133,Neisseria,NA,PC04924,MSA1001
134,Paenibacillus,NA,PC04924,MSA1001
135,Parabacteroides,NA,PC04924,MSA1001
136,Pediococcus,NA,PC04924,MSA1001
137,Porphyromonadaceae,NA,PC04924,MSA1001
138,Propionibacterium,NA,PC04924,MSA1001
139,Pseudomonas,NA,PC04924,MSA1001
140,Pyramidobacter,NA,PC04924,MSA1001
141,Ralstonia,NA,PC04924,MSA1001
142,Rhodobacter,-85.36436805,PC04924,MSA1001
143,Saccharomyces,NA,PC04924,MSA1001
144,Salmonella,NA,PC04924,MSA1001
145,Staphylococcus,22.13763065,PC04924,MSA1001
146,Streptococcus,NA,PC04924,MSA1001
147,Subdoligranulum,NA,PC04924,MSA1001
148,Clostridium innocuum group,NA,PC04924,MSA1001
149,Eubacterium coprostanoligenes group,NA,PC04924,MSA1001
150,Eubacterium eligens group,NA,PC04924,MSA1001
151,Eubacterium hallii group,NA,PC04924,MSA1001
152,Eubacterium rectale group,NA,PC04924,MSA1001
153,Eubacterium ventriosum group,NA,PC04924,MSA1001
154,Eubacterium xylanophilum group,NA,PC04924,MSA1001
155,Ruminococcus gauvreauii group,NA,PC04924,MSA1001
156,Ruminococcus torques group,NA,PC04924,MSA1001
157,Adlercreutzia,NA,PC04924,MSA1001
158,Akkermansia,NA,PC04924,MSA1001
159,Ambiguous_taxa,NA,PC04924,MSA1001
160,Anaerofilum,NA,PC04924,MSA1001
161,Anaerotruncus,NA,PC04924,MSA1001
162,Blautia,NA,PC04924,MSA1001
163,Butyricicoccus,NA,PC04924,MSA1001
164,Candidatus Stoquefichus,NA,PC04924,MSA1001
165,Carnobacterium,NA,PC04924,MSA1001
166,Christensenellaceae R-7 group,NA,PC04924,MSA1001
167,Clostridium sensu stricto 1,NA,PC04924,MSA1001
168,Coprococcus 1,NA,PC04924,MSA1001
169,Coprococcus 2,NA,PC04924,MSA1001
170,Coprococcus 3,NA,PC04924,MSA1001
171,Defluviitaleaceae UCG-011,NA,PC04924,MSA1001
172,Dialister,NA,PC04924,MSA1001
173,Dorea,NA,PC04924,MSA1001
174,Eisenbergiella,NA,PC04924,MSA1001
175,Enterobacter,NA,PC04924,MSA1001
176,Erwinia,NA,PC04924,MSA1001
177,Erysipelatoclostridium,NA,PC04924,MSA1001
178,Erysipelotrichaceae UCG-003,NA,PC04924,MSA1001
179,Faecalibacterium,NA,PC04924,MSA1001
180,Family XIII AD3011 group,NA,PC04924,MSA1001
181,Flavonifractor,NA,PC04924,MSA1001
182,Fusicatenibacter,NA,PC04924,MSA1001
183,Gordonibacter,NA,PC04924,MSA1001
184,Gossypium arboreum,NA,PC04924,MSA1001
185,Holdemania,NA,PC04924,MSA1001
186,Hungatella,NA,PC04924,MSA1001
187,Intestinibacter,NA,PC04924,MSA1001
188,Intestinimonas,NA,PC04924,MSA1001
189,Kluyvera,NA,PC04924,MSA1001
190,Lachnospira,NA,PC04924,MSA1001
191,Lachnospiraceae FCS020 group,NA,PC04924,MSA1001
192,Lachnospiraceae ND3007 group,NA,PC04924,MSA1001
193,Lachnospiraceae NK4A136 group,NA,PC04924,MSA1001
194,Lachnospiraceae UCG-001,NA,PC04924,MSA1001
195,Lachnospiraceae UCG-004,NA,PC04924,MSA1001
196,Lachnospiraceae UCG-008,NA,PC04924,MSA1001
197,Lactonifactor,NA,PC04924,MSA1001
198,Marvinbryantia,NA,PC04924,MSA1001
199,Odoribacter,NA,PC04924,MSA1001
200,Oryza sativa Indica Group (long-grained rice),NA,PC04924,MSA1001
201,Other,NA,PC04924,MSA1001
202,Oxalobacter,NA,PC04924,MSA1001
203,Parasutterella,NA,PC04924,MSA1001
204,Phascolarctobacterium,NA,PC04924,MSA1001
205,Porphyromonas,NA,PC04924,MSA1001
206,Raoultella,NA,PC04924,MSA1001
207,Roseburia,NA,PC04924,MSA1001
208,Ruminiclostridium,NA,PC04924,MSA1001
209,Ruminiclostridium 5,NA,PC04924,MSA1001
210,Ruminiclostridium 9,NA,PC04924,MSA1001
211,Ruminococcaceae NK4A214 group,NA,PC04924,MSA1001
212,Ruminococcaceae UCG-002,NA,PC04924,MSA1001
213,Ruminococcaceae UCG-003,NA,PC04924,MSA1001
214,Ruminococcaceae UCG-004,NA,PC04924,MSA1001
215,Ruminococcaceae UCG-005,NA,PC04924,MSA1001
216,Ruminococcaceae UCG-013,NA,PC04924,MSA1001
217,Ruminococcaceae UCG-014,NA,PC04924,MSA1001
218,Ruminococcus 1,NA,PC04924,MSA1001
219,Ruminococcus 2,NA,PC04924,MSA1001
220,Sellimonas,NA,PC04924,MSA1001
221,Serratia,NA,PC04924,MSA1001
222,Succiniclasticum,NA,PC04924,MSA1001
223,Tyzzerella,NA,PC04924,MSA1001
224,Tyzzerella 3,NA,PC04924,MSA1001
225,Acinetobacter,53.5448547,PC04924,MSA1002
226,Actinomyces,-74.28049979,PC04924,MSA1002
227,Alistipes,NA,PC04924,MSA1002
228,Anaerostipes,NA,PC04924,MSA1002
229,Bacillus,-99.8034536,PC04924,MSA1002
230,Bacteroides,28.58346202,PC04924,MSA1002
231,Bifidobacterium,-24.90523656,PC04924,MSA1002
232,Bilophila,NA,PC04924,MSA1002
233,Clostridium,NA,PC04924,MSA1002
234,Lachnoclostridium,NA,PC04924,MSA1002
235,Collinsella,NA,PC04924,MSA1002
236,Coprobacillus,NA,PC04924,MSA1002
237,Cryptococcus,NA,PC04924,MSA1002
238,Deinococcus,-84.71149796,PC04924,MSA1002
239,Enterococcus,-52.43577144,PC04924,MSA1002
240,Escherichia-Shigella,-32.21957041,PC04924,MSA1002
241,Fusobacterium,NA,PC04924,MSA1002
242,Helicobacter,-37.51228415,PC04924,MSA1002
243,Lactobacillus,-23.45921662,PC04924,MSA1002
244,Listeria,NA,PC04924,MSA1002
245,Neisseria,-48.05559455,PC04924,MSA1002
246,Paenibacillus,NA,PC04924,MSA1002
247,Parabacteroides,NA,PC04924,MSA1002
248,Pediococcus,NA,PC04924,MSA1002
249,Porphyromonadaceae,NA,PC04924,MSA1002
250,Propionibacterium,NA,PC04924,MSA1002
251,Pseudomonas,-78.92741822,PC04924,MSA1002
252,Pyramidobacter,NA,PC04924,MSA1002
253,Ralstonia,NA,PC04924,MSA1002
254,Rhodobacter,-93.16299312,PC04924,MSA1002
255,Saccharomyces,NA,PC04924,MSA1002
256,Salmonella,NA,PC04924,MSA1002
257,Staphylococcus,11.49796434,PC04924,MSA1002
258,Streptococcus,-5.706865085,PC04924,MSA1002
259,Subdoligranulum,NA,PC04924,MSA1002
260,Clostridium innocuum group,NA,PC04924,MSA1002
261,Eubacterium coprostanoligenes group,NA,PC04924,MSA1002
262,Eubacterium eligens group,NA,PC04924,MSA1002
263,Eubacterium hallii group,NA,PC04924,MSA1002
264,Eubacterium rectale group,NA,PC04924,MSA1002
265,Eubacterium ventriosum group,NA,PC04924,MSA1002
266,Eubacterium xylanophilum group,NA,PC04924,MSA1002
267,Ruminococcus gauvreauii group,NA,PC04924,MSA1002
268,Ruminococcus torques group,NA,PC04924,MSA1002
269,Adlercreutzia,NA,PC04924,MSA1002
270,Akkermansia,NA,PC04924,MSA1002
271,Ambiguous_taxa,NA,PC04924,MSA1002
272,Anaerofilum,NA,PC04924,MSA1002
273,Anaerotruncus,NA,PC04924,MSA1002
274,Blautia,NA,PC04924,MSA1002
275,Butyricicoccus,NA,PC04924,MSA1002
276,Candidatus Stoquefichus,NA,PC04924,MSA1002
277,Carnobacterium,NA,PC04924,MSA1002
278,Christensenellaceae R-7 group,NA,PC04924,MSA1002
279,Clostridium sensu stricto 1,NA,PC04924,MSA1002
280,Coprococcus 1,NA,PC04924,MSA1002
281,Coprococcus 2,NA,PC04924,MSA1002
282,Coprococcus 3,NA,PC04924,MSA1002
283,Defluviitaleaceae UCG-011,NA,PC04924,MSA1002
284,Dialister,NA,PC04924,MSA1002
285,Dorea,NA,PC04924,MSA1002
286,Eisenbergiella,NA,PC04924,MSA1002
287,Enterobacter,NA,PC04924,MSA1002
288,Erwinia,NA,PC04924,MSA1002
289,Erysipelatoclostridium,NA,PC04924,MSA1002
290,Erysipelotrichaceae UCG-003,NA,PC04924,MSA1002
291,Faecalibacterium,NA,PC04924,MSA1002
292,Family XIII AD3011 group,NA,PC04924,MSA1002
293,Flavonifractor,NA,PC04924,MSA1002
294,Fusicatenibacter,NA,PC04924,MSA1002
295,Gordonibacter,NA,PC04924,MSA1002
296,Gossypium arboreum,NA,PC04924,MSA1002
297,Holdemania,NA,PC04924,MSA1002
298,Hungatella,NA,PC04924,MSA1002
299,Intestinibacter,NA,PC04924,MSA1002
300,Intestinimonas,NA,PC04924,MSA1002
301,Kluyvera,NA,PC04924,MSA1002
302,Lachnospira,NA,PC04924,MSA1002
303,Lachnospiraceae FCS020 group,NA,PC04924,MSA1002
304,Lachnospiraceae ND3007 group,NA,PC04924,MSA1002
305,Lachnospiraceae NK4A136 group,NA,PC04924,MSA1002
306,Lachnospiraceae UCG-001,NA,PC04924,MSA1002
307,Lachnospiraceae UCG-004,NA,PC04924,MSA1002
308,Lachnospiraceae UCG-008,NA,PC04924,MSA1002
309,Lactonifactor,NA,PC04924,MSA1002
310,Marvinbryantia,NA,PC04924,MSA1002
311,Odoribacter,NA,PC04924,MSA1002
312,Oryza sativa Indica Group (long-grained rice),NA,PC04924,MSA1002
313,Other,NA,PC04924,MSA1002
314,Oxalobacter,NA,PC04924,MSA1002
315,Parasutterella,NA,PC04924,MSA1002
316,Phascolarctobacterium,NA,PC04924,MSA1002
317,Porphyromonas,NA,PC04924,MSA1002
318,Raoultella,NA,PC04924,MSA1002
319,Roseburia,NA,PC04924,MSA1002
320,Ruminiclostridium,NA,PC04924,MSA1002
321,Ruminiclostridium 5,NA,PC04924,MSA1002
322,Ruminiclostridium 9,NA,PC04924,MSA1002
323,Ruminococcaceae NK4A214 group,NA,PC04924,MSA1002
324,Ruminococcaceae UCG-002,NA,PC04924,MSA1002
325,Ruminococcaceae UCG-003,NA,PC04924,MSA1002
326,Ruminococcaceae UCG-004,NA,PC04924,MSA1002
327,Ruminococcaceae UCG-005,NA,PC04924,MSA1002
328,Ruminococcaceae UCG-013,NA,PC04924,MSA1002
329,Ruminococcaceae UCG-014,NA,PC04924,MSA1002
330,Ruminococcus 1,NA,PC04924,MSA1002
331,Ruminococcus 2,NA,PC04924,MSA1002
332,Sellimonas,NA,PC04924,MSA1002
333,Serratia,NA,PC04924,MSA1002
334,Succiniclasticum,NA,PC04924,MSA1002
335,Tyzzerella,NA,PC04924,MSA1002
336,Tyzzerella 3,NA,PC04924,MSA1002
337,Acinetobacter,31.47714348,PC04924,MSA1003
338,Actinomyces,-79.94416455,PC04924,MSA1003
339,Alistipes,NA,PC04924,MSA1003
340,Anaerostipes,NA,PC04924,MSA1003
341,Bacillus,-98.97492397,PC04924,MSA1003
342,Bacteroides,208.8598659,PC04924,MSA1003
343,Bifidobacterium,-59.88832911,PC04924,MSA1003
344,Bilophila,NA,PC04924,MSA1003
345,Clostridium,NA,PC04924,MSA1003
346,Lachnoclostridium,NA,PC04924,MSA1003
347,Collinsella,NA,PC04924,MSA1003
348,Coprobacillus,NA,PC04924,MSA1003
349,Cryptococcus,NA,PC04924,MSA1003
350,Deinococcus,-87.96649873,PC04924,MSA1003
351,Enterococcus,20.33501268,PC04924,MSA1003
352,Escherichia-Shigella,-31.10597682,PC04924,MSA1003
353,Fusobacterium,NA,PC04924,MSA1003
354,Helicobacter,-48.30051307,PC04924,MSA1003
355,Lactobacillus,8122.001162,PC04924,MSA1003
356,Listeria,NA,PC04924,MSA1003
357,Neisseria,-62.11675527,PC04924,MSA1003
358,Paenibacillus,NA,PC04924,MSA1003
359,Parabacteroides,NA,PC04924,MSA1003
360,Pediococcus,NA,PC04924,MSA1003
361,Porphyromonadaceae,NA,PC04924,MSA1003
362,Propionibacterium,NA,PC04924,MSA1003
363,Pseudomonas,-85.11411325,PC04924,MSA1003
364,Pyramidobacter,NA,PC04924,MSA1003
365,Ralstonia,NA,PC04924,MSA1003
366,Rhodobacter,-94.19272143,PC04924,MSA1003
367,Saccharomyces,NA,PC04924,MSA1003
368,Salmonella,NA,PC04924,MSA1003
369,Staphylococcus,2.005194583,PC04924,MSA1003
370,Streptococcus,-20.47354785,PC04924,MSA1003
371,Subdoligranulum,NA,PC04924,MSA1003
372,Clostridium innocuum group,NA,PC04924,MSA1003
373,Eubacterium coprostanoligenes group,NA,PC04924,MSA1003
374,Eubacterium eligens group,NA,PC04924,MSA1003
375,Eubacterium hallii group,NA,PC04924,MSA1003
376,Eubacterium rectale group,NA,PC04924,MSA1003
377,Eubacterium ventriosum group,NA,PC04924,MSA1003
378,Eubacterium xylanophilum group,NA,PC04924,MSA1003
379,Ruminococcus gauvreauii group,NA,PC04924,MSA1003
380,Ruminococcus torques group,NA,PC04924,MSA1003
381,Adlercreutzia,NA,PC04924,MSA1003
382,Akkermansia,NA,PC04924,MSA1003
383,Ambiguous_taxa,NA,PC04924,MSA1003
384,Anaerofilum,NA,PC04924,MSA1003
385,Anaerotruncus,NA,PC04924,MSA1003
386,Blautia,NA,PC04924,MSA1003
387,Butyricicoccus,NA,PC04924,MSA1003
388,Candidatus Stoquefichus,NA,PC04924,MSA1003
389,Carnobacterium,NA,PC04924,MSA1003
390,Christensenellaceae R-7 group,NA,PC04924,MSA1003
391,Clostridium sensu stricto 1,NA,PC04924,MSA1003
392,Coprococcus 1,NA,PC04924,MSA1003
393,Coprococcus 2,NA,PC04924,MSA1003
394,Coprococcus 3,NA,PC04924,MSA1003
395,Defluviitaleaceae UCG-011,NA,PC04924,MSA1003
396,Dialister,NA,PC04924,MSA1003
397,Dorea,NA,PC04924,MSA1003
398,Eisenbergiella,NA,PC04924,MSA1003
399,Enterobacter,NA,PC04924,MSA1003
400,Erwinia,NA,PC04924,MSA1003
401,Erysipelatoclostridium,NA,PC04924,MSA1003
402,Erysipelotrichaceae UCG-003,NA,PC04924,MSA1003
403,Faecalibacterium,NA,PC04924,MSA1003
404,Family XIII AD3011 group,NA,PC04924,MSA1003
405,Flavonifractor,NA,PC04924,MSA1003
406,Fusicatenibacter,NA,PC04924,MSA1003
407,Gordonibacter,NA,PC04924,MSA1003
408,Gossypium arboreum,NA,PC04924,MSA1003
409,Holdemania,NA,PC04924,MSA1003
410,Hungatella,NA,PC04924,MSA1003
411,Intestinibacter,NA,PC04924,MSA1003
412,Intestinimonas,NA,PC04924,MSA1003
413,Kluyvera,NA,PC04924,MSA1003
414,Lachnospira,NA,PC04924,MSA1003
415,Lachnospiraceae FCS020 group,NA,PC04924,MSA1003
416,Lachnospiraceae ND3007 group,NA,PC04924,MSA1003
417,Lachnospiraceae NK4A136 group,NA,PC04924,MSA1003
418,Lachnospiraceae UCG-001,NA,PC04924,MSA1003
419,Lachnospiraceae UCG-004,NA,PC04924,MSA1003
420,Lachnospiraceae UCG-008,NA,PC04924,MSA1003
421,Lactonifactor,NA,PC04924,MSA1003
422,Marvinbryantia,NA,PC04924,MSA1003
423,Odoribacter,NA,PC04924,MSA1003
424,Oryza sativa Indica Group (long-grained rice),NA,PC04924,MSA1003
425,Other,NA,PC04924,MSA1003
426,Oxalobacter,NA,PC04924,MSA1003
427,Parasutterella,NA,PC04924,MSA1003
428,Phascolarctobacterium,NA,PC04924,MSA1003
429,Porphyromonas,NA,PC04924,MSA1003
430,Raoultella,NA,PC04924,MSA1003
431,Roseburia,NA,PC04924,MSA1003
432,Ruminiclostridium,NA,PC04924,MSA1003
433,Ruminiclostridium 5,NA,PC04924,MSA1003
434,Ruminiclostridium 9,NA,PC04924,MSA1003
435,Ruminococcaceae NK4A214 group,NA,PC04924,MSA1003
436,Ruminococcaceae UCG-002,NA,PC04924,MSA1003
437,Ruminococcaceae UCG-003,NA,PC04924,MSA1003
438,Ruminococcaceae UCG-004,NA,PC04924,MSA1003
439,Ruminococcaceae UCG-005,NA,PC04924,MSA1003
440,Ruminococcaceae UCG-013,NA,PC04924,MSA1003
441,Ruminococcaceae UCG-014,NA,PC04924,MSA1003
442,Ruminococcus 1,NA,PC04924,MSA1003
443,Ruminococcus 2,NA,PC04924,MSA1003
444,Sellimonas,NA,PC04924,MSA1003
445,Serratia,NA,PC04924,MSA1003
446,Succiniclasticum,NA,PC04924,MSA1003
447,Tyzzerella,NA,PC04924,MSA1003
448,Tyzzerella 3,NA,PC04924,MSA1003
449,Acinetobacter,NA,PC04924,Seq.200
450,Actinomyces,NA,PC04924,Seq.200
451,Alistipes,NA,PC04924,Seq.200
452,Anaerostipes,NA,PC04924,Seq.200
453,Bacillus,49.50244693,PC04924,Seq.200
454,Bacteroides,NA,PC04924,Seq.200
455,Bifidobacterium,NA,PC04924,Seq.200
456,Bilophila,NA,PC04924,Seq.200
457,Clostridium,NA,PC04924,Seq.200
458,Lachnoclostridium,NA,PC04924,Seq.200
459,Collinsella,NA,PC04924,Seq.200
460,Coprobacillus,NA,PC04924,Seq.200
461,Cryptococcus,NA,PC04924,Seq.200
462,Deinococcus,NA,PC04924,Seq.200
463,Enterococcus,-17.33090146,PC04924,Seq.200
464,Escherichia-Shigella,-41.9064115,PC04924,Seq.200
465,Fusobacterium,NA,PC04924,Seq.200
466,Helicobacter,NA,PC04924,Seq.200
467,Lactobacillus,-36.90104188,PC04924,Seq.200
468,Listeria,32.26119996,PC04924,Seq.200
469,Neisseria,NA,PC04924,Seq.200
470,Paenibacillus,NA,PC04924,Seq.200
471,Parabacteroides,NA,PC04924,Seq.200
472,Pediococcus,NA,PC04924,Seq.200
473,Porphyromonadaceae,NA,PC04924,Seq.200
474,Propionibacterium,NA,PC04924,Seq.200
475,Pseudomonas,-63.98442348,PC04924,Seq.200
476,Pyramidobacter,NA,PC04924,Seq.200
477,Ralstonia,NA,PC04924,Seq.200
478,Rhodobacter,NA,PC04924,Seq.200
479,Saccharomyces,NA,PC04924,Seq.200
480,Salmonella,NA,PC04924,Seq.200
481,Staphylococcus,72.20210204,PC04924,Seq.200
482,Streptococcus,NA,PC04924,Seq.200
483,Subdoligranulum,NA,PC04924,Seq.200
484,Clostridium innocuum group,NA,PC04924,Seq.200
485,Eubacterium coprostanoligenes group,NA,PC04924,Seq.200
486,Eubacterium eligens group,NA,PC04924,Seq.200
487,Eubacterium hallii group,NA,PC04924,Seq.200
488,Eubacterium rectale group,NA,PC04924,Seq.200
489,Eubacterium ventriosum group,NA,PC04924,Seq.200
490,Eubacterium xylanophilum group,NA,PC04924,Seq.200
491,Ruminococcus gauvreauii group,NA,PC04924,Seq.200
492,Ruminococcus torques group,NA,PC04924,Seq.200
493,Adlercreutzia,NA,PC04924,Seq.200
494,Akkermansia,NA,PC04924,Seq.200
495,Ambiguous_taxa,NA,PC04924,Seq.200
496,Anaerofilum,NA,PC04924,Seq.200
497,Anaerotruncus,NA,PC04924,Seq.200
498,Blautia,NA,PC04924,Seq.200
499,Butyricicoccus,NA,PC04924,Seq.200
500,Candidatus Stoquefichus,NA,PC04924,Seq.200
501,Carnobacterium,NA,PC04924,Seq.200
502,Christensenellaceae R-7 group,NA,PC04924,Seq.200
503,Clostridium sensu stricto 1,NA,PC04924,Seq.200
504,Coprococcus 1,NA,PC04924,Seq.200
505,Coprococcus 2,NA,PC04924,Seq.200
506,Coprococcus 3,NA,PC04924,Seq.200
507,Defluviitaleaceae UCG-011,NA,PC04924,Seq.200
508,Dialister,NA,PC04924,Seq.200
509,Dorea,NA,PC04924,Seq.200
510,Eisenbergiella,NA,PC04924,Seq.200
511,Enterobacter,NA,PC04924,Seq.200
512,Erwinia,NA,PC04924,Seq.200
513,Erysipelatoclostridium,NA,PC04924,Seq.200
514,Erysipelotrichaceae UCG-003,NA,PC04924,Seq.200
515,Faecalibacterium,NA,PC04924,Seq.200
516,Family XIII AD3011 group,NA,PC04924,Seq.200
517,Flavonifractor,NA,PC04924,Seq.200
518,Fusicatenibacter,NA,PC04924,Seq.200
519,Gordonibacter,NA,PC04924,Seq.200
520,Gossypium arboreum,NA,PC04924,Seq.200
521,Holdemania,NA,PC04924,Seq.200
522,Hungatella,NA,PC04924,Seq.200
523,Intestinibacter,NA,PC04924,Seq.200
524,Intestinimonas,NA,PC04924,Seq.200
525,Kluyvera,NA,PC04924,Seq.200
526,Lachnospira,NA,PC04924,Seq.200
527,Lachnospiraceae FCS020 group,NA,PC04924,Seq.200
528,Lachnospiraceae ND3007 group,NA,PC04924,Seq.200
529,Lachnospiraceae NK4A136 group,NA,PC04924,Seq.200
530,Lachnospiraceae UCG-001,NA,PC04924,Seq.200
531,Lachnospiraceae UCG-004,NA,PC04924,Seq.200
532,Lachnospiraceae UCG-008,NA,PC04924,Seq.200
533,Lactonifactor,NA,PC04924,Seq.200
534,Marvinbryantia,NA,PC04924,Seq.200
535,Odoribacter,NA,PC04924,Seq.200
536,Oryza sativa Indica Group (long-grained rice),NA,PC04924,Seq.200
537,Other,NA,PC04924,Seq.200
538,Oxalobacter,NA,PC04924,Seq.200
539,Parasutterella,NA,PC04924,Seq.200
