"","AC","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Ext","Zymo.Seq.200","Zymo.Seq.2000"
"Gordonibacter",9.15783608094285e-06,0,0,1.18121211262149e-06,0,2.94325001908207e-07,0,0
"Ruminococcaceae UCG-005",0.000393476516359155,1.56903765690377e-05,1.35605355869135e-05,1.65369695767008e-05,1.47031435320872e-05,2.62930335037998e-05,9.27493832166016e-06,1.43450319242165e-05
"Flavonifractor",1.03995765664944e-05,0,0,0,1.22526196100726e-06,5.88650003816414e-07,0,0
"[Eubacterium] rectale group",0.00243924396630537,2.09205020920502e-05,5.42421423476542e-06,3.30739391534017e-05,2.94062870641743e-05,0.000186700159543773,2.11998590209375e-05,3.91228143387723e-05
"Lachnospiraceae UCG-004",4.73413560116537e-05,1.74337517433752e-06,0,0,1.22526196100726e-06,6.57325837594996e-06,1.32499118880859e-06,0
"Staphylococcus",0.000763825616174912,0.0434152719665272,0.273521427002281,0.0545282947549457,0.0991665768141229,0.0485564634064744,0.113539819960197,0.110212880273755
"Bilophila",0.0152313440133363,6.97350069735007e-06,5.42421423476542e-06,8.26848478835041e-06,3.67578588302179e-06,1.11843500725119e-05,3.97497356642578e-06,7.82456286775446e-06
"Phascolarctobacterium",9.8873586162044e-05,1.74337517433752e-06,1.35605355869135e-06,3.54363633786446e-06,3.67578588302179e-06,1.28521917499917e-05,2.64998237761719e-06,6.52046905646205e-06
"Lactonifactor",3.10435121387893e-06,0,0,0,0,2.94325001908207e-07,0,0
"Bifidobacterium",0.00735762281201446,0.0337639470013947,0.000371558675081431,0.0191131931943283,5.14610023623051e-05,2.74703335114327e-06,1.32499118880859e-06,0
"[Eubacterium] ventriosum group",4.47026574798566e-05,0,0,0,0,2.45270834923506e-06,1.32499118880859e-06,1.30409381129241e-06
"Acinetobacter",1.39695804624552e-06,0,0,0.0385642130528663,0.00119463041198208,6.86758337785817e-07,1.32499118880859e-06,0
"Oxalobacter",1.86261072832736e-05,0,0,0,2.45052392201453e-06,2.35460001526566e-06,1.32499118880859e-06,1.30409381129241e-06
"Dorea",0.00046487659427837,3.48675034867503e-06,9.49237491083948e-06,2.36242422524298e-06,3.67578588302179e-06,3.35530502175356e-05,1.32499118880859e-06,1.30409381129241e-05
"Defluviitaleaceae UCG-011",2.94913365318499e-06,0,0,0,0,3.92433335877609e-07,0,0
"Coprococcus 2",0.000987959773816971,1.04602510460251e-05,5.42421423476542e-06,1.88993938019438e-05,2.94062870641743e-05,8.05469421888793e-05,1.05999295104688e-05,2.99941576597254e-05
"Deinococcus",3.10435121387893e-07,0.00829497907949791,6.78026779345677e-05,0.00362395876152272,1.34778815710799e-05,1.96216667938805e-07,0,0
"Coprococcus 1",0.000102443590058005,0,1.35605355869135e-06,0,0,6.57325837594996e-06,0,1.30409381129241e-06
"Parasutterella",9.62348876302469e-06,0,0,0,0,1.96216667938805e-07,0,0
"Bacillus",0.00112781079600222,6.45048814504882e-05,6.64466243758764e-05,5.66981814058314e-05,8.45430753095012e-05,0.0721123725008619,0.100634405781202,0.0982530359303927
"Blautia",0.00238150303372722,1.22036262203626e-05,1.08484284695308e-05,2.59866664776727e-05,2.81810251031671e-05,0.000151381159314788,2.25248502097461e-05,2.2169594791971e-05
"Fusobacterium",0.115432816407117,3.83542538354254e-05,1.8984749821679e-05,3.18927270407802e-05,3.55325968692106e-05,4.59147002976803e-05,2.51748325873633e-05,2.8690063848433e-05
"[Eubacterium] eligens group",4.50130926012445e-05,0,0,0,1.22526196100726e-06,8.53542505533801e-06,0,1.30409381129241e-06
"Bacteroides",0.0400729832970383,0.000104602510460251,8.13632135214812e-05,0.0319458815858481,0.00030018918044678,0.000472685953064581,0.000112624251048731,0.00011345616158244
"Christensenellaceae R-7 group",0.000103995765664944,3.48675034867503e-06,1.35605355869135e-06,0,2.45052392201453e-06,7.65245004961338e-06,1.32499118880859e-06,2.60818762258482e-06
"Pseudomonas",0.000301122067746257,1.22036262203626e-05,1.22044820282222e-05,0.00511110481131318,0.00127059665356453,0.0348114858173611,0.0245587116845673,0.0258627884655511
"Erwinia",2.15752409364586e-05,1.04602510460251e-05,8.13632135214812e-06,9.4496969009719e-06,3.55325968692106e-05,0.000831271913722746,0.000294148043915508,0.000311678420898886
"Anaerotruncus",3.74074321272411e-05,1.74337517433752e-06,0,3.54363633786446e-06,2.45052392201453e-06,1.56973334351044e-06,2.64998237761719e-06,0
"Ruminiclostridium 9",1.03995765664944e-05,0,0,0,0,4.90541669847012e-07,0,1.30409381129241e-06
"Odoribacter",1.03995765664944e-05,0,0,0,0,2.25649168129625e-06,0,0
"Coprococcus 3",7.46596466937884e-05,0,1.35605355869135e-06,0,1.22526196100726e-06,6.08271670610295e-06,0,0
"Raoultella",0.000891724886186724,5.23012552301255e-05,5.28860887889628e-05,5.66981814058314e-05,0.000158058792969937,0.0964545217836801,0.0540039908734607,0.0460149501314527
"Enterobacter",0.00237762259470987,0.00165969316596932,0.00165574139516214,0.000800861812357369,0.00264166478793166,0.00576082326234934,0.00220876031174393,0.0020096085632016
"Pyramidobacter",0.00434174560773108,0,4.06816067607406e-06,2.36242422524298e-06,2.45052392201453e-06,1.37351667557163e-06,0,0
"Kluyvera",2.48348097110315e-06,0,0,0,1.22526196100726e-06,0.000838433822102513,0.000969893550207891,0.001030234110921
"Oryza sativa Indica Group (long-grained rice)",1.70739316763341e-06,0,0,0,0,4.90541669847012e-07,0,0
"uncultured",0.000488314445943156,8.71687587168759e-06,1.08484284695308e-05,4.72484845048595e-06,1.10273576490654e-05,4.19903669389042e-05,1.05999295104688e-05,1.04327504903393e-05
